frame,x,y,z
1,-1.958782,0.09152336,2.986175
2,-1.959603,0.09046065,2.983456
3,-1.957281,0.0770586,2.978455
4,-1.955848,0.06664954,2.975245
5,-1.956042,0.06311553,2.972219
6,-1.95511,0.05503019,2.968439
7,-1.955167,0.05096383,2.965322
8,-1.955222,0.04689889,2.962205
9,-1.947822,0.03006347,2.964721
10,-1.945741,0.03021055,2.967873
11,-1.943483,0.02859566,2.968594
12,-1.941223,0.02902549,2.969094
13,-1.939957,0.02555196,2.968193
14,-1.938335,0.0238663,2.967911
15,-1.937021,0.02062917,2.967098
16,-1.935257,0.01889128,2.967257
17,-1.933585,0.01791198,2.968503
18,-1.931508,0.01720425,2.969599
19,-1.929797,0.01522543,2.968069
20,-1.927707,0.02191746,2.97127
21,-1.924946,0.02995452,2.974767
22,-1.922552,0.03845416,2.980788
23,-1.920263,0.04413355,2.981908
24,-1.917765,0.05140276,2.984664
25,-1.915936,0.05246795,2.985632
26,-1.913326,0.06239054,2.987657
27,-1.911433,0.06417793,2.988724
28,-1.909061,0.08280937,2.997566
29,-1.906801,0.09030754,3.002058
30,-1.904586,0.09561716,3.004616
31,-1.902612,0.09917488,3.006536
32,-1.900637,0.1027346,3.008459
33,-1.900236,0.103458,3.008849
34,-1.900236,0.103458,3.008849
35,-1.900236,0.103458,3.008849
36,-1.900236,0.103458,3.008849
37,-1.900236,0.103458,3.008849
38,-1.89563,0.1267956,3.017469
39,-1.891657,0.1423411,3.018674
40,-1.891657,0.1423411,3.018674
41,-1.890544,0.1502669,3.01844
42,-1.890544,0.1502669,3.01844
43,-1.890544,0.1502669,3.01844
44,-1.890442,0.163666,3.018621
45,-1.890442,0.163666,3.018621
46,-1.888749,0.173836,3.022102
47,-1.887361,0.1766464,3.024065
48,-1.887323,0.1743183,3.023575
49,-1.887323,0.1743183,3.023575
50,-1.887323,0.1743183,3.023575
51,-1.88725,0.1660786,3.016116
52,-1.88725,0.1660786,3.016116
53,-1.88725,0.1660786,3.016116
54,-1.88725,0.1660786,3.016116
55,-1.883652,0.144869,3.007024
56,-1.882859,0.1311076,3.003639
57,-1.880598,0.1229265,3.000247
58,-1.88039,0.1136416,2.997438
59,-1.879747,0.1105493,2.996831
60,-1.879765,0.1038227,2.995995
61,-1.885773,0.04868641,2.985241
62,-1.885773,0.04868641,2.985241
63,-1.887806,0.02457932,2.977582
64,-1.887806,0.02457932,2.977582
65,-1.889537,0.01205471,2.976051
66,-1.889537,0.01205471,2.976051
67,-1.889537,0.01205471,2.976051
68,-1.888887,0.007319044,2.975573
69,-1.88846,-0.007194659,2.973129
70,-1.88846,-0.007194659,2.973129
71,-1.88846,-0.007194659,2.973129
72,-1.88846,-0.007194659,2.973129
73,-1.894021,-0.02216021,2.971412
74,-1.895426,-0.02410559,2.970439
75,-1.896109,-0.02415764,2.970476
76,-1.896109,-0.02415764,2.970476
77,-1.900182,-0.02280234,2.971209
78,-1.902468,-0.02146034,2.971957
79,-1.902468,-0.02146034,2.971957
80,-1.906572,-0.01627193,2.974928
81,-1.918129,0.01096648,2.988349
82,-1.918129,0.01096648,2.988349
83,-1.921557,0.02020207,2.991524
84,-1.921557,0.02020207,2.991524
85,-1.942614,0.07251546,3.003132
86,-1.942614,0.07251546,3.003132
87,-1.949285,0.09346022,3.010811
88,-1.95995,0.1227553,3.026072
89,-1.963904,0.1306755,3.028745
90,-1.972176,0.1545671,3.030208
91,-1.972176,0.1545671,3.030208
92,-1.972176,0.1545671,3.030208
93,-1.978153,0.1765326,3.033926
94,-1.978153,0.1765326,3.033926
95,-1.978153,0.1765326,3.033926
96,-1.980597,0.1841016,3.034543
97,-1.981026,0.1840134,3.034643
98,-1.984015,0.183309,3.031304
99,-1.984015,0.183309,3.031304
100,-1.984015,0.183309,3.031304
101,-1.984015,0.183309,3.031304
102,-1.985456,0.1683895,3.022909
103,-1.985456,0.1683895,3.022909
104,-1.986643,0.1285884,3.006692
105,-1.986643,0.1285884,3.006692
106,-1.986643,0.1285884,3.006692
107,-1.986643,0.1285884,3.006692
108,-1.986643,0.1285884,3.006692
109,-1.986643,0.1285884,3.006692
110,-1.98524,0.08872603,2.990571
111,-1.981255,0.0453879,2.977807
112,-1.981255,0.0453879,2.977807
113,-1.976073,0.004376012,2.96367
114,-1.976073,0.004376012,2.96367
115,-1.970592,-0.01902309,2.957695
116,-1.970592,-0.01902309,2.957695
117,-1.961482,-0.02533946,2.961629
118,-1.952953,-0.02171436,2.965682
119,-1.951785,-0.02037068,2.966048
120,-1.938913,-0.006439574,2.970091
121,-1.93534,-0.003026585,2.971247
122,-1.924203,0.02279628,2.976905
123,-1.91062,0.05849777,2.987749
124,-1.91062,0.05849777,2.987749
125,-1.91062,0.05849777,2.987749
126,-1.905288,0.07222706,2.990522
127,-1.905288,0.07222706,2.990522
128,-1.905288,0.07222706,2.990522
129,-1.905288,0.07222706,2.990522
130,-1.905288,0.07222706,2.990522
131,-1.905288,0.07222706,2.990522
132,-1.905288,0.07222706,2.990522
133,-1.873007,0.1568335,3.004773
134,-1.873007,0.1568335,3.004773
135,-1.873007,0.1568335,3.004773
136,-1.870564,0.1580864,2.99654
137,-1.870564,0.1580864,2.99654
138,-1.870564,0.1580864,2.99654
139,-1.870545,0.158024,2.995541
140,-1.870025,0.1465851,2.991218
141,-1.872752,0.1142099,2.9825
142,-1.873057,0.09508011,2.978999
143,-1.871776,0.07695104,2.978118
144,-1.871942,0.04005573,2.981322
145,-1.871942,0.04005573,2.981322
146,-1.874277,0.0073201,2.977301
147,-1.875008,-0.007421018,2.976115
148,-1.877535,-0.02731256,2.978235
149,-1.877535,-0.02731256,2.978235
150,-1.883971,-0.0334806,2.983543
151,-1.884917,-0.03258008,2.984225
152,-1.890753,-0.01929427,2.987244
153,-1.899883,-0.002201167,2.982968
154,-1.907426,0.02211274,2.986065
155,-1.911666,0.03934548,2.98757
156,-1.918463,0.07989939,2.991991
157,-1.918463,0.07989939,2.991991
158,-1.918463,0.07989939,2.991991
159,-1.922949,0.1031022,2.996683
160,-1.924785,0.1229361,3.003392
161,-1.931844,0.1559319,3.019969
162,-1.936549,0.1740311,3.026148
163,-1.941022,0.1864374,3.027176
164,-1.948111,0.1945331,3.017403
165,-1.948872,0.1916796,3.014269
166,-1.951776,0.1777591,3.008426
167,-1.953654,0.1629144,3.005463
168,-1.953553,0.1290365,2.997754
169,-1.950372,0.05714284,2.984178
170,-1.955371,0.02134604,2.983072
171,-1.957013,0.01542274,2.984347
172,-1.957398,0.01461459,2.984162
173,-1.958902,0.006654657,2.982146
174,-1.956323,-0.02335185,2.971432
175,-1.956042,-0.02342429,2.971508
176,-1.952244,-0.02982385,2.969675
177,-1.952244,-0.02982385,2.969675
178,-1.952244,-0.02982385,2.969675
179,-1.952244,-0.02982385,2.969675
180,-1.949294,-0.03084721,2.97205
