frame,x,y,z
20001,0.2017988,0.684757,-0.2575416
20002,0.2061312,0.6922352,-0.252286
20003,0.2103374,0.6976923,-0.2480226
20004,0.2141158,0.7032503,-0.2443751
20005,0.2173118,0.7050248,-0.2388442
20006,0.2207062,0.7088109,-0.2342754
20007,0.2238731,0.7120575,-0.2297111
20008,0.2223893,0.7066368,-0.2286474
20009,0.2241939,0.707358,-0.2250055
20010,0.2213432,0.6999736,-0.2265926
20011,0.2207971,0.696651,-0.2257064
20012,0.218333,0.6920347,-0.2269084
20013,0.2157661,0.6879465,-0.2274387
20014,0.2115238,0.6846077,-0.2295078
20015,0.2026114,0.6760973,-0.235009
20016,0.1974971,0.6728176,-0.2386807
20017,0.1927384,0.6697081,-0.2416986
20018,0.1877234,0.6661929,-0.2449246
20019,0.1842035,0.6680882,-0.2468975
20020,0.1798049,0.6668122,-0.2500684
20021,0.1752539,0.6661834,-0.2528644
20022,0.1725034,0.6704894,-0.2529731
20023,0.168625,0.6719282,-0.2547497
20024,0.1657762,0.6792421,-0.2523128
20025,0.1622775,0.6835667,-0.2514911
20026,0.1589646,0.6879375,-0.2511423
20027,0.1555704,0.6936089,-0.2470695
20028,0.1521454,0.6987967,-0.2453467
20029,0.1483676,0.7042287,-0.2415529
20030,0.1449566,0.708577,-0.2380732
20031,0.1415568,0.7133781,-0.2349852
20032,0.1389289,0.712565,-0.2333856
20033,0.136434,0.7138134,-0.2313235
20034,0.1335414,0.7160392,-0.2288157
20035,0.1346501,0.7093425,-0.2281764
20036,0.1331668,0.7074011,-0.2265445
20037,0.134189,0.6983134,-0.22954
20038,0.1354537,0.6914805,-0.2321293
20039,0.1365641,0.6848747,-0.2344315
20040,0.139206,0.6778045,-0.2390722
20041,0.1420432,0.6715865,-0.243579
20042,0.1456766,0.6687782,-0.2480133
20043,0.148837,0.6645736,-0.2520059
20044,0.1522368,0.6638386,-0.2544549
20045,0.1550782,0.6636055,-0.2574622
20046,0.158319,0.6620725,-0.2609191
20047,0.1621667,0.6632124,-0.2621482
