frame,x,y,z
15001,0.1840749,0.6983266,-0.3500594
15002,0.1808656,0.7012805,-0.3501315
15003,0.177822,0.7099128,-0.3479999
15004,0.1746155,0.7148851,-0.3474112
15005,0.1719816,0.7242708,-0.3443939
15006,0.1692442,0.7315112,-0.3426328
15007,0.1667871,0.7391167,-0.3402669
15008,0.1645584,0.746453,-0.3380434
15009,0.1623191,0.7538354,-0.3358552
15010,0.159927,0.7613523,-0.3335864
15011,0.1587093,0.7651672,-0.3317
15012,0.1571772,0.7683234,-0.3300006
15013,0.1558317,0.7703095,-0.3290778
15014,0.1545095,0.7730168,-0.3279756
15015,0.1530781,0.7757477,-0.3267173
15016,0.1528941,0.7720544,-0.3285685
15017,0.1518543,0.7721021,-0.3284087
15018,0.151443,0.7645584,-0.3305291
15019,0.1507436,0.7614349,-0.3314607
15020,0.1503191,0.7552314,-0.3331077
15021,0.1499026,0.7506065,-0.3344479
15022,0.1500021,0.7425138,-0.336938
15023,0.1497852,0.7357534,-0.3388688
15024,0.1497288,0.7289094,-0.3410103
15025,0.1497833,0.7211089,-0.3434335
15026,0.1498822,0.7134921,-0.3456458
15027,0.1504542,0.7073677,-0.3481044
15028,0.1507767,0.7015111,-0.3497176
15029,0.1511168,0.6950915,-0.351678
15030,0.1519352,0.6942828,-0.3528914
15031,0.1525202,0.6902843,-0.3544136
15032,0.1541465,0.6908104,-0.3553014
15033,0.1563427,0.6930453,-0.355511
15034,0.1578302,0.6926879,-0.3563524
15035,0.1606828,0.6987355,-0.3554428
15036,0.1628965,0.7014196,-0.3555808
15037,0.1655422,0.7062336,-0.3548248
15038,0.1680413,0.7103029,-0.3545266
15039,0.1706209,0.7159257,-0.3536623
15040,0.1731193,0.7222761,-0.3527344
15041,0.1757114,0.7283337,-0.351861
15042,0.1784784,0.7369654,-0.3496344
15043,0.1811526,0.7440402,-0.3482828
15044,0.1836607,0.7508089,-0.3460687
15045,0.1861124,0.7570315,-0.3447151
15046,0.1886267,0.763566,-0.3432449
15047,0.1904185,0.7664489,-0.3424688
15048,0.1924959,0.7705287,-0.3413893
15049,0.1940615,0.7730346,-0.3410391
15050,0.1951919,0.7739363,-0.3409516
15051,0.1966714,0.7759178,-0.3405371
15052,0.1971021,0.7725015,-0.3415718
15053,0.1980303,0.7719976,-0.3418009
15054,0.197625,0.7663574,-0.3433712
15055,0.1977486,0.7626375,-0.344272
15056,0.1977272,0.7588572,-0.3451248
15057,0.1959979,0.7500303,-0.3467843
15058,0.1952292,0.7440642,-0.3480072
15059,0.1937689,0.736727,-0.3497349
15060,0.1923926,0.7296893,-0.3512978
15061,0.1911675,0.7227191,-0.3527665
15062,0.1892615,0.7164968,-0.3545627
