frame,x,y,z
17001,0.1109993,0.7585076,-0.2870992
17002,0.1101599,0.7515999,-0.2890248
17003,0.1091777,0.7436032,-0.2914759
17004,0.1083799,0.7368492,-0.293472
17005,0.1072745,0.7273986,-0.2959421
17006,0.1064212,0.7188699,-0.2979907
17007,0.1057787,0.7099327,-0.2997604
17008,0.1051829,0.7014289,-0.3016967
17009,0.1047963,0.6948013,-0.302921
17010,0.1046285,0.6897057,-0.3037069
17011,0.10445,0.6842801,-0.30451
17012,0.1041307,0.6780268,-0.3055748
17013,0.106438,0.680117,-0.3045839
17014,0.1075251,0.678818,-0.3044684
17015,0.1094513,0.681661,-0.303602
17016,0.1113956,0.6854988,-0.3026967
17017,0.113206,0.6875147,-0.3020225
17018,0.1155436,0.6937099,-0.3004751
17019,0.1176109,0.698315,-0.299114
17020,0.1196923,0.7054495,-0.296715
17021,0.1216324,0.7135884,-0.2942947
17022,0.1257757,0.7293484,-0.2895009
17023,0.1277993,0.7369412,-0.2872823
17024,0.1300582,0.743359,-0.2859201
17025,0.1321913,0.7509468,-0.2839022
17026,0.1343373,0.7536625,-0.2817049
17027,0.1386121,0.7644873,-0.2779364
17028,0.1405939,0.7689644,-0.276128
17029,0.1425524,0.7615096,-0.2774955
17030,0.1445216,0.7608819,-0.2771302
17031,0.1457294,0.752891,-0.2791221
17032,0.1474002,0.7494899,-0.279616
17033,0.1485247,0.7411991,-0.2812092
17034,0.14956,0.733305,-0.2832142
17035,0.1506146,0.726272,-0.2847412
17036,0.1508407,0.7158375,-0.2869987
17037,0.1515673,0.7075646,-0.2886151
17038,0.1522826,0.6991269,-0.290266
17039,0.1517368,0.6942947,-0.2900624
17040,0.1509693,0.6896462,-0.2906227
17041,0.1501139,0.6851721,-0.2911116
17042,0.1488625,0.6822726,-0.291792
17043,0.1475508,0.6803607,-0.2927512
17044,0.1462264,0.679644,-0.2936037
17045,0.144966,0.6780565,-0.2943359
17046,0.1433213,0.6897771,-0.2923428
17047,0.1414192,0.6959763,-0.2910045
17048,0.1376438,0.7071411,-0.2886453
17049,0.1358229,0.7130105,-0.2875164
17050,0.1334681,0.721378,-0.2847557
17051,0.1315888,0.7286202,-0.2830921
17052,0.129706,0.7358873,-0.281317
17053,0.1281503,0.740413,-0.279864
17054,0.126379,0.7469141,-0.2781253
17055,0.1249686,0.7504675,-0.2753929
17056,0.1234929,0.7547279,-0.2728401
17057,0.1222479,0.755252,-0.2704049
17058,0.1209076,0.7539229,-0.2698889
17059,0.119689,0.7500328,-0.2710408
17060,0.1185603,0.745726,-0.2721854
17061,0.1176945,0.7389081,-0.2745241
17062,0.1167757,0.7313767,-0.2770339
17063,0.1158207,0.7247634,-0.2792554
17064,0.1149582,0.7163718,-0.282179
17065,0.1141931,0.707892,-0.2851098
17066,0.1133683,0.699733,-0.2879227
17067,0.1130291,0.6936873,-0.2894251
17068,0.112791,0.6868625,-0.2903123
17069,0.1122139,0.6797138,-0.2916265
17070,0.1128501,0.677253,-0.2917243
17071,0.112897,0.6721574,-0.2927131
17072,0.1141159,0.6722868,-0.2921113
17073,0.1147837,0.6708497,-0.2922242
17074,0.116452,0.673956,-0.2915652
17075,0.1177192,0.6749313,-0.2911544
17076,0.1194253,0.6783817,-0.2901368
17077,0.1210554,0.6819123,-0.2891619
17078,0.1226745,0.6855243,-0.2878047
17079,0.1244826,0.6924762,-0.2852943
17080,0.1260761,0.6995366,-0.2834795
17081,0.1277129,0.706154,-0.2817609
17082,0.1292844,0.715425,-0.279193
17083,0.1309484,0.7230319,-0.2770891
17084,0.133325,0.7305178,-0.2756659
17085,0.1353207,0.7381528,-0.2735848
17086,0.1374645,0.7459562,-0.271638
17087,0.1395933,0.7505219,-0.269395
17088,0.1414823,0.7555391,-0.2676019
17089,0.1431518,0.7563303,-0.2665319
17090,0.1447636,0.7564974,-0.265568
17091,0.1464934,0.7586035,-0.2642385
17092,0.1474967,0.7480053,-0.2661893
17093,0.1485514,0.7417191,-0.2674441
17094,0.150774,0.7307853,-0.2685346
17095,0.1516677,0.72198,-0.2687854
17096,0.152271,0.7138816,-0.2697217
17097,0.1528648,0.7060009,-0.2705857
17098,0.1523615,0.6986885,-0.2722521
17099,0.1514957,0.6930238,-0.274425
17100,0.1512837,0.6857166,-0.2759343
17101,0.148967,0.6856026,-0.2774832
17102,0.1465956,0.6772784,-0.2804718
17103,0.1444509,0.6831496,-0.2825791
17104,0.1428099,0.6829963,-0.2842812
17105,0.1412389,0.6950562,-0.2843219
17106,0.1397348,0.7004946,-0.285178
17107,0.138132,0.7090431,-0.2842342
17108,0.1366412,0.7166349,-0.284034
17109,0.1357066,0.7254044,-0.282384
17110,0.1346352,0.7338901,-0.2814655
17111,0.1340293,0.741575,-0.2794133
17112,0.1331581,0.7489046,-0.2774081
17113,0.1321619,0.7559128,-0.275336
17114,0.1312961,0.7632303,-0.2733198
17115,0.1300258,0.7622444,-0.2712147
17116,0.1289261,0.7660754,-0.2690701
17117,0.1276799,0.7617055,-0.2684173
17118,0.1266638,0.7605422,-0.2675392
17119,0.1260875,0.7544781,-0.2693008
17120,0.1254035,0.7475164,-0.2716268
17121,0.124785,0.7396568,-0.2747223
17122,0.124342,0.7320213,-0.276639
17123,0.123804,0.7244108,-0.278049
17124,0.1232005,0.7167134,-0.2799468
17125,0.1229692,0.7081436,-0.2804116
17126,0.1228477,0.6989489,-0.2815532
17127,0.1227956,0.6899418,-0.2829777
17128,0.1237814,0.6842656,-0.2836066
17129,0.1241397,0.6766548,-0.2846684
17130,0.1254492,0.6769905,-0.2830512
17131,0.1261563,0.6734054,-0.2827449
17132,0.1270449,0.6741455,-0.282787
17133,0.128098,0.6743734,-0.2822463
17134,0.1295795,0.6785008,-0.2810998
17135,0.1306693,0.6830926,-0.2803624
17136,0.1317109,0.6865146,-0.2795999
17137,0.1323792,0.6925616,-0.279016
17138,0.1332531,0.6984212,-0.2783082
17139,0.1342232,0.7045971,-0.2775554
17140,0.1352927,0.715622,-0.2757469
17141,0.1361981,0.7238448,-0.2746244
17142,0.1369594,0.7325677,-0.2737352
17143,0.1379856,0.7412845,-0.2725476
17144,0.1392464,0.7484266,-0.2709747
17145,0.1403655,0.7560205,-0.2696472
17146,0.1414942,0.7614173,-0.2684789
17147,0.1420159,0.7587973,-0.2690756
17148,0.143782,0.7632794,-0.2682272
17149,0.143702,0.7563918,-0.2693606
17150,0.1439456,0.7508132,-0.270537
17151,0.1441292,0.7444712,-0.2720072
17152,0.1441505,0.7355697,-0.2747797
17153,0.1439912,0.7268146,-0.2777616
17154,0.143692,0.7181351,-0.2801521
17155,0.1434728,0.7094046,-0.2824796
17156,0.1426068,0.7024264,-0.2843274
17157,0.1419009,0.6952367,-0.2863231
17158,0.1414259,0.6875038,-0.2886067
17159,0.139964,0.6855431,-0.2887259
17160,0.1388747,0.6807484,-0.2899058
17161,0.1371537,0.6812167,-0.2898545
17162,0.1358277,0.6811748,-0.2905568
17163,0.1344835,0.679542,-0.2912377
17164,0.1339618,0.691098,-0.2889737
17165,0.1328846,0.6945857,-0.2885213
17166,0.1320654,0.7014645,-0.288133
17167,0.1310903,0.7067801,-0.2875575
17168,0.1307763,0.714287,-0.2865264
17169,0.1302278,0.7228304,-0.2856134
17170,0.129387,0.7306919,-0.284184
17171,0.1286008,0.7381948,-0.2829391
