frame,x,y,z
16001,0.05591416,0.3981691,0.1774438
16002,0.05773058,0.4010304,0.177075
16003,0.05912723,0.4021556,0.1773775
16004,0.06148806,0.4058101,0.1793798
16005,0.06403138,0.4093338,0.1815208
16006,0.06620433,0.4122117,0.1829745
16007,0.06918667,0.4177227,0.1862191
16008,0.07173374,0.4217741,0.1883741
16009,0.07484016,0.4258038,0.1907353
16010,0.07769104,0.4301536,0.1932515
16011,0.08071147,0.43431,0.1965233
16012,0.08370833,0.4379523,0.2008503
16013,0.08687236,0.4420612,0.2044337
16014,0.08908451,0.444311,0.2098032
16015,0.09174637,0.4460188,0.2141291
16016,0.09444866,0.4486514,0.218526
16017,0.09563307,0.4440149,0.2227785
16018,0.09724587,0.4412716,0.2260019
16019,0.09895782,0.4383339,0.2284954
16020,0.1007796,0.4359452,0.2316074
16021,0.102563,0.4336228,0.2348692
16022,0.1046679,0.4276547,0.23304
16023,0.1050379,0.4227831,0.2327743
16024,0.1055187,0.418116,0.2326811
16025,0.1045459,0.414502,0.2313888
16026,0.1036186,0.4106204,0.2300213
16027,0.1026393,0.4065788,0.2286197
16028,0.1010454,0.4037507,0.2264352
16029,0.09946415,0.4029045,0.2246129
16030,0.09800757,0.4003225,0.2227007
16031,0.09555446,0.4021416,0.2212271
16032,0.09276359,0.4047288,0.2207245
16033,0.09048378,0.4058292,0.2195015
16034,0.08671048,0.4114976,0.2200834
16035,0.08379821,0.4148412,0.2192927
16036,0.08138238,0.4202497,0.2177772
16037,0.07851558,0.4245861,0.2168687
16038,0.07544216,0.4299712,0.2168434
16039,0.07216163,0.4347987,0.2168566
16040,0.06945504,0.4388888,0.2170466
16041,0.06674088,0.4430365,0.2171875
16042,0.06430731,0.4461719,0.2171796
16043,0.0616076,0.4498179,0.2173413
16044,0.0591685,0.4518996,0.217463
16045,0.0566235,0.452572,0.217289
16046,0.05413538,0.451916,0.2167263
16047,0.05174601,0.4526968,0.2165129
16048,0.05048934,0.4482867,0.2149491
16049,0.0488453,0.4456458,0.2139664
16050,0.04785408,0.4405234,0.2125419
16051,0.04724364,0.4339689,0.2107488
16052,0.04614358,0.4290847,0.2093455
16053,0.04670978,0.4222135,0.2081124
16054,0.04757505,0.4118618,0.20609
16055,0.04792851,0.4066368,0.2051298
16056,0.04950635,0.4041383,0.2050643
16057,0.05110468,0.4015888,0.2047378
16058,0.05256087,0.3982646,0.2042916
16059,0.05492453,0.3998439,0.2049263
16060,0.05707759,0.3997622,0.2054933
16061,0.05890629,0.3999028,0.2062834
16062,0.06167142,0.4061544,0.2099129
16063,0.06419672,0.4088995,0.2118222
16064,0.06660511,0.4113894,0.2135609
16065,0.06963608,0.4176877,0.2175668
16066,0.07545204,0.4259171,0.2241457
16067,0.07851014,0.4299985,0.2277478
16068,0.0814816,0.4343674,0.2311795
16069,0.08410142,0.4371004,0.2361283
16070,0.08683318,0.4405884,0.2404861
16071,0.08891904,0.4420105,0.245881
16072,0.09078471,0.4419138,0.2505366
16073,0.0924954,0.4403532,0.2539653
16074,0.09425775,0.4380661,0.2563138
16075,0.09608099,0.4364683,0.2592519
16076,0.09753294,0.4312246,0.2590062
16077,0.09911879,0.4276811,0.2603353
16078,0.09999496,0.422306,0.259614
16079,0.1006409,0.417053,0.2587896
16080,0.1007845,0.4118201,0.2579915
16081,0.1004746,0.4066787,0.2567031
16082,0.1001665,0.4017573,0.2553958
16083,0.0999697,0.3965918,0.2539277
16084,0.09861847,0.3936738,0.2497586
16085,0.09794459,0.3904769,0.2466217
16086,0.09687795,0.3890473,0.2441251
16087,0.0959243,0.3867697,0.2415138
16088,0.09468532,0.3844216,0.2389066
16089,0.09115147,0.3887381,0.2409485
16090,0.0884896,0.3904163,0.2404581
16091,0.08608345,0.3925571,0.239073
16092,0.08355918,0.3960418,0.2375045
16093,0.08090305,0.3996845,0.2370006
16094,0.07812419,0.4028901,0.2365249
16095,0.07539746,0.4062222,0.2358458
16096,0.07129677,0.4089644,0.2376238
16097,0.06801187,0.4121302,0.2379366
16098,0.06347395,0.4137706,0.2393549
16099,0.05984375,0.4156972,0.2401835
16100,0.05632009,0.4175605,0.2410001
16101,0.05365435,0.4165455,0.2409229
16102,0.05042595,0.4173308,0.2413793
16103,0.04835697,0.4147882,0.2400109
16104,0.04578149,0.4136241,0.2394392
16105,0.04412287,0.4102761,0.2377046
16106,0.0424893,0.407221,0.2363584
16107,0.04196382,0.4026054,0.234141
16108,0.04107506,0.3984539,0.2320605
16109,0.04098159,0.3939416,0.2302243
16110,0.04094941,0.3892236,0.2283598
16111,0.04130473,0.3848311,0.2260114
16112,0.04132361,0.3801931,0.2238782
16113,0.04419158,0.3800151,0.2207181
16114,0.04774531,0.3764226,0.2153189
16115,0.04955521,0.3748567,0.2125336
16116,0.05135279,0.3729938,0.2098535
16117,0.05352584,0.37901,0.2075313
16118,0.05562375,0.3801279,0.2050438
16119,0.05778864,0.3870192,0.2055523
16120,0.05987472,0.3915439,0.2049721
16121,0.06223165,0.3983839,0.2063001
16122,0.06446738,0.4037562,0.2062582
16123,0.06712668,0.4094948,0.2077844
16124,0.06941731,0.4146916,0.2093902
16125,0.07176764,0.4204307,0.2105149
16126,0.07385921,0.4246289,0.2133781
16127,0.07609411,0.4291587,0.2156123
16128,0.07806603,0.4326279,0.2180832
16129,0.07975803,0.4347521,0.2206498
16130,0.08142006,0.4364471,0.2233178
16131,0.08299295,0.4367039,0.2259289
16132,0.08465879,0.4368907,0.2283257
16133,0.08634973,0.4370615,0.2307263
16134,0.08768047,0.4295511,0.2304232
16135,0.08913636,0.4269701,0.2318465
16136,0.09044974,0.4205853,0.2299154
16137,0.09177452,0.4157836,0.2282995
16138,0.09275734,0.4113407,0.2260561
16139,0.09367225,0.406631,0.2242214
16140,0.0947261,0.4017753,0.2225841
16141,0.09395827,0.4004354,0.2198991
16142,0.09432982,0.3939061,0.2157267
16143,0.09364397,0.3960586,0.2135207
16144,0.09353048,0.3953028,0.2112386
16145,0.0925329,0.4000276,0.209115
16146,0.09182665,0.4014334,0.2068983
16147,0.08950652,0.4074573,0.2063269
16148,0.08727176,0.4129767,0.2054729
16149,0.08565594,0.4190383,0.2042916
16150,0.08384148,0.4251223,0.2033111
16151,0.08191553,0.4311833,0.2023973
16152,0.08004487,0.437407,0.2015646
16153,0.07732995,0.443437,0.2021932
16154,0.07509736,0.4495372,0.201901
16155,0.07273858,0.4536345,0.2019554
16156,0.07058626,0.4579365,0.2012093
16157,0.06868248,0.4622659,0.2004186
16158,0.06678371,0.4665337,0.1997736
16159,0.06476966,0.4708407,0.1991798
16160,0.06295165,0.4708216,0.1975448
16161,0.06100952,0.4735631,0.1965708
16162,0.05873399,0.472433,0.1951907
16163,0.05687664,0.4700353,0.1940988
16164,0.05490296,0.4698397,0.1929635
16165,0.05443255,0.4621846,0.1908491
16166,0.05309347,0.4581795,0.1890877
16167,0.0529069,0.4508224,0.1858903
16168,0.05229483,0.445014,0.183309
16169,0.05271605,0.4392418,0.1810662
16170,0.05327129,0.4307901,0.178685
16171,0.05385375,0.4266086,0.1777988
16172,0.05464756,0.4223706,0.1765347
16173,0.0554345,0.4184794,0.1753216
16174,0.05732089,0.4215421,0.1755651
16175,0.05849916,0.4198207,0.1750347
16176,0.0614275,0.4246929,0.1784138
16177,0.06341527,0.4257818,0.1794687
16178,0.06576397,0.4275992,0.1809826
16179,0.06999579,0.4332415,0.1857922
16180,0.07286444,0.4364889,0.1884377
16181,0.07626952,0.4407385,0.1929345
16182,0.08228353,0.4482846,0.2008462
16183,0.08530436,0.4520933,0.2050587
16184,0.08774835,0.4540395,0.2093375
16185,0.09045373,0.4568819,0.2133184
16186,0.09279241,0.4589955,0.2166034
16187,0.09507693,0.4600527,0.2199286
