frame,x,y,z
3001,0.0589784,0.4953602,0.2018821
3002,0.05880114,0.4892985,0.2007096
3003,0.05936796,0.4841625,0.1997062
3004,0.05963397,0.4791154,0.1987116
3005,0.05981965,0.473981,0.1977287
3006,0.06028935,0.4717031,0.1973219
3007,0.06089652,0.469689,0.196981
3008,0.06162488,0.4687813,0.1972277
3009,0.06232176,0.4675278,0.1973482
3010,0.06305218,0.4665835,0.1975898
3011,0.06419072,0.4716629,0.1995351
3012,0.06499292,0.47311,0.2003784
3013,0.0659987,0.4775867,0.2020291
3014,0.06703553,0.4814699,0.2036275
3015,0.06803039,0.4849178,0.2050548
3016,0.06936155,0.4911656,0.2075452
3017,0.07052229,0.4960615,0.2094599
3018,0.07171664,0.5011231,0.2115454
3019,0.07287953,0.5086148,0.2150188
3020,0.07406556,0.5144624,0.2173392
3021,0.07548687,0.5199616,0.2192303
3022,0.07679569,0.5257508,0.2214161
3023,0.07815482,0.5306769,0.2238328
3024,0.07950056,0.5358706,0.2261664
3025,0.08067875,0.5390711,0.2282939
3026,0.08201709,0.5424265,0.2301711
3027,0.08327691,0.5437686,0.231414
3028,0.08454425,0.5445684,0.2323023
3029,0.08581996,0.5455599,0.2333492
3030,0.08711614,0.5467033,0.2344518
3031,0.08873811,0.5411129,0.2331083
3032,0.09024614,0.5396976,0.2335078
3033,0.09165554,0.5345968,0.2323346
3034,0.09296801,0.5308375,0.2318339
3035,0.09397838,0.5243242,0.2300074
3036,0.0950226,0.5186771,0.2284599
3037,0.09614984,0.5134352,0.2273226
3038,0.09681354,0.50544,0.2252987
3039,0.09732668,0.4990227,0.2235982
3040,0.09747204,0.4875753,0.2201158
3041,0.09761007,0.481728,0.2184681
3042,0.09719028,0.4789215,0.2176225
3043,0.09688406,0.4747692,0.2163023
3044,0.09649481,0.4709255,0.2150825
3045,0.09385088,0.474345,0.2149321
3046,0.09252407,0.4730594,0.2139758
3047,0.09051495,0.4756414,0.2131079
3048,0.08845293,0.4785983,0.2124856
3049,0.08654104,0.4802868,0.2117033
3050,0.08411238,0.4857863,0.2110468
3051,0.08193652,0.4896715,0.2104643
3052,0.07975984,0.4935882,0.2098744
3053,0.07695779,0.5008545,0.2103782
3054,0.07460754,0.5062574,0.210199
3055,0.07223877,0.5125065,0.2107065
3056,0.07006133,0.5181171,0.2108078
3057,0.06776638,0.5239639,0.2109031
3058,0.06577293,0.5287821,0.2106824
3059,0.06373006,0.5342373,0.2106678
3060,0.06204267,0.5380199,0.2100007
3061,0.0603127,0.5423669,0.2094758
3062,0.05908044,0.5447329,0.2081841
3063,0.05756599,0.5475914,0.2072476
3064,0.05627466,0.5482499,0.2059447
3065,0.05504558,0.5487924,0.2046847
3066,0.05419455,0.5468683,0.2028875
3067,0.0531137,0.5463806,0.2012792
3068,0.05292044,0.5414011,0.1985095
3069,0.05236473,0.537904,0.1961468
3070,0.05199228,0.5320174,0.1930964
3071,0.0514699,0.5270234,0.1907318
3072,0.05098084,0.5209496,0.1884322
3073,0.05070054,0.5145522,0.1857091
3074,0.0504289,0.5084732,0.1830335
3075,0.0504509,0.5015319,0.1794183
3076,0.05028375,0.4951397,0.1764581
3077,0.04997098,0.4885949,0.1736468
3078,0.04998887,0.4845704,0.1718094
3079,0.04984692,0.4791343,0.169441
3080,0.05013012,0.4772154,0.16861
3081,0.05036762,0.47465,0.1674213
3082,0.05074341,0.4732042,0.1665784
3083,0.05109587,0.4721341,0.1655757
3084,0.05170266,0.4746507,0.1651463
3085,0.05229355,0.4766968,0.1649399
3086,0.05290408,0.4787483,0.1647295
3087,0.05345704,0.480377,0.1644094
3088,0.05363543,0.488118,0.1658198
3089,0.05410402,0.4922632,0.1662622
3090,0.05468696,0.4981909,0.1675645
3091,0.05519207,0.5035467,0.1684582
3092,0.05561239,0.5096138,0.1699257
3093,0.05619463,0.5155134,0.1716
3094,0.05683181,0.5213394,0.1728809
3095,0.05749512,0.5265674,0.1742266
3096,0.05821818,0.5320165,0.1755757
3097,0.05876575,0.5361826,0.1772845
3098,0.059482,0.5410542,0.1788175
3099,0.06003345,0.5436441,0.1802955
3100,0.06101234,0.545552,0.1812637
3101,0.06181989,0.5481232,0.1824382
3102,0.06262136,0.5509374,0.1836833
3103,0.06430216,0.5470275,0.182991
3104,0.06568285,0.5452573,0.1829388
3105,0.06680537,0.5428241,0.1830119
3106,0.06803858,0.5403838,0.1831004
3107,0.06900182,0.5356126,0.18236
3108,0.07025421,0.5314967,0.1817905
3109,0.0714227,0.5265144,0.1809199
3110,0.07231458,0.5209384,0.1800025
3111,0.07320763,0.5155294,0.1792351
3112,0.07389823,0.5096663,0.177968
3113,0.07449967,0.5035728,0.1766016
3114,0.07509061,0.4977844,0.1753622
3115,0.07514555,0.4931811,0.1735176
3116,0.07536788,0.4878968,0.1722101
