frame,x,y,z
10001,0.05961042,0.4782747,0.2499787
10002,0.06121687,0.4837829,0.2522779
10003,0.06261204,0.4861331,0.2554361
10004,0.06405745,0.4894373,0.257948
10005,0.06560297,0.4928624,0.2605006
10006,0.06634782,0.4895708,0.2617025
10007,0.06750048,0.4902921,0.263638
10008,0.06815946,0.4865626,0.2632894
10009,0.06904095,0.483901,0.2635271
10010,0.06976712,0.4790969,0.2628451
10011,0.07000321,0.4738709,0.2618061
10012,0.07047822,0.4693871,0.2612275
10013,0.06959702,0.4628493,0.2586815
10014,0.06903026,0.457326,0.2569129
10015,0.0685609,0.4517531,0.2552023
10016,0.06587327,0.4487111,0.2523556
10017,0.06465963,0.444069,0.2501613
10018,0.0629048,0.4424784,0.2473756
10019,0.0613757,0.4390702,0.2448949
10020,0.05905494,0.4405306,0.2436438
10021,0.05686431,0.4410379,0.242608
10022,0.0546385,0.4409872,0.2413028
10023,0.05050023,0.4468521,0.2434301
10024,0.04760451,0.4488848,0.2432066
10025,0.0443711,0.4520846,0.2434918
10026,0.0411615,0.4576633,0.2444382
10027,0.03789701,0.4615412,0.2448739
10028,0.03483619,0.4667641,0.246069
10029,0.03155993,0.4716465,0.246898
10030,0.02939273,0.4770048,0.2488127
10031,0.02688182,0.4814112,0.2501032
10032,0.0242008,0.4862555,0.2514355
10033,0.02309084,0.4871448,0.2522001
10034,0.0223124,0.4876069,0.2522678
10035,0.02219507,0.4872554,0.2518047
10036,0.02205456,0.486874,0.2512778
10037,0.02153773,0.4872453,0.2510664
10038,0.02403317,0.4815197,0.2480376
10039,0.02477706,0.4793515,0.2466358
10040,0.0266382,0.4744156,0.2444882
10041,0.02835049,0.4704598,0.2426158
10042,0.02988697,0.4666561,0.2407233
10043,0.03358409,0.461223,0.2387709
10044,0.03679712,0.4567082,0.2367601
10045,0.04008877,0.4527455,0.2349362
10046,0.04324151,0.4487868,0.2330662
10047,0.04621637,0.4447684,0.2312713
10048,0.04834816,0.4442781,0.230939
10049,0.05111674,0.4416606,0.2297123
10050,0.05312558,0.4427841,0.2307336
10051,0.05553452,0.4436432,0.2317428
10052,0.05802084,0.4432445,0.2319091
10053,0.06035293,0.4464808,0.2347456
10054,0.06263133,0.4490423,0.2366412
10055,0.06449561,0.45152,0.2384872
10056,0.06621221,0.4542993,0.2403943
10057,0.06792678,0.4570969,0.2427698
10058,0.06882345,0.4617043,0.2475748
10059,0.07100271,0.4683447,0.2554857
10060,0.07182539,0.4713385,0.2597756
10061,0.07248278,0.473208,0.2643165
10062,0.07304187,0.4734204,0.2682887
10063,0.07386222,0.4751296,0.2724585
10064,0.07479618,0.4711585,0.273275
10065,0.07648561,0.4669799,0.2762254
10066,0.07722256,0.4636066,0.2768687
10067,0.07791521,0.4598668,0.2772505
10068,0.07870019,0.4565043,0.2779467
10069,0.07881921,0.4505848,0.2764044
10070,0.07929245,0.4456269,0.2748585
10071,0.07911868,0.4419745,0.2717716
10072,0.07939493,0.4334116,0.2675898
10073,0.07845221,0.4323325,0.2660121
10074,0.07789335,0.4296159,0.2639161
10075,0.07609081,0.4294665,0.2620143
10076,0.07501172,0.4282428,0.2599605
10077,0.0727784,0.4301401,0.2591707
10078,0.07068845,0.4325064,0.2587936
10079,0.06851527,0.4344552,0.2582591
10080,0.06654247,0.4359695,0.2573601
10081,0.06272549,0.4428365,0.2599893
10082,0.06015152,0.4464387,0.2601874
10083,0.05746238,0.4515441,0.2603812
10084,0.05187139,0.461912,0.2619105
10085,0.04944924,0.4676979,0.2625776
10086,0.04725392,0.4731386,0.2631785
10087,0.04531475,0.4774099,0.2634292
10088,0.04313312,0.4825648,0.2639339
10089,0.04213806,0.48521,0.262675
10090,0.04137269,0.4876476,0.2613692
10091,0.04102581,0.4885664,0.2594714
10092,0.04070313,0.4892234,0.2574946
10093,0.04087907,0.4884455,0.2551341
10094,0.04116605,0.4863684,0.2527441
10095,0.04163274,0.4842357,0.2502905
10096,0.04205141,0.4821421,0.2478295
10097,0.04378655,0.47508,0.2448578
10098,0.04476695,0.4703012,0.2424084
10099,0.04603145,0.4646651,0.2404742
10100,0.04732712,0.459428,0.2384005
10101,0.04881903,0.4546555,0.2368737
10102,0.05015597,0.4508162,0.2357508
10103,0.05143211,0.4463278,0.2343663
10104,0.05209842,0.4454722,0.2336928
10105,0.05324725,0.4431874,0.232873
10106,0.05416133,0.4449835,0.2340175
10107,0.05521073,0.4447097,0.2343585
10108,0.05654369,0.4475383,0.2359606
10109,0.05812488,0.4501442,0.2371118
10110,0.05943143,0.4523607,0.2381964
10111,0.06093637,0.4559129,0.2395409
10112,0.06224384,0.4603004,0.2411337
10113,0.06325629,0.4657277,0.2432728
10114,0.06429517,0.4707295,0.2456112
10115,0.06551791,0.4755581,0.2478474
10116,0.06663008,0.4805353,0.2501018
10117,0.06773933,0.4841573,0.2530601
10118,0.06890634,0.4886799,0.255486
10119,0.07005223,0.4890869,0.2571848
10120,0.07118659,0.4922905,0.2593873
10121,0.07202151,0.4914959,0.2607218
10122,0.07281271,0.4904063,0.2620014
10123,0.07375117,0.4909712,0.2636646
