frame,x,y,z
15001,0.2572846,0.8033517,0.2692406
15002,0.2587566,0.8006736,0.2687274
15003,0.2600872,0.7982551,0.2683592
15004,0.2613584,0.795895,0.2681242
15005,0.2627251,0.7935634,0.2677243
15006,0.2638859,0.7914366,0.2678346
15007,0.2651297,0.7894555,0.2678243
15008,0.2663684,0.7873815,0.2677172
15009,0.2667541,0.7868802,0.267972
15010,0.2676235,0.7855749,0.2680218
15011,0.26807,0.7851329,0.2682409
15012,0.2686139,0.7846972,0.2684647
15013,0.2691653,0.7840173,0.2686504
15014,0.2691601,0.7850147,0.2691418
15015,0.2695077,0.7850508,0.2694523
15016,0.2695259,0.7863818,0.2699314
15017,0.2697051,0.7869912,0.270365
15018,0.2692389,0.7893103,0.2707431
15019,0.2690529,0.7911461,0.2711591
15020,0.2688898,0.7928839,0.2716247
15021,0.2679412,0.7958536,0.2723519
15022,0.2674941,0.7980907,0.2729386
15023,0.2667228,0.8012053,0.2737612
15024,0.2659089,0.8041265,0.2745267
15025,0.2652213,0.8069209,0.2752547
15026,0.2631256,0.8115683,0.2762297
15027,0.2619452,0.8151194,0.2770815
15028,0.2600835,0.8189359,0.2779552
15029,0.2585258,0.822624,0.2788551
15030,0.2568054,0.8259196,0.280048
15031,0.2550126,0.8292839,0.2810157
15032,0.253236,0.8323718,0.2827045
15033,0.2512215,0.8355216,0.2838793
15034,0.2492319,0.838683,0.2851989
15035,0.2468283,0.8412204,0.2868177
15036,0.2447085,0.8437437,0.2883434
15037,0.2424263,0.8459854,0.2898493
15038,0.2400541,0.8478976,0.2913842
15039,0.237782,0.8501321,0.2929341
15040,0.2353423,0.8510927,0.2944469
15041,0.23287,0.8524252,0.2959546
15042,0.2304361,0.8538303,0.2974966
15043,0.2275465,0.8532026,0.2991551
15044,0.224946,0.8538705,0.3007037
15045,0.2224788,0.8529224,0.3023229
15046,0.2199446,0.8528184,0.3038617
15047,0.2177271,0.8512921,0.305496
15048,0.2152349,0.850363,0.3070027
15049,0.2128318,0.8487505,0.3085695
15050,0.2105708,0.8470129,0.3103207
15051,0.208238,0.8453407,0.3120234
15052,0.2063052,0.8425522,0.3140967
15053,0.20432,0.8404958,0.3159351
15054,0.202231,0.8384159,0.3177371
15055,0.2008,0.8357922,0.3197555
15056,0.1991048,0.8334899,0.321619
15057,0.1976614,0.8309567,0.3233717
15058,0.1961745,0.828616,0.3251055
15059,0.194899,0.8257639,0.3268249
15060,0.1939696,0.8225508,0.3285784
15061,0.1928529,0.8196924,0.3303313
15062,0.1924202,0.8166539,0.3319189
15063,0.1915593,0.813653,0.3336238
15064,0.1908943,0.8108755,0.3352178
15065,0.1906489,0.8077937,0.3364162
15066,0.1901778,0.8047001,0.3377891
15067,0.1896643,0.8018528,0.338997
15068,0.1892134,0.7989047,0.3403256
15069,0.1887742,0.7958669,0.3412525
15070,0.1885623,0.7928115,0.3422593
15071,0.1885435,0.7902896,0.3431903
15072,0.1884639,0.7881566,0.3440913
15073,0.1883596,0.7856355,0.345044
15074,0.188382,0.7842399,0.3453336
15075,0.1884465,0.7825938,0.3458881
15076,0.1887471,0.7815252,0.3461777
15077,0.1890611,0.7805142,0.3465094
15078,0.1893671,0.7805448,0.3465135
15079,0.1896545,0.7809147,0.3465134
15080,0.18996,0.7813095,0.3464278
15081,0.1902797,0.781671,0.346444
15082,0.19079,0.7843201,0.3457375
15083,0.1912449,0.7856223,0.3454099
15084,0.1918705,0.7883869,0.3450835
15085,0.1923572,0.7908812,0.3444732
15086,0.1924331,0.7942561,0.343312
15087,0.1929032,0.7974156,0.3423474
15088,0.1932283,0.800338,0.3415499
15089,0.1937169,0.804517,0.3402481
15090,0.1942604,0.80813,0.3391923
15091,0.1946588,0.8115149,0.3379978
15092,0.1950867,0.8150989,0.3368191
15093,0.1954183,0.8186526,0.3351654
15094,0.1955842,0.8222662,0.3335251
15095,0.1959328,0.8258159,0.3319353
15096,0.1960465,0.8282412,0.330198
15097,0.196313,0.8306325,0.3285457
15098,0.1966236,0.8334827,0.326907
15099,0.1969463,0.8350816,0.3253031
15100,0.1972695,0.8372359,0.3236702
15101,0.1976909,0.8386729,0.3222088
15102,0.1982347,0.8398571,0.320714
15103,0.1986957,0.8413072,0.3192465
15104,0.1997013,0.8415484,0.3177268
15105,0.2003577,0.8425564,0.3162327
15106,0.2010857,0.8428314,0.3146653
15107,0.201874,0.8434066,0.3130616
15108,0.2024921,0.8434626,0.311366
15109,0.2031962,0.8436571,0.3096844
15110,0.2038702,0.8431952,0.3079156
15111,0.2049125,0.8421205,0.306267
15112,0.2057635,0.8412682,0.3045869
15113,0.2068914,0.8394255,0.3031123
15114,0.2079134,0.8374144,0.3016321
15115,0.208923,0.8357263,0.3000689
15116,0.2100862,0.8328011,0.29883
15117,0.2111401,0.8305783,0.2973931
15118,0.2122156,0.8278986,0.2960977
15119,0.2133009,0.8254329,0.2948638
15120,0.2143744,0.8228237,0.2935205
15121,0.2161288,0.8190724,0.2928857
15122,0.2174048,0.8161771,0.2917967
15123,0.2187434,0.8133971,0.2912417
15124,0.2199878,0.8104445,0.2904458
15125,0.2214871,0.8075104,0.2901309
15126,0.2242644,0.801508,0.2891808
15127,0.2255749,0.7984631,0.2890664
15128,0.2269347,0.7955139,0.2889113
15129,0.228338,0.7925346,0.2887431
15130,0.2297875,0.7900804,0.2894092
15131,0.2312279,0.7878292,0.2898683
15132,0.2325308,0.7857216,0.2903019
15133,0.2338505,0.7835424,0.2908476
15134,0.2352211,0.7813644,0.2913187
15135,0.2364183,0.7809464,0.2919767
15136,0.2376658,0.7794977,0.2926069
15137,0.2381577,0.7796238,0.2928482
15138,0.2390279,0.7790025,0.2934686
15139,0.239722,0.7788733,0.2939072
15140,0.240343,0.7787544,0.2945659
15141,0.2409195,0.7791566,0.2952911
15142,0.2413494,0.7795644,0.2958872
15143,0.2415586,0.7807838,0.2963869
15144,0.2415388,0.7823268,0.2969085
15145,0.2413916,0.7840216,0.2975002
15146,0.2414593,0.7854232,0.2981054
15147,0.2410327,0.7886908,0.2992963
15148,0.2408526,0.7909413,0.3001264
15149,0.2400506,0.7947303,0.3011695
15150,0.239497,0.797844,0.3020399
15151,0.2388469,0.8009574,0.3029182
15152,0.2368565,0.8058752,0.3036566
