frame,x,y,z
10001,0.1966618,0.7786083,0.2292027
10002,0.1989221,0.7727727,0.229117
10003,0.2018666,0.77035,0.2333029
10004,0.2042363,0.7659093,0.23486
10005,0.2057747,0.7661451,0.238313
10006,0.2074057,0.7641982,0.2408443
10007,0.2090154,0.7625523,0.2435856
10008,0.2082577,0.7676813,0.2480751
10009,0.2087886,0.7702507,0.2523691
10010,0.2092954,0.7724209,0.2566001
10011,0.2092785,0.7762724,0.2613369
10012,0.2089119,0.7802225,0.2658883
10013,0.2083893,0.7845844,0.2703325
10014,0.2059877,0.7946014,0.2784993
10015,0.2048584,0.799579,0.2826284
10016,0.2022211,0.8044178,0.2861663
10017,0.2002916,0.8092743,0.2900277
10018,0.1980256,0.813636,0.2935835
10019,0.1955607,0.8180659,0.2970017
10020,0.192265,0.8227608,0.2997229
10021,0.1887146,0.8267313,0.3025167
10022,0.1856228,0.8308578,0.305505
10023,0.1826146,0.8328447,0.3083343
10024,0.1795444,0.8358702,0.3112347
10025,0.177362,0.8350889,0.3143762
10026,0.1749005,0.8340106,0.3175198
10027,0.172203,0.8344019,0.3205138
10028,0.1702546,0.829795,0.3238544
10029,0.1679469,0.8273229,0.3270568
10030,0.1656689,0.8248645,0.3301682
10031,0.1639197,0.8173569,0.3331889
10032,0.1617927,0.8130283,0.3362176
10033,0.1590628,0.8063876,0.3383548
10034,0.1568845,0.8001794,0.340863
10035,0.1559915,0.793042,0.3434857
10036,0.1550945,0.7864853,0.3459519
10037,0.1557496,0.7805065,0.3481568
10038,0.1560504,0.7747728,0.350138
10039,0.1570567,0.772115,0.3507658
10040,0.1580024,0.7710578,0.3504444
10041,0.1606607,0.7685121,0.3496674
10042,0.1630355,0.7704165,0.3481126
10043,0.1649818,0.7709027,0.3470375
10044,0.1681114,0.7751675,0.3441871
10045,0.1709211,0.7782673,0.3418631
10046,0.1740464,0.7828063,0.3383956
10047,0.1771733,0.7878829,0.3350141
10048,0.1801562,0.7924111,0.3320172
10049,0.1824409,0.7981118,0.3277016
10050,0.1849906,0.8034885,0.3237681
10051,0.1876516,0.8088918,0.3198991
10052,0.1885778,0.8131849,0.3144447
10053,0.1905861,0.8181987,0.3099161
10054,0.1925607,0.8232414,0.3053293
10055,0.1919226,0.8261949,0.2996457
10056,0.1930355,0.8303396,0.2947814
10057,0.1931211,0.8320351,0.2896557
10058,0.1936902,0.8339251,0.2845939
10059,0.1945549,0.8332026,0.279713
10060,0.195375,0.8332356,0.2748624
10061,0.196638,0.8303625,0.2705245
10062,0.1974658,0.8280234,0.2657169
