frame,x,y,z
5001,0.1859863,0.7864908,0.3357039
5002,0.1867784,0.7884929,0.3348154
5003,0.187319,0.7919238,0.3330829
5004,0.1881996,0.794683,0.3316503
5005,0.1889976,0.7973001,0.3303376
5006,0.1894479,0.8021497,0.3275351
5007,0.1901278,0.8056118,0.3256515
5008,0.1905644,0.8100637,0.3227389
5009,0.1909977,0.8140082,0.3199733
5010,0.1914241,0.8177971,0.3167653
5011,0.1918424,0.8217,0.3135469
5012,0.1923268,0.8248398,0.3098472
5013,0.1936134,0.8306203,0.3030668
5014,0.1943043,0.8335379,0.2996332
5015,0.1949875,0.8344427,0.295622
5016,0.1962816,0.8380063,0.2880848
5017,0.1973921,0.8350331,0.2843996
5018,0.1986584,0.8332763,0.2810608
5019,0.1999119,0.8308237,0.2778002
5020,0.2009463,0.829047,0.2743461
5021,0.2017118,0.8256602,0.2713161
5022,0.2027166,0.8226187,0.2680715
5023,0.2041693,0.8185945,0.2652632
5024,0.2054572,0.8146451,0.2622295
5025,0.2069234,0.8106335,0.2597523
5026,0.2083552,0.8063707,0.2573907
5027,0.2097106,0.8022217,0.254623
5028,0.2113005,0.7978951,0.2529075
5029,0.2127272,0.7938893,0.250909
5030,0.2141966,0.7903969,0.2494261
5031,0.2154727,0.7874388,0.2482704
5032,0.2167868,0.7842435,0.2471309
5033,0.2176473,0.782581,0.2466291
5034,0.2187133,0.7801057,0.2458321
5035,0.2197252,0.7781786,0.2459277
5036,0.2207893,0.7766201,0.2459331
5037,0.2215336,0.7760702,0.2464179
5038,0.2222786,0.7753466,0.2471469
5039,0.2229964,0.7748409,0.2478814
5040,0.2231472,0.7758988,0.2492012
5041,0.2234988,0.7763839,0.250257
5042,0.2231368,0.7786192,0.2513483
5043,0.2225685,0.7809635,0.2522136
5044,0.2221656,0.7830646,0.2532709
5045,0.2207222,0.7873537,0.254245
5046,0.2195541,0.7911373,0.2554057
5047,0.2173954,0.7965704,0.2565954
5048,0.2138831,0.8060488,0.2590317
5049,0.2108767,0.8114638,0.260192
5050,0.2081327,0.8164666,0.2613959
5051,0.2055307,0.8216671,0.2626042
5052,0.203451,0.824659,0.2645954
5053,0.2010683,0.8289974,0.2661647
5054,0.1995883,0.8318301,0.2685974
5055,0.1974115,0.8349897,0.2707054
5056,0.1952753,0.837845,0.2729415
5057,0.1932017,0.8403725,0.2752331
5058,0.191373,0.8418933,0.2777171
5059,0.1893442,0.8426541,0.2805695
5060,0.1873845,0.8438854,0.2831747
5061,0.1851952,0.8430343,0.2863411
5062,0.1831304,0.8414374,0.2892599
5063,0.181108,0.8407223,0.2921239
5064,0.1793244,0.8358062,0.2956982
5065,0.1775133,0.8328567,0.2988708
5066,0.1757763,0.8288839,0.3019537
5067,0.1736037,0.8254447,0.3049577
5068,0.1716048,0.8217867,0.3080084
5069,0.169832,0.8170801,0.3114095
5070,0.1681205,0.812912,0.3143788
5071,0.1665963,0.8087411,0.317147
5072,0.1648511,0.804401,0.3200561
5073,0.1640295,0.800558,0.3222135
5074,0.1632686,0.7969612,0.3242595
5075,0.1622384,0.7931223,0.3265473
5076,0.1619745,0.7902427,0.3280059
5077,0.1624689,0.7884338,0.3291878
5078,0.1622205,0.785604,0.3308039
5079,0.1632192,0.7855733,0.331338
5080,0.1636976,0.7851491,0.331942
5081,0.1641128,0.7843212,0.3326207
5082,0.1655891,0.7862155,0.3316436
5083,0.166548,0.7868636,0.3314709
5084,0.1672702,0.7890498,0.330444
5085,0.1680344,0.7908369,0.3293482
5086,0.1690138,0.7930321,0.3278456
5087,0.1701579,0.7955711,0.3262897
5088,0.1711743,0.7979548,0.3248135
5089,0.172298,0.8015681,0.3229578
5090,0.173355,0.8049364,0.3209299
5091,0.1741177,0.8091778,0.3184526
5092,0.1749448,0.8131339,0.3157978
5093,0.1757332,0.817233,0.3129708
5094,0.1764038,0.8214598,0.3096702
5095,0.1772106,0.8255387,0.306491
5096,0.1780539,0.8296279,0.3035768
5097,0.1787197,0.8325619,0.2996593
5098,0.1795316,0.8362721,0.2964366
5099,0.1804127,0.8385003,0.2929049
5100,0.1813324,0.8411289,0.2893832
5101,0.1821568,0.8435596,0.2858497
5102,0.1832583,0.8424157,0.2820731
5103,0.1844054,0.8424347,0.2784725
5104,0.185437,0.8419206,0.2747529
5105,0.1864293,0.8409199,0.271039
5106,0.1875877,0.8381695,0.2674055
5107,0.1887343,0.8351473,0.2639054
5108,0.1898198,0.8329828,0.2602797
5109,0.1911307,0.8273127,0.2566031
5110,0.1922852,0.8234757,0.2529267
5111,0.1932063,0.8177803,0.2490347
5112,0.1942355,0.8131396,0.2452571
5113,0.1951385,0.8076943,0.2418653
5114,0.1959285,0.8024908,0.2391132
5115,0.1968047,0.7975211,0.2367407
5116,0.1975053,0.7931937,0.2347838
5117,0.1981998,0.7887304,0.2326277
5118,0.1987206,0.7854268,0.2315652
5119,0.1993768,0.7821401,0.2304418
