frame,x,y,z
1001,0.3271257,-0.2419001,0.4140888
1002,0.3054866,-0.2439733,0.4150864
1003,0.2847168,-0.2449348,0.4164815
1004,0.2634288,-0.2459726,0.4179031
1005,0.2421907,-0.2469768,0.4193349
1006,0.220963,-0.2484711,0.4206025
1007,0.2007354,-0.2504005,0.4218742
1008,0.1810095,-0.2510393,0.4233845
1009,0.1607131,-0.2519119,0.4250673
1010,0.1404816,-0.2528952,0.4266406
1011,0.1221896,-0.2546552,0.4283189
1012,0.1046261,-0.2567915,0.4295236
1013,0.08752649,-0.2581553,0.4306837
1014,0.0709013,-0.259109,0.4316865
1015,0.05603492,-0.2595012,0.4320901
1016,0.04164213,-0.2602258,0.432846
1017,0.02805267,-0.2613715,0.4335058
1018,0.01542512,-0.2610669,0.4343787
1019,0.002400571,-0.2610354,0.4353379
1020,-0.01059714,-0.2612151,0.4361493
1021,-0.02009328,-0.262445,0.4362921
1022,-0.02618315,-0.2642181,0.4360757
1023,-0.03503471,-0.2651551,0.4363168
1024,-0.03725092,-0.2637878,0.4360702
1025,-0.04378112,-0.263998,0.4362381
1026,-0.04488188,-0.263606,0.4358221
1027,-0.04603091,-0.2632557,0.4355428
1028,-0.0487639,-0.2630782,0.4353821
1029,-0.04102226,-0.2608304,0.4348744
1030,-0.03892174,-0.2596188,0.4344836
1031,-0.0296451,-0.2578738,0.4333319
1032,-0.02453236,-0.2565269,0.4326543
1033,-0.01014363,-0.2551904,0.4315453
1034,0.003443203,-0.2528546,0.4304239
1035,0.0151981,-0.2511071,0.4293054
1036,0.0346076,-0.247542,0.4263912
1037,0.05044558,-0.2451943,0.4248045
1038,0.07091369,-0.2434971,0.4243307
1039,0.08950199,-0.2419062,0.4231007
1040,0.1101943,-0.240259,0.4210131
1041,0.1327752,-0.23703,0.4191864
1042,0.1544866,-0.234758,0.417598
1043,0.1769287,-0.2311855,0.4174773
1044,0.1999069,-0.2275281,0.4163733
1045,0.2234394,-0.2241726,0.415192
1046,0.2549025,-0.2221071,0.412107
1047,0.2827809,-0.2204294,0.4105475
1048,0.308779,-0.2160137,0.4090671
1049,0.3351538,-0.2115042,0.4072792
1050,0.3617838,-0.2076001,0.4055362
1051,0.3897043,-0.2060752,0.4028694
1052,0.4172351,-0.2031727,0.4009364
1053,0.4456098,-0.2028696,0.3996404
1054,0.4730347,-0.2007553,0.3973169
1055,0.4999398,-0.2005985,0.3927702
1056,0.5523553,-0.2008685,0.3896408
1057,0.601058,-0.2056411,0.3857604
1058,0.6470143,-0.2134995,0.3812702
1059,0.6700175,-0.2174156,0.3791317
1060,0.685886,-0.2247088,0.3776169
1061,0.701153,-0.2320446,0.3758481
1062,0.7163361,-0.2378739,0.3740785
1063,0.7314174,-0.2433298,0.3725732
1064,0.7414613,-0.2450722,0.3723958
1065,0.7498254,-0.2462463,0.3728011
1066,0.7570806,-0.2461862,0.372195
1067,0.7632936,-0.2467579,0.371178
1068,0.7683356,-0.2471925,0.3702547
1069,0.7736303,-0.2474053,0.3696281
1070,0.7666371,-0.244155,0.3718358
1071,0.7674084,-0.2431154,0.3721555
1072,0.7672937,-0.2453465,0.371569
1073,0.7682121,-0.2482604,0.3707716
1074,0.7682389,-0.2494676,0.3704037
1075,0.7675089,-0.2497487,0.371497
1076,0.7657211,-0.2500711,0.3720024
1077,0.7623691,-0.2494624,0.3735089
1078,0.7597595,-0.2499674,0.3744753
1079,0.7563964,-0.2479406,0.3757649
1080,0.7496721,-0.2468693,0.3776366
1081,0.743884,-0.2456814,0.3791059
1082,0.7309607,-0.2445693,0.3793934
1083,0.7210217,-0.2440458,0.380121
1084,0.711894,-0.2432422,0.3810804
1085,0.6988701,-0.2439584,0.3837406
1086,0.6875098,-0.2436399,0.3852864
1087,0.6742132,-0.2439472,0.3865722
1088,0.6610283,-0.2435462,0.3880385
1089,0.6453472,-0.2416193,0.3900684
1090,0.629005,-0.2397625,0.3926625
1091,0.6140249,-0.2385898,0.3946702
1092,0.5977408,-0.2382088,0.3974117
1093,0.5819606,-0.2373829,0.3997501
1094,0.5650651,-0.2368923,0.4017493
1095,0.5480868,-0.2366524,0.4035868
1096,0.5309753,-0.2362197,0.4051143
1097,0.5134286,-0.2361074,0.4064887
1098,0.4959507,-0.2358658,0.4080089
1099,0.4781594,-0.235941,0.4094714
1100,0.4600908,-0.2358533,0.4109735
1101,0.4419946,-0.2357953,0.4124942
1102,0.4221987,-0.236124,0.414455
1103,0.4033618,-0.2363817,0.4161797
1104,0.3845043,-0.2376319,0.4177628
1105,0.3656459,-0.238289,0.4193749
1106,0.3467608,-0.2388817,0.4209356
1107,0.3257406,-0.239249,0.4224732
1108,0.3057126,-0.239766,0.4240065
1109,0.2858779,-0.240281,0.425567
1110,0.2657764,-0.2412962,0.4267447
1111,0.2452538,-0.2419798,0.4286076
1112,0.2247191,-0.2432128,0.4300235
1113,0.2045584,-0.2447169,0.4314127
1114,0.1842953,-0.2460669,0.4330526
1115,0.1639552,-0.2470877,0.4347548
1116,0.143545,-0.248267,0.436339
1117,0.1238439,-0.2498631,0.4374907
1118,0.1042264,-0.251468,0.438904
1119,0.08668698,-0.2530082,0.4402774
1120,0.06931084,-0.2544704,0.4416052
1121,0.05319408,-0.2557923,0.4428602
1122,0.03769309,-0.2574086,0.4436457
1123,0.02198593,-0.2590172,0.4445724
1124,0.008033603,-0.2606702,0.4449857
1125,-0.005330899,-0.2619416,0.4457742
1126,-0.01935081,-0.2633913,0.4465625
1127,-0.02746067,-0.2645434,0.4470263
1128,-0.03871742,-0.2660915,0.4474363
1129,-0.04403328,-0.267288,0.4467843
1130,-0.056803,-0.268636,0.4465764
1131,-0.05992804,-0.267641,0.4462014
1132,-0.06468318,-0.2675664,0.4459035
1133,-0.06459026,-0.2668113,0.4445558
1134,-0.06493469,-0.2659834,0.4437852
1135,-0.06571914,-0.2652094,0.4430321
1136,-0.05632384,-0.2637444,0.4412826
1137,-0.05288227,-0.2626196,0.4400306
1138,-0.04012817,-0.2602961,0.4370015
1139,-0.03101511,-0.2584446,0.434965
1140,-0.02187981,-0.2565905,0.432927
1141,-0.001411088,-0.2525151,0.430793
1142,0.01244918,-0.2498494,0.4286724
1143,0.03402422,-0.2472616,0.4260371
1144,0.06940793,-0.2416906,0.4213468
1145,0.09360998,-0.2395944,0.419488
1146,0.1141151,-0.2373235,0.4178789
1147,0.1359537,-0.2335408,0.4160804
1148,0.1575985,-0.2301455,0.4145417
1149,0.1797553,-0.2267238,0.4131092
1150,0.2320763,-0.2241062,0.4091787
1151,0.2856212,-0.2212773,0.4050867
1152,0.3127237,-0.2198683,0.4029984
1153,0.336872,-0.2111597,0.4014882
1154,0.363308,-0.2075254,0.3995527
1155,0.3889977,-0.2030155,0.3976232
1156,0.4158447,-0.2037935,0.3960207
1157,0.4430202,-0.2014751,0.3942783
1158,0.4698203,-0.2027225,0.3889769
1159,0.4966801,-0.2017387,0.3859695
1160,0.5213519,-0.2026805,0.3845601
1161,0.5460434,-0.2042434,0.3822601
1162,0.5715721,-0.2048666,0.3798168
1163,0.5945176,-0.2120446,0.3750639
1164,0.6178021,-0.2152566,0.3723606
1165,0.6324382,-0.2192082,0.3736199
1166,0.6520762,-0.2232513,0.3722486
1167,0.667647,-0.2305164,0.3698355
1168,0.6836563,-0.2359987,0.3683554
1169,0.7000559,-0.2416188,0.367011
1170,0.7090404,-0.2442407,0.3698478
1171,0.7177997,-0.2477155,0.3716149
1172,0.7292635,-0.2522652,0.372062
1173,0.7376075,-0.2530819,0.3688067
1174,0.7474369,-0.255907,0.3684856
1175,0.7407753,-0.2524929,0.3728124
1176,0.7407382,-0.2525765,0.3735232
1177,0.7409392,-0.2531924,0.370684
1178,0.7414991,-0.2546976,0.3691183
1179,0.7414188,-0.2551525,0.3682949
1180,0.7399864,-0.2553944,0.3713876
1181,0.7391461,-0.2557704,0.3720257
1182,0.7377615,-0.2563696,0.3748809
1183,0.7365606,-0.2562943,0.3761249
1184,0.7345428,-0.2548805,0.377328
1185,0.7315804,-0.252612,0.3781037
1186,0.7268205,-0.251072,0.3805561
1187,0.7161065,-0.2467042,0.3828338
1188,0.7064368,-0.2441147,0.3849069
1189,0.6967947,-0.2420406,0.3865886
1190,0.687034,-0.2442741,0.3875664
1191,0.6773848,-0.2436632,0.3891275
1192,0.6654298,-0.2429967,0.3921973
1193,0.654044,-0.241698,0.394468
1194,0.6427561,-0.2407169,0.396625
1195,0.6239809,-0.2376538,0.3980775
1196,0.6098687,-0.2359244,0.3999087
1197,0.594699,-0.2359513,0.4011715
1198,0.5796208,-0.2364785,0.4028801
1199,0.5641387,-0.2365091,0.4044584
1200,0.5485877,-0.2363026,0.4060022
1201,0.5315224,-0.2365103,0.4075041
1202,0.5138904,-0.2369951,0.4091086
1203,0.4961838,-0.236933,0.4106479
1204,0.4765102,-0.2368948,0.4125261
1205,0.4576578,-0.2379291,0.4140611
1206,0.4393717,-0.238728,0.4154502
1207,0.4203732,-0.2397411,0.4168558
1208,0.4012117,-0.2405794,0.4182196
1209,0.3794778,-0.2408233,0.4194922
1210,0.3588138,-0.2416623,0.4206434
1211,0.3380767,-0.2428776,0.4214513
1212,0.3174786,-0.2439688,0.4225575
1213,0.2964372,-0.2453816,0.423479
1214,0.2741956,-0.2461876,0.4247653
1215,0.2522189,-0.2470925,0.4259397
1216,0.2304623,-0.2481381,0.4270446
1217,0.2091731,-0.2513495,0.4281788
1218,0.1879437,-0.2532453,0.4291516
1219,0.1678735,-0.2542818,0.4306037
1220,0.1455696,-0.2553899,0.4319984
1221,0.1245183,-0.2577282,0.4329379
1222,0.08289986,-0.2612468,0.4353088
1223,0.06524348,-0.2631494,0.4359587
1224,0.04610943,-0.2648107,0.4369212
1225,0.02794064,-0.2665511,0.4382458
1226,0.0112423,-0.2682764,0.4396006
1227,-0.005963335,-0.2700226,0.4408547
1228,-0.01769522,-0.2720691,0.4416215
1229,-0.03160397,-0.2736857,0.4425533
1230,-0.04288294,-0.2748933,0.4435435
1231,-0.05522714,-0.2763736,0.4444702
1232,-0.06447744,-0.2770306,0.4445863
1233,-0.07216216,-0.2786632,0.4449158
1234,-0.08128098,-0.279998,0.4454756
1235,-0.08456114,-0.2797902,0.4462866
1236,-0.08947533,-0.2795988,0.4469002
1237,-0.09489944,-0.2798695,0.447433
1238,-0.09467971,-0.2781715,0.4467922
1239,-0.09681681,-0.2778583,0.4466705
1240,-0.0896989,-0.2755689,0.446557
1241,-0.08779275,-0.274586,0.4464344
1242,-0.07696807,-0.2730089,0.4446944
1243,-0.06930516,-0.271782,0.4438303
1244,-0.06263372,-0.2705374,0.4430155
1245,-0.04245737,-0.2668502,0.4427159
1246,-0.03007864,-0.2645425,0.4419865
1247,-0.01124521,-0.2611629,0.4405292
1248,0.009857385,-0.2579087,0.4392459
1249,0.02821703,-0.2549778,0.4379973
1250,0.05353916,-0.2503366,0.4367622
1251,0.07488021,-0.2464209,0.4357383
1252,0.09683935,-0.2421955,0.4341065
1253,0.1195768,-0.2379604,0.4326184
1254,0.1422751,-0.2338388,0.4312114
1255,0.1672965,-0.2313689,0.42885
1256,0.1920888,-0.2275708,0.426843
1257,0.2178135,-0.2242844,0.4248808
1258,0.2527785,-0.2249575,0.4255217
1259,0.2799149,-0.220113,0.4247592
1260,0.3061742,-0.2139631,0.4230965
1261,0.333692,-0.2095567,0.4217993
1262,0.3595736,-0.2068109,0.4193392
1263,0.3867993,-0.2029025,0.4184045
1264,0.4130158,-0.2012166,0.4173082
1265,0.4404064,-0.200988,0.4141864
1266,0.4949557,-0.2004185,0.4099713
1267,0.5215961,-0.2007785,0.4087515
1268,0.5473562,-0.2012367,0.4064918
1269,0.5725605,-0.2021558,0.4030226
1270,0.5947643,-0.2052994,0.398415
1271,0.6160839,-0.2084967,0.3967085
1272,0.6376787,-0.2122217,0.3949179
1273,0.655367,-0.2215896,0.3937934
1274,0.6743852,-0.2283618,0.3915633
1275,0.6905866,-0.2348449,0.3900846
1276,0.7040772,-0.2380391,0.389763
1277,0.7170845,-0.2415038,0.3893761
1278,0.7302678,-0.2454614,0.3889627
1279,0.7333998,-0.2433241,0.3882116
1280,0.7403269,-0.2434206,0.3892738
1281,0.7437337,-0.2423955,0.3906805
1282,0.7426419,-0.2408141,0.3909566
1283,0.7415257,-0.2403022,0.3886681
1284,0.7427946,-0.2412126,0.3874308
1285,0.7434272,-0.2411363,0.3865874
1286,0.7442783,-0.2452513,0.3916446
1287,0.743947,-0.2463821,0.39339
1288,0.7414429,-0.2507581,0.3964105
1289,0.7398526,-0.251952,0.3982665
1290,0.7383713,-0.2538726,0.4004201
1291,0.7326612,-0.2493654,0.4031297
1292,0.7295755,-0.2492678,0.4057788
1293,0.7198883,-0.2459054,0.405298
1294,0.712833,-0.2452814,0.4065917
1295,0.7037525,-0.2454855,0.4061582
1296,0.695429,-0.2453845,0.4068198
1297,0.6844481,-0.245158,0.4088511
1298,0.6724496,-0.2437969,0.4107492
1299,0.6581965,-0.2426165,0.4122718
1300,0.64559,-0.2413075,0.4135388
1301,0.6304402,-0.2379512,0.4136084
1302,0.615309,-0.236506,0.4138561
1303,0.5844807,-0.2344915,0.4151917
1304,0.56831,-0.2335009,0.4159748
1305,0.5521944,-0.2326558,0.4166742
1306,0.5349967,-0.2325003,0.4176637
1307,0.5173588,-0.2328865,0.4187508
1308,0.5001402,-0.2326,0.4195951
1309,0.4812351,-0.2330149,0.419861
1310,0.4634621,-0.2329601,0.4203857
1311,0.445228,-0.2328127,0.4207105
1312,0.4260095,-0.2323557,0.4209861
1313,0.4065393,-0.2321467,0.4213126
1314,0.3876225,-0.2334436,0.4214366
1315,0.3690305,-0.2351357,0.4218006
1316,0.3506171,-0.2358476,0.4221418
1317,0.3318886,-0.2358289,0.4225937
1318,0.3130901,-0.2362337,0.4229417
1319,0.2909564,-0.2352644,0.4230691
1320,0.2711116,-0.2353079,0.4233365
1321,0.2507718,-0.236033,0.4239538
1322,0.230938,-0.2369971,0.4245856
1323,0.2108358,-0.237609,0.4251451
1324,0.1894692,-0.237336,0.4254102
1325,0.1688885,-0.238075,0.4264385
1326,0.1490693,-0.2392909,0.4271798
1327,0.1290462,-0.2401462,0.4278438
1328,0.1097268,-0.2407288,0.4283385
1329,0.08991782,-0.2413451,0.4289374
1330,0.07117775,-0.2429078,0.4293763
1331,0.05426233,-0.2447492,0.4302447
1332,0.03650911,-0.2460895,0.4310007
1333,0.02128595,-0.2468232,0.4320443
1334,-0.01001301,-0.2501304,0.4332526
1335,-0.0222858,-0.2520103,0.4338704
1336,-0.03573694,-0.2537994,0.4345898
1337,-0.04756619,-0.2542512,0.4352246
1338,-0.05906428,-0.2553613,0.4352067
1339,-0.07478701,-0.2596014,0.435844
1340,-0.08036186,-0.2603073,0.4364634
1341,-0.08594143,-0.2605781,0.4371245
1342,-0.08828675,-0.2596852,0.4368405
1343,-0.09200839,-0.2590547,0.4367526
1344,-0.08891941,-0.2566996,0.436709
1345,-0.08444464,-0.254396,0.4357639
1346,-0.08089544,-0.2528279,0.4348267
1347,-0.07112078,-0.2518381,0.43258
1348,-0.06115758,-0.2501898,0.4315022
1349,-0.04758739,-0.2474151,0.4310612
1350,-0.03376774,-0.2445952,0.4304145
1351,-0.02150388,-0.2421852,0.4295231
1352,-0.003095933,-0.2395287,0.4273191
1353,0.01387143,-0.237068,0.4263269
1354,0.03091116,-0.23398,0.4255408
1355,0.0495741,-0.2299744,0.4249318
1356,0.06934691,-0.2268047,0.4235336
1357,0.08813757,-0.2235667,0.4224136
1358,0.1170064,-0.2245247,0.4215562
1359,0.1439421,-0.223283,0.4197017
1360,0.1961906,-0.2205955,0.4165518
1361,0.2255399,-0.2161,0.4147505
1362,0.2534248,-0.2136524,0.4130437
1363,0.2786266,-0.2063634,0.411361
1364,0.3064733,-0.2030016,0.4092167
1365,0.3345375,-0.1994089,0.4076017
1366,0.3613455,-0.1986637,0.406809
1367,0.3885032,-0.1962474,0.4051064
1368,0.4158143,-0.1939741,0.4034676
1369,0.4415844,-0.1955882,0.4009722
1370,0.466669,-0.1945331,0.3997585
1371,0.4905801,-0.1952321,0.3988536
1372,0.5146053,-0.1985465,0.3975599
1373,0.5412291,-0.2024472,0.396388
1374,0.5651155,-0.2056306,0.3968378
1375,0.5897139,-0.2086397,0.3963785
1376,0.6060816,-0.2123887,0.3988594
1377,0.6445263,-0.2188821,0.3980745
1378,0.6606946,-0.2241454,0.3981047
1379,0.6782993,-0.2282521,0.3984001
1380,0.6879928,-0.2300025,0.400398
1381,0.7113473,-0.2336609,0.4003697
1382,0.7174155,-0.234469,0.3999928
1383,0.7199509,-0.2337756,0.4022267
1384,0.7231813,-0.2358066,0.403737
1385,0.7280101,-0.2366288,0.4040391
1386,0.7314652,-0.2369206,0.4019864
1387,0.7333277,-0.2369738,0.4020889
1388,0.735525,-0.2369176,0.4022579
1389,0.7329874,-0.2362551,0.4053604
1390,0.7330785,-0.2370944,0.4063419
1391,0.733384,-0.2393491,0.4066968
1392,0.7338147,-0.2413972,0.4076842
1393,0.7318882,-0.2429464,0.4071087
1394,0.7272649,-0.2404354,0.4081339
1395,0.7196562,-0.2371017,0.4092871
1396,0.7101545,-0.2355902,0.409737
1397,0.701796,-0.2342982,0.4097659
1398,0.6940936,-0.233207,0.4100322
1399,0.6844952,-0.2339474,0.4113591
1400,0.6754147,-0.2330701,0.4121038
1401,0.6609339,-0.2331181,0.4124289
1402,0.648252,-0.2319298,0.412463
1403,0.6331757,-0.2296756,0.4120609
1404,0.6179275,-0.2286048,0.4121803
1405,0.6035064,-0.2286164,0.4124781
1406,0.5884988,-0.2286001,0.4128042
1407,0.5735081,-0.2281627,0.4130223
1408,0.5562876,-0.2291587,0.4132622
1409,0.5389565,-0.228738,0.4137104
1410,0.5207251,-0.2287244,0.4138925
1411,0.5019873,-0.2285903,0.4140928
1412,0.4835155,-0.2287609,0.414334
1413,0.4631016,-0.2298799,0.4147889
1414,0.4433644,-0.2303333,0.4149947
1415,0.4224255,-0.2309221,0.4149083
1416,0.4007537,-0.2309991,0.4151781
1417,0.3798475,-0.2313411,0.4153293
1418,0.3569884,-0.2337006,0.4159388
1419,0.3357052,-0.2355728,0.4162262
1420,0.3141253,-0.2370479,0.4165308
1421,0.2915224,-0.2376668,0.4173366
1422,0.2690236,-0.2387167,0.417739
1423,0.244315,-0.2396367,0.4181407
1424,0.221451,-0.2407308,0.4185537
1425,0.1989681,-0.2436785,0.4196937
1426,0.1780395,-0.2461199,0.4208978
1427,0.1560747,-0.2481868,0.4217544
1428,0.1335391,-0.2492369,0.4229354
1429,0.1113019,-0.2508017,0.4241232
1430,0.0891994,-0.2526273,0.4254105
1431,0.06988636,-0.25515,0.4270785
1432,0.0522679,-0.2576283,0.428261
1433,0.01490524,-0.2617264,0.4309385
1434,-0.01876293,-0.2648652,0.4333178
1435,-0.03575921,-0.2666686,0.4345436
1436,-0.04880422,-0.2683299,0.4351686
1437,-0.06292075,-0.2703928,0.4360401
1438,-0.07721748,-0.2722846,0.4368466
1439,-0.08628549,-0.274995,0.437443
1440,-0.0951959,-0.2767924,0.4379478
1441,-0.1030417,-0.2785282,0.4384089
1442,-0.1112332,-0.2801628,0.4388775
1443,-0.1196904,-0.2819909,0.4392228
1444,-0.1192749,-0.2803322,0.4388156
1445,-0.1215643,-0.2796839,0.4390665
1446,-0.122256,-0.2787663,0.4392236
1447,-0.1235188,-0.2780252,0.4393169
1448,-0.1192709,-0.2766389,0.4387183
1449,-0.113741,-0.2764232,0.4380933
1450,-0.1092673,-0.2755624,0.4377019
1451,-0.09322514,-0.2718961,0.437359
1452,-0.08439513,-0.2699601,0.4369428
1453,-0.07456008,-0.2677697,0.4363664
1454,-0.0522442,-0.2641414,0.4335789
1455,-0.01463161,-0.2580401,0.4325046
1456,0.004167872,-0.2546584,0.4317241
1457,0.02868798,-0.2477107,0.4310415
1458,0.07259798,-0.2385043,0.4297643
1459,0.1008863,-0.2364432,0.4303598
1460,0.1266429,-0.2333659,0.4297238
1461,0.1523705,-0.230187,0.4290029
1462,0.1832401,-0.2293972,0.4254767
1463,0.210941,-0.2257124,0.4244704
1464,0.2384397,-0.2184204,0.4243258
1465,0.2656595,-0.2127305,0.4238494
1466,0.2932745,-0.2074832,0.4231539
1467,0.32037,-0.2029623,0.4221058
1468,0.3482708,-0.1983771,0.4210589
1469,0.3754519,-0.1978141,0.4190535
1470,0.4033857,-0.1948289,0.4175638
1471,0.4307727,-0.1953228,0.4152996
1472,0.4580081,-0.1947623,0.4134583
1473,0.4842806,-0.1954822,0.4115121
1474,0.5105971,-0.1964471,0.4093001
1475,0.5358996,-0.1996691,0.406826
1476,0.5610878,-0.2033536,0.4054499
1477,0.586198,-0.206752,0.4038984
1478,0.6069235,-0.211746,0.4027076
1479,0.6255542,-0.2163691,0.4005755
1480,0.6463505,-0.2208043,0.3987288
1481,0.6614534,-0.2274323,0.3996228
1482,0.6789073,-0.23335,0.3994634
1483,0.6966245,-0.2391221,0.3991073
1484,0.7029664,-0.2396023,0.3990124
1485,0.7160396,-0.2433864,0.399
1486,0.7192456,-0.24182,0.4011641
1487,0.7269437,-0.2435414,0.4016073
1488,0.7293657,-0.2474318,0.3988574
1489,0.7348957,-0.2494328,0.398421
1490,0.7362266,-0.2515959,0.3989302
1491,0.7373191,-0.2505772,0.400413
1492,0.7391764,-0.2510728,0.4009649
1493,0.7374223,-0.247998,0.400047
1494,0.735699,-0.2469355,0.4005499
1495,0.7347353,-0.2463655,0.4010163
1496,0.7325181,-0.2493858,0.4042843
1497,0.7316018,-0.2501605,0.4055685
1498,0.7297986,-0.2513012,0.4062868
1499,0.7246943,-0.2506223,0.406716
1500,0.7200457,-0.2492248,0.4079172
1501,0.7078583,-0.2446248,0.408745
1502,0.6978303,-0.2439324,0.4089771
1503,0.6891406,-0.2427314,0.409714
1504,0.6772876,-0.2429669,0.4114856
1505,0.6670209,-0.2420774,0.4124749
1506,0.6561083,-0.241438,0.4138977
1507,0.6375486,-0.2402622,0.4157185
1508,0.6240607,-0.2394115,0.4168977
1509,0.6068092,-0.2378987,0.4169158
1510,0.5915181,-0.2368425,0.4177868
1511,0.573953,-0.2355487,0.4192936
1512,0.5574899,-0.2343983,0.420354
1513,0.5386122,-0.2340903,0.4214066
1514,0.5198424,-0.2336771,0.4224314
1515,0.5017263,-0.2332142,0.4234298
1516,0.4823719,-0.2336859,0.4244029
1517,0.4633834,-0.2341187,0.4254453
1518,0.443812,-0.2345196,0.4263516
1519,0.4241539,-0.2347115,0.4272945
1520,0.4030219,-0.2349578,0.4282258
1521,0.3821127,-0.235304,0.4291229
1522,0.3616095,-0.235717,0.4300724
1523,0.3409671,-0.2362791,0.4310193
1524,0.3184926,-0.237976,0.4315011
1525,0.2962781,-0.2389646,0.4326315
1526,0.2740364,-0.2400377,0.4340618
1527,0.2517412,-0.2413686,0.4352718
1528,0.2290864,-0.2437,0.4364856
1529,0.2066642,-0.2453168,0.4377461
1530,0.1843096,-0.2468621,0.4387011
1531,0.1621666,-0.2490704,0.4398733
1532,0.140526,-0.2508278,0.4411878
1533,0.1190632,-0.2530746,0.442531
1534,0.09743641,-0.2564081,0.4436273
