frame,x,y,z
5001,0.2162739,-0.2222222,0.4572214
5002,0.2041433,-0.222442,0.4576338
5003,0.1936913,-0.2230841,0.4582111
5004,0.182384,-0.2234302,0.4586261
5005,0.172097,-0.2232629,0.4588916
5006,0.1610956,-0.2233685,0.4592129
5007,0.1510365,-0.223489,0.4598843
5008,0.1406376,-0.2236666,0.4601883
5009,0.1311029,-0.224083,0.4605738
5010,0.1211656,-0.2243594,0.4610616
5011,0.1112973,-0.2246516,0.4615223
5012,0.1021758,-0.2250595,0.4618344
5013,0.09284648,-0.2252821,0.4621824
5014,0.0834605,-0.2255748,0.4625464
5015,0.07517227,-0.2258344,0.4626603
5016,0.06686362,-0.2260306,0.4626651
5017,0.05888093,-0.2257807,0.4627436
5018,0.0506408,-0.2258227,0.4628892
5019,0.04354431,-0.2259767,0.4627337
5020,0.03629005,-0.2261019,0.4627598
5021,0.02969262,-0.2262657,0.4629416
5022,0.02283604,-0.2262429,0.4630623
5023,0.0167204,-0.2261218,0.463154
5024,0.01082514,-0.2259518,0.4630821
5025,0.004888242,-0.2257609,0.4631299
5026,-9.706954e-05,-0.2258278,0.4630258
5027,-0.0049087,-0.2259451,0.4628315
5028,-0.00867199,-0.226324,0.4625432
5029,-0.01198129,-0.2263697,0.4623072
5030,-0.01584541,-0.2263898,0.4620776
5031,-0.01852126,-0.2259021,0.4617641
5032,-0.02133603,-0.2256097,0.4614461
5033,-0.02435485,-0.2254048,0.4611445
5034,-0.02454564,-0.2254372,0.4606349
5035,-0.0261336,-0.2253699,0.4602359
5036,-0.02573169,-0.2256285,0.4597151
5037,-0.02604871,-0.2257592,0.4593032
5038,-0.02477975,-0.2260984,0.4588595
5039,-0.02408396,-0.2262985,0.4584414
5040,-0.02149049,-0.2264775,0.4580096
5041,-0.01892011,-0.226484,0.4574946
5042,-0.01648917,-0.2265197,0.4570377
5043,-0.01403013,-0.2265176,0.4566016
5044,-0.008418273,-0.2241113,0.4562249
5045,-0.004673616,-0.2232266,0.4558384
5046,0.0007442356,-0.2220051,0.4554682
5047,0.005369676,-0.2211395,0.4550716
5048,0.01219478,-0.2213559,0.4547186
5049,0.01871435,-0.2211893,0.4543192
5050,0.02610435,-0.2212007,0.4540112
5051,0.03438968,-0.2216437,0.4535853
5052,0.04268651,-0.2215786,0.4531742
