frame,x,y,z
4001,0.9108385,-0.2301611,0.4112899
4002,0.9073558,-0.2293537,0.4114751
4003,0.9043399,-0.2293787,0.4117365
4004,0.896821,-0.2286033,0.4119185
4005,0.8919829,-0.2282994,0.4123357
4006,0.8865196,-0.2281531,0.4128793
4007,0.8780434,-0.2296849,0.4135379
4008,0.8713731,-0.2299206,0.4138761
4009,0.8624164,-0.229933,0.4136183
4010,0.8540834,-0.2300732,0.4139248
4011,0.8458363,-0.2302106,0.4140884
4012,0.8330182,-0.2299567,0.4153288
4013,0.8230946,-0.2299215,0.4158221
4014,0.811772,-0.2293439,0.4165573
4015,0.8004458,-0.230063,0.4171478
4016,0.7894974,-0.230336,0.4177516
4017,0.7774115,-0.2318916,0.4181488
4018,0.7659257,-0.2325421,0.4187541
4019,0.7519306,-0.2322718,0.4194387
4020,0.7393366,-0.232528,0.420063
4021,0.7251984,-0.2319575,0.4204421
4022,0.7116292,-0.2320733,0.4209028
4023,0.6980743,-0.2321589,0.4213685
4024,0.6835669,-0.2327262,0.4216723
4025,0.6544085,-0.2327038,0.4224589
4026,0.6248969,-0.2323196,0.4232648
4027,0.6098412,-0.232172,0.4237863
4028,0.594786,-0.2321375,0.4244295
4029,0.5791594,-0.2326853,0.4250993
4030,0.5636371,-0.2328145,0.4257085
4031,0.5477668,-0.2325081,0.426374
4032,0.5319285,-0.232346,0.4270885
4033,0.5157894,-0.2324844,0.4277549
4034,0.4838304,-0.2327087,0.4289232
4035,0.467821,-0.2328259,0.4295396
4036,0.4522043,-0.2331707,0.4293529
4037,0.4364323,-0.2334159,0.4296663
4038,0.4208417,-0.2340199,0.4298965
4039,0.4053678,-0.234532,0.430343
4040,0.3897367,-0.2350325,0.4307088
4041,0.3757968,-0.2361864,0.4315296
4042,0.3469823,-0.2376077,0.4326633
4043,0.3328915,-0.2383357,0.4332446
4044,0.3193133,-0.2390029,0.433999
4045,0.3058011,-0.2396814,0.4348371
4046,0.2925892,-0.2396929,0.4357275
4047,0.2793151,-0.2399666,0.4364497
4048,0.2665803,-0.2403122,0.4371573
4049,0.2537709,-0.2407354,0.4379171
4050,0.241951,-0.2412113,0.4386352
4051,0.2294403,-0.2414999,0.4394197
4052,0.2195504,-0.2421114,0.4406897
4053,0.2085021,-0.2424895,0.4416825
4054,0.198393,-0.2428275,0.4429085
4055,0.1880653,-0.243254,0.4438833
4056,0.1784673,-0.2435487,0.4447672
4057,0.1696798,-0.2442202,0.445612
4058,0.1602367,-0.2447022,0.4465367
4059,0.1510748,-0.2453017,0.4474095
4060,0.1458686,-0.2461264,0.4483834
4061,0.1381251,-0.2467008,0.4492098
4062,0.1331897,-0.2470115,0.4498621
4063,0.1274002,-0.2477699,0.4505522
4064,0.1244835,-0.2480431,0.4509234
4065,0.1175317,-0.2483276,0.4517559
4066,0.1157154,-0.2483487,0.45209
4067,0.1135852,-0.2484218,0.4523938
4068,0.1115373,-0.2485608,0.4526705
4069,0.1146129,-0.2486999,0.4527733
4070,0.1141783,-0.248767,0.4529633
4071,0.1188437,-0.2490691,0.4527868
4072,0.120804,-0.2492481,0.4527636
4073,0.1250741,-0.2493599,0.4527678
4074,0.1292726,-0.2492498,0.4528356
4075,0.133118,-0.2492754,0.4528796
4076,0.1414509,-0.2485364,0.4522893
4077,0.1469631,-0.2483925,0.4522251
4078,0.1530358,-0.2482424,0.452078
4079,0.1659266,-0.2482904,0.4512574
4080,0.1759525,-0.2477163,0.4505289
4081,0.1863223,-0.247147,0.4498178
4082,0.1985796,-0.246365,0.4489993
4083,0.2098761,-0.2457685,0.4481754
4084,0.2250342,-0.2454043,0.4474072
4085,0.2406605,-0.245072,0.446319
4086,0.2558838,-0.2443532,0.4451492
4087,0.2721353,-0.2433579,0.4438514
4088,0.2880698,-0.2426424,0.4426522
4089,0.307933,-0.2417848,0.4412723
4090,0.3253978,-0.2408888,0.4399503
4091,0.3436888,-0.2388995,0.4383812
4092,0.3630446,-0.237742,0.4372084
4093,0.3823384,-0.2361998,0.435787
4094,0.4010447,-0.2338145,0.4345663
4095,0.4197709,-0.2317425,0.4334036
4096,0.4377511,-0.2287431,0.4327957
4097,0.4564564,-0.2266613,0.431963
4098,0.475213,-0.2244222,0.4310085
4099,0.4965181,-0.2241952,0.4295752
4100,0.5163267,-0.2225986,0.4286211
4101,0.5363697,-0.2201598,0.4278496
4102,0.556559,-0.2179306,0.4268962
4103,0.5764109,-0.2164124,0.4259277
4104,0.5959373,-0.2149693,0.4250714
4105,0.6157138,-0.2133306,0.4242503
4106,0.6343715,-0.2129997,0.4233535
4107,0.6537946,-0.2118633,0.4224747
4108,0.6726327,-0.2130731,0.4209154
4109,0.6909758,-0.2139391,0.4195539
4110,0.7095188,-0.214537,0.4182433
4111,0.7282721,-0.2150682,0.4169859
4112,0.7436259,-0.2165093,0.4152696
4113,0.7597236,-0.2168977,0.4139769
4114,0.7746402,-0.2168484,0.4128473
4115,0.789988,-0.2171718,0.4116266
4116,0.8020733,-0.2173832,0.4106679
4117,0.8139573,-0.2171841,0.4099295
4118,0.8245575,-0.2173406,0.4094082
4119,0.8362031,-0.2173757,0.4086507
4120,0.8446888,-0.2193154,0.4078023
4121,0.8536098,-0.2205523,0.407062
4122,0.8628138,-0.2216651,0.4064036
4123,0.8668933,-0.2237864,0.4064807
4124,0.8735986,-0.2252561,0.4061906
4125,0.876118,-0.2274555,0.406487
4126,0.8855175,-0.2312776,0.4061487
4127,0.887493,-0.2321896,0.4057612
4128,0.8900672,-0.2334059,0.4055305
4129,0.8959111,-0.2363138,0.4050828
4130,0.8895374,-0.2337252,0.4055822
4131,0.8899887,-0.2342691,0.4055283
4132,0.8881195,-0.2352563,0.4055447
4133,0.8867535,-0.2367789,0.4052523
4134,0.8853346,-0.2383404,0.4047475
4135,0.883799,-0.2394394,0.404422
4136,0.8810808,-0.2397965,0.4042669
4137,0.8761799,-0.2414556,0.403805
4138,0.8721477,-0.242257,0.4046831
4139,0.8673398,-0.2408837,0.4050749
4140,0.8632115,-0.2405052,0.4054125
4141,0.8549138,-0.2400086,0.4060942
4142,0.8496176,-0.2399126,0.406357
4143,0.8443924,-0.2406522,0.4068006
4144,0.8370239,-0.2402696,0.4076043
4145,0.8279745,-0.2384218,0.4086424
4146,0.8176847,-0.2370951,0.4095761
4147,0.8088105,-0.2359632,0.4104271
4148,0.7971979,-0.2354536,0.4114465
4149,0.7863968,-0.2352261,0.4124602
4150,0.774988,-0.2355626,0.4134202
4151,0.7636806,-0.2355906,0.414378
4152,0.7511663,-0.2358047,0.4153689
4153,0.7386263,-0.2358542,0.4164391
4154,0.7259632,-0.2358126,0.4174818
4155,0.7120088,-0.235802,0.4184233
4156,0.6982322,-0.2358765,0.4194791
4157,0.6846384,-0.2359501,0.4204488
4158,0.6692233,-0.2355621,0.4210902
4159,0.6549838,-0.2352936,0.4218741
4160,0.6399382,-0.2346919,0.422269
4161,0.6250686,-0.234026,0.4228522
4162,0.6102264,-0.2334568,0.4234852
4163,0.5941065,-0.23275,0.4243616
4164,0.5786863,-0.2321929,0.4250652
4165,0.5627665,-0.2320588,0.426147
4166,0.5467679,-0.2318747,0.4270328
4167,0.530333,-0.2318989,0.4279369
4168,0.5141117,-0.23189,0.4289211
4169,0.4980811,-0.2323944,0.4298368
4170,0.4819094,-0.2325973,0.4308591
4171,0.4656153,-0.2328166,0.4319254
4172,0.449362,-0.2326885,0.432972
4173,0.4331052,-0.2324569,0.4336973
4174,0.4169004,-0.2324689,0.4345035
4175,0.4014916,-0.2329162,0.4349546
4176,0.3856484,-0.2330815,0.435705
4177,0.3701415,-0.2331577,0.4362442
4178,0.3546157,-0.2336194,0.4366543
4179,0.3396706,-0.2342981,0.4369464
4180,0.324934,-0.2348683,0.437205
4181,0.3103101,-0.2357402,0.4375288
4182,0.2961681,-0.2366135,0.4378282
4183,0.2816894,-0.2373676,0.4381196
4184,0.2681688,-0.2379414,0.4388905
4185,0.254305,-0.2387551,0.4394857
4186,0.241369,-0.2397739,0.4399383
4187,0.2290451,-0.240334,0.440381
4188,0.2163344,-0.2411447,0.4408498
4189,0.2055919,-0.2428718,0.4413382
4190,0.194521,-0.2439875,0.441769
4191,0.1832286,-0.2450984,0.4422856
4192,0.1748473,-0.2458589,0.4424696
4193,0.1649777,-0.2468089,0.4428877
4194,0.1553955,-0.2477807,0.4433199
4195,0.1496714,-0.2483239,0.4436408
4196,0.1429586,-0.2489312,0.4440157
4197,0.1366272,-0.2494759,0.4443437
4198,0.1304336,-0.25001,0.4446544
4199,0.1243201,-0.2504686,0.444991
4200,0.1219166,-0.2500398,0.4454969
4201,0.1195527,-0.2500345,0.4457824
4202,0.1166659,-0.24991,0.4460799
4203,0.1152513,-0.2491704,0.446054
4204,0.112807,-0.2488713,0.4462167
4205,0.1130574,-0.2484259,0.4461446
4206,0.1123299,-0.2481341,0.4462392
4207,0.1112869,-0.2477455,0.4463012
4208,0.1150092,-0.2478811,0.4458839
4209,0.1160317,-0.2477015,0.4458351
4210,0.1214069,-0.247359,0.445348
4211,0.1247863,-0.2471105,0.4450294
4212,0.1297576,-0.246946,0.4445928
4213,0.1356649,-0.2460086,0.4440976
4214,0.1421206,-0.245405,0.4435181
4215,0.1492656,-0.2447673,0.4428414
4216,0.1569263,-0.2442162,0.4421982
4217,0.1673712,-0.2438332,0.4415091
4218,0.1784716,-0.243031,0.4406707
4219,0.1883367,-0.2424357,0.4398487
4220,0.20233,-0.2414987,0.439028
4221,0.2142511,-0.2408516,0.4382113
4222,0.2301386,-0.2401649,0.4374441
4223,0.2464169,-0.2392021,0.4367499
4224,0.2612774,-0.2384695,0.4360295
4225,0.2817228,-0.2377147,0.4350564
4226,0.2986609,-0.2369886,0.4342093
4227,0.3185852,-0.2355565,0.4331319
4228,0.3567607,-0.2325695,0.4309891
4229,0.3750203,-0.2293302,0.4298183
4230,0.3938338,-0.2271982,0.4286964
4231,0.4111285,-0.2253645,0.42768
4232,0.4299114,-0.2232744,0.4266465
4233,0.4507833,-0.2212614,0.4249823
4234,0.4704983,-0.2190511,0.4235178
4235,0.4926331,-0.216028,0.421618
4236,0.5133604,-0.2117639,0.4207277
4237,0.5339594,-0.2084558,0.4194547
4238,0.5537137,-0.2043075,0.4187231
4239,0.5742784,-0.2010293,0.4173167
4240,0.594817,-0.1974222,0.4160956
4241,0.6147555,-0.1980706,0.4142121
4242,0.6353287,-0.196511,0.4129438
4243,0.6561168,-0.1981035,0.4115583
4244,0.6767618,-0.200157,0.4101093
4245,0.6974033,-0.2009088,0.408718
4246,0.7174377,-0.2036875,0.4069307
4247,0.7378658,-0.2054358,0.4054249
4248,0.7564197,-0.2067225,0.4047279
4249,0.7723547,-0.206586,0.4045137
4250,0.7870449,-0.2071637,0.4032976
4251,0.8184394,-0.2089461,0.4013695
4252,0.8431571,-0.2128737,0.3999392
4253,0.8551008,-0.2143462,0.3988868
4254,0.8655097,-0.215723,0.3975747
4255,0.8742486,-0.2179309,0.3968163
4256,0.8804148,-0.2199175,0.3982648
4257,0.8920587,-0.2235852,0.399333
4258,0.8957807,-0.2260634,0.3992465
4259,0.8997792,-0.2282674,0.3990084
4260,0.9037206,-0.2304684,0.3990221
4261,0.9060621,-0.232282,0.3992114
4262,0.9090151,-0.234142,0.3993321
4263,0.9091509,-0.2340715,0.3997354
4264,0.9097213,-0.2350912,0.400113
4265,0.9080669,-0.2356832,0.4004001
4266,0.907279,-0.2371444,0.4007553
4267,0.9070024,-0.238484,0.4008415
4268,0.9063901,-0.2418221,0.4005925
4269,0.9047157,-0.2430257,0.4011821
4270,0.9033105,-0.2444178,0.4012994
4271,0.8950629,-0.2417907,0.4025123
4272,0.890358,-0.2414964,0.4028993
4273,0.8839568,-0.2426434,0.4032992
4274,0.8787273,-0.242916,0.4037415
4275,0.8701946,-0.243039,0.4049507
