frame,x,y,z
4001,0.0007483773,0.4550359,-0.2786416
4002,0.001882267,0.4551696,-0.2812186
4003,0.001692422,0.4546072,-0.2840689
4004,0.0009923689,0.4562122,-0.2859002
4005,-0.004111226,0.4805815,-0.2790137
4006,-0.005077279,0.4867861,-0.2830827
4007,-0.006908086,0.4941275,-0.2849522
4008,-0.008179341,0.5014811,-0.2855296
4009,-0.009604093,0.5103868,-0.2852004
4010,-0.01121183,0.5193403,-0.2847708
4011,-0.01290552,0.5283557,-0.284483
4012,-0.01529241,0.5317644,-0.2815175
4013,-0.01721515,0.5384203,-0.2803652
4014,-0.01853837,0.5342375,-0.2800114
4015,-0.02004705,0.5347439,-0.2792463
4016,-0.02161217,0.5348762,-0.2785496
4017,-0.02172275,0.5206997,-0.2789731
4018,-0.02287296,0.5153267,-0.2784904
4019,-0.02484795,0.5060714,-0.2764928
4020,-0.02613894,0.4973616,-0.274879
4021,-0.02591883,0.4856798,-0.2759859
4022,-0.02612174,0.4741128,-0.277125
4023,-0.02410796,0.4631752,-0.2823307
4024,-0.02302431,0.4665529,-0.2834438
4025,-0.02206295,0.4650503,-0.2844884
4026,-0.02360343,0.4649877,-0.2735022
4027,-0.02212334,0.4628713,-0.2760854
4028,-0.02134398,0.4613147,-0.2766481
4029,-0.02223997,0.4605982,-0.2900639
4030,-0.02194607,0.4593807,-0.2937538
4031,-0.01779278,0.4737592,-0.289952
4032,-0.01602759,0.4840584,-0.2865341
4033,-0.01540879,0.492336,-0.2869961
4034,-0.01403378,0.4979039,-0.2888887
4035,-0.0129878,0.5052353,-0.2888581
4036,-0.011785,0.5127329,-0.2888102
4037,-0.009982783,0.5243632,-0.2856522
4038,-0.00866102,0.5341492,-0.2820466
4039,-0.007811367,0.5405515,-0.2794832
4040,-0.006514579,0.5457517,-0.276419
4041,-0.005835481,0.5486681,-0.2747671
4042,-0.005701631,0.5411617,-0.276788
4043,-0.005245447,0.5342677,-0.278051
4044,-0.004350235,0.5262562,-0.2792634
4045,-0.003459025,0.5189454,-0.2789433
4046,-0.002967488,0.5116341,-0.2790526
4047,-0.002658038,0.5016672,-0.2791084
4048,-0.00301762,0.4902317,-0.2804712
4049,-0.003027517,0.4792412,-0.2817305
4050,-0.002600577,0.4724222,-0.2878658
4051,-0.002905973,0.4706743,-0.2841977
4052,-0.004867259,0.4664456,-0.2826503
4053,-0.005245044,0.4627986,-0.2903739
4054,-0.00580471,0.4590927,-0.2937602
4055,-0.005142514,0.4608119,-0.296361
4056,-0.005791172,0.4658333,-0.2964155
4057,-0.006696232,0.4717314,-0.2973596
4058,-0.007453658,0.4764071,-0.2988095
4059,-0.009433248,0.4922279,-0.3000649
4060,-0.0107468,0.5004062,-0.3019959
4061,-0.01180318,0.5104014,-0.3032791
4062,-0.01252573,0.5201125,-0.3040508
4063,-0.01347725,0.5298309,-0.3051447
4064,-0.01427263,0.540054,-0.3028715
4065,-0.01536134,0.5495934,-0.302718
4066,-0.01704092,0.5516137,-0.3022788
4067,-0.01827959,0.5588148,-0.3019334
4068,-0.01939404,0.5527731,-0.3040436
4069,-0.02067396,0.5532385,-0.3048982
4070,-0.02243425,0.5442733,-0.3068902
4071,-0.02341701,0.5373272,-0.3080267
4072,-0.02456495,0.5316119,-0.308908
4073,-0.02589832,0.5233828,-0.3073878
4074,-0.02617398,0.5134134,-0.3064656
4075,-0.02539858,0.4864087,-0.3113887
4076,-0.02534103,0.4736097,-0.3135048
4077,-0.02436169,0.4817687,-0.3130637
4078,-0.02446751,0.4760562,-0.3115129
4079,-0.02255562,0.4685381,-0.3079264
4080,-0.02159556,0.4668173,-0.3103226
4081,-0.02169273,0.4627968,-0.317003
4082,-0.02077672,0.4614055,-0.3185705
4083,-0.01853338,0.4786615,-0.3103617
4084,-0.01599876,0.4933275,-0.3042266
4085,-0.01613028,0.4998259,-0.3048014
4086,-0.0152647,0.5069159,-0.3028161
4087,-0.01376947,0.5113208,-0.3005634
4088,-0.01204041,0.5200971,-0.2970516
4089,-0.01079638,0.5278193,-0.2941841
4090,-0.009932928,0.5322878,-0.2889161
4091,-0.009024512,0.5368602,-0.2856524
4092,-0.007954162,0.5425119,-0.2822106
4093,-0.007932868,0.5298173,-0.2829239
4094,-0.007199325,0.5244765,-0.2825383
4095,-0.006011828,0.5169011,-0.2820572
4096,-0.004727166,0.5107473,-0.2812706
4097,-0.002552588,0.500954,-0.2801455
4098,-0.001494467,0.4914168,-0.278774
4099,-0.0002222136,0.4818569,-0.2778029
4100,0.0006401651,0.4695999,-0.2811448
4101,0.001971282,0.4605589,-0.2821751
4102,0.003494465,0.4667494,-0.2807362
4103,0.004654873,0.4649275,-0.2789548
4104,0.001556735,0.459551,-0.2752903
4105,0.002606548,0.4572942,-0.2835359
4106,0.002779712,0.4543579,-0.286096
4107,0.005007125,0.4564475,-0.2886498
4108,0.00561107,0.4591645,-0.2893261
4109,0.005612356,0.4619696,-0.2903589
4110,0.002476335,0.4815084,-0.2870626
4111,0.001537129,0.4893515,-0.2879074
4112,0.0002399795,0.4977272,-0.2919944
