frame,x,y,z
13001,0.02963999,0.5486606,-0.3557879
13002,0.02971313,0.5486453,-0.3571905
13003,0.02989423,0.5481176,-0.3585139
13004,0.0299661,0.5468616,-0.3598515
13005,0.03004348,0.5458356,-0.3611548
13006,0.03021915,0.5435949,-0.3623489
13007,0.03036447,0.5410652,-0.3633705
13008,0.03041705,0.538452,-0.364415
13009,0.03044721,0.5357672,-0.3654434
13010,0.03020496,0.5325612,-0.3663908
13011,0.03008721,0.52963,-0.3671933
13012,0.02976055,0.5266157,-0.3678736
13013,0.02931712,0.5236492,-0.3682887
13014,0.02861248,0.5208275,-0.3685896
13015,0.02762526,0.5174986,-0.3688553
13016,0.02672996,0.5142397,-0.3692858
13017,0.02590682,0.5110103,-0.369647
13018,0.02454918,0.5088532,-0.3698041
13019,0.02300169,0.5066063,-0.369518
13020,0.02175857,0.5040632,-0.3695476
13021,0.01969429,0.5034156,-0.3684812
13022,0.01799892,0.501688,-0.3679782
13023,0.0161003,0.4997494,-0.3672347
13024,0.01435942,0.4980202,-0.3667605
13025,0.01324269,0.5001478,-0.366904
13026,0.01141888,0.5026541,-0.3651069
13027,0.00975398,0.5031312,-0.3640666
13028,0.008922011,0.5056732,-0.3647619
13029,0.007827938,0.5090629,-0.3641478
13030,0.007144126,0.511229,-0.3636902
13031,0.005858399,0.5158332,-0.3639104
13032,0.005966533,0.5173903,-0.3647109
13033,0.005750802,0.519302,-0.3652922
13034,0.006268647,0.5214494,-0.3662167
13035,0.006807066,0.5246505,-0.3668302
13036,0.007012433,0.5278367,-0.3673763
13037,0.007230226,0.5304622,-0.3682074
13038,0.007500746,0.5331184,-0.3690196
13039,0.008528918,0.5382189,-0.3715314
13040,0.008893505,0.54077,-0.372581
13041,0.009462427,0.5415356,-0.3739983
13042,0.01053522,0.5432454,-0.3764155
13043,0.01095651,0.5438796,-0.3774089
13044,0.01146555,0.5438322,-0.378236
13045,0.01191023,0.5430123,-0.3789176
13046,0.01227173,0.5417849,-0.3795394
13047,0.01247828,0.5402492,-0.3800071
13048,0.01292798,0.5387868,-0.3805289
13049,0.01283532,0.5366629,-0.3804079
13050,0.01291996,0.5346143,-0.3800049
13051,0.01327241,0.5305275,-0.3794831
13052,0.01344303,0.528383,-0.3791998
13053,0.0136493,0.5261184,-0.3781265
13054,0.01396585,0.5237789,-0.3775235
13055,0.01501002,0.5186409,-0.3771415
13056,0.01543404,0.5160955,-0.376867
13057,0.01649085,0.5145159,-0.3773628
13058,0.018443,0.5118532,-0.3769821
13059,0.01957382,0.5109453,-0.3766747
13060,0.02113722,0.5103225,-0.3763435
13061,0.02267602,0.5096394,-0.3762476
13062,0.0246057,0.5106811,-0.3763694
13063,0.02817651,0.5130469,-0.3757978
13064,0.02969122,0.5152905,-0.3742117
13065,0.03116286,0.5181185,-0.3741201
13066,0.03282449,0.5203837,-0.3736348
13067,0.03391534,0.5236859,-0.3731552
13068,0.03519591,0.5252467,-0.3728747
13069,0.03656869,0.5271949,-0.372638
13070,0.03751649,0.5274284,-0.3753363
13071,0.03947219,0.5311549,-0.3767111
13072,0.04013547,0.5334322,-0.3777145
13073,0.04070942,0.5366725,-0.3787255
13074,0.04090216,0.5394148,-0.3796701
13075,0.04151142,0.5448338,-0.3820207
13076,0.04159962,0.5466493,-0.3834575
13077,0.04170883,0.5483742,-0.3849389
13078,0.04173324,0.5500717,-0.3863356
13079,0.04176823,0.5518147,-0.3876887
13080,0.04173056,0.5506166,-0.3890017
13081,0.04169194,0.5503595,-0.390274
13082,0.04162185,0.5495002,-0.3914157
13083,0.04149723,0.5486246,-0.3925742
13084,0.0414185,0.5479037,-0.3937356
13085,0.04105742,0.5442979,-0.3944191
