frame,x,y,z
5001,-0.01433946,0.5228702,-0.3279839
5002,-0.01456216,0.5146059,-0.329082
5003,-0.01420552,0.5045628,-0.3316799
5004,-0.0143173,0.4961914,-0.333513
5005,-0.01251579,0.4851538,-0.3387453
5006,-0.01171346,0.4761862,-0.341746
5007,-0.0118981,0.481047,-0.338934
5008,-0.01345886,0.4773686,-0.3356955
5009,-0.01361823,0.4732286,-0.335325
5010,-0.01220994,0.4713739,-0.336255
5011,-0.0109886,0.467771,-0.3369518
5012,-0.01034945,0.464862,-0.3371406
5013,-0.008281194,0.4666809,-0.3410454
5014,-0.007050696,0.4660735,-0.3421734
5015,-0.006964572,0.479567,-0.33486
5016,-0.006181702,0.4857878,-0.3312122
5017,-0.005269612,0.4930469,-0.3295166
5018,-0.004268293,0.49867,-0.3284084
5019,-0.002857771,0.5030027,-0.3288446
5020,-0.0006796643,0.5153309,-0.3260501
5021,0.0001487918,0.5209436,-0.3236604
5022,0.0009310022,0.525592,-0.3217581
5023,0.001727398,0.5308194,-0.3199863
5024,0.00188721,0.5270036,-0.3222347
5025,0.002605688,0.5284408,-0.3222252
5026,0.002893967,0.5230729,-0.3248155
5027,0.003563001,0.5193974,-0.3262287
5028,0.004177899,0.5163109,-0.3274414
5029,0.003991913,0.5056796,-0.3290066
5030,0.004045912,0.4976096,-0.3313262
5031,0.003692123,0.4870971,-0.3353558
5032,0.003879417,0.4797841,-0.3384274
5033,0.004186466,0.4797361,-0.3393448
5034,0.00335994,0.4780743,-0.3366425
5035,0.00277651,0.4743799,-0.3366944
5036,0.0001057461,0.4718456,-0.3379007
5037,-0.0009695217,0.4688145,-0.3392129
5038,-0.0009744465,0.4651811,-0.3424678
5039,-0.0006660558,0.4655394,-0.3446968
5040,-0.0004566163,0.4676928,-0.3447482
5041,-0.001814049,0.4717925,-0.3433573
5042,-0.003285491,0.4762377,-0.3423471
5043,-0.004502547,0.4804084,-0.341429
5044,-0.006244492,0.4890921,-0.3400996
5045,-0.007389423,0.4946447,-0.3392698
5046,-0.008240808,0.5014113,-0.3407059
5047,-0.009591781,0.507915,-0.3402872
5048,-0.01100649,0.5154423,-0.3391633
5049,-0.01243993,0.5218832,-0.3381858
5050,-0.01391235,0.5260261,-0.3378794
5051,-0.01498467,0.5285822,-0.3382799
5052,-0.01619837,0.5297098,-0.3399073
5053,-0.01685541,0.5305231,-0.3405696
5054,-0.01681639,0.5264802,-0.3416897
5055,-0.01726495,0.5205436,-0.3424434
5056,-0.01759917,0.5168246,-0.3433647
5057,-0.01784147,0.5061082,-0.3446686
5058,-0.01784549,0.4976723,-0.346604
5059,-0.01774995,0.489314,-0.3484102
5060,-0.01512187,0.4832101,-0.3533919
5061,-0.01431863,0.4779556,-0.3544421
5062,-0.01416458,0.4754036,-0.3542055
5063,-0.01584047,0.4716825,-0.3505818
5064,-0.01525062,0.4704853,-0.3523561
5065,-0.01489875,0.4685048,-0.3527285
5066,-0.01301772,0.466829,-0.3549158
5067,-0.01244866,0.4679099,-0.3568922
5068,-0.01213052,0.4722633,-0.3559763
5069,-0.011332,0.4766861,-0.3548596
5070,-0.01081212,0.4859314,-0.3493215
5071,-0.009976864,0.4923143,-0.3464978
5072,-0.009086065,0.4984366,-0.3442194
5073,-0.006328382,0.5029196,-0.3448363
5074,-0.002450913,0.5145684,-0.3408532
5075,-0.000627704,0.5203964,-0.3380907
5076,0.0008303858,0.5249573,-0.3350997
5077,0.002283812,0.5266369,-0.333561
5078,0.003981076,0.530024,-0.3317114
5079,0.005526257,0.5267357,-0.3341883
5080,0.007251725,0.5273578,-0.3339508
5081,0.008641739,0.5220013,-0.3356708
5082,0.01011628,0.5171977,-0.3364148
5083,0.01114785,0.5101762,-0.3376093
5084,0.01208556,0.5008136,-0.3405903
5085,0.01304441,0.4922614,-0.3434433
5086,0.01464852,0.4836388,-0.3481559
5087,0.01540742,0.4788044,-0.3500383
5088,0.01390911,0.4802613,-0.3425258
5089,0.01326594,0.4766366,-0.3425103
5090,0.01375645,0.4736165,-0.3486874
5091,0.01437734,0.4692197,-0.3515837
5092,0.01451162,0.466145,-0.3538799
5093,0.01634222,0.4724489,-0.3554138
5094,0.01638902,0.474887,-0.3556633
5095,0.01443048,0.4840766,-0.3518837
5096,0.01335794,0.4901961,-0.3503817
5097,0.01286139,0.4957409,-0.3493616
5098,0.01196742,0.5012723,-0.3521557
5099,0.01118742,0.5074143,-0.3520362
5100,0.01039081,0.5137506,-0.3515414
5101,0.009461212,0.5207331,-0.3502777
5102,0.008563213,0.527581,-0.3494709
5103,0.007538106,0.531939,-0.3467585
5104,0.006490172,0.5377947,-0.3453997
5105,0.006671523,0.5364857,-0.3446295
5106,0.006489818,0.537775,-0.3441489
5107,0.007344141,0.5343328,-0.3459381
5108,0.007980458,0.5310752,-0.3483024
5109,0.008114118,0.5269384,-0.3493539
5110,0.00791068,0.5225691,-0.3496954
5111,0.007508628,0.51574,-0.3492966
5112,0.007317815,0.5061738,-0.3506859
5113,0.007583566,0.4967615,-0.3529094
5114,0.007924173,0.4878997,-0.3545656
5115,0.009887666,0.4807605,-0.3585209
5116,0.01066598,0.4745453,-0.360191
5117,0.009803389,0.4815348,-0.3512632
5118,0.009821303,0.4779677,-0.3484807
5119,0.009886988,0.4747055,-0.3460254
5120,0.01286414,0.4719138,-0.3534365
5121,0.0135475,0.4695792,-0.3556894
5122,0.01480592,0.4699769,-0.358421
5123,0.01566818,0.4695293,-0.3600689
