frame,x,y,z
19001,0.04216214,0.4440744,-0.39986
19002,0.04481382,0.4522246,-0.3979739
19003,0.04760418,0.4616593,-0.3959933
19004,0.05002263,0.4645836,-0.3944025
19005,0.05238156,0.4679161,-0.3930542
19006,0.0547383,0.4732613,-0.3914205
19007,0.05560301,0.4712303,-0.3905684
19008,0.05656344,0.4716468,-0.3891466
19009,0.05769264,0.4722676,-0.3877458
19010,0.05577261,0.4618514,-0.3851222
19011,0.05616254,0.4543986,-0.383287
19012,0.0563016,0.4390774,-0.3802366
19013,0.05632075,0.430669,-0.3787856
19014,0.05524952,0.4140229,-0.3843455
19015,0.05488585,0.4044034,-0.3863059
19016,0.05525658,0.4010268,-0.3878568
19017,0.0552006,0.3941928,-0.3896982
19018,0.05248023,0.4052637,-0.3807816
19019,0.05218686,0.4099397,-0.3812194
19020,0.05316098,0.4151894,-0.384545
19021,0.05179839,0.4201795,-0.3860614
19022,0.05102226,0.4253357,-0.3869417
19023,0.04815603,0.4395177,-0.3883178
19024,0.04651716,0.4507126,-0.3890027
19025,0.04487835,0.4608862,-0.3898879
19026,0.04140656,0.4713649,-0.3897193
19027,0.0391513,0.4819757,-0.3903878
19028,0.03672716,0.4848737,-0.3924824
19029,0.03442522,0.4913958,-0.3938653
19030,0.03315233,0.4913785,-0.3950118
19031,0.02993483,0.4936415,-0.3969877
19032,0.02841546,0.4906152,-0.3973553
19033,0.02683018,0.4888854,-0.3980391
19034,0.02541908,0.4809333,-0.39787
19035,0.0241533,0.4723354,-0.3973296
19036,0.02333903,0.462123,-0.3977472
19037,0.02238887,0.4485209,-0.3985256
19038,0.02145567,0.4372922,-0.3990494
19039,0.02190633,0.4214529,-0.4021149
19040,0.02188722,0.4081267,-0.4040512
19041,0.02171252,0.403695,-0.4073294
19042,0.02165851,0.4033968,-0.4110693
19043,0.02043828,0.4048536,-0.4019959
19044,0.02055589,0.4104811,-0.401352
19045,0.02199227,0.4203413,-0.4020235
19046,0.02454808,0.428323,-0.4013072
19047,0.02712292,0.4366723,-0.40082
19048,0.02930822,0.444668,-0.3998325
19049,0.0320623,0.4542949,-0.3990594
19050,0.03450486,0.4641965,-0.3979004
19051,0.03713845,0.4743766,-0.395641
19052,0.03972569,0.4779255,-0.3939225
19053,0.04448414,0.4883015,-0.3909829
19054,0.04674751,0.4922126,-0.389389
19055,0.04731169,0.4880549,-0.3881706
19056,0.04852097,0.485166,-0.3863047
19057,0.04917387,0.4805053,-0.3848907
19058,0.05021568,0.4755066,-0.3835199
19059,0.05117622,0.4695326,-0.3819761
19060,0.0517182,0.4559463,-0.3809045
19061,0.05257259,0.4312149,-0.3815631
19062,0.05289751,0.4183667,-0.3829744
19063,0.05392518,0.4092554,-0.38293
19064,0.0560084,0.4114638,-0.3844128
19065,0.05599895,0.4140039,-0.3835638
19066,0.05677844,0.4111077,-0.3839773
19067,0.05152541,0.4207127,-0.3810567
19068,0.05090129,0.4239118,-0.3814001
19069,0.04943187,0.4321371,-0.3846354
19070,0.04830041,0.4405588,-0.3863832
19071,0.04683767,0.4521968,-0.3867802
19072,0.04555581,0.4637847,-0.3875243
19073,0.04382735,0.474284,-0.388615
19074,0.04076113,0.4816822,-0.3884717
19075,0.0390261,0.4902109,-0.3893376
19076,0.0379859,0.493559,-0.3905632
19077,0.03635868,0.5003776,-0.3914963
19078,0.03562736,0.4991409,-0.3920721
19079,0.03501096,0.4961725,-0.3924481
19080,0.03396631,0.4964226,-0.3930298
19081,0.03339249,0.4872753,-0.3932162
19082,0.03252439,0.4830728,-0.393547
19083,0.03137707,0.4736513,-0.3923838
19084,0.03084959,0.4619967,-0.3926516
19085,0.02974224,0.4379354,-0.3935348
19086,0.02931251,0.4246989,-0.3942961
19087,0.02894282,0.4114102,-0.3949432
19088,0.029548,0.4044348,-0.3965295
19089,0.02766378,0.4041661,-0.3944615
19090,0.02660543,0.4030274,-0.3926828
19091,0.02810389,0.4110567,-0.3930171
19092,0.02816953,0.4142709,-0.3920636
19093,0.03219394,0.4309466,-0.3901665
19094,0.03430135,0.4404813,-0.3879378
19095,0.03662056,0.4500579,-0.3866751
19096,0.03878328,0.4597456,-0.3850485
19097,0.04138482,0.4684741,-0.3843957
19098,0.04601083,0.4828716,-0.3804759
19099,0.04798087,0.4887005,-0.3790147
19100,0.04851893,0.4864723,-0.3784871
19101,0.05049959,0.4876094,-0.3762138
19102,0.05147429,0.4874097,-0.3751009
19103,0.05025888,0.4775352,-0.3742624
19104,0.05045197,0.4733441,-0.3731678
19105,0.05041008,0.4620135,-0.3697903
19106,0.05031524,0.454386,-0.3680688
19107,0.05068249,0.4398075,-0.3678463
19108,0.05055493,0.4237582,-0.3690588
19109,0.05034501,0.411623,-0.3703415
19110,0.05043268,0.4021226,-0.3704374
19111,0.05179561,0.4089524,-0.3714226
19112,0.04979651,0.4067373,-0.3648424
19113,0.04809823,0.4053642,-0.3602511
19114,0.04693584,0.4051385,-0.357266
19115,0.04725762,0.4151701,-0.3652423
19116,0.04578736,0.4244476,-0.3658309
19117,0.04299156,0.4398218,-0.36586
19118,0.04158426,0.4480986,-0.365979
19119,0.03757969,0.4597666,-0.3642725
19120,0.03508477,0.469181,-0.3638058
19121,0.03255476,0.4737186,-0.3642386
19122,0.02987875,0.4800586,-0.3643001
19123,0.02716673,0.4864645,-0.3643265
19124,0.02513113,0.4799125,-0.3648209
19125,0.02258705,0.4825205,-0.3649659
19126,0.02166392,0.4734461,-0.3639408
19127,0.02057012,0.468496,-0.3630409
19128,0.01897055,0.4631027,-0.3619811
19129,0.01749305,0.4561542,-0.3608299
19130,0.01620843,0.4459609,-0.3600606
19131,0.01530548,0.4325654,-0.3605568
19132,0.01419124,0.4217409,-0.3603633
19133,0.01547302,0.4075426,-0.3638191
19134,0.01578474,0.3960141,-0.3651237
19135,0.01592806,0.3841457,-0.3663808
19136,0.01687459,0.3971478,-0.3629144
19137,0.01730438,0.3928137,-0.3611507
19138,0.01909491,0.4043964,-0.35871
19139,0.02089415,0.4101836,-0.3578727
19140,0.02649878,0.4206182,-0.3566501
19141,0.03046071,0.4291312,-0.3559855
19142,0.03376262,0.4380132,-0.3556852
19143,0.03672479,0.4485205,-0.3541571
19144,0.04038183,0.459058,-0.3528679
19145,0.04403327,0.4694641,-0.3517422
19146,0.04656255,0.4737083,-0.3512736
19147,0.04971197,0.4814206,-0.3505406
19148,0.05114786,0.4806542,-0.3502186
19149,0.05323754,0.4834346,-0.3496069
19150,0.05375794,0.4804104,-0.3491575
19151,0.05421238,0.4776102,-0.3485269
19152,0.05358344,0.4715107,-0.3477168
19153,0.05335561,0.4660949,-0.3471838
19154,0.05348465,0.4608661,-0.3465453
19155,0.05259355,0.4474302,-0.3463843
19156,0.05201242,0.4362357,-0.3469886
19157,0.05124323,0.4224593,-0.3497636
19158,0.05055694,0.4101634,-0.3518161
19159,0.05020846,0.4012567,-0.3545868
19160,0.05027449,0.4039568,-0.3587638
19161,0.0499149,0.400909,-0.3617295
19162,0.04670639,0.40221,-0.3523658
19163,0.04738913,0.408214,-0.3559709
19164,0.04692268,0.4106983,-0.3590007
19165,0.04474803,0.4184884,-0.3615792
19166,0.04361224,0.4266526,-0.3634476
19167,0.04182219,0.439229,-0.3627704
19168,0.04040515,0.4499045,-0.3635277
19169,0.03866798,0.4602169,-0.3643495
19170,0.03587035,0.4681354,-0.3651095
19171,0.03382795,0.4770592,-0.3660366
