frame,x,y,z
20001,0.01444191,0.4000773,-0.3905521
20002,0.01136344,0.4050193,-0.3908453
20003,0.008210987,0.407532,-0.390358
20004,0.005511626,0.4105789,-0.3906992
20005,0.00336713,0.4137307,-0.3918741
20006,0.001131791,0.4166458,-0.3929422
20007,-0.0002564378,0.4193267,-0.3948615
20008,-0.0009484449,0.4243949,-0.3973497
20009,-0.002311058,0.428553,-0.399186
20010,-0.002179909,0.4355702,-0.4006248
20011,-0.002408768,0.4414962,-0.4023645
20012,-0.001684003,0.449296,-0.4037908
20013,-0.001275307,0.4558387,-0.4048584
20014,-0.0008232631,0.46142,-0.4058971
20015,-0.0002174489,0.4656743,-0.4070458
20016,0.0002648793,0.4710559,-0.4082207
20017,0.001334723,0.4720406,-0.4092936
20018,0.003185275,0.4749214,-0.4111389
20019,0.00413008,0.474098,-0.4114923
20020,0.004987452,0.4729237,-0.4117019
20021,0.005715769,0.4705935,-0.411644
20022,0.006382499,0.4682888,-0.4116353
20023,0.006856557,0.4641799,-0.4110314
20024,0.00745533,0.4591436,-0.4102175
20025,0.007974319,0.4538402,-0.4093517
20026,0.008547157,0.4479627,-0.4081125
20027,0.009100579,0.4424589,-0.4071195
20028,0.009962231,0.4366249,-0.4051529
20029,0.0107407,0.4307898,-0.4032828
20030,0.01156527,0.426673,-0.4004504
20031,0.01229237,0.4216997,-0.3979894
20032,0.01344529,0.4189561,-0.3952384
20033,0.01473564,0.4157347,-0.392644
20034,0.01621787,0.412971,-0.3899385
20035,0.01746879,0.4097107,-0.387214
20036,0.02001904,0.4106836,-0.3849214
20037,0.02181192,0.4090289,-0.3825048
20038,0.02350223,0.4137726,-0.3809358
20039,0.02544333,0.4163297,-0.37878
20040,0.02749465,0.4194068,-0.3774083
20041,0.02965474,0.4221151,-0.3775251
20042,0.03175072,0.4248542,-0.3768177
20043,0.03322893,0.4262609,-0.3793577
20044,0.03478558,0.430388,-0.3812872
20045,0.03650425,0.4338913,-0.3825678
20046,0.03722038,0.4428232,-0.3843011
20047,0.03778033,0.4500335,-0.3857796
20048,0.03925712,0.4631394,-0.3893291
20049,0.03955951,0.4680365,-0.3917755
20050,0.03985687,0.4729436,-0.3941184
20051,0.04015355,0.4753765,-0.3967839
20052,0.04043714,0.4780528,-0.399205
20053,0.04067851,0.4807199,-0.401683
20054,0.04069431,0.4805262,-0.4039164
20055,0.040509,0.479381,-0.4060077
20056,0.04030192,0.4772848,-0.4079033
20057,0.03996562,0.4743021,-0.4094338
20058,0.03975906,0.4715727,-0.4110728
20059,0.03920371,0.4654337,-0.4115982
20060,0.03872675,0.4607524,-0.4126693
20061,0.03761571,0.4539381,-0.4131033
20062,0.03617097,0.4465848,-0.4134289
20063,0.03450194,0.4400114,-0.4134278
20064,0.03176536,0.4263093,-0.4136287
20065,0.02912483,0.4217432,-0.412901
20066,0.02690571,0.4166645,-0.4125695
20067,0.02469354,0.4113791,-0.4120955
20068,0.02166113,0.4111372,-0.4103597
20069,0.01909977,0.4076946,-0.4094292
20070,0.01592295,0.4066173,-0.4089372
20071,0.01314218,0.4044306,-0.4081421
20072,0.01049049,0.4025125,-0.40735
20073,0.007925928,0.4072638,-0.407379
20074,0.005231212,0.4079134,-0.4067815
20075,0.002370864,0.4155151,-0.4049449
20076,-0.0001109131,0.4186331,-0.4043218
20077,-0.002368825,0.4209787,-0.4045286
