frame,x,y,z
1001,0.009826125,0.4647523,-0.3348804
1002,0.01092078,0.4596871,-0.3348431
1003,0.01214702,0.4555609,-0.3343042
1004,0.0135166,0.45227,-0.3334354
1005,0.0141481,0.4426852,-0.3317977
1006,0.01487376,0.4337415,-0.3311209
1007,0.01573483,0.4254895,-0.3304912
1008,0.01559772,0.412239,-0.3333463
1009,0.01626641,0.4022553,-0.3339606
1010,0.01633052,0.3990207,-0.3332308
1011,0.016589,0.3932886,-0.3326228
1012,0.0165012,0.3877606,-0.3316602
1013,0.0162988,0.3826089,-0.3341353
1014,0.01534774,0.3802508,-0.3358822
1015,0.01421677,0.3811749,-0.3364579
1016,0.01371489,0.3852522,-0.3374665
1017,0.01200536,0.3908556,-0.3381744
1018,0.009850271,0.3968643,-0.3393355
1019,0.006282254,0.4058432,-0.3399904
1020,0.003092829,0.4164034,-0.3399521
1021,0.0004198886,0.4269711,-0.3399503
1022,-0.002633286,0.4365527,-0.3402343
1023,-0.005697805,0.4462706,-0.3403736
1024,-0.008697033,0.4564503,-0.3405063
1025,-0.01188497,0.4622028,-0.3395758
1026,-0.01497235,0.4709283,-0.3391809
1027,-0.01765099,0.4746191,-0.3384506
1028,-0.02037324,0.4787013,-0.3379849
1029,-0.02306871,0.4836034,-0.3374999
1030,-0.02439005,0.4783621,-0.3383307
1031,-0.02591262,0.4777797,-0.3390129
1032,-0.02657993,0.4725189,-0.3403459
1033,-0.02768354,0.469713,-0.3411239
1034,-0.02835116,0.4641853,-0.341047
1035,-0.02928094,0.4567878,-0.3407616
1036,-0.03005031,0.449371,-0.3408177
1037,-0.0300399,0.4349963,-0.3422295
1038,-0.02985189,0.4236613,-0.3437013
1039,-0.02991055,0.4132932,-0.3448078
1040,-0.03012478,0.4135371,-0.343489
1041,-0.03065412,0.4072429,-0.3430676
1042,-0.03139003,0.4009251,-0.3406016
1043,-0.03139187,0.3944781,-0.3421041
1044,-0.03151546,0.3879301,-0.342385
1045,-0.0284612,0.390732,-0.3435502
1046,-0.02722568,0.3887465,-0.343607
1047,-0.02499402,0.3967217,-0.3410066
1048,-0.02345605,0.4001117,-0.3396114
1049,-0.02144829,0.4076113,-0.33784
1050,-0.01957328,0.412901,-0.3363616
1051,-0.01763453,0.4225412,-0.3348987
1052,-0.01379743,0.4383614,-0.3317446
1053,-0.011776,0.4468555,-0.3292579
1054,-0.009821821,0.4543547,-0.3262321
1055,-0.008026063,0.4607022,-0.3234636
1056,-0.006530754,0.4650558,-0.3209909
1057,-0.004772238,0.4710995,-0.3184491
1058,-0.00355732,0.4678065,-0.3179942
1059,-0.002047703,0.4676682,-0.3173763
1060,-0.000605993,0.4679873,-0.3163858
1061,0.0005073026,0.4598848,-0.3186004
1062,0.001394019,0.4546632,-0.3185305
1063,0.001835346,0.4479772,-0.3183442
1064,0.002054843,0.4379199,-0.3188137
1065,0.002229225,0.4264776,-0.3202165
1066,0.002238121,0.4153719,-0.3216247
1067,0.001482732,0.409323,-0.3226069
1068,-0.0006557219,0.3952646,-0.3213773
1069,-0.00356558,0.3807057,-0.3212402
1070,-0.006564256,0.3786844,-0.3237368
1071,-0.01074839,0.3765105,-0.3249669
1072,-0.0124501,0.3790638,-0.3257959
1073,-0.01435492,0.3831043,-0.3265571
1074,-0.01624193,0.3932185,-0.3273023
1075,-0.0182735,0.3996123,-0.327959
1076,-0.02028822,0.412159,-0.3275814
1077,-0.02251829,0.4238968,-0.3274928
1078,-0.02467939,0.4344129,-0.3276564
1079,-0.02713103,0.443912,-0.328115
1080,-0.02943421,0.4535893,-0.3284822
1081,-0.03173542,0.463989,-0.3287493
1082,-0.03309712,0.4674231,-0.3298584
1083,-0.03504551,0.475265,-0.3304202
1084,-0.03593808,0.4764418,-0.3318081
1085,-0.03707185,0.4802456,-0.332902
1086,-0.03764577,0.4779603,-0.3348092
1087,-0.03817826,0.4770139,-0.337079
1088,-0.03833438,0.4737797,-0.3397422
1089,-0.03857802,0.4694558,-0.3420884
1090,-0.03890117,0.4650446,-0.3443754
1091,-0.03940658,0.4534994,-0.3467835
1092,-0.03963191,0.4455187,-0.3492901
1093,-0.03907783,0.4300024,-0.3534583
1094,-0.03807271,0.4188424,-0.3570194
1095,-0.03756607,0.4075462,-0.3602972
1096,-0.03711119,0.4094687,-0.3594846
1097,-0.0371359,0.4042607,-0.3583907
1098,-0.0368512,0.3981887,-0.3590268
1099,-0.03513183,0.3919633,-0.3625524
1100,-0.03388447,0.3875979,-0.3640305
1101,-0.03285015,0.3830192,-0.3654397
1102,-0.02954762,0.3924787,-0.3640606
1103,-0.02771648,0.3967445,-0.3636939
1104,-0.02591125,0.402669,-0.3634733
1105,-0.02392092,0.4089498,-0.3630335
1106,-0.02201927,0.4149872,-0.3626279
1107,-0.0187684,0.4268447,-0.3616393
1108,-0.01646521,0.4354542,-0.3609735
1109,-0.0135909,0.4460013,-0.3599716
1110,-0.01083373,0.4557747,-0.3588399
1111,-0.00839306,0.4637968,-0.3569346
1112,-0.005874279,0.472784,-0.3555507
1113,-0.004209001,0.4756719,-0.354076
1114,-0.002392061,0.4785967,-0.3533972
1115,-0.0004510395,0.4832179,-0.3523113
1116,0.0007675812,0.4784579,-0.3544232
1117,0.002272639,0.4775955,-0.3550629
1118,0.003357518,0.4735333,-0.3566674
1119,0.003554503,0.467577,-0.3566946
1120,0.004426614,0.4633662,-0.3573393
1121,0.003733162,0.4499542,-0.357844
1122,0.00388579,0.4404944,-0.3587232
1123,0.003820851,0.4282433,-0.3607242
1124,0.004047149,0.4178555,-0.3624372
1125,0.003337399,0.4134285,-0.3629781
1126,0.002830128,0.4086047,-0.3627185
1127,0.002205376,0.4021037,-0.362266
1128,0.00128,0.3959426,-0.3619425
1129,0.0003901087,0.3903736,-0.3631813
1130,-0.001140486,0.3885294,-0.3644195
1131,-0.002339352,0.392602,-0.3646086
1132,-0.00344725,0.3926703,-0.3650706
1133,-0.004641674,0.4000008,-0.365166
1134,-0.006550919,0.4053603,-0.3659683
1135,-0.008080594,0.4098746,-0.3666178
1136,-0.01209804,0.4227091,-0.3674527
1137,-0.01453431,0.4309012,-0.3681003
1138,-0.01742003,0.4421332,-0.3687654
1139,-0.02021706,0.4516713,-0.3694419
1140,-0.02330428,0.4593345,-0.3700318
1141,-0.02914312,0.4743884,-0.3709036
1142,-0.03209279,0.4787814,-0.3710795
1143,-0.03683737,0.4808629,-0.3724584
1144,-0.03882394,0.4805259,-0.3736318
1145,-0.03969108,0.4756761,-0.375374
1146,-0.04072253,0.4714013,-0.3766642
1147,-0.04191428,0.4661407,-0.3768588
1148,-0.04300258,0.4585128,-0.3769145
1149,-0.04393234,0.4499363,-0.3773939
1150,-0.04310624,0.4354838,-0.3798667
1151,-0.04307578,0.4135024,-0.3827759
1152,-0.04155052,0.4107337,-0.3832816
1153,-0.04111267,0.406449,-0.3832506
1154,-0.04159188,0.4001659,-0.3808871
1155,-0.04120786,0.3953831,-0.3824246
1156,-0.04050578,0.3923602,-0.3834119
1157,-0.03895335,0.3921838,-0.3831913
1158,-0.03734417,0.3929836,-0.3829303
1159,-0.03614561,0.3924673,-0.3827626
1160,-0.03372615,0.402164,-0.3808504
1161,-0.03233128,0.405757,-0.3800831
1162,-0.02948214,0.4154477,-0.3783281
1163,-0.02735227,0.4234156,-0.3768654
1164,-0.02477566,0.4328629,-0.3753551
1165,-0.02224017,0.4410992,-0.3742566
1166,-0.01957964,0.4487886,-0.3728009
1167,-0.01693932,0.4560225,-0.3709213
1168,-0.01450451,0.4630127,-0.3686794
1169,-0.01192656,0.4705613,-0.366683
1170,-0.01064079,0.4713197,-0.3637556
1171,-0.008397788,0.4753553,-0.3616165
1172,-0.00615997,0.4791362,-0.3595898
1173,-0.004799578,0.4698332,-0.3621139
1174,-0.003254112,0.4645159,-0.362913
1175,-0.001609824,0.4601217,-0.3628934
