frame,x,y,z
4001,0.09858334,0.473787,-0.4108086
4002,0.1006386,0.464872,-0.4111495
4003,0.1020691,0.4523675,-0.4128619
4004,0.1027484,0.4386589,-0.4157761
4005,0.1040529,0.42669,-0.4175347
4006,0.1020236,0.424853,-0.4207959
4007,0.09981599,0.4183865,-0.420602
4008,0.09736608,0.4196717,-0.4182057
4009,0.09555052,0.4179816,-0.4180099
4010,0.09350824,0.4174999,-0.4234411
4011,0.09048211,0.4203401,-0.4256613
4012,0.0868935,0.4278916,-0.4261702
4013,0.08279601,0.442783,-0.4250867
4014,0.07918166,0.45155,-0.4255005
4015,0.0752681,0.4639439,-0.4256099
4016,0.07014088,0.4706867,-0.4277444
4017,0.06170551,0.4856585,-0.4293462
4018,0.05739329,0.4936031,-0.43021
4019,0.05473502,0.4895059,-0.4310714
4020,0.05129487,0.4908465,-0.4319001
4021,0.04860756,0.4862888,-0.4328308
4022,0.04564455,0.4845545,-0.4337223
4023,0.04354008,0.4801387,-0.433037
4024,0.04124643,0.4756467,-0.4312136
4025,0.03902659,0.4706143,-0.4301412
4026,0.04062706,0.4530423,-0.4285897
4027,0.04032505,0.4307972,-0.4264362
4028,0.04497319,0.4263782,-0.4274423
4029,0.04663546,0.4183984,-0.42692
4030,0.04865278,0.4136544,-0.426349
4031,0.04698032,0.4239324,-0.4196405
4032,0.04697275,0.4268638,-0.4178222
4033,0.04918681,0.4293647,-0.41708
4034,0.05095897,0.4320484,-0.4150478
4035,0.05561102,0.4396769,-0.4119066
4036,0.05870433,0.4470963,-0.4090587
4037,0.06163383,0.4558051,-0.4065318
4038,0.06449834,0.4634773,-0.4047851
4039,0.06790593,0.4708182,-0.402883
4040,0.07123297,0.4772858,-0.4005975
4041,0.07758386,0.4882355,-0.3964494
4042,0.08049731,0.4879059,-0.3949987
4043,0.083603,0.4909715,-0.3932276
4044,0.08594557,0.483593,-0.3937724
4045,0.08868153,0.4816776,-0.3931127
4046,0.09135823,0.4794954,-0.3924507
4047,0.09128019,0.4663601,-0.3911784
4048,0.09377242,0.4470631,-0.3919059
4049,0.09467582,0.4362514,-0.3928169
4050,0.0936562,0.4244481,-0.3972246
4051,0.09372701,0.4132219,-0.3993191
4052,0.09260765,0.4185666,-0.39999
4053,0.09192113,0.4200359,-0.3986008
4054,0.0913028,0.4170665,-0.3992595
4055,0.08876398,0.4238075,-0.3992141
4056,0.08725043,0.4270053,-0.4012324
4057,0.08585723,0.4296732,-0.4024518
4058,0.08357097,0.4402357,-0.403111
4059,0.08148744,0.4474365,-0.4039683
4060,0.07585064,0.462476,-0.4028805
4061,0.07220842,0.47291,-0.4031085
4062,0.0680714,0.4820857,-0.403664
4063,0.06458905,0.490307,-0.4039699
4064,0.06090344,0.4993826,-0.4042582
4065,0.05821542,0.4979073,-0.4048542
4066,0.05473547,0.5030394,-0.405248
4067,0.05316101,0.4954793,-0.4064575
4068,0.05067612,0.4944609,-0.4074003
4069,0.04963734,0.4884622,-0.4088453
4070,0.04766299,0.4850684,-0.4082866
4071,0.04561131,0.4814174,-0.4085779
4072,0.04456662,0.4718187,-0.4065633
4073,0.04369457,0.4629293,-0.4058465
4074,0.04265802,0.4548429,-0.4052458
4075,0.0472053,0.4364403,-0.4068052
4076,0.05041083,0.4340128,-0.4070003
4077,0.05492564,0.4253581,-0.4068524
4078,0.05470153,0.4262087,-0.4025205
4079,0.0543309,0.4265966,-0.3995408
4080,0.05562212,0.4300843,-0.4012277
4081,0.05746552,0.4312021,-0.4001216
4082,0.05977501,0.435688,-0.398401
4083,0.06179602,0.4448825,-0.3964173
4084,0.0631984,0.4536325,-0.3936118
4085,0.0649303,0.4614626,-0.3912736
4086,0.06735285,0.4711312,-0.3886821
4087,0.06948518,0.4794823,-0.3865646
4088,0.07149788,0.4881746,-0.3843415
4089,0.0741042,0.4884928,-0.3834041
4090,0.07644877,0.4942357,-0.3816224
4091,0.0784675,0.489578,-0.3807426
4092,0.08056968,0.489898,-0.379555
4093,0.08274378,0.4906519,-0.378283
4094,0.08351118,0.4816527,-0.3788781
4095,0.08453959,0.4757631,-0.3778368
4096,0.08546425,0.4668978,-0.3771604
4097,0.08656916,0.4587384,-0.3765764
4098,0.08658187,0.4426967,-0.3795205
4099,0.08593005,0.424023,-0.3824548
4100,0.0854583,0.4198151,-0.3834658
4101,0.08453631,0.4217627,-0.3814603
4102,0.08230659,0.4150991,-0.3807722
4103,0.08098397,0.4179513,-0.3838411
4104,0.07893312,0.420251,-0.3856817
4105,0.07710623,0.4218973,-0.3867477
4106,0.07394631,0.4364449,-0.3854872
4107,0.07058952,0.4465559,-0.3848739
4108,0.06118582,0.4670858,-0.3845824
4109,0.05691671,0.4751339,-0.384891
4110,0.05300956,0.4806826,-0.3845127
4111,0.04908555,0.4872064,-0.3844616
4112,0.0457423,0.4884555,-0.3847038
4113,0.04240771,0.4885383,-0.3849017
4114,0.03979666,0.4842738,-0.3856457
4115,0.03726239,0.4809244,-0.3864889
4116,0.03465962,0.4781938,-0.3871686
4117,0.03218279,0.4745008,-0.3861919
4118,0.02940233,0.4689297,-0.384286
4119,0.02747426,0.4605895,-0.3826035
4120,0.02643548,0.449749,-0.3811913
4121,0.02621933,0.4369359,-0.380209
4122,0.02874126,0.4247273,-0.3814866
4123,0.02993537,0.4176004,-0.3806815
4124,0.03174582,0.4224538,-0.3788809
4125,0.03241112,0.4206564,-0.3748257
4126,0.03343385,0.4171496,-0.3725576
4127,0.03205173,0.4159262,-0.3718673
4128,0.03366932,0.4200333,-0.3730079
4129,0.03669225,0.4247302,-0.3706611
4130,0.03953389,0.4308558,-0.3692389
4131,0.04203824,0.4411513,-0.3661279
4132,0.04416891,0.4518618,-0.363841
4133,0.04690405,0.4614791,-0.3620435
4134,0.04939974,0.4710681,-0.3599622
4135,0.05306234,0.4786601,-0.3591935
4136,0.05595858,0.48808,-0.3574597
4137,0.05865002,0.4911463,-0.3559588
4138,0.06146184,0.4962975,-0.3544393
4139,0.06429107,0.5021048,-0.352927
4140,0.06701259,0.4948205,-0.3528503
4141,0.06907253,0.4920052,-0.3522056
4142,0.07046615,0.4879821,-0.3511695
4143,0.07204863,0.4841583,-0.350129
4144,0.07247113,0.4734999,-0.3492194
4145,0.07301889,0.4616652,-0.3493106
4146,0.07352601,0.4496231,-0.3498683
4147,0.07320464,0.4352977,-0.3532194
4148,0.0733003,0.4224976,-0.3548603
4149,0.07189084,0.4234473,-0.3561755
4150,0.07145829,0.4222127,-0.3573526
4151,0.07089663,0.4192161,-0.3583717
4152,0.06782636,0.4206932,-0.3526146
4153,0.06652866,0.4199155,-0.3521964
4154,0.06568766,0.4244902,-0.3566626
4155,0.06417492,0.4263521,-0.3573948
4156,0.06324616,0.4328208,-0.3590993
4157,0.06098805,0.443496,-0.3589987
4158,0.05900911,0.4509191,-0.3594167
