frame,x,y,z
3001,0.04145997,0.4563394,-0.3335178
3002,0.04293036,0.4552892,-0.333369
3003,0.04444201,0.4540152,-0.3333166
3004,0.04595236,0.4541146,-0.3337083
3005,0.0473839,0.4540963,-0.3336326
3006,0.04888748,0.4575332,-0.3326594
3007,0.05173541,0.4600994,-0.3321084
3008,0.05284745,0.4622954,-0.3324748
3009,0.05408402,0.4633278,-0.332924
3010,0.05535343,0.4650003,-0.3332042
3011,0.05621849,0.4674347,-0.3335491
3012,0.05685373,0.4686493,-0.3336473
3013,0.05752457,0.4708956,-0.3341959
3014,0.05821514,0.4730355,-0.3345255
3015,0.05888329,0.475814,-0.3343159
3016,0.05955768,0.4778995,-0.3345285
3017,0.06020123,0.4798048,-0.3348282
3018,0.06067295,0.4810267,-0.3360568
3019,0.06117671,0.4827872,-0.3366648
3020,0.06140605,0.4837717,-0.3377951
3021,0.061756,0.4850256,-0.3386955
3022,0.0620585,0.4863951,-0.3395774
3023,0.06230538,0.4861335,-0.3406018
3024,0.06242699,0.4867451,-0.3415796
3025,0.06222376,0.4864434,-0.3425876
3026,0.06207119,0.4861527,-0.3436063
3027,0.06191161,0.4852214,-0.3445586
3028,0.06183635,0.4843596,-0.3454701
3029,0.06161283,0.4828709,-0.3463002
3030,0.06149127,0.4810287,-0.3469618
3031,0.06130839,0.4794619,-0.3478005
3032,0.06117661,0.476688,-0.3482296
3033,0.06086489,0.4738419,-0.3486593
3034,0.06046026,0.4709494,-0.3492453
3035,0.05985593,0.4678804,-0.349912
3036,0.05940283,0.4649394,-0.3505251
3037,0.05852144,0.4624412,-0.3511007
3038,0.05777942,0.4597729,-0.3517355
3039,0.05685874,0.4584622,-0.3520077
3040,0.05593573,0.4567068,-0.3523012
3041,0.05469017,0.4555801,-0.3521405
3042,0.05322298,0.4544152,-0.3525123
3043,0.05184497,0.4530897,-0.3528918
3044,0.05045007,0.4518922,-0.3536957
3045,0.04914881,0.4524653,-0.3547194
3046,0.04769511,0.4541844,-0.3551985
3047,0.04619773,0.4557558,-0.3555896
3048,0.04475167,0.4570095,-0.3561582
3049,0.04336252,0.4595971,-0.3564346
3050,0.04188514,0.4615372,-0.3569627
3051,0.04047165,0.4635075,-0.3575253
3052,0.03942527,0.4664934,-0.3584748
3053,0.03811054,0.4687764,-0.3591774
3054,0.03719072,0.4691843,-0.3600709
3055,0.03642293,0.4707759,-0.3610985
3056,0.0356921,0.4730809,-0.3619207
3057,0.03533982,0.4758844,-0.3621739
3058,0.03493679,0.4782673,-0.3626266
3059,0.03461049,0.4795662,-0.3634191
3060,0.03411033,0.4815069,-0.3641764
3061,0.03434294,0.4825458,-0.3648235
3062,0.03433323,0.483902,-0.3656211
3063,0.03422207,0.4853316,-0.3663737
3064,0.03487449,0.4849832,-0.367112
3065,0.0351481,0.4856864,-0.3678132
3066,0.03568337,0.484751,-0.3681562
3067,0.03608368,0.4843292,-0.3685873
3068,0.03646353,0.484207,-0.3690787
3069,0.03699735,0.4825958,-0.3689998
3070,0.03737319,0.4811107,-0.3688846
3071,0.03776921,0.4794456,-0.3688014
3072,0.03833904,0.4774733,-0.3686431
3073,0.03880595,0.4756846,-0.3685171
3074,0.03928364,0.4730535,-0.3679571
3075,0.03985035,0.4708949,-0.3676493
3076,0.04051499,0.4679486,-0.3670259
3077,0.04140615,0.4653971,-0.3663559
3078,0.04226354,0.4627783,-0.3657444
3079,0.04338793,0.4601606,-0.364894
3080,0.04465666,0.458008,-0.3641836
3081,0.04575772,0.4556348,-0.3634033
3082,0.0471303,0.4546662,-0.3621713
3083,0.04840977,0.4529371,-0.3611484
3084,0.0498039,0.4517187,-0.3599363
3085,0.05126527,0.4501203,-0.358819
3086,0.05279297,0.4485399,-0.3577051
3087,0.05469568,0.448684,-0.3574024
3088,0.05630639,0.4482984,-0.3565189
3089,0.05791433,0.452855,-0.355326
3090,0.05961668,0.4539002,-0.3541694
3091,0.06068142,0.4581919,-0.3536933
3092,0.06223506,0.4609233,-0.3528912
3093,0.06340069,0.4619711,-0.3527434
3094,0.06478325,0.4635036,-0.352946
3095,0.06618544,0.4656151,-0.3527757
3096,0.06716786,0.467494,-0.3528654
3097,0.0681593,0.4692855,-0.3528977
3098,0.06894265,0.4719651,-0.3531861
3099,0.06935457,0.4744616,-0.3529547
3100,0.07002304,0.4768036,-0.3529791
3101,0.06973723,0.4783666,-0.3533643
3102,0.07015317,0.4805236,-0.3535406
3103,0.07032191,0.481816,-0.3537058
3104,0.0706542,0.4829058,-0.3542838
3105,0.07088819,0.4836331,-0.3547757
3106,0.07121809,0.484032,-0.355328
3107,0.07145315,0.4841112,-0.3558433
3108,0.07143552,0.4841757,-0.3563429
3109,0.07153576,0.484354,-0.3568724
3110,0.07137387,0.4839813,-0.3573037
