frame,x,y,z
9001,0.09340452,0.4817327,-0.4861513
9002,0.09215409,0.4745328,-0.4845975
9003,0.09115471,0.4694,-0.4837948
9004,0.0896918,0.4633821,-0.4824246
9005,0.08834554,0.4579242,-0.4814309
9006,0.08646326,0.4546421,-0.4806461
9007,0.0848478,0.4513761,-0.4798681
9008,0.08283089,0.4480582,-0.4791693
9009,0.0805538,0.4462311,-0.4786061
9010,0.07862041,0.4437043,-0.4778877
9011,0.07658505,0.4434126,-0.4774065
9012,0.07466353,0.4422868,-0.4770792
9013,0.07354862,0.4498192,-0.477569
9014,0.07166048,0.451753,-0.477086
9015,0.07077315,0.4527873,-0.4761481
9016,0.06967408,0.4570931,-0.4763651
9017,0.06845327,0.4603022,-0.4760341
9018,0.06721412,0.4635897,-0.4757811
9019,0.06753936,0.4697083,-0.4763291
9020,0.06689303,0.4751138,-0.476209
9021,0.06639623,0.4820213,-0.4757237
9022,0.06614845,0.4904232,-0.4747771
9023,0.06626418,0.4935281,-0.4744891
9024,0.06625944,0.4977,-0.4741299
9025,0.06722062,0.4949541,-0.4743071
9026,0.06763707,0.4963837,-0.4740844
9027,0.06797819,0.4972319,-0.473814
9028,0.0689156,0.4909492,-0.4727976
9029,0.06961311,0.4891665,-0.4722956
9030,0.0705984,0.4837193,-0.4711061
9031,0.07137375,0.4801584,-0.4703528
9032,0.07248849,0.4745432,-0.4688428
9033,0.07342612,0.4697469,-0.4675636
9034,0.07461061,0.4646286,-0.4662381
9035,0.07572526,0.459285,-0.4651021
9036,0.076924,0.4540294,-0.4638395
9037,0.07831834,0.4517315,-0.4621479
9038,0.0799195,0.4487869,-0.4602102
9039,0.08148124,0.445399,-0.4583905
9040,0.08376289,0.4452642,-0.4566088
9041,0.08563361,0.4430528,-0.4547878
9042,0.0883288,0.4403622,-0.4544651
9043,0.09069028,0.4398896,-0.4543382
9044,0.09262524,0.4462056,-0.45373
9045,0.09478566,0.4525574,-0.4518907
9046,0.09705354,0.4559086,-0.4507113
9047,0.09835558,0.4579584,-0.4509126
9048,0.1002272,0.4618932,-0.4505425
9049,0.1005024,0.466916,-0.4510653
9050,0.1015453,0.472198,-0.4514818
9051,0.1017482,0.4776885,-0.4518798
9052,0.1017513,0.4905222,-0.4527848
9053,0.1012616,0.4902419,-0.4525681
9054,0.1007164,0.4919578,-0.4528682
9055,0.09983524,0.4996693,-0.4538677
9056,0.0992237,0.4975916,-0.4549964
9057,0.09858446,0.4981845,-0.4557868
9058,0.09723206,0.494856,-0.4569754
9059,0.0972714,0.4934253,-0.456681
9060,0.09648924,0.4898433,-0.4567881
9061,0.09568784,0.4865137,-0.4569919
9062,0.09485909,0.4819027,-0.4568553
9063,0.09368335,0.4765816,-0.4566535
9064,0.09241251,0.4717315,-0.4565003
9065,0.09082787,0.4671674,-0.4560643
9066,0.08910135,0.4612965,-0.4556142
9067,0.08753642,0.4557702,-0.4552534
9068,0.0856337,0.4506806,-0.4555114
9069,0.08404924,0.447019,-0.4555507
9070,0.08230554,0.4421485,-0.4554502
9071,0.0810537,0.4420861,-0.455189
9072,0.07916739,0.4396718,-0.4550476
9073,0.07691168,0.4399883,-0.4545086
9074,0.07510686,0.4391162,-0.4545972
9075,0.07319655,0.4379059,-0.4544746
9076,0.07218964,0.4475167,-0.4568774
9077,0.07068256,0.4496108,-0.4572662
9078,0.06962822,0.4514624,-0.4576956
9079,0.06832867,0.4546538,-0.4585092
9080,0.06720091,0.4599566,-0.457882
9081,0.06641395,0.465089,-0.4587834
9082,0.06569962,0.4701492,-0.4589121
9083,0.0650005,0.4756105,-0.4592209
9084,0.06431438,0.4813483,-0.4594322
9085,0.06402694,0.4862708,-0.4590847
9086,0.06372598,0.4930208,-0.4594222
9087,0.06406645,0.4937579,-0.4598901
9088,0.06433158,0.4939799,-0.460123
9089,0.06459706,0.4931837,-0.4600978
9090,0.06488037,0.4926949,-0.460111
9091,0.06528323,0.4892198,-0.4594923
9092,0.06561086,0.4870974,-0.4592561
9093,0.06601997,0.4823634,-0.4582246
9094,0.06640381,0.4779679,-0.4573018
9095,0.06684472,0.473671,-0.4563887
9096,0.06750582,0.4686821,-0.455205
9097,0.06829051,0.4636005,-0.4539805
9098,0.06899724,0.4585748,-0.4528426
9099,0.07014192,0.4544316,-0.4516266
9100,0.07132373,0.4507521,-0.4505705
9101,0.07236519,0.4464719,-0.4494089
9102,0.07441044,0.4461494,-0.4487929
9103,0.07583339,0.4431156,-0.4477973
9104,0.07774047,0.4424206,-0.4472036
9105,0.07963324,0.4405476,-0.4467601
9106,0.08181143,0.4409586,-0.4477877
9107,0.08305197,0.4486064,-0.4481531
9108,0.08438434,0.4525904,-0.4466087
9109,0.08587479,0.453917,-0.4462712
9110,0.0872184,0.4588042,-0.447678
9111,0.08808669,0.462057,-0.447304
9112,0.08918808,0.4664845,-0.4478581
9113,0.09044198,0.4709922,-0.4485221
9114,0.09062763,0.4766874,-0.4497704
9115,0.09113725,0.4818169,-0.4504556
9116,0.09031654,0.4882861,-0.4503918
9117,0.09025205,0.4925821,-0.4510471
9118,0.09033765,0.4973123,-0.4517334
9119,0.09001289,0.4966612,-0.4527645
9120,0.08970615,0.4985693,-0.4538002
9121,0.08908547,0.4970731,-0.4550688
9122,0.0887235,0.496337,-0.456075
9123,0.08847804,0.4936019,-0.4569494
9124,0.08799794,0.4904284,-0.4576529
9125,0.08761538,0.488031,-0.4584979
9126,0.08687088,0.4827065,-0.4585726
9127,0.08625815,0.4784466,-0.4590131
9128,0.08541695,0.4725672,-0.4592187
9129,0.08469671,0.4677767,-0.4596405
9130,0.08337343,0.4621651,-0.4597199
9131,0.08234305,0.4565441,-0.4598129
9132,0.08141231,0.4510784,-0.4598953
9133,0.08020217,0.448088,-0.4598767
9134,0.07911602,0.4447994,-0.4598782
9135,0.07802259,0.4407995,-0.4598789
9136,0.07611456,0.4413605,-0.4594518
9137,0.07472406,0.4389574,-0.459281
9138,0.07247857,0.4382749,-0.4589407
9139,0.07104576,0.4402125,-0.4594941
9140,0.06949916,0.4467172,-0.4597816
9141,0.06817123,0.4462485,-0.4583552
9142,0.06676792,0.4481899,-0.4582379
9143,0.06591553,0.4539823,-0.4590886
9144,0.06469742,0.4574868,-0.4589783
9145,0.06433917,0.4626032,-0.4594222
9146,0.06432219,0.4683578,-0.4595293
9147,0.06384512,0.4736283,-0.4595821
9148,0.06387652,0.4815358,-0.4592479
9149,0.06380435,0.4875383,-0.4589905
9150,0.06362311,0.4938201,-0.4588486
9151,0.06473669,0.4939905,-0.4590926
9152,0.06526382,0.4958087,-0.4595041
9153,0.0660357,0.4967885,-0.4597517
9154,0.06674452,0.4983296,-0.459987
9155,0.06760906,0.4964101,-0.4595128
9156,0.06832669,0.4950106,-0.4591753
9157,0.06912365,0.4917839,-0.4586374
9158,0.06983469,0.4885876,-0.4580556
9159,0.07067569,0.4839677,-0.4572451
9160,0.07163431,0.4788263,-0.4563198
9161,0.07251234,0.4740754,-0.4554746
9162,0.07364435,0.4688989,-0.4542877
9163,0.07508904,0.4629713,-0.4529223
9164,0.07620829,0.4573911,-0.4518598
9165,0.077969,0.4540687,-0.4504789
9166,0.07932437,0.4500923,-0.4492424
9167,0.08085877,0.4489794,-0.447957
9168,0.0825225,0.4465261,-0.4469357
9169,0.08445766,0.4453367,-0.4461599
9170,0.08671279,0.4436969,-0.4461251
9171,0.08890072,0.4431059,-0.4463027
9172,0.09097244,0.4418545,-0.4460201
9173,0.09353574,0.4538739,-0.4451857
9174,0.09524882,0.4546598,-0.4440973
9175,0.0985366,0.461418,-0.446059
9176,0.1000765,0.4649148,-0.4462581
9177,0.1011167,0.4708723,-0.447218
9178,0.1023819,0.4757271,-0.4477498
9179,0.1028724,0.4811838,-0.4483449
9180,0.1035873,0.4869053,-0.4490418
9181,0.1041573,0.4908466,-0.4493646
9182,0.1047272,0.4936378,-0.4503182
9183,0.105292,0.4969527,-0.4511729
9184,0.1057075,0.4960223,-0.4524727
9185,0.1061071,0.4965095,-0.4536527
