frame,x,y,z
1,0.02191298,-0.2781795,0.4450548
2,0.03048698,-0.2779979,0.4442318
3,0.0390078,-0.2774882,0.4433625
4,0.05597258,-0.2768557,0.441644
5,0.06593451,-0.2767099,0.4409296
6,0.07596371,-0.2763682,0.4401305
7,0.08631317,-0.2758081,0.43947
8,0.1066429,-0.274857,0.4381128
9,0.1170487,-0.274251,0.4376009
10,0.127478,-0.2736733,0.4370947
11,0.1376806,-0.2730657,0.4368353
12,0.1479705,-0.2725248,0.4363958
13,0.1584183,-0.2720158,0.4360311
14,0.1693655,-0.2712138,0.435626
15,0.1906908,-0.2700033,0.4350091
16,0.2013417,-0.2685724,0.4350845
17,0.2120345,-0.2677113,0.4349422
18,0.2223709,-0.2664074,0.4349924
19,0.2327007,-0.265254,0.4349438
20,0.2429925,-0.2646254,0.4347093
21,0.2534224,-0.2636718,0.434635
22,0.2634428,-0.2631017,0.4345179
23,0.2734877,-0.2624728,0.4344089
24,0.2834478,-0.2618358,0.4343164
25,0.2936583,-0.2611362,0.4341658
26,0.3038018,-0.2604198,0.4339906
27,0.3139969,-0.259769,0.4338364
28,0.3235913,-0.259092,0.4333797
29,0.3336589,-0.2584029,0.4330671
30,0.3440461,-0.257624,0.4323399
31,0.3544306,-0.2570435,0.4318286
32,0.3649287,-0.2564606,0.4313797
33,0.37545,-0.2555075,0.4308631
34,0.3858396,-0.2547216,0.4303801
35,0.3954794,-0.2534646,0.4300582
36,0.4057807,-0.2525446,0.4296618
37,0.4165445,-0.2515954,0.4292381
38,0.4271453,-0.2506779,0.4288377
39,0.4386164,-0.2499595,0.4282609
40,0.4499813,-0.2489531,0.4277456
41,0.4611709,-0.2480126,0.4272994
42,0.4713406,-0.2462403,0.4270439
43,0.4822548,-0.2446674,0.4267069
44,0.4932361,-0.2432619,0.4262822
45,0.5031531,-0.2420995,0.4258265
46,0.5137026,-0.2415236,0.4253909
47,0.5347244,-0.2397633,0.4246849
48,0.545251,-0.2393505,0.4244244
49,0.5556205,-0.2385769,0.4240309
50,0.5655327,-0.2375573,0.423703
51,0.5749967,-0.2368164,0.4234816
52,0.5848492,-0.236141,0.4232697
53,0.5937843,-0.2359788,0.4234146
54,0.6031357,-0.2354177,0.4234098
55,0.6116983,-0.2361264,0.4236107
56,0.6203548,-0.2366621,0.4236559
57,0.6287484,-0.236963,0.4235254
58,0.6365371,-0.2370906,0.4234163
59,0.644206,-0.2374337,0.4232536
60,0.6519804,-0.237796,0.4230739
61,0.6572415,-0.2377511,0.4233628
62,0.663969,-0.2380406,0.4234176
63,0.6690487,-0.238614,0.4238129
64,0.6745459,-0.2392646,0.4239772
65,0.6801431,-0.2397538,0.4241446
66,0.6834504,-0.240366,0.4245572
67,0.6880102,-0.2408111,0.4248668
68,0.6902875,-0.2402123,0.4254065
69,0.6937994,-0.2404057,0.4258195
70,0.6952788,-0.2409508,0.4262796
71,0.6973876,-0.2407386,0.4265758
72,0.6995108,-0.2405953,0.4269617
73,0.6983922,-0.2395336,0.4272988
74,0.6992143,-0.2391554,0.4276455
75,0.6985205,-0.2391116,0.4277567
76,0.6981221,-0.2390233,0.4279922
77,0.6967879,-0.2390365,0.4282483
78,0.6944984,-0.2384781,0.4285171
79,0.6929086,-0.2382116,0.4287541
80,0.6892889,-0.2379611,0.4287087
81,0.6864435,-0.2378303,0.42884
82,0.6836374,-0.2375985,0.4289696
83,0.6784506,-0.2375794,0.429185
84,0.6743448,-0.2375656,0.4286435
85,0.6701043,-0.2373938,0.4283043
86,0.6652153,-0.2373408,0.428306
87,0.6600845,-0.237492,0.4283302
88,0.6552039,-0.2379016,0.4281659
89,0.650347,-0.2380745,0.4280414
90,0.6458446,-0.2394975,0.4275604
91,0.6410739,-0.240163,0.4274116
92,0.6362924,-0.2409473,0.4272851
93,0.6317223,-0.2420914,0.4277267
94,0.6275093,-0.2428425,0.4277296
95,0.6230913,-0.2431728,0.4275391
96,0.6186877,-0.2437705,0.4275851
97,0.6141363,-0.2431405,0.4279246
98,0.6093367,-0.2432081,0.4283973
99,0.6042186,-0.2427521,0.4286136
100,0.5990531,-0.2422084,0.428661
101,0.5933115,-0.2414119,0.4287315
102,0.5876431,-0.2409477,0.42895
103,0.5817454,-0.2404479,0.429121
104,0.5761303,-0.2398636,0.4292736
105,0.5676695,-0.2397936,0.4291806
106,0.5610685,-0.2393681,0.4291779
107,0.5529155,-0.2396385,0.4289029
108,0.5452348,-0.2395995,0.4287893
109,0.5362661,-0.2394197,0.4288702
110,0.5278346,-0.2397509,0.4287573
111,0.5193286,-0.2397901,0.4285735
112,0.5105228,-0.2401952,0.4283591
113,0.5016969,-0.2404785,0.4281718
114,0.492486,-0.2408454,0.4279684
115,0.4830012,-0.2412584,0.4278228
116,0.4738262,-0.2415773,0.4276366
117,0.4632,-0.2413083,0.4276503
118,0.4533474,-0.2413217,0.4275563
119,0.4427037,-0.2414092,0.4275423
120,0.4319495,-0.2417308,0.4275345
121,0.4215967,-0.241816,0.4274797
122,0.4099426,-0.2421811,0.4275645
123,0.3991584,-0.2422874,0.4275383
124,0.3880107,-0.2425509,0.4274803
125,0.3767892,-0.2427765,0.4274739
126,0.3653142,-0.2432798,0.4273943
127,0.353649,-0.2438077,0.4273319
128,0.3422068,-0.2441302,0.427257
129,0.3300211,-0.2443877,0.4271165
130,0.3180526,-0.244774,0.4269714
131,0.3058382,-0.2455862,0.4267643
132,0.2937588,-0.246092,0.4266661
133,0.2815908,-0.2464557,0.4266726
134,0.2692571,-0.2470815,0.4265141
135,0.2570329,-0.2476993,0.4264143
136,0.244835,-0.2481082,0.4262468
137,0.2324642,-0.2484666,0.4262022
138,0.2199207,-0.2491387,0.426223
139,0.2076943,-0.2495189,0.4261985
140,0.1953461,-0.2499383,0.4261956
141,0.1834687,-0.2507537,0.4263569
142,0.1714187,-0.251282,0.4264704
143,0.1593274,-0.2518165,0.4265922
144,0.1475255,-0.2522839,0.4270459
145,0.1355433,-0.2528398,0.4272479
146,0.1242512,-0.2536171,0.4273985
147,0.1126203,-0.2542644,0.4275894
148,0.1014359,-0.2548883,0.4279019
149,0.09008163,-0.2554759,0.4281315
150,0.07945256,-0.2559372,0.4286098
151,0.06880177,-0.2567748,0.4290496
152,0.04842355,-0.2585145,0.429684
153,0.03846155,-0.2594674,0.4299873
154,0.03012256,-0.2606446,0.430302
155,0.01201886,-0.2623993,0.430934
156,0.003649797,-0.2632117,0.431185
157,-0.004718082,-0.2641445,0.4314112
158,-0.01173799,-0.2648617,0.4315569
159,-0.01911403,-0.2657775,0.431702
160,-0.02464323,-0.2663865,0.4316494
161,-0.03677485,-0.2676671,0.4316808
162,-0.04152963,-0.2679422,0.4318428
163,-0.04593447,-0.2677538,0.4318783
164,-0.05000369,-0.2675985,0.431804
165,-0.05331536,-0.2675894,0.4318779
166,-0.0568603,-0.2676351,0.4319895
167,-0.06030434,-0.2676535,0.4320983
168,-0.06034769,-0.2678919,0.4321585
169,-0.06228309,-0.2679694,0.4322782
170,-0.06192514,-0.2680619,0.4323939
171,-0.06239886,-0.2681828,0.4324911
172,-0.06307322,-0.2683466,0.4326186
173,-0.06053153,-0.2682738,0.4325107
174,-0.0617344,-0.2683714,0.432598
175,-0.05560112,-0.2680768,0.4323054
176,-0.05335508,-0.2680836,0.4321944
177,-0.04866487,-0.2680582,0.4320081
178,-0.04535522,-0.2680075,0.4318582
179,-0.04020035,-0.2677349,0.431764
180,-0.03443746,-0.2675319,0.4315966
181,-0.02945461,-0.2673576,0.431451
182,-0.02200935,-0.2668726,0.431374
183,-0.0148074,-0.2665262,0.4313761
184,0.0005322499,-0.2656962,0.4314053
185,0.008287122,-0.2652511,0.4313986
186,0.01835398,-0.2648504,0.431382
187,0.02751703,-0.2644486,0.4313571
188,0.03659707,-0.2640111,0.4313857
189,0.04845192,-0.2634672,0.4312502
190,0.06003641,-0.2626587,0.4312182
191,0.07162531,-0.2619555,0.4312308
192,0.08411763,-0.2614762,0.4311542
193,0.0967795,-0.2609693,0.4309907
194,0.1095463,-0.2605563,0.4308288
195,0.1221234,-0.2600567,0.4306819
196,0.1368763,-0.2593134,0.4307845
197,0.1504169,-0.2586671,0.4308017
198,0.1641135,-0.2574566,0.4310166
199,0.1775066,-0.256592,0.4311612
200,0.1904697,-0.2556531,0.4314497
201,0.2027522,-0.2549513,0.4318728
202,0.2156477,-0.2541697,0.4321888
203,0.2292782,-0.2540994,0.4320666
204,0.2430386,-0.2537549,0.4321396
205,0.2568096,-0.2534709,0.432257
206,0.2709908,-0.2519978,0.4323785
207,0.28472,-0.2512254,0.4324571
208,0.297581,-0.249558,0.4324783
209,0.3108159,-0.2484194,0.4327106
210,0.3233564,-0.2479204,0.4326223
211,0.3504672,-0.2467093,0.4325197
212,0.3633345,-0.2460721,0.4323791
213,0.3763797,-0.2453902,0.4322918
214,0.3897094,-0.2447637,0.4321417
215,0.4019395,-0.2433462,0.4315665
216,0.4150251,-0.2424974,0.4312895
217,0.4266528,-0.2409553,0.4309388
218,0.4387983,-0.2395469,0.4306669
219,0.4496711,-0.2376819,0.4301193
220,0.4607125,-0.2367437,0.4296577
221,0.472153,-0.2363387,0.429208
222,0.4839104,-0.2361251,0.4289766
223,0.495576,-0.2357902,0.4287119
224,0.5074828,-0.2364532,0.4283811
225,0.5191392,-0.2364721,0.4280276
226,0.5301918,-0.2367518,0.4280684
227,0.541179,-0.2368749,0.4280289
228,0.5522501,-0.2371468,0.4279656
229,0.5626921,-0.2371371,0.4280857
230,0.5729789,-0.2370518,0.4281428
231,0.5832775,-0.2370798,0.4282548
232,0.5910457,-0.2370988,0.4282219
233,0.5998465,-0.2369239,0.4281508
234,0.6088187,-0.2369181,0.4282362
235,0.6159974,-0.2373523,0.4271721
236,0.6237614,-0.2377099,0.4265016
237,0.6313217,-0.2381406,0.4257911
238,0.6388536,-0.2384393,0.4250341
239,0.6455858,-0.238696,0.4238581
240,0.6516325,-0.2392632,0.4229931
241,0.6638099,-0.2402937,0.4212226
242,0.6685306,-0.2409257,0.4206952
243,0.6728563,-0.241461,0.4202528
244,0.6774434,-0.2420946,0.4197225
245,0.6820149,-0.2426881,0.4191953
246,0.6843075,-0.2423859,0.4192991
247,0.6878196,-0.2426467,0.4190835
248,0.6894091,-0.24217,0.4190635
249,0.6917021,-0.2419104,0.4189453
250,0.6940839,-0.2415017,0.4187842
251,0.6934485,-0.2400558,0.4192885
252,0.6946111,-0.2392657,0.4193688
253,0.6931856,-0.2377858,0.4196175
254,0.6928891,-0.236603,0.4196997
255,0.6907724,-0.2353268,0.4197228
256,0.6888574,-0.2344525,0.4197844
257,0.6864621,-0.2340152,0.4200698
258,0.684019,-0.233727,0.4201905
259,0.6809724,-0.2338212,0.4202608
260,0.6781408,-0.234296,0.420415
261,0.6753989,-0.2347534,0.4205274
262,0.6729868,-0.2359055,0.4205771
263,0.6705664,-0.2372604,0.4207413
264,0.6677056,-0.2375191,0.4205572
265,0.665432,-0.2379266,0.4214659
266,0.6620882,-0.238356,0.4211612
267,0.6581878,-0.2381259,0.42083
268,0.6548333,-0.2383296,0.4210854
269,0.6515356,-0.2384164,0.4213641
270,0.6459012,-0.2377005,0.4215939
271,0.6417552,-0.2375208,0.4218935
272,0.6375841,-0.2373108,0.4219674
273,0.6319194,-0.2376547,0.4220684
274,0.6273021,-0.2375454,0.4222128
275,0.6208559,-0.2373096,0.4222831
276,0.6154361,-0.2371623,0.4224158
277,0.6085265,-0.2365091,0.4225086
278,0.6016408,-0.2359832,0.4224195
279,0.5950801,-0.2354907,0.4224598
280,0.5869116,-0.2351471,0.4225466
281,0.5795358,-0.2347594,0.4226605
282,0.5709555,-0.234497,0.4232124
283,0.5623567,-0.2345653,0.4237312
284,0.5540593,-0.2344975,0.4240848
285,0.5450624,-0.2354025,0.4247572
286,0.5364103,-0.2356368,0.4252785
287,0.5259023,-0.2352909,0.4261772
288,0.5159757,-0.2355127,0.4269395
289,0.5060517,-0.2356164,0.4276497
290,0.4950194,-0.2360774,0.4284078
291,0.4846888,-0.2362525,0.4291946
292,0.4737096,-0.236626,0.429977
293,0.4623773,-0.2371322,0.4306499
294,0.4506905,-0.2374296,0.4312667
295,0.4391229,-0.2377679,0.431904
296,0.4271682,-0.2377918,0.4324197
297,0.4035905,-0.2380328,0.4335843
298,0.3905374,-0.2379878,0.4338251
299,0.3780332,-0.2380397,0.4342037
300,0.3523942,-0.2379759,0.4348148
301,0.3388796,-0.2379528,0.4350513
302,0.3252953,-0.238183,0.4352577
303,0.3116044,-0.2387503,0.4353664
304,0.2977748,-0.2391317,0.4356285
305,0.2838133,-0.2395577,0.4359202
306,0.2700433,-0.2398795,0.4361531
307,0.2552783,-0.2407876,0.4365072
308,0.2270389,-0.2418478,0.4371158
309,0.2133294,-0.2421119,0.4378704
310,0.1993874,-0.2418852,0.4383977
311,0.1851259,-0.2418506,0.4390697
312,0.1709154,-0.2419945,0.4396794
313,0.1569266,-0.2426903,0.4404323
314,0.1431611,-0.2436496,0.4410121
315,0.1291693,-0.2441622,0.4416897
316,0.1156482,-0.2453086,0.4419088
317,0.1018313,-0.2460631,0.4424152
318,0.08855224,-0.2475253,0.4422591
319,0.07521463,-0.2486796,0.4425032
320,0.06320111,-0.2499153,0.4427267
321,0.03777382,-0.2524381,0.4429812
322,0.02668214,-0.253509,0.4429336
323,0.01507297,-0.2546359,0.4428413
324,0.005483347,-0.2557926,0.4425357
325,-0.01541249,-0.2579747,0.4425839
326,-0.02440455,-0.2587829,0.4425593
327,-0.0324763,-0.2594721,0.4425826
328,-0.03952578,-0.2598493,0.4425646
329,-0.05423145,-0.2609798,0.4426204
330,-0.06004013,-0.2615007,0.4426212
331,-0.06622722,-0.2619939,0.4426475
332,-0.07034151,-0.262053,0.4426752
333,-0.0751215,-0.2621314,0.4427759
334,-0.07870717,-0.2617349,0.4427598
335,-0.08205634,-0.2615323,0.4426834
336,-0.08550473,-0.2614175,0.4427241
337,-0.08696317,-0.2611265,0.4427789
338,-0.08867257,-0.2608755,0.442788
339,-0.08930462,-0.260493,0.4427612
340,-0.08967212,-0.26046,0.4428146
341,-0.09019092,-0.2602846,0.4428504
342,-0.09093142,-0.2601096,0.4428865
343,-0.08747315,-0.2598531,0.4430701
344,-0.08852267,-0.2596749,0.4431335
345,-0.08244991,-0.2590728,0.443389
346,-0.08014686,-0.2586895,0.4435354
347,-0.07566181,-0.2586815,0.4436926
348,-0.07202721,-0.2585465,0.4439252
349,-0.06646989,-0.2585638,0.4440826
350,-0.06142788,-0.2585834,0.4442511
351,-0.05437021,-0.2587892,0.4443344
352,-0.04772607,-0.2587504,0.4445679
353,-0.04089075,-0.2585777,0.4448082
354,-0.03417364,-0.2585004,0.4450395
355,-0.02421531,-0.25805,0.4450922
356,-0.01597829,-0.2578045,0.4452046
357,-0.005381152,-0.2568739,0.4453286
358,0.00431394,-0.2564156,0.4453108
359,0.01630805,-0.2559265,0.4450872
360,0.02889046,-0.2552283,0.4448466
361,0.05371836,-0.2540146,0.444373
362,0.06641176,-0.2534472,0.4442115
363,0.08135762,-0.2526004,0.4438194
364,0.09575625,-0.2518194,0.4435
365,0.1112808,-0.2510745,0.4433936
366,0.1272728,-0.2500567,0.4430363
367,0.1428866,-0.2483078,0.4429871
368,0.1739807,-0.2453862,0.4427398
369,0.1897142,-0.2437835,0.4425362
370,0.2041326,-0.2423687,0.4423697
371,0.2193566,-0.2406793,0.4421387
372,0.2339662,-0.2392816,0.4421791
373,0.2494142,-0.2377922,0.4420676
374,0.2649874,-0.236341,0.4419725
375,0.2802635,-0.2357957,0.4414871
376,0.2956009,-0.2346827,0.441218
377,0.3105302,-0.2350421,0.4409588
378,0.3257956,-0.2347428,0.4405834
379,0.3413556,-0.2357962,0.440083
380,0.3567916,-0.2359373,0.4396205
381,0.372388,-0.2356975,0.4394289
382,0.387659,-0.2350965,0.4392036
383,0.4030336,-0.2348931,0.4389029
384,0.4177774,-0.2341233,0.4386402
385,0.4325037,-0.2335939,0.4382247
386,0.4474464,-0.2331369,0.4378718
387,0.4608967,-0.2328631,0.437554
388,0.4747207,-0.2328227,0.4370107
389,0.4885039,-0.2331269,0.4364336
390,0.5024099,-0.2331276,0.4359166
391,0.5156432,-0.2335456,0.4353875
392,0.5289627,-0.2336808,0.4349065
393,0.5418038,-0.2338796,0.434194
394,0.5548443,-0.2341962,0.4336292
395,0.5670105,-0.2348489,0.4329606
396,0.5794766,-0.2353172,0.4323438
397,0.5911211,-0.2361925,0.431855
398,0.602559,-0.2366901,0.4311618
399,0.6254272,-0.2377989,0.429866
400,0.6347362,-0.2381174,0.4288771
401,0.6547831,-0.2390138,0.4272203
402,0.6628654,-0.2387402,0.4265676
403,0.6697608,-0.2396019,0.4256684
404,0.6842019,-0.2403202,0.4239863
405,0.6905962,-0.2404035,0.4231376
406,0.6971291,-0.2406214,0.4222989
407,0.6984845,-0.2401789,0.4221448
408,0.701265,-0.2403069,0.4215719
409,0.7031915,-0.2397646,0.4208686
410,0.7048295,-0.2392161,0.4201951
411,0.7071425,-0.238916,0.4195461
412,0.7048073,-0.2382162,0.4185413
413,0.7050007,-0.2378382,0.4177797
414,0.7032449,-0.2372939,0.4169014
415,0.7015339,-0.2368636,0.4160372
416,0.6992753,-0.2363192,0.4152998
417,0.6969035,-0.2360602,0.4146468
