frame,x,y,z
1,0.09858445,0.6931102,-0.3549007
2,0.0973821,0.6935863,-0.3545198
3,0.09594726,0.6945249,-0.3538135
4,0.09467059,0.6950774,-0.353467
5,0.09278023,0.697451,-0.351999
6,0.0909361,0.6995599,-0.3507206
7,0.08878662,0.7030327,-0.3485425
8,0.0869003,0.70554,-0.3470783
9,0.08428743,0.7100251,-0.3440747
10,0.081961,0.7144054,-0.3414159
11,0.07964555,0.7184838,-0.3389741
12,0.07722773,0.7226341,-0.3365146
13,0.07504177,0.7295634,-0.3317403
14,0.0728753,0.7343199,-0.3282726
15,0.06842841,0.7436615,-0.3222896
16,0.06631619,0.7477978,-0.3199802
17,0.06421682,0.7521208,-0.317489
18,0.06252902,0.7557179,-0.3163942
19,0.06073554,0.7597538,-0.3146393
20,0.05889414,0.7630365,-0.3130655
21,0.05700084,0.7659037,-0.3118699
22,0.05530565,0.7669311,-0.3113184
23,0.05350038,0.767317,-0.3106822
24,0.05209645,0.7662043,-0.3104795
25,0.05045037,0.766492,-0.3099874
26,0.04937787,0.7609091,-0.3108775
27,0.04853328,0.755254,-0.3121972
28,0.04737508,0.7511614,-0.3129441
29,0.04660115,0.7422169,-0.3157285
30,0.04555299,0.736312,-0.3171482
31,0.04516429,0.7288718,-0.3191887
32,0.0444824,0.7221391,-0.320813
33,0.04403774,0.7162567,-0.3217928
34,0.04349113,0.7107061,-0.3226195
35,0.04310188,0.7045945,-0.3239008
36,0.04357843,0.6996913,-0.3252985
37,0.0434761,0.6944109,-0.326706
38,0.04382316,0.6912932,-0.3282466
39,0.04394686,0.6873807,-0.3296209
40,0.04448253,0.6855031,-0.3312146
41,0.04509506,0.6833808,-0.3326594
42,0.04570097,0.6810194,-0.3341309
43,0.0470878,0.6807763,-0.3352773
44,0.04847746,0.6799241,-0.3363249
45,0.05017123,0.6798515,-0.3368875
46,0.05175371,0.6803373,-0.3367319
47,0.05325684,0.6804479,-0.337042
48,0.05504636,0.6819466,-0.3359842
49,0.05673095,0.6831938,-0.3354978
50,0.05858805,0.6856748,-0.3340198
51,0.06027607,0.6887359,-0.3321849
52,0.06205083,0.6910529,-0.3308826
53,0.06400491,0.6966279,-0.3276764
54,0.06607922,0.7018688,-0.3243101
55,0.06814764,0.7066093,-0.321521
56,0.06995399,0.7116079,-0.3191954
57,0.07172503,0.7169204,-0.3167509
58,0.07338066,0.7226226,-0.3154857
59,0.07687335,0.7338634,-0.3122479
60,0.078916,0.740172,-0.3110375
61,0.08079253,0.7460977,-0.3096034
62,0.08269193,0.7519433,-0.308239
63,0.08481202,0.7563478,-0.3075629
64,0.0865873,0.7592181,-0.3070261
65,0.08826311,0.7610229,-0.3068744
66,0.09012704,0.7636256,-0.3065552
67,0.09146231,0.7625514,-0.3069584
68,0.09293082,0.7606512,-0.3077676
69,0.09415695,0.757198,-0.3093881
70,0.09516589,0.7532834,-0.3109795
71,0.09626941,0.7504039,-0.31207
72,0.09721167,0.7465272,-0.3134632
73,0.09715569,0.7379248,-0.3151502
74,0.09733087,0.7320388,-0.3164829
75,0.09750696,0.7261116,-0.3177881
76,0.09723439,0.7201264,-0.3189048
77,0.09703775,0.7140527,-0.320427
78,0.09681217,0.7080015,-0.3217815
79,0.09610403,0.7028471,-0.3229156
80,0.09510934,0.6982101,-0.3237764
81,0.09384815,0.6947839,-0.324396
82,0.09254207,0.6915945,-0.3247585
83,0.09122494,0.6882637,-0.3252887
84,0.08918571,0.686964,-0.3257056
85,0.08707618,0.6863049,-0.3258606
86,0.08531079,0.6847874,-0.3260835
87,0.08246742,0.6876572,-0.3254975
88,0.08014832,0.6884537,-0.3252749
89,0.07788218,0.6889247,-0.3251013
90,0.07455385,0.6944823,-0.3237075
91,0.07189906,0.6970831,-0.3231069
92,0.06925707,0.7019489,-0.3217294
93,0.06655563,0.70555,-0.3208828
94,0.06415061,0.7113332,-0.3186235
95,0.06161998,0.7161835,-0.3169223
96,0.05902074,0.7209052,-0.315411
97,0.05702045,0.7274477,-0.3126518
98,0.05474946,0.7328668,-0.3104086
99,0.05239822,0.7383884,-0.30829
100,0.05114761,0.7425311,-0.3065927
