frame,x,y,z
1,-0.009355891,0.4231694,-0.2573999
2,-0.008645182,0.4115136,-0.2578812
3,-0.007579065,0.4178969,-0.2566952
4,-0.006964656,0.4130186,-0.2561637
5,-0.008044698,0.4138869,-0.2497655
6,-0.007768677,0.4111199,-0.247427
7,-0.005674012,0.413201,-0.2466299
8,-0.00299038,0.4127811,-0.2462889
9,-0.001462332,0.4127345,-0.2447489
10,0.0005034404,0.4233607,-0.2429373
11,0.001132681,0.4296738,-0.2402825
12,0.002480287,0.4349124,-0.2381913
13,0.003756588,0.445429,-0.2373966
14,0.005635333,0.4527305,-0.2362409
15,0.00832844,0.459482,-0.2349398
16,0.009936305,0.4661614,-0.2334289
17,0.01169836,0.4734442,-0.2320282
18,0.01257523,0.469436,-0.2312574
19,0.01417098,0.4707046,-0.2303821
20,0.01571704,0.4733019,-0.2293438
21,0.01672752,0.4623243,-0.2286039
22,0.0180159,0.4592779,-0.2275445
23,0.01811197,0.4488187,-0.2269745
24,0.01949474,0.4367059,-0.2280528
25,0.02188347,0.4163323,-0.2288206
26,0.02173875,0.4133302,-0.2293791
27,0.02202372,0.4132004,-0.2292885
28,0.02177644,0.4102256,-0.2283494
29,0.02180661,0.40637,-0.2277834
30,0.01967816,0.410028,-0.2235624
31,0.01896903,0.4093656,-0.222169
32,0.01883204,0.4142459,-0.2249772
33,0.01850338,0.4182343,-0.2253673
34,0.01792635,0.4211046,-0.2254327
35,0.01507646,0.4379323,-0.2212541
36,0.0136654,0.4458366,-0.2200022
37,0.01139398,0.4548611,-0.2202594
38,0.009451542,0.4629321,-0.2197482
39,0.007009533,0.4696471,-0.2186417
40,0.00472039,0.4742731,-0.2175451
41,0.002755086,0.4804825,-0.2167666
42,0.001901641,0.4736414,-0.2176708
43,-0.0007811002,0.4674448,-0.220086
44,-0.00176958,0.4639709,-0.2209577
45,-0.002894346,0.4605938,-0.2200933
46,-0.003745351,0.4527321,-0.2186952
47,-0.004595824,0.4434238,-0.2181112
48,-0.004844762,0.430781,-0.2186551
49,-0.003565274,0.4201079,-0.2198501
50,-0.002441618,0.4146665,-0.2200657
51,-0.001947138,0.4185511,-0.2199774
52,-0.001357158,0.4112661,-0.2185167
