frame,x,y,z
1,-1.875999,0.02978371,3.004415
2,-1.878537,0.05285692,3.005576
3,-1.881504,0.07120737,3.006999
4,-1.884768,0.08145013,3.007408
5,-1.887702,0.0912868,3.009607
6,-1.890632,0.09931731,3.011936
7,-1.893645,0.1061153,3.014051
8,-1.896124,0.1096226,3.020614
9,-1.898504,0.1109221,3.024593
10,-1.900327,0.1081081,3.028548
11,-1.901887,0.1079653,3.030844
12,-1.902773,0.1049497,3.033374
13,-1.90037,0.08805853,3.033857
14,-1.89811,0.0735905,3.030987
15,-1.898413,0.06876688,3.030752
16,-1.896201,0.05449461,3.027702
17,-1.895483,0.04650712,3.026527
18,-1.892849,0.03560527,3.024772
19,-1.891195,0.02736763,3.024982
20,-1.889906,0.0252047,3.027121
21,-1.88883,0.02446938,3.02838
22,-1.886779,0.0187038,3.028543
23,-1.881885,0.01469829,3.027329
24,-1.87594,0.01321906,3.025286
25,-1.872087,0.0109422,3.025207
26,-1.867726,0.01735088,3.026641
27,-1.86324,0.01997978,3.027661
28,-1.856838,0.0260356,3.028796
29,-1.85118,0.03215659,3.029958
30,-1.845836,0.04032667,3.032491
31,-1.84096,0.04635556,3.035651
32,-1.836789,0.05238584,3.038131
33,-1.832331,0.05580145,3.039508
34,-1.827871,0.05921208,3.040882
35,-1.824518,0.06748472,3.044828
36,-1.821767,0.07533402,3.051082
37,-1.819107,0.08115873,3.054895
38,-1.818024,0.08705868,3.060968
39,-1.816582,0.08687859,3.065885
40,-1.814319,0.0899933,3.069532
41,-1.815733,0.0801791,3.067824
42,-1.814445,0.08026113,3.069669
43,-1.81252,0.08104198,3.072096
44,-1.81641,0.06936069,3.068256
45,-1.823932,0.05021086,3.060989
46,-1.827796,0.03869646,3.056546
47,-1.828169,0.03480166,3.056426
48,-1.82854,0.0309049,3.056306
49,-1.834077,0.0198463,3.052637
50,-1.83532,0.01475617,3.05163
51,-1.840346,0.00689417,3.047148
52,-1.845886,0.001502322,3.042063
53,-1.848963,-0.003188539,3.039789
54,-1.851215,-0.008556859,3.038074
55,-1.855063,-0.01217033,3.034647
56,-1.857481,-0.01738586,3.03275
57,-1.859891,-0.02260295,3.030853
58,-1.862295,-0.02782157,3.028959
59,-1.873089,-0.02614384,3.0209
60,-1.880381,-0.01878623,3.015884
61,-1.884868,0.002395327,3.016923
62,-1.888399,0.006018263,3.015982
63,-1.891912,0.004885901,3.01374
64,-1.895607,0.02143127,3.017248
65,-1.900403,0.06377661,3.033016
66,-1.90301,0.07852527,3.0453
67,-1.903918,0.09246972,3.062926
68,-1.907158,0.09843621,3.065633
69,-1.909088,0.1037163,3.075218
70,-1.908179,0.07785584,3.08182
71,-1.910092,0.0762728,3.084582
72,-1.906085,0.04859351,3.077385
73,-1.906278,0.03890479,3.075618
74,-1.907545,0.03482111,3.077079
75,-1.90881,0.03073818,3.078539
76,-1.910075,0.02665387,3.08
77,-1.908332,0.01355801,3.075067
78,-1.906516,0.006812757,3.076119
79,-1.906813,0.001237292,3.076997
80,-1.907337,-0.004315787,3.077759
81,-1.894024,-0.00217131,3.076776
82,-1.88704,0.001648006,3.073959
83,-1.883201,0.001560144,3.072763
84,-1.872467,0.02017536,3.074815
85,-1.868397,0.02800559,3.078935
86,-1.86483,0.03421983,3.08124
87,-1.861776,0.04007951,3.084131
88,-1.858914,0.04676824,3.087559
89,-1.856373,0.05330649,3.090703
90,-1.854127,0.06089017,3.094579
91,-1.851445,0.06769814,3.098521
92,-1.849782,0.07485215,3.105183
93,-1.847025,0.08027925,3.10916
94,-1.84445,0.08505309,3.113433
95,-1.842262,0.08465532,3.118004
96,-1.839646,0.08937907,3.121776
97,-1.837032,0.09409894,3.125546
98,-1.834416,0.09882222,3.129318
99,-1.834949,0.08614195,3.126625
100,-1.832673,0.08906055,3.129771
101,-1.838472,0.05451899,3.120474
102,-1.839833,0.04568195,3.119383
103,-1.845669,0.02316007,3.114089
104,-1.84686,0.01326728,3.113703
105,-1.846778,0.008053008,3.114304
106,-1.848124,-0.003605187,3.112126
107,-1.850181,-0.01476441,3.107904
108,-1.858051,-0.01164318,3.097403
109,-1.859403,-0.01733802,3.095308
110,-1.860665,-0.02285267,3.093732
111,-1.863358,-0.02585082,3.087718
112,-1.869929,-0.0157441,3.076754
113,-1.871888,-0.01932848,3.073745
114,-1.873838,-0.0229103,3.070739
115,-1.879732,0.00537579,3.072978
116,-1.885046,0.02204859,3.062678
117,-1.890556,0.03389801,3.057965
118,-1.895505,0.04781781,3.057421
119,-1.90058,0.06332571,3.060946
120,-1.902535,0.07030013,3.066614
121,-1.905759,0.07585172,3.065045
122,-1.907886,0.06808708,3.069059
123,-1.911287,0.06960469,3.068967
124,-1.914549,0.06449506,3.070146
125,-1.915597,0.05524806,3.072449
126,-1.916468,0.04992136,3.073905
127,-1.914555,0.04134409,3.073785
128,-1.913979,0.0333571,3.072158
129,-1.911425,0.02414947,3.069449
130,-1.908873,0.01862515,3.068216
131,-1.907623,0.01282179,3.06851
132,-1.907205,0.008482322,3.068611
133,-1.902548,0.009898568,3.070982
134,-1.901582,0.006782841,3.071193
135,-1.89689,0.003969981,3.068194
136,-1.887938,0.007242209,3.0584
137,-1.88414,0.006429634,3.055857
138,-1.879016,0.01231257,3.054573
139,-1.87576,0.01177747,3.0529
140,-1.871777,0.01696863,3.054152
141,-1.868342,0.01713749,3.052665
142,-1.861731,0.02685732,3.056634
143,-1.857816,0.02839362,3.055839
144,-1.852919,0.0353628,3.058724
145,-1.849567,0.0473441,3.064507
146,-1.845564,0.05095083,3.064998
147,-1.841558,0.05455581,3.065489
148,-1.840114,0.07164264,3.075867
149,-1.836426,0.07689166,3.077551
150,-1.833835,0.08717,3.083142
151,-1.832947,0.09454255,3.089083
152,-1.829676,0.1005979,3.091676
153,-1.826405,0.1066508,3.094268
