frame,x,y,z
1,-2.026918,-0.8565589,10.15623
2,-2.043041,-0.8566006,10.15517
3,-2.059606,-0.8578565,10.15388
4,-2.076677,-0.858825,10.15231
5,-2.094368,-0.8588243,10.15099
6,-2.11221,-0.8583717,10.15001
7,-2.131074,-0.8588683,10.14934
8,-2.14928,-0.8590968,10.14835
9,-2.168418,-0.8584414,10.14764
10,-2.186565,-0.8591919,10.14681
11,-2.204643,-0.8593646,10.14589
12,-2.221505,-0.862582,10.1451
13,-2.238859,-0.8648762,10.14424
14,-2.256661,-0.8658442,10.14337
15,-2.275225,-0.8630651,10.14205
16,-2.29317,-0.8633758,10.14111
17,-2.31108,-0.8620086,10.14001
18,-2.329043,-0.8620172,10.13904
19,-2.33885,-0.868568,10.13768
20,-2.352561,-0.8672888,10.1359
21,-2.366047,-0.86739,10.13391
22,-2.380358,-0.8677568,10.13261
23,-2.392875,-0.8686007,10.1322
24,-2.405387,-0.8690994,10.13153
25,-2.416851,-0.8697286,10.13031
26,-2.428221,-0.870116,10.12862
27,-2.438987,-0.870416,10.12692
28,-2.449619,-0.8709476,10.1254
29,-2.457846,-0.8723801,10.12472
30,-2.467739,-0.8732198,10.12397
31,-2.475208,-0.8733188,10.12413
32,-2.485252,-0.873886,10.12327
33,-2.495296,-0.8744531,10.12242
34,-2.500321,-0.8745868,10.12233
35,-2.504089,-0.8739527,10.12177
36,-2.504137,-0.8730935,10.1221
37,-2.504771,-0.8737803,10.12268
38,-2.50234,-0.8757514,10.121
39,-2.502993,-0.8758717,10.12012
40,-2.50422,-0.8755091,10.11943
41,-2.501995,-0.8735843,10.11958
42,-2.500017,-0.8734603,10.11908
43,-2.496114,-0.8725856,10.11814
44,-2.491348,-0.8723954,10.11757
45,-2.484218,-0.8718005,10.11799
46,-2.47818,-0.8711008,10.11852
47,-2.467448,-0.870932,10.11937
48,-2.457507,-0.8712814,10.11932
49,-2.442194,-0.8716791,10.11875
50,-2.422376,-0.8713536,10.11973
51,-2.401396,-0.8739192,10.12164
52,-2.3829,-0.8753696,10.12261
53,-2.361584,-0.8756006,10.1228
54,-2.344776,-0.8761643,10.12339
55,-2.321864,-0.8692627,10.12594
56,-2.296754,-0.862606,10.13109
57,-2.276882,-0.8605771,10.13293
58,-2.247516,-0.8598633,10.13267
59,-2.219896,-0.8605788,10.13099
60,-2.199165,-0.8554463,10.13311
61,-2.178316,-0.8493642,10.13604
62,-2.161422,-0.8430786,10.13923
63,-2.139068,-0.8420199,10.14134
64,-2.115224,-0.8453609,10.14238
65,-2.091536,-0.8465359,10.14334
66,-2.065252,-0.846954,10.14582
67,-2.038074,-0.8434343,10.14945
68,-2.013973,-0.842089,10.15165
69,-1.989371,-0.836403,10.15355
70,-1.965829,-0.8333445,10.15554
71,-1.942926,-0.8328986,10.15823
72,-1.918995,-0.8309102,10.16045
73,-1.895059,-0.8289214,10.16267
74,-1.868742,-0.8287966,10.16741
75,-1.838823,-0.8339999,10.16614
76,-1.813542,-0.8335637,10.16806
77,-1.789249,-0.8372557,10.16542
78,-1.764133,-0.8375124,10.16656
79,-1.749051,-0.8382006,10.17223
80,-1.731623,-0.844165,10.17469
81,-1.710723,-0.8532022,10.17299
82,-1.695097,-0.8612593,10.17449
83,-1.681574,-0.8608839,10.17654
84,-1.672934,-0.8564445,10.17457
85,-1.661471,-0.857894,10.17277
86,-1.651229,-0.8612971,10.17309
87,-1.639944,-0.8646639,10.17468
88,-1.63274,-0.8688441,10.17695
89,-1.629925,-0.8679239,10.17806
90,-1.63062,-0.8642309,10.17725
91,-1.634423,-0.8607943,10.17613
92,-1.640644,-0.858926,10.1752
