frame,x,y,z
1,-2.012807,-0.8699772,10.13723
2,-2.025726,-0.8694731,10.13652
3,-2.039609,-0.8690221,10.13578
4,-2.054299,-0.8690558,10.1346
5,-2.06881,-0.8713445,10.13419
6,-2.084274,-0.870284,10.13412
7,-2.097905,-0.8702983,10.13324
8,-2.111206,-0.8722274,10.13206
9,-2.12466,-0.872529,10.13123
10,-2.137573,-0.8747046,10.12995
11,-2.152767,-0.8722388,10.12884
12,-2.166493,-0.87232,10.12791
13,-2.180219,-0.8724012,10.12697
14,-2.193949,-0.8724827,10.12603
15,-2.208849,-0.8714793,10.1252
16,-2.223369,-0.8711977,10.12436
17,-2.237327,-0.8711097,10.12346
18,-2.251241,-0.8739653,10.12268
19,-2.264833,-0.876825,10.12264
20,-2.279011,-0.876134,10.12193
21,-2.291756,-0.8773368,10.12158
22,-2.305085,-0.8805832,10.12134
23,-2.318909,-0.8781106,10.12187
24,-2.332691,-0.8784583,10.1214
25,-2.346469,-0.878806,10.12094
26,-2.352166,-0.8821939,10.12045
27,-2.364873,-0.8829082,10.12002
28,-2.377577,-0.8836223,10.11959
29,-2.385661,-0.8824931,10.11774
30,-2.395548,-0.8830554,10.11677
31,-2.40669,-0.8833286,10.11604
32,-2.414389,-0.8829031,10.11584
33,-2.420592,-0.8848321,10.11487
34,-2.431055,-0.8853786,10.11424
35,-2.441518,-0.8859251,10.11361
36,-2.44261,-0.8896555,10.11226
37,-2.442928,-0.8909323,10.11125
38,-2.438345,-0.8893859,10.11043
39,-2.436105,-0.8893371,10.11004
40,-2.434243,-0.8894554,10.10939
41,-2.433028,-0.889674,10.10863
42,-2.430424,-0.889595,10.10789
43,-2.427712,-0.8897324,10.10742
44,-2.42123,-0.890328,10.10712
45,-2.417538,-0.8905512,10.10666
46,-2.411023,-0.8902439,10.10626
47,-2.402892,-0.8896584,10.10584
48,-2.394345,-0.8891228,10.10572
49,-2.383314,-0.8887848,10.10618
50,-2.373285,-0.8887815,10.10644
51,-2.365201,-0.8885994,10.10641
52,-2.357114,-0.8884172,10.10638
53,-2.342791,-0.8890269,10.10692
54,-2.333624,-0.8889745,10.107
55,-2.315394,-0.8889583,10.10756
56,-2.304894,-0.8889142,10.10772
57,-2.290597,-0.8883937,10.10813
