frame,x,y,z
4001,0.1617713,0.6670278,-0.2401385
4002,0.1649747,0.6731484,-0.2389996
4003,0.1677464,0.6772521,-0.2384059
4004,0.1707232,0.6821297,-0.2368852
4005,0.1740657,0.6937655,-0.2317836
4006,0.1804642,0.7121004,-0.225007
4007,0.1833733,0.7212926,-0.2213275
4008,0.1863864,0.7306075,-0.2177802
4009,0.188343,0.7359166,-0.2145711
4010,0.1904907,0.7418438,-0.2116539
4011,0.1911125,0.7417794,-0.2104771
4012,0.1922485,0.7434137,-0.2090457
4013,0.1928249,0.7413597,-0.2094106
4014,0.1929871,0.7389511,-0.2101222
4015,0.192673,0.7356396,-0.2118597
4016,0.1920363,0.7312903,-0.2121583
4017,0.1914541,0.7269139,-0.2129462
4018,0.1907413,0.722386,-0.213946
4019,0.1877342,0.7107756,-0.2188886
4020,0.1860591,0.7032364,-0.2216684
4021,0.1832163,0.6945696,-0.2256667
4022,0.1808799,0.6876455,-0.2284206
4023,0.1785296,0.6797436,-0.2315816
4024,0.1762376,0.681035,-0.22994
4025,0.1736527,0.6767176,-0.2313284
4026,0.1709394,0.6765485,-0.2322211
4027,0.1681813,0.6754926,-0.233096
4028,0.1648953,0.6803503,-0.2316882
4029,0.1613968,0.6856934,-0.2298012
4030,0.1583015,0.6897779,-0.2286753
4031,0.1553198,0.6984217,-0.2272415
4032,0.1528923,0.707566,-0.2239262
4033,0.1479333,0.7236899,-0.2188756
4034,0.1455907,0.7320134,-0.2162149
4035,0.1449105,0.7356591,-0.2136454
4036,0.1435605,0.7403466,-0.2114249
4037,0.1419697,0.7459053,-0.2089509
4038,0.1434728,0.7371383,-0.2121563
4039,0.144008,0.7328564,-0.2139955
4040,0.1451118,0.7269932,-0.217007
4041,0.1458045,0.7234361,-0.217696
4042,0.1471579,0.7135068,-0.2229952
4043,0.1481313,0.7064691,-0.2253245
4044,0.1489594,0.6975235,-0.2299263
4045,0.1500671,0.6904452,-0.2321293
4046,0.1525278,0.6789969,-0.2344416
4047,0.1539035,0.6735965,-0.2355338
4048,0.1556726,0.6698702,-0.2356363
4049,0.1572124,0.6653402,-0.2360402
4050,0.1597203,0.6671943,-0.2344679
4051,0.1620996,0.6685332,-0.2333695
4052,0.164287,0.6681787,-0.2328301
4053,0.1673687,0.6731156,-0.2314687
4054,0.1699558,0.6769822,-0.2296566
4055,0.172901,0.6807621,-0.2275248
4056,0.1751538,0.6923245,-0.2238573
4057,0.1778606,0.6995068,-0.2215104
4058,0.179939,0.7089745,-0.2178346
4059,0.1848843,0.7262775,-0.2116054
4060,0.1871602,0.7310405,-0.2074495
4061,0.1884713,0.7336465,-0.2060379
4062,0.190497,0.7394891,-0.2032356
4063,0.1890898,0.7330713,-0.2059102
4064,0.189398,0.7331884,-0.2057704
4065,0.1883098,0.7289909,-0.2075441
4066,0.1869389,0.7251173,-0.2093639
4067,0.1861246,0.7221605,-0.2107241
4068,0.1833656,0.7150927,-0.2127862
4069,0.1817353,0.7101539,-0.214542
4070,0.1782292,0.7013258,-0.2184724
4071,0.1754296,0.6937958,-0.2216616
4072,0.1728334,0.686095,-0.2249615
4073,0.170259,0.6799272,-0.2274383
4074,0.1674591,0.6725467,-0.2304062
4075,0.1651251,0.6718405,-0.2293877
4076,0.1622706,0.667465,-0.2304313
4077,0.1589154,0.667528,-0.2294699
4078,0.1556558,0.6675442,-0.2288526
4079,0.1522318,0.6709291,-0.2268872
4080,0.1487011,0.6758761,-0.2238781
4081,0.1452738,0.6797748,-0.2215599
4082,0.1412597,0.686686,-0.2167217
4083,0.137727,0.6927752,-0.2136679
4084,0.1342123,0.6989295,-0.210524
4085,0.1325617,0.7057407,-0.2084637
4086,0.1279417,0.7173743,-0.2036999
4087,0.1262701,0.7215047,-0.2020155
4088,0.1244081,0.7266006,-0.2000553
4089,0.1256879,0.7204655,-0.2036099
4090,0.1250067,0.7216162,-0.2036645
4091,0.1266616,0.7167069,-0.2066291
4092,0.1272707,0.7140436,-0.2081662
4093,0.1280349,0.7112188,-0.2098736
4094,0.1281686,0.7006484,-0.2137514
4095,0.1287016,0.694938,-0.2162202
4096,0.1293852,0.6862268,-0.2194285
4097,0.1300827,0.6795534,-0.2214243
4098,0.1317742,0.6749002,-0.2218025
4099,0.1337448,0.670499,-0.2232072
4100,0.1364047,0.6675329,-0.2238258
4101,0.1389754,0.6652012,-0.2240824
4102,0.1414472,0.6620725,-0.2247325
4103,0.1455953,0.6650261,-0.2247976
4104,0.1492633,0.6659033,-0.2251544
4105,0.1528751,0.6669763,-0.2254154
4106,0.1575757,0.6755496,-0.2247419
4107,0.1616802,0.6841324,-0.2227577
4108,0.1701136,0.7009517,-0.2187598
4109,0.1741602,0.7098939,-0.2156884
4110,0.1776638,0.715665,-0.2141988
4111,0.1811523,0.720899,-0.2126603
4112,0.1844898,0.725207,-0.2108176
4113,0.186723,0.725593,-0.2100215
4114,0.191601,0.7290376,-0.2083647
4115,0.1915767,0.7231711,-0.2108444
4116,0.191608,0.7185903,-0.2133505
4117,0.1920002,0.7149156,-0.2151541
4118,0.1922467,0.710887,-0.2170616
4119,0.1897134,0.7021257,-0.2195626
4120,0.188713,0.695913,-0.2216282
4121,0.1852342,0.6875094,-0.2240632
4122,0.1830582,0.6800971,-0.2262816
4123,0.1810924,0.6723265,-0.228581
