frame,x,y,z
14001,0.1602237,0.7367302,-0.3876281
14002,0.1619496,0.7434363,-0.3852285
14003,0.1647333,0.7498961,-0.3809278
14004,0.1667843,0.7565257,-0.3778901
14005,0.1683512,0.757516,-0.3758314
14006,0.1702447,0.7613268,-0.3734735
14007,0.1737413,0.7650412,-0.370476
14008,0.1754191,0.7660013,-0.3692285
14009,0.1769958,0.7641227,-0.3687823
14010,0.1787249,0.7646605,-0.3675792
14011,0.1801789,0.7607263,-0.3677606
14012,0.1818305,0.7564256,-0.3682365
14013,0.1833292,0.7532076,-0.3681698
14014,0.1835306,0.7435826,-0.3715349
14015,0.1845611,0.7380787,-0.3729449
14016,0.1848318,0.7301946,-0.3759458
14017,0.1852866,0.7236265,-0.3778469
14018,0.1856901,0.717168,-0.3798115
14019,0.1851501,0.712355,-0.3823874
14020,0.1846135,0.7079706,-0.384764
14021,0.1841145,0.7043926,-0.3869466
14022,0.1836334,0.7003859,-0.3891729
14023,0.1815544,0.6998791,-0.3904004
14024,0.1802144,0.6974847,-0.3923536
14025,0.1771151,0.6990286,-0.3943348
14026,0.1743473,0.700958,-0.3959011
14027,0.1718232,0.7020105,-0.3975929
14028,0.1686472,0.7058203,-0.3988136
14029,0.1657923,0.709664,-0.3993287
14030,0.1628597,0.7127426,-0.4004441
14031,0.1597429,0.7185596,-0.3995989
14032,0.1563261,0.7234619,-0.3989425
14033,0.1532315,0.7282889,-0.3989033
14034,0.1502704,0.7360855,-0.3959419
14035,0.147352,0.742148,-0.3946992
14036,0.1443094,0.7484444,-0.3920694
14037,0.1414629,0.7548261,-0.3898644
14038,0.1390921,0.7610771,-0.3865021
14039,0.1365181,0.7669927,-0.3836357
14040,0.1342018,0.7718631,-0.3812247
14041,0.1321119,0.7751985,-0.3793448
14042,0.1297264,0.7794597,-0.3769259
14043,0.1283425,0.7786117,-0.3772267
14044,0.1263396,0.78084,-0.3757593
14045,0.1252018,0.7771688,-0.3769023
14046,0.1238469,0.7737503,-0.377783
14047,0.1223736,0.7715226,-0.3781751
14048,0.1215888,0.7643571,-0.3798589
14049,0.1205604,0.7594858,-0.3808191
14050,0.1202513,0.7527634,-0.3818542
14051,0.1195393,0.7451904,-0.3829148
14052,0.1188591,0.7369528,-0.3841901
14053,0.1183522,0.7290108,-0.3856691
14054,0.1178323,0.7210965,-0.3870349
14055,0.1176794,0.7145008,-0.3877812
14056,0.1174843,0.7091742,-0.3878845
14057,0.1172078,0.7023236,-0.3886507
14058,0.117828,0.7001949,-0.3877693
14059,0.1184467,0.6967139,-0.3875276
14060,0.119916,0.6953342,-0.3873939
14061,0.121448,0.6951852,-0.3872216
14062,0.1234073,0.6964943,-0.3867968
14063,0.1253743,0.6980668,-0.3862754
14064,0.1272685,0.7002136,-0.3859619
14065,0.1291663,0.701711,-0.3855204
14066,0.1323172,0.711188,-0.3829037
14067,0.1347644,0.7158916,-0.3815831
14068,0.1371654,0.7228186,-0.3790649
14069,0.1397022,0.7288088,-0.377095
14070,0.1422075,0.7350534,-0.3751223
14071,0.1453721,0.7423768,-0.3721383
14072,0.1481735,0.7490444,-0.3697953
14073,0.150083,0.7526008,-0.3689928
14074,0.1521488,0.7574626,-0.3676945
14075,0.154472,0.7628711,-0.3660552
14076,0.1540474,0.7648449,-0.3654006
14077,0.1553234,0.7686997,-0.3642025
14078,0.1548212,0.768739,-0.3639994
14079,0.1552596,0.7705849,-0.3634038
14080,0.1540517,0.7674522,-0.3645176
14081,0.1531924,0.7642576,-0.3655328
14082,0.1525222,0.7588865,-0.3671216
14083,0.1520657,0.7533327,-0.3685146
14084,0.1513567,0.7486219,-0.3699628
14085,0.1509942,0.739408,-0.3727501
14086,0.1505282,0.7320474,-0.3755113
14087,0.1499766,0.7247174,-0.3783219
