frame,x,y,z
2001,0.1089183,0.6973355,-0.3007953
2002,0.107874,0.6922765,-0.3017227
2003,0.1068492,0.6870551,-0.3028425
2004,0.1059325,0.6856761,-0.3029366
2005,0.1048585,0.6857976,-0.3031309
2006,0.1038104,0.6836852,-0.3036215
2007,0.102063,0.6902857,-0.3017458
2008,0.100595,0.6934571,-0.3011819
2009,0.09928629,0.6997703,-0.3002524
2010,0.09799728,0.7046418,-0.2997952
2011,0.09723891,0.7117942,-0.2990956
2012,0.09622101,0.7193847,-0.2976321
2013,0.09527983,0.7273442,-0.2962365
2014,0.09420791,0.7354059,-0.2948191
2015,0.09340909,0.7444006,-0.292271
2016,0.09250048,0.7527993,-0.2906758
2017,0.0923413,0.7581137,-0.2902139
2018,0.0911871,0.7724713,-0.2879264
2019,0.09146016,0.7728707,-0.2880211
2020,0.09124728,0.7769558,-0.2874695
2021,0.09139639,0.773156,-0.2891716
2022,0.09142298,0.7723086,-0.2902486
2023,0.0917987,0.766525,-0.2930131
2024,0.09197218,0.7613193,-0.2952143
2025,0.09213193,0.7535785,-0.297858
2026,0.09216712,0.7452655,-0.3003379
2027,0.09230664,0.7378387,-0.3027826
2028,0.09178718,0.7270588,-0.3053561
2029,0.0915733,0.717165,-0.3078986
2030,0.09139723,0.708765,-0.3101107
2031,0.09210801,0.7015242,-0.3114063
2032,0.09219166,0.692979,-0.3133983
2033,0.09344443,0.6910848,-0.3131394
2034,0.09395463,0.6867644,-0.3137071
2035,0.0946179,0.6821668,-0.3143492
2036,0.09655293,0.6864606,-0.3128444
2037,0.09851516,0.6885986,-0.3115967
2038,0.1001959,0.6905478,-0.3109353
2039,0.1019525,0.6930518,-0.3101869
2040,0.1037332,0.6956224,-0.3094361
2041,0.1064379,0.702824,-0.3068785
2042,0.1086109,0.7072324,-0.3054021
2043,0.111395,0.7173284,-0.3021645
2044,0.1137703,0.7245267,-0.2999286
2045,0.1164605,0.7329538,-0.2972331
2046,0.1186841,0.7408381,-0.2951526
2047,0.1206487,0.747887,-0.2931263
2048,0.1224597,0.7545153,-0.2909249
2049,0.1241691,0.761116,-0.2888969
2050,0.1249428,0.7649518,-0.2875643
2051,0.1254866,0.7664403,-0.286711
2052,0.1265899,0.7705092,-0.2853338
2053,0.1266493,0.7675132,-0.2851197
2054,0.1271936,0.7670282,-0.284513
2055,0.1277251,0.7669914,-0.2838147
2056,0.1275278,0.7557238,-0.2855657
2057,0.1276696,0.7511327,-0.2857644
2058,0.1271566,0.7406393,-0.2883669
2059,0.1267937,0.7325613,-0.2896437
2060,0.125812,0.7227417,-0.2915963
2061,0.1251683,0.7137343,-0.2931347
2062,0.1238232,0.7054252,-0.2952947
2063,0.1225712,0.698329,-0.2968415
2064,0.1212599,0.6906524,-0.2984499
2065,0.1192242,0.691762,-0.2974038
2066,0.1175564,0.6878001,-0.2979186
2067,0.1158396,0.6841118,-0.2984898
2068,0.1134554,0.688149,-0.2976567
2069,0.1118746,0.6916283,-0.296805
2070,0.1100956,0.695708,-0.2950398
2071,0.1085376,0.6991529,-0.2937927
2072,0.1066632,0.702912,-0.2924689
2073,0.1055329,0.7104544,-0.2904627
2074,0.1039223,0.7161814,-0.2888488
2075,0.103432,0.7243387,-0.2869368
2076,0.1014233,0.7387603,-0.2829346
2077,0.1004675,0.7456913,-0.2811763
2078,0.0994496,0.7529626,-0.2793433
2079,0.09910458,0.7554535,-0.2795182
2080,0.09833714,0.7611648,-0.2783954
2081,0.09792228,0.7634757,-0.2787173
2082,0.09761593,0.7633893,-0.2798755
2083,0.0973392,0.765548,-0.2804379
2084,0.09754232,0.7579137,-0.2843943
2085,0.09752534,0.7561141,-0.2862697
2086,0.09731547,0.746722,-0.2903062
2087,0.0971572,0.740216,-0.2941044
2088,0.09708741,0.7316719,-0.2984565
2089,0.09709591,0.7232696,-0.3025515
2090,0.09675843,0.7151436,-0.306538
2091,0.09669273,0.7065339,-0.3095865
2092,0.09670439,0.6987326,-0.3130551
2093,0.09706184,0.6937466,-0.3147032
2094,0.09726724,0.6879042,-0.3171814
2095,0.09767836,0.684155,-0.3187046
2096,0.09821667,0.6826053,-0.3196288
2097,0.09877031,0.6808751,-0.3202673
2098,0.09923942,0.6782007,-0.3213484
2099,0.100833,0.6867265,-0.3186702
2100,0.101826,0.6883773,-0.318379
2101,0.1027357,0.690054,-0.3180408
2102,0.1046003,0.6981068,-0.3182382
2103,0.105998,0.7029145,-0.3178943
2104,0.1077246,0.7103388,-0.3168463
2105,0.1098768,0.7199944,-0.3149317
2106,0.1118331,0.7280854,-0.3133809
