frame,x,y,z
7001,0.106504,0.4441518,0.2201861
7002,0.1040648,0.4441369,0.2200696
7003,0.1013772,0.4441634,0.2199918
7004,0.09755496,0.4517229,0.2204675
7005,0.09480704,0.454469,0.2205181
7006,0.09339964,0.4610298,0.2196615
7007,0.09117438,0.4660738,0.219468
7008,0.08920979,0.4735722,0.2197646
7009,0.08708393,0.4798493,0.2197726
7010,0.08590393,0.4854301,0.2193436
7011,0.08447029,0.4891983,0.2187809
7012,0.08301418,0.4938922,0.2183586
7013,0.08211766,0.4934857,0.2167064
7014,0.08109189,0.4939005,0.2152044
7015,0.08001395,0.4955258,0.2139721
7016,0.08048127,0.488328,0.2105903
7017,0.08015333,0.4864968,0.2084629
7018,0.08090208,0.478568,0.2050576
7019,0.08130753,0.4730572,0.2021141
7020,0.08240095,0.465013,0.198606
7021,0.08321363,0.4579138,0.1957674
7022,0.08448725,0.4517404,0.194032
7023,0.08549906,0.4465969,0.1923255
7024,0.08655494,0.4407915,0.1903574
7025,0.08737301,0.4415281,0.1912681
7026,0.08948213,0.4346386,0.1894519
7027,0.09020294,0.4398678,0.1903453
7028,0.09103016,0.4411091,0.1908212
7029,0.09266645,0.4460872,0.1933536
7030,0.0943379,0.4507832,0.1953699
7031,0.09556629,0.454438,0.1966818
7032,0.0959409,0.4605781,0.1971101
7033,0.09697995,0.4654087,0.1983443
7034,0.09794082,0.4714056,0.2009829
7035,0.09886955,0.4767076,0.2032344
7036,0.1002136,0.4871292,0.2086662
7037,0.1009881,0.4922634,0.2112031
7038,0.1012131,0.4939398,0.2135153
7039,0.10161,0.4954927,0.2153754
7040,0.1022504,0.4950252,0.2167705
7041,0.1028481,0.494352,0.2180512
7042,0.1034261,0.4945486,0.2196339
7043,0.1040482,0.4867608,0.2183391
7044,0.104745,0.48196,0.2180438
7045,0.1054473,0.4776984,0.2180523
7046,0.1066102,0.4682956,0.2151298
7047,0.106755,0.4615791,0.2135928
7048,0.1072267,0.4482017,0.2105259
7049,0.1074155,0.4417685,0.2090646
7050,0.1049327,0.4422969,0.2107058
7051,0.1042222,0.4377791,0.2101267
7052,0.1023235,0.4392788,0.2115418
7053,0.1011683,0.4387373,0.211771
7054,0.09963579,0.437938,0.2121094
7055,0.09566987,0.4436066,0.2126381
7056,0.09313464,0.445786,0.2131823
7057,0.09005155,0.4514263,0.2139464
7058,0.08680186,0.4564065,0.2146772
7059,0.0832494,0.462153,0.215773
7060,0.07992972,0.4679852,0.2169
7061,0.07679863,0.4740259,0.2177797
7062,0.0739839,0.4794775,0.2183001
7063,0.070922,0.485336,0.2189987
7064,0.06818815,0.4884566,0.2199046
7065,0.06552041,0.4922613,0.220502
7066,0.06330413,0.493876,0.2206105
7067,0.06177838,0.4934334,0.2198502
7068,0.05978707,0.4946342,0.2196376
7069,0.05892998,0.4895223,0.2174369
7070,0.0575459,0.487504,0.2163182
7071,0.05646414,0.4810431,0.2145749
7072,0.0553605,0.4765044,0.2131262
7073,0.05483013,0.4681461,0.2111413
7074,0.05464849,0.4603611,0.2096588
7075,0.05410841,0.4532376,0.2079618
7076,0.05496601,0.4470429,0.2078456
7077,0.05512683,0.4408318,0.2074592
7078,0.05516225,0.4345769,0.2070323
7079,0.05523222,0.4352581,0.20954
7080,0.05553276,0.4312329,0.2100478
7081,0.05613046,0.4341418,0.211172
7082,0.05642512,0.4350852,0.2123869
7083,0.05693275,0.4352965,0.2135158
7084,0.05887499,0.4429581,0.2162499
7085,0.05998474,0.4462292,0.2179511
7086,0.0619484,0.4531253,0.2197262
7087,0.06337655,0.4581417,0.2216417
7088,0.06543799,0.465678,0.2252442
7089,0.06723443,0.4719536,0.2279671
7090,0.06908272,0.4777285,0.2309701
7091,0.07092713,0.4822622,0.2338477
7092,0.07280273,0.487185,0.2366327
7093,0.07471261,0.4927022,0.2395098
7094,0.0766391,0.48748,0.2408029
7095,0.07868072,0.4888419,0.2429616
7096,0.08095554,0.4836387,0.2424995
7097,0.08316132,0.4808892,0.2428094
7098,0.08533096,0.4786095,0.2434168
7099,0.08774331,0.470017,0.241353
7100,0.08960517,0.4635731,0.2412628
7101,0.09094021,0.4571672,0.2410316
7102,0.09115849,0.4517368,0.2402458
7103,0.09266132,0.4396794,0.2391034
7104,0.09214557,0.4357341,0.2371214
7105,0.09130831,0.4338628,0.2355288
7106,0.09083071,0.4305328,0.2342618
7107,0.09025858,0.4272778,0.2330441
7108,0.0864056,0.4345717,0.2344991
7109,0.08456515,0.435098,0.2342071
7110,0.08109393,0.4419289,0.2361375
7111,0.07823478,0.4455261,0.2365349
