frame,x,y,z
12001,0.07206054,0.4711251,0.1823688
12002,0.07341987,0.4689129,0.1823825
12003,0.07481264,0.4666156,0.1823757
12004,0.07663789,0.470391,0.1850129
12005,0.07832791,0.4723337,0.1865763
12006,0.08020034,0.4746693,0.1880643
12007,0.08234818,0.478595,0.1901972
12008,0.0844157,0.4825647,0.1925743
12009,0.08656903,0.4866351,0.194925
12010,0.08899563,0.4915955,0.1975112
12011,0.09158954,0.4967445,0.2004705
12012,0.09402324,0.5017138,0.2031695
12013,0.09652594,0.5074565,0.2074576
12014,0.09914629,0.5123043,0.210534
12015,0.1017873,0.5164444,0.2138578
12016,0.1042919,0.5203374,0.217112
12017,0.1067723,0.5238659,0.220348
12018,0.1093119,0.5277944,0.223625
12019,0.1116954,0.5267308,0.2257841
12020,0.1143078,0.5281831,0.2283625
12021,0.1166558,0.5248784,0.2286998
12022,0.1190836,0.5231571,0.2298591
12023,0.1215378,0.5217808,0.2311221
12024,0.1237871,0.5157803,0.2302147
12025,0.1260975,0.5125368,0.2305333
12026,0.1281204,0.5088603,0.2309849
12027,0.1291706,0.5027117,0.2300224
12028,0.1309789,0.4980359,0.2298351
12029,0.1316577,0.4920515,0.2282815
12030,0.1329682,0.4867485,0.2274306
12031,0.1341991,0.4814379,0.2266232
12032,0.1355951,0.4768463,0.2251913
12033,0.1368468,0.4723821,0.2239813
12034,0.1374518,0.469749,0.2230119
12035,0.1381637,0.4672073,0.2219823
12036,0.1370352,0.4673735,0.2214104
12037,0.1356796,0.4678591,0.2203325
12038,0.1347463,0.468205,0.2191982
12039,0.1338418,0.4684272,0.2180409
12040,0.130845,0.4749131,0.2163463
12041,0.1289549,0.4775335,0.2150865
12042,0.1249148,0.4839345,0.2141247
12043,0.1189777,0.4930027,0.211919
12044,0.1145025,0.4999795,0.211064
12045,0.110841,0.5056916,0.2099692
12046,0.1065419,0.5112315,0.2092561
12047,0.09898196,0.5216811,0.2075745
12048,0.09536688,0.5258368,0.2067425
12049,0.09156802,0.5308249,0.2058986
12050,0.08860534,0.5324119,0.2046301
12051,0.08564934,0.5340258,0.2032328
12052,0.08288275,0.5348174,0.2016346
12053,0.08017016,0.5355464,0.2001
12054,0.07811793,0.5336167,0.1979333
12055,0.07577825,0.5327118,0.1959869
12056,0.073769,0.5296993,0.1937428
12057,0.0717973,0.5271747,0.1916659
12058,0.07035204,0.5208842,0.1896476
12059,0.06859231,0.5168626,0.1877454
12060,0.0676737,0.5099937,0.185826
12061,0.0666261,0.504024,0.183544
12062,0.06599358,0.4973514,0.1811154
12063,0.0657666,0.4910313,0.1788324
12064,0.06505458,0.4846106,0.1765768
12065,0.06446319,0.4781941,0.1744013
12066,0.0649795,0.4741328,0.174221
12067,0.06585228,0.4698369,0.1728992
12068,0.0667558,0.4660686,0.1716768
12069,0.06744003,0.4629705,0.1706682
12070,0.06811374,0.459607,0.1696411
12071,0.0699124,0.4623618,0.1699966
12072,0.07110615,0.4616135,0.1695388
12073,0.07300995,0.4663982,0.1705894
12074,0.07438025,0.4694296,0.1714014
12075,0.07592835,0.4726504,0.1722247
12076,0.07721226,0.4799083,0.1748496
12077,0.07904519,0.485248,0.1763045
12078,0.08080731,0.4909987,0.1781861
12079,0.0824892,0.4966822,0.1799276
12080,0.08422663,0.502502,0.1817424
12081,0.08646893,0.5087078,0.1841876
12082,0.08836129,0.5147727,0.186215
12083,0.09040045,0.5195008,0.1885265
12084,0.09256045,0.524614,0.1908046
12085,0.09483041,0.5285543,0.1931463
12086,0.09689752,0.5324215,0.1953629
12087,0.09906416,0.5366336,0.1976433
12088,0.1006624,0.5367528,0.1991753
12089,0.1026304,0.5389126,0.2011195
12090,0.1045606,0.5407564,0.2030125
12091,0.1061605,0.5371049,0.2042777
12092,0.1078963,0.5366688,0.2059324
12093,0.109148,0.5313653,0.2066258
12094,0.1102422,0.5270904,0.2070551
12095,0.1113019,0.5220675,0.2070388
12096,0.1122442,0.517121,0.2071783
12097,0.113236,0.5121986,0.2073636
12098,0.1137544,0.5056769,0.2069339
12099,0.1144279,0.4999917,0.2069115
12100,0.1150247,0.4943061,0.2068813
12101,0.1137591,0.4903798,0.206728
12102,0.1137262,0.485067,0.2065572
12103,0.112545,0.4826444,0.205985
12104,0.1116256,0.479436,0.2055347
12105,0.1110134,0.4756548,0.2050506
12106,0.1087382,0.4776806,0.2043644
12107,0.1074262,0.4763462,0.2038676
12108,0.1061849,0.4748638,0.2033683
12109,0.1029212,0.4838377,0.203452
12110,0.1007741,0.4860337,0.2030863
12111,0.09885224,0.4924872,0.2015351
12112,0.09654916,0.4970379,0.2007643
12113,0.09417658,0.5050445,0.2005422
12114,0.09198359,0.5111282,0.1999649
12115,0.08921881,0.5178564,0.1997527
12116,0.08685753,0.5240996,0.1993274
12117,0.08449627,0.5307319,0.1988638
12118,0.0819665,0.534594,0.1991779
12119,0.07972134,0.5401848,0.1990419
12120,0.07734517,0.545893,0.1988926
12121,0.07519151,0.5454416,0.1991121
12122,0.07332087,0.5464773,0.1987279
12123,0.07157864,0.5466821,0.1981086
12124,0.06985879,0.5460994,0.1973631
12125,0.06800909,0.5456381,0.1966395
12126,0.06717364,0.5392902,0.195072
12127,0.06574078,0.5366091,0.1941199
12128,0.0649613,0.5308007,0.1926369
12129,0.06407193,0.5253674,0.1909331
12130,0.06308092,0.5203745,0.1894167
12131,0.06421124,0.5127102,0.1863585
12132,0.06477655,0.5059836,0.1838762
12133,0.06466231,0.4996712,0.181706
12134,0.0666722,0.4925802,0.1784662
12135,0.06735872,0.485954,0.1759701
12136,0.06907359,0.4814812,0.1746108
12137,0.07015711,0.4757067,0.1726177
12138,0.07175618,0.4727904,0.1720475
12139,0.07339268,0.4692269,0.1707139
12140,0.07525831,0.4673891,0.1699607
12141,0.07690133,0.4667655,0.169855
12142,0.07866931,0.4653071,0.1693692
12143,0.08023991,0.4675748,0.1699825
12144,0.08167861,0.4705239,0.1705992
12145,0.08325248,0.4743036,0.1715777
12146,0.0850101,0.4786671,0.1727727
12147,0.08672715,0.4827026,0.1738976
12148,0.08887718,0.4883904,0.1751398
12149,0.09089971,0.4940448,0.176522
12150,0.09299776,0.4994616,0.1777303
12151,0.09556687,0.5060346,0.1799265
12152,0.09778497,0.5120555,0.1816545
12153,0.1003789,0.5171144,0.1839294
12154,0.1028296,0.5226802,0.1860133
12155,0.105393,0.5269042,0.1886742
12156,0.1079467,0.5307174,0.1914855
12157,0.1105314,0.5351236,0.1940681
12158,0.1130931,0.5393403,0.1966631
12159,0.115254,0.5386415,0.1995784
12160,0.1176824,0.5407701,0.2022628
12161,0.1199058,0.5371395,0.2042778
12162,0.1222858,0.5372477,0.2067614
12163,0.1245857,0.5369733,0.2092146
12164,0.1264147,0.5285681,0.2097301
12165,0.1285215,0.5254441,0.211559
12166,0.129721,0.5190414,0.2125271
12167,0.131322,0.5141243,0.213788
12168,0.1325426,0.508181,0.2139343
12169,0.1336311,0.5026951,0.2145704
12170,0.1340689,0.4974879,0.2150526
12171,0.134588,0.492346,0.2155731
12172,0.1344501,0.4881339,0.2157408
12173,0.1344097,0.4840983,0.2157724
12174,0.1338272,0.4813026,0.2155403
12175,0.1325327,0.4804887,0.2154668
12176,0.1313913,0.4798342,0.2156821
