frame,x,y,z
8001,0.03650198,0.4482747,0.2450588
8002,0.03846145,0.4420372,0.2426744
8003,0.0408956,0.4389483,0.2423238
8004,0.04330688,0.4341142,0.2408668
8005,0.0456208,0.4290433,0.2393256
8006,0.04798162,0.4294828,0.2381412
8007,0.0503837,0.4263362,0.2368549
8008,0.05250768,0.430573,0.239303
8009,0.05476959,0.4319998,0.2403174
8010,0.05655244,0.4356978,0.2420678
8011,0.05857272,0.4380116,0.2431595
8012,0.06072541,0.4427061,0.2442354
8013,0.06281976,0.4471589,0.2457926
8014,0.06480918,0.4517567,0.2475217
8015,0.06670602,0.4562815,0.2492683
8016,0.06797011,0.4626472,0.2532687
8017,0.06956656,0.4669635,0.2560314
8018,0.07094823,0.469352,0.2585422
8019,0.07372562,0.4738837,0.2631719
8020,0.07502291,0.4725914,0.26425
8021,0.07627008,0.4732275,0.2660771
8022,0.07729016,0.4690882,0.2652936
8023,0.07831059,0.4665359,0.2654731
8024,0.0793137,0.464431,0.265873
8025,0.07956996,0.4590613,0.2642891
8026,0.08030498,0.4555404,0.2640867
8027,0.07977144,0.4511324,0.2629204
8028,0.07937776,0.4470534,0.2621853
8029,0.0783029,0.4427571,0.2604703
8030,0.07754545,0.4385467,0.258956
8031,0.07595309,0.4360684,0.2555419
8032,0.0747006,0.4335623,0.2530942
8033,0.07344452,0.4311723,0.2507176
8034,0.07170691,0.4322238,0.2491287
8035,0.06977851,0.432769,0.2478346
8036,0.06717816,0.4352446,0.2476064
8037,0.06464308,0.4383779,0.2475331
8038,0.06226812,0.4406434,0.2468596
8039,0.05998684,0.4449896,0.2468132
8040,0.05764921,0.4493349,0.2464707
8041,0.05518571,0.4532882,0.2462072
8042,0.05317821,0.4585908,0.2460537
8043,0.05141488,0.4629204,0.2457152
8044,0.04984875,0.4676122,0.2452428
8045,0.04822169,0.4723725,0.2447957
8046,0.0471447,0.4759292,0.2439584
8047,0.04567729,0.4791535,0.2433559
8048,0.04427082,0.4831177,0.2427876
8049,0.04324597,0.4834482,0.242148
8050,0.04237521,0.4834011,0.2413647
8051,0.04146203,0.4842012,0.2405866
8052,0.04130424,0.4778202,0.2386842
8053,0.04076847,0.4754068,0.2372717
8054,0.04013932,0.4729266,0.2358737
8055,0.04086383,0.4635046,0.2321928
8056,0.04157626,0.4569921,0.2296353
8057,0.04271874,0.4507142,0.2268828
8058,0.04338537,0.444415,0.2242937
