frame,x,y,z
12001,0.2707536,0.7971877,0.3196859
12002,0.2708667,0.798242,0.320277
12003,0.2700844,0.7998264,0.3208522
12004,0.2699037,0.8012469,0.3215533
12005,0.2694117,0.803386,0.3223566
12006,0.2688643,0.8054495,0.3231544
12007,0.2684039,0.8075137,0.323925
12008,0.267608,0.8100684,0.3245028
12009,0.2667895,0.8126974,0.3251508
12010,0.2660671,0.8152087,0.3258758
12011,0.2646831,0.8185177,0.3265218
12012,0.2638249,0.8213116,0.3272152
12013,0.2626777,0.824121,0.3279615
12014,0.2617081,0.8268831,0.3287336
12015,0.2607041,0.8296866,0.3294371
12016,0.2599225,0.8322021,0.3303054
12017,0.258979,0.8349781,0.3310202
12018,0.2577062,0.8375553,0.3320063
12019,0.2565845,0.8401294,0.3327495
12020,0.2557153,0.8425819,0.3337798
12021,0.2548165,0.8450043,0.3347375
12022,0.2540386,0.8469491,0.3357839
12023,0.2531838,0.8490019,0.3367204
12024,0.2523342,0.8511657,0.3376963
12025,0.251337,0.8529447,0.3385476
12026,0.250471,0.8538629,0.3395682
12027,0.249653,0.8546536,0.3406127
12028,0.2488304,0.8548468,0.3416928
12029,0.2479962,0.8553261,0.3425858
12030,0.2471558,0.8548404,0.3435843
12031,0.2462834,0.8545468,0.3446057
12032,0.2454485,0.8542467,0.345578
12033,0.2447259,0.851661,0.3464468
12034,0.2439562,0.8503858,0.3474095
12035,0.2433277,0.8478099,0.3484984
12036,0.2427308,0.8450601,0.3496926
12037,0.2414622,0.8402901,0.3518498
12038,0.240728,0.8375302,0.352783
12039,0.2400778,0.8348348,0.3537143
12040,0.2394482,0.8321621,0.3546133
12041,0.2389482,0.8296385,0.3554642
12042,0.2383657,0.8269237,0.3564092
12043,0.2382459,0.8240994,0.3576083
12044,0.2381854,0.8211855,0.3587225
12045,0.237835,0.8184229,0.3596973
12046,0.2375545,0.8167167,0.3606192
12047,0.2372699,0.8146054,0.3615445
12048,0.2369756,0.8130339,0.3622757
12049,0.2366571,0.8112581,0.3629362
12050,0.2364515,0.8093868,0.3637105
12051,0.2365821,0.8079357,0.3643335
12052,0.2364861,0.8062985,0.3650276
12053,0.2362578,0.8049547,0.3656793
12054,0.2361794,0.8034667,0.3663515
12055,0.2361299,0.8019029,0.3669643
12056,0.2358866,0.8006913,0.3673967
12057,0.2357509,0.7992411,0.3680087
12058,0.2355331,0.7984886,0.3684233
12059,0.2352772,0.7976411,0.3688606
12060,0.2348222,0.7972356,0.3693005
12061,0.2343006,0.7970505,0.3694893
12062,0.2339081,0.7966346,0.3697851
12063,0.2333504,0.7972208,0.3697048
12064,0.2328798,0.7973759,0.3697628
12065,0.2324931,0.7978202,0.3696027
12066,0.2321765,0.7981709,0.3695012
12067,0.2318898,0.7991309,0.3691753
12068,0.231294,0.8007751,0.3686002
12069,0.2308576,0.8019164,0.3681946
