frame,x,y,z
14001,0.2116828,0.7744302,0.2338174
14002,0.2098446,0.7783292,0.2367934
14003,0.2065504,0.7849008,0.2428563
14004,0.2032609,0.7916291,0.2457695
14005,0.2009215,0.7963962,0.2489234
14006,0.1969692,0.80237,0.2521776
14007,0.1905703,0.8128742,0.2590083
14008,0.1871471,0.8173015,0.2626517
14009,0.1838003,0.8222034,0.2661436
14010,0.1807199,0.8243654,0.2698118
14011,0.177374,0.8284146,0.273407
14012,0.1740264,0.8285918,0.2775369
14013,0.1707343,0.8308106,0.2813852
14014,0.1677951,0.8287061,0.2864091
14015,0.1652333,0.8265691,0.291164
14016,0.1626994,0.8234558,0.2959842
14017,0.1603828,0.8199368,0.3006729
14018,0.1578373,0.8161077,0.3054681
14019,0.1556031,0.8123568,0.3102614
14020,0.1539081,0.8065296,0.314682
14021,0.1517468,0.8019174,0.3193875
14022,0.1513534,0.7953631,0.3238775
14023,0.1500887,0.7894558,0.3282589
14024,0.148814,0.7835909,0.3325498
14025,0.1499433,0.7786239,0.3351946
14026,0.1493348,0.7729769,0.3389348
14027,0.1501323,0.7706243,0.3403833
14028,0.1510483,0.7683605,0.3423871
14029,0.1520938,0.76606,0.3444462
14030,0.1532805,0.7644173,0.3460095
14031,0.154388,0.7625409,0.3477068
14032,0.1565192,0.7658051,0.3465475
14033,0.1580762,0.76593,0.3470228
14034,0.1602839,0.7695439,0.3454356
14035,0.1623093,0.7720125,0.3444831
14036,0.1648551,0.7751348,0.342864
14037,0.1676401,0.7790955,0.3405117
14038,0.1701209,0.7827102,0.3385168
14039,0.1725139,0.7878543,0.3351781
14040,0.174763,0.793471,0.3316229
14041,0.177121,0.798583,0.3285313
14042,0.1789111,0.8034085,0.3238617
14043,0.1811502,0.8085298,0.3201824
14044,0.1832724,0.8135851,0.3164795
14045,0.1847306,0.816662,0.3110753
14046,0.18644,0.8197759,0.3062399
14047,0.1880855,0.8218833,0.3010286
14048,0.189679,0.8233034,0.2959234
14049,0.1913084,0.8237693,0.2911795
14050,0.1931931,0.8215197,0.286982
14051,0.1957568,0.8181227,0.2833178
14052,0.1983537,0.8142597,0.2797045
14053,0.2007921,0.8112639,0.2758282
14054,0.2030859,0.8079365,0.2720463
14055,0.205092,0.8015121,0.2697077
