frame,x,y,z
21001,0.1661324,0.7752475,0.3323637
21002,0.1666487,0.7768958,0.3314792
21003,0.1672184,0.778298,0.3307996
21004,0.1679429,0.7818234,0.328889
21005,0.1685844,0.7841226,0.3277262
21006,0.1695658,0.7881976,0.3261518
21007,0.1705142,0.7920519,0.3244061
21008,0.171374,0.7955316,0.3228604
21009,0.1723712,0.8012148,0.3196979
21010,0.1733293,0.8054917,0.3176258
21011,0.1745074,0.8099361,0.3150216
21012,0.1755638,0.814293,0.3127023
21013,0.1767342,0.8177952,0.3099273
21014,0.1778094,0.8215949,0.3072829
21015,0.1789192,0.8245964,0.3043197
21016,0.1799863,0.8275142,0.3013545
21017,0.1811113,0.8304052,0.2984062
21018,0.1822822,0.8321875,0.2952661
21019,0.1834905,0.833051,0.291881
21020,0.1846716,0.8329085,0.2883468
21021,0.1870115,0.8339171,0.2815941
21022,0.1880271,0.8318281,0.2780949
21023,0.1891752,0.8303242,0.2748518
21024,0.1905518,0.8286182,0.2715561
21025,0.1926711,0.8241975,0.2693119
21026,0.1940934,0.821633,0.2662941
21027,0.1958055,0.8176463,0.2640413
21028,0.1974822,0.8135208,0.2621928
21029,0.1992367,0.8097175,0.2600656
21030,0.2009589,0.8056624,0.25804
21031,0.2027502,0.8016475,0.2567482
21032,0.204696,0.7974592,0.2558744
21033,0.2065313,0.7932447,0.2546624
21034,0.2082961,0.7891095,0.2535547
21035,0.210251,0.785827,0.2541165
21036,0.2119873,0.7821763,0.2536888
21037,0.2133442,0.7801835,0.254018
21038,0.2148639,0.7776653,0.2543955
21039,0.2164027,0.7748844,0.2545687
21040,0.217499,0.7748746,0.2560489
21041,0.2188896,0.7730744,0.2567207
21042,0.2191026,0.7743217,0.2583603
21043,0.2197942,0.7745109,0.2596558
21044,0.2199749,0.7762145,0.2612732
21045,0.2203466,0.7773057,0.2627221
21046,0.2198794,0.7802012,0.2645902
21047,0.2194428,0.7829279,0.2664813
21048,0.2191177,0.7855528,0.2683421
21049,0.2172184,0.7907391,0.2700157
21050,0.2145507,0.7993044,0.2735889
21051,0.2126727,0.8040646,0.2752554
21052,0.2110096,0.8087303,0.2770338
21053,0.2085588,0.8132671,0.2785429
21054,0.2064517,0.8177604,0.2801822
21055,0.2043284,0.822367,0.2818057
21056,0.2020752,0.8255233,0.2834049
21057,0.1998667,0.8295771,0.28501
21058,0.1976638,0.8319018,0.2865487
21059,0.1954093,0.8347206,0.288137
21060,0.193042,0.8366095,0.2897872
21061,0.1907285,0.8387154,0.2915061
21062,0.188328,0.8389581,0.2931683
21063,0.1861516,0.8388442,0.2951148
21064,0.1838858,0.8390684,0.2969009
21065,0.1816064,0.8394747,0.2986958
21066,0.1802483,0.8343549,0.3015827
21067,0.1763218,0.8274273,0.306283
21068,0.1743104,0.8237008,0.3085652
21069,0.1724116,0.8187022,0.3109544
21070,0.1704078,0.8137528,0.313136
21071,0.1688648,0.8086695,0.3154216
21072,0.167404,0.803,0.3176445
21073,0.1661339,0.7978027,0.319883
21074,0.1648777,0.7929586,0.3219826
21075,0.1634892,0.7877467,0.3240954
21076,0.1636227,0.7835767,0.3253254
21077,0.1626108,0.7742778,0.3286541
21078,0.1648889,0.773182,0.3296767
21079,0.1656328,0.7700781,0.3309181
21080,0.1686099,0.7702473,0.3318324
21081,0.1706313,0.769882,0.3326132
21082,0.1725027,0.7691496,0.3333522
21083,0.1754112,0.774116,0.3323832
21084,0.1777838,0.7752984,0.3325994
21085,0.1809246,0.7793972,0.3317583
21086,0.183769,0.7822028,0.3313918
21087,0.1866764,0.7855009,0.3306374
21088,0.1895929,0.7887608,0.3301263
21089,0.191941,0.7927864,0.329037
21090,0.1940798,0.7969938,0.3277171
21091,0.196348,0.8010046,0.3265748
21092,0.1987764,0.8050417,0.3254935
21093,0.1997315,0.8097605,0.3228964
21094,0.2015821,0.814019,0.3212385
21095,0.2021874,0.8175654,0.3184477
21096,0.2034045,0.8215388,0.3162644
21097,0.2039988,0.8250359,0.3135088
21098,0.2046139,0.8279886,0.3106765
21099,0.2053991,0.830571,0.3077974
21100,0.2062279,0.8327158,0.3048322
21101,0.2070007,0.8351575,0.3019885
21102,0.2080125,0.8362101,0.2989225
21103,0.2088818,0.8376008,0.2959962
21104,0.2097096,0.8374034,0.2927912
21105,0.2105271,0.8377432,0.2896269
21106,0.2114853,0.8358366,0.2865544
21107,0.2123237,0.8340982,0.2836473
21108,0.213298,0.8318776,0.2808378
21109,0.2142934,0.8297831,0.2779331
21110,0.2161141,0.8248488,0.2765411
21111,0.2173322,0.8216621,0.2741404
21112,0.2186799,0.8170719,0.2725729
21113,0.2202013,0.8128336,0.2709199
21114,0.2215849,0.8086633,0.2690552
21115,0.2230233,0.8047345,0.2684311
21116,0.22438,0.8006662,0.267184
21117,0.2259052,0.7967703,0.2668189
21118,0.2274885,0.7933814,0.2667629
21119,0.2289847,0.7896171,0.2662838
21120,0.2303402,0.7873523,0.2674615
21121,0.231725,0.7845012,0.2678255
21122,0.2327965,0.7824548,0.268775
21123,0.2339445,0.7806029,0.2699521
21124,0.2347327,0.7797524,0.2712229
21125,0.235515,0.7785026,0.2725279
21126,0.2361021,0.7776429,0.2745033
21127,0.236947,0.777257,0.2766356
21128,0.237599,0.7769279,0.2787791
21129,0.2382989,0.7766324,0.2808969
21130,0.2383156,0.7789931,0.2839144
21131,0.2387443,0.7797596,0.2863977
21132,0.237983,0.7836168,0.2891316
21133,0.2377734,0.7859129,0.2917463
21134,0.2366124,0.7902094,0.2942109
21135,0.2351689,0.7946807,0.2964884
21136,0.2335327,0.7993767,0.2987142
21137,0.2316305,0.8042462,0.3007706
21138,0.2299319,0.8090206,0.3029731
21139,0.2272964,0.8141183,0.3048344
21140,0.225161,0.8191231,0.3069191
21141,0.2226413,0.8235325,0.3086247
21142,0.2201061,0.827505,0.3104378
21143,0.2176438,0.8319847,0.3122943
21144,0.2155143,0.8344464,0.3141905
21145,0.2132743,0.8375227,0.3161424
21146,0.2110967,0.8408914,0.3179839
21147,0.209366,0.8405499,0.3201957
21148,0.2056524,0.8404563,0.3245493
21149,0.2038841,0.8399689,0.3267335
21150,0.202564,0.8379636,0.3289616
21151,0.2011632,0.835314,0.3310509
21152,0.1998909,0.832118,0.3330271
21153,0.1989585,0.8285044,0.3348066
21154,0.1976702,0.825027,0.3366555
21155,0.1965754,0.8206341,0.3387226
21156,0.1953385,0.816685,0.3404827
21157,0.1952395,0.8121201,0.3418385
21158,0.19383,0.8033838,0.3450564
21159,0.1935675,0.8001998,0.3463256
21160,0.1931274,0.7963405,0.3476045
21161,0.193103,0.7931096,0.3485675
21162,0.193023,0.7897779,0.3497024
21163,0.1933343,0.7868655,0.3504126
21164,0.1940811,0.7844376,0.3510097
21165,0.1945153,0.7818897,0.3516455
21166,0.1950005,0.7794251,0.3522359
21167,0.19586,0.7810812,0.3511626
21168,0.1963219,0.7813596,0.3504739
21169,0.1968379,0.7816998,0.3496249
21170,0.1973639,0.7826941,0.3484504
21171,0.1979781,0.7841144,0.3470547
21172,0.1987189,0.7857775,0.3455908
