frame,x,y,z
4001,-0.1461563,-0.2692094,0.4532342
4002,-0.1493782,-0.2719814,0.4538574
4003,-0.1509952,-0.274356,0.4541886
4004,-0.1538076,-0.2772051,0.4548692
4005,-0.1554261,-0.2793169,0.4550979
4006,-0.1558546,-0.2812784,0.4553733
4007,-0.1571577,-0.2833344,0.4556913
4008,-0.1553626,-0.2850177,0.4563556
4009,-0.1549434,-0.2865236,0.4573165
4010,-0.1556311,-0.2878061,0.4584326
4011,-0.1553538,-0.2888168,0.4595256
4012,-0.1556289,-0.2900007,0.4605943
4013,-0.1561763,-0.2911989,0.4616346
4014,-0.1530477,-0.2912496,0.4619017
4015,-0.1530356,-0.2918897,0.4627302
4016,-0.152179,-0.2916675,0.4628691
4017,-0.1512203,-0.2916782,0.4632866
4018,-0.1505525,-0.2918532,0.4638185
4019,-0.1467363,-0.2903022,0.4635508
4020,-0.1451042,-0.2897786,0.4637868
4021,-0.142092,-0.2878323,0.4635984
4022,-0.1397696,-0.2863995,0.4635578
4023,-0.1371398,-0.2845908,0.4634594
4024,-0.1345883,-0.2829851,0.4634085
4025,-0.1319925,-0.2808639,0.4634513
4026,-0.1292978,-0.2790884,0.463544
4027,-0.1265466,-0.2772425,0.4635865
4028,-0.124234,-0.2753242,0.4639173
4029,-0.1217668,-0.2735727,0.4641959
4030,-0.1194353,-0.2718612,0.4646185
4031,-0.1172491,-0.2704578,0.4651239
4032,-0.114972,-0.268793,0.4655163
4033,-0.1123613,-0.2679552,0.4658128
4034,-0.1100769,-0.2668083,0.466078
4035,-0.1081395,-0.2659359,0.4662824
4036,-0.1065384,-0.2651367,0.4665662
4037,-0.1049303,-0.2642685,0.4668218
4038,-0.1035373,-0.2637306,0.4668843
4039,-0.1019672,-0.2631741,0.4670689
4040,-0.1005008,-0.262771,0.4672337
4041,-0.09913781,-0.2623445,0.4673745
4042,-0.09810165,-0.2621452,0.4674101
4043,-0.09684005,-0.2615516,0.4673409
4044,-0.0954304,-0.2610339,0.4672023
4045,-0.0940005,-0.2605388,0.4670813
4046,-0.09279288,-0.25957,0.4662293
4047,-0.09149595,-0.2589024,0.4657725
4048,-0.09027163,-0.2577123,0.4648158
4049,-0.0891415,-0.2567933,0.4639674
4050,-0.08797634,-0.2558767,0.4631852
4051,-0.08742697,-0.255138,0.4618687
4052,-0.08641165,-0.2542019,0.4609048
4053,-0.08560418,-0.2535979,0.4599013
4054,-0.08469195,-0.2527888,0.4589317
4055,-0.08428026,-0.2521578,0.4580158
4056,-0.08373889,-0.251436,0.4569043
4057,-0.08357008,-0.2509871,0.4559993
4058,-0.08384478,-0.2507577,0.4549683
4059,-0.08413042,-0.2505692,0.4538515
4060,-0.08453133,-0.2504553,0.4526215
4061,-0.08465789,-0.2504684,0.45149
4062,-0.08504003,-0.2507623,0.4505439
4063,-0.08564227,-0.2510914,0.4484883
4064,-0.08612286,-0.2515978,0.4476158
4065,-0.08666793,-0.2522869,0.4467692
