frame,x,y,z
6001,0.05351949,-0.2271699,0.4560884
6002,0.04519654,-0.2277152,0.4563513
6003,0.03669699,-0.2280105,0.4566253
6004,0.02857401,-0.2281855,0.4568149
6005,0.02085491,-0.2282573,0.4568826
6006,0.01294097,-0.2284233,0.4570657
6007,0.00524485,-0.2284469,0.4571854
6008,-0.001092959,-0.2287776,0.4576257
6009,-0.01404855,-0.2291908,0.4581133
6010,-0.02024611,-0.2294181,0.4582641
6011,-0.02496497,-0.2296912,0.458588
6012,-0.03488022,-0.2303267,0.4592315
6013,-0.03891192,-0.2309499,0.4595952
6014,-0.0430642,-0.2315412,0.4598853
6015,-0.04703203,-0.2320469,0.4602492
6016,-0.04726673,-0.2323172,0.4605624
6017,-0.04997762,-0.2327571,0.4608949
6018,-0.05013413,-0.2325647,0.4612336
6019,-0.05143998,-0.2326947,0.4615542
6020,-0.05093386,-0.2327868,0.4617153
6021,-0.0505373,-0.2328115,0.4618452
6022,-0.05043814,-0.2329024,0.4620531
6023,-0.04952478,-0.2329101,0.4621328
6024,-0.04914669,-0.2329427,0.4623106
6025,-0.04273713,-0.232105,0.4620021
6026,-0.03570882,-0.2325136,0.4616888
6027,-0.03034091,-0.2324528,0.4614464
6028,-0.02484745,-0.2324496,0.4611221
6029,-0.01964337,-0.2324817,0.4607826
6030,-0.01139931,-0.232597,0.4599557
6031,-0.003724683,-0.2326103,0.4593719
6032,0.003651557,-0.2326016,0.4587455
6033,0.01439645,-0.2332131,0.4580137
6034,0.02379453,-0.2333591,0.4573607
6035,0.03284963,-0.2335418,0.4566947
6036,0.04620794,-0.2324739,0.4563988
6037,0.06969666,-0.2320139,0.4550245
6038,0.08167578,-0.2316865,0.4543799
6039,0.09626678,-0.2310849,0.4535602
6040,0.1100898,-0.2309953,0.452717
6041,0.1256347,-0.2304645,0.4516154
6042,0.1409586,-0.2298822,0.4505243
6043,0.1575282,-0.2292752,0.4493467
6044,0.1739678,-0.2290364,0.4482587
6045,0.1903457,-0.2287346,0.4471869
6046,0.2074965,-0.2271141,0.4463773
6047,0.2243069,-0.2261829,0.4452968
6048,0.2420119,-0.2253715,0.4443321
6049,0.2596768,-0.2243912,0.4436745
6050,0.2774235,-0.2233815,0.4430348
6051,0.2950726,-0.2224098,0.4422712
6052,0.3139337,-0.220918,0.4418116
6053,0.3325009,-0.2200059,0.4411275
6054,0.3512261,-0.2184654,0.440649
6055,0.369821,-0.2170852,0.4401362
6056,0.3885137,-0.2155415,0.4397211
6057,0.4075832,-0.2148104,0.4391971
6058,0.4448746,-0.2128329,0.43832
6059,0.463278,-0.2120847,0.4380225
6060,0.4810317,-0.2110628,0.4378696
6061,0.4990786,-0.2099313,0.4376206
6062,0.5155504,-0.208795,0.4373781
6063,0.5328643,-0.208715,0.4370343
6064,0.5503208,-0.2080668,0.4368296
6065,0.566289,-0.2086618,0.4368992
6066,0.5827459,-0.2077048,0.436633
6067,0.5992448,-0.2071378,0.4364228
6068,0.6144018,-0.2077019,0.4353513
6069,0.6301865,-0.2076845,0.4351254
6070,0.6424348,-0.2074711,0.4343537
6071,0.65614,-0.2075425,0.4335639
6072,0.6690183,-0.2067948,0.432454
6073,0.6813809,-0.2077309,0.4319799
6074,0.6925801,-0.2100189,0.4315678
6075,0.7136371,-0.2137762,0.4301299
6076,0.7315683,-0.2169826,0.4292957
6077,0.7371589,-0.2186852,0.4289817
6078,0.7429731,-0.2213877,0.4286338
6079,0.7491129,-0.2237331,0.4279873
6080,0.7517429,-0.2262991,0.4261458
6081,0.7551149,-0.2281662,0.4249676
6082,0.7585855,-0.2303535,0.4239616
6083,0.7587293,-0.230682,0.4235477
6084,0.7604386,-0.2318339,0.4227548
6085,0.7620131,-0.2330238,0.4220357
6086,0.7580404,-0.2288979,0.4225538
6087,0.7579864,-0.2293349,0.4221154
6088,0.7581011,-0.2288776,0.4218102
6089,0.7574281,-0.2284314,0.4215329
6090,0.7548132,-0.227478,0.4220285
6091,0.7534138,-0.227194,0.4219359
6092,0.7521039,-0.228199,0.4218491
6093,0.750886,-0.2286459,0.4215409
6094,0.7495806,-0.2288719,0.4213185
6095,0.7474781,-0.2292041,0.4208258
6096,0.745387,-0.229002,0.4205111
6097,0.7428478,-0.2284518,0.4206502
6098,0.7409074,-0.2299389,0.4206418
6099,0.7389628,-0.2304678,0.4205262
6100,0.7367854,-0.2289759,0.4203687
6101,0.7335791,-0.2278821,0.4205385
6102,0.730893,-0.2272643,0.4205318
6103,0.7242118,-0.226217,0.4212109
6104,0.7202292,-0.2252958,0.4215598
6105,0.7149419,-0.2252161,0.4227998
6106,0.7101077,-0.2249191,0.4236139
6107,0.7040024,-0.2252361,0.4242761
6108,0.6978895,-0.2246106,0.4248851
6109,0.6903072,-0.2231578,0.4253517
6110,0.6830061,-0.2226701,0.4258321
6111,0.6758263,-0.2222702,0.4262553
6112,0.668575,-0.2217564,0.4267128
6113,0.6595453,-0.2215385,0.4272152
6114,0.6515365,-0.2212554,0.4276368
6115,0.6431058,-0.2219987,0.4279832
6116,0.6347325,-0.2222018,0.4284423
6117,0.6262904,-0.222429,0.4289109
6118,0.616156,-0.2222135,0.4296094
6119,0.606325,-0.2225106,0.4302908
6120,0.5965393,-0.2230195,0.4310106
6121,0.5868971,-0.2232769,0.4316642
6122,0.5760964,-0.2230893,0.4325112
6123,0.5655706,-0.2230357,0.4333129
6124,0.554563,-0.2231847,0.4342233
6125,0.5437189,-0.2232863,0.4351156
6126,0.5323685,-0.2234881,0.4360583
6127,0.5210063,-0.2234038,0.4370334
6128,0.5087889,-0.2233264,0.4377458
6129,0.4969454,-0.2231848,0.4385214
6130,0.4844265,-0.2226583,0.4390919
6131,0.4722249,-0.2225171,0.4399118
6132,0.4594686,-0.2227137,0.4407343
6133,0.4467833,-0.2226061,0.4415232
6134,0.4338443,-0.2232257,0.4420606
6135,0.4211668,-0.2235401,0.4426458
6136,0.4083547,-0.2239125,0.4431726
6137,0.3955559,-0.224158,0.4438106
6138,0.3825766,-0.2244364,0.4444115
6139,0.3696384,-0.2247143,0.4450237
