frame,x,y,z
14001,0.4063348,-0.2052376,0.4384076
14002,0.3923975,-0.2051725,0.4390977
14003,0.3797887,-0.205631,0.4409356
14004,0.3667222,-0.2059956,0.4420036
14005,0.3538135,-0.2067481,0.4426779
14006,0.3411094,-0.2078249,0.4424695
14007,0.3284528,-0.2085605,0.4428988
14008,0.3155725,-0.2095842,0.4423857
14009,0.303101,-0.2104326,0.4425743
14010,0.2906242,-0.2114504,0.4426146
14011,0.279758,-0.2129771,0.4428076
14012,0.2680312,-0.2140844,0.4430652
14013,0.257151,-0.2142014,0.444829
14014,0.2469611,-0.2147299,0.445532
14015,0.2379891,-0.2158044,0.446298
14016,0.2284887,-0.2168126,0.4469425
14017,0.2206984,-0.216751,0.4473906
14018,0.2125119,-0.2176926,0.4476185
14019,0.1959761,-0.2190911,0.4485616
14020,0.1912897,-0.2199022,0.447767
14021,0.1798685,-0.2200449,0.4477639
14022,0.1687681,-0.2205198,0.4474778
14023,0.166954,-0.2195527,0.4475241
14024,0.1611814,-0.218933,0.4470375
14025,0.1555209,-0.2184107,0.446294
14026,0.1568957,-0.2203044,0.4445809
14027,0.1556571,-0.2209619,0.4436181
14028,0.154988,-0.2213538,0.4426721
14029,0.1572916,-0.2202591,0.4406501
14030,0.1591846,-0.2191,0.4397452
14031,0.1613944,-0.2186094,0.4389725
14032,0.1632487,-0.2181599,0.4380056
14033,0.1677109,-0.2174442,0.4373869
14034,0.1734143,-0.2168028,0.4368381
14035,0.1775818,-0.2164264,0.4359922
14036,0.1864731,-0.216057,0.4357573
14037,0.1922959,-0.2155999,0.4351485
14038,0.2022592,-0.2159432,0.4345549
14039,0.2106306,-0.2157248,0.4341225
14040,0.2185203,-0.2152444,0.433652
14041,0.2306139,-0.214272,0.4326275
14042,0.2410285,-0.2140519,0.4317877
14043,0.2518939,-0.213636,0.4310264
14044,0.2668775,-0.2131242,0.429619
14045,0.2792695,-0.2128108,0.4286193
14046,0.2949719,-0.2129267,0.4273959
14047,0.3098345,-0.2127469,0.4262092
14048,0.3242797,-0.2126581,0.4249425
14049,0.3430787,-0.2120956,0.4227304
14050,0.3594132,-0.2119939,0.4210679
14051,0.3791738,-0.2109301,0.4187165
14052,0.397016,-0.2104245,0.4167788
14053,0.4209334,-0.2096121,0.4149392
14054,0.4412239,-0.20839,0.4130313
14055,0.4624523,-0.2056444,0.4127671
14056,0.5038549,-0.2017326,0.4104689
14057,0.5244241,-0.1997866,0.4094695
14058,0.5470366,-0.1983818,0.4098401
14059,0.5683158,-0.1964961,0.4093007
14060,0.5910376,-0.1968586,0.4086137
14061,0.6130856,-0.1960021,0.4079996
14062,0.6359163,-0.1973152,0.4071657
14063,0.6808568,-0.1969669,0.4060948
14064,0.699114,-0.1949181,0.4057297
14065,0.7399479,-0.1969587,0.4039766
14066,0.7603574,-0.1979823,0.4032399
14067,0.7794437,-0.2008813,0.4024641
14068,0.7975088,-0.2041652,0.4017844
14069,0.8164039,-0.2066253,0.4009539
14070,0.8324885,-0.2113175,0.4005108
14071,0.8494752,-0.2150552,0.3997563
14072,0.866554,-0.219155,0.3990733
14073,0.8799214,-0.2225458,0.3995542
14074,0.8953699,-0.2268485,0.3989403
14075,0.9085209,-0.2319256,0.3992472
14076,0.9228144,-0.2368392,0.3990112
14077,0.9353335,-0.2417737,0.3984976
14078,0.9452674,-0.2462098,0.3982988
14079,0.9567387,-0.2503071,0.3981872
14080,0.9608982,-0.2503754,0.3980795
14081,0.9692245,-0.2529216,0.3980175
14082,0.971994,-0.2530953,0.39825
14083,0.9763765,-0.2548342,0.3971597
14084,0.9812992,-0.2566592,0.3964802
14085,0.9804424,-0.2566645,0.395465
14086,0.9819707,-0.257506,0.3947788
14087,0.9838327,-0.2583517,0.3940745
14088,0.9769636,-0.257275,0.3959113
14089,0.9752102,-0.2576372,0.3961397
14090,0.9706216,-0.2576623,0.3971218
14091,0.9664615,-0.2577622,0.3978603
14092,0.9608008,-0.2572329,0.3991293
14093,0.9551188,-0.2577836,0.4001985
14094,0.9445534,-0.2575787,0.4019906
14095,0.9391509,-0.2575672,0.4030247
14096,0.9321577,-0.25701,0.4041569
14097,0.9259135,-0.2567118,0.4052866
14098,0.9187856,-0.2552166,0.4065608
14099,0.9123002,-0.2546878,0.4076859
14100,0.8986849,-0.2518571,0.4089806
14101,0.8911732,-0.2502099,0.4095052
14102,0.8841051,-0.2487637,0.4101074
14103,0.8751726,-0.246276,0.4107292
14104,0.8673904,-0.2444082,0.4112907
14105,0.8577005,-0.2424577,0.4115711
14106,0.8488029,-0.2407013,0.4119295
14107,0.8387363,-0.240002,0.4120753
14108,0.8295483,-0.2395875,0.4124859
14109,0.8202242,-0.238468,0.4128022
14110,0.8115106,-0.2381161,0.4131995
14111,0.8020146,-0.2375285,0.4135233
14112,0.7918245,-0.2368225,0.4132487
14113,0.7816836,-0.2359983,0.4121655
14114,0.7710371,-0.2348731,0.4102574
14115,0.760165,-0.2338894,0.408501
14116,0.7489834,-0.2329791,0.4066511
14117,0.7374373,-0.2324284,0.4049484
14118,0.7259315,-0.2326243,0.4030425
14119,0.715276,-0.2321333,0.4016101
14120,0.7034305,-0.232356,0.4039887
14121,0.6920826,-0.2315496,0.4046349
14122,0.6784156,-0.2298693,0.4095127
14123,0.6656497,-0.2290936,0.4120996
14124,0.6539233,-0.2286262,0.4133987
14125,0.642253,-0.2279848,0.4131393
14126,0.6300865,-0.2271089,0.4141834
14127,0.6163772,-0.2260126,0.41366
14128,0.6033723,-0.2255283,0.414499
14129,0.5906175,-0.2257004,0.4151866
14130,0.57782,-0.2256477,0.4156223
14131,0.5646372,-0.2248696,0.416388
14132,0.5508923,-0.2243468,0.4172375
14133,0.5376055,-0.2238403,0.4180099
14134,0.5242013,-0.2236429,0.4190611
14135,0.5112479,-0.2238473,0.4202002
14136,0.498458,-0.224417,0.4210179
14137,0.4855381,-0.2249002,0.4219593
14138,0.472565,-0.2254232,0.4229502
14139,0.4596828,-0.2257368,0.423869
14140,0.4466365,-0.2271759,0.4241742
14141,0.4338026,-0.2279707,0.4248642
14142,0.4218641,-0.2289809,0.4252244
14143,0.4095116,-0.229528,0.4260272
14144,0.3971702,-0.2296628,0.4272136
14145,0.3843805,-0.2293135,0.4282263
14146,0.371998,-0.2292159,0.4291012
14147,0.3597726,-0.2287205,0.4300017
14148,0.3475899,-0.2292498,0.4310628
14149,0.3364188,-0.229165,0.432047
14150,0.3246028,-0.2293125,0.4330584
14151,0.3129526,-0.2296926,0.4337152
14152,0.3017212,-0.2303447,0.4344716
14153,0.2913322,-0.2317169,0.434933
14154,0.2813703,-0.2326468,0.4354208
14155,0.2712339,-0.2330796,0.4362987
14156,0.2622142,-0.2330409,0.4374235
14157,0.2530668,-0.2334478,0.4381793
14158,0.2448889,-0.234107,0.4387003
14159,0.2371483,-0.2340725,0.4394547
14160,0.2287786,-0.2344535,0.4402016
14161,0.2204164,-0.2336857,0.4411844
14162,0.2128554,-0.2336814,0.4418583
14163,0.206475,-0.2331333,0.4426195
