frame,x,y,z
11001,9.773299e-05,0.4674814,-0.2985424
11002,-0.000913322,0.4733642,-0.2991276
11003,-0.002620924,0.4842653,-0.2998748
11004,-0.005190868,0.4982572,-0.304435
11005,-0.007395183,0.50599,-0.3055096
11006,-0.01083211,0.5231455,-0.3069173
11007,-0.01224929,0.5317073,-0.3066135
11008,-0.01378985,0.5400514,-0.3067533
11009,-0.01497576,0.5403126,-0.3070821
11010,-0.01631955,0.5426423,-0.3090695
11011,-0.01687426,0.5405709,-0.3105693
11012,-0.01732523,0.5339864,-0.3125652
11013,-0.01800735,0.5274274,-0.3140783
11014,-0.01853262,0.5221724,-0.3155637
11015,-0.01977559,0.5118197,-0.3142021
11016,-0.0207386,0.5033535,-0.314364
11017,-0.02149513,0.4916608,-0.3152336
11018,-0.02174364,0.4801235,-0.3168244
11019,-0.01987932,0.4722399,-0.3216839
11020,-0.01930986,0.4749978,-0.3225261
11021,-0.01899543,0.4727713,-0.3212016
11022,-0.01917126,0.4692337,-0.3142743
11023,-0.01920699,0.469527,-0.3196109
11024,-0.0189548,0.4678825,-0.3208373
11025,-0.01800758,0.4686055,-0.3266827
11026,-0.0170091,0.4691584,-0.3290774
11027,-0.01425958,0.4852548,-0.3244115
11028,-0.01229018,0.4946873,-0.3231799
11029,-0.009500027,0.5026013,-0.3220876
11030,-0.006626982,0.5102274,-0.3228025
11031,-0.003812767,0.517381,-0.322277
11032,-0.0007836297,0.5261296,-0.3213546
11033,0.002230983,0.5347664,-0.3205959
11034,0.005104389,0.5384254,-0.318958
11035,0.007819384,0.5418512,-0.3185342
11036,0.009609793,0.5425556,-0.3191089
11037,0.01104906,0.5394772,-0.319597
11038,0.01309595,0.5382974,-0.3198692
11039,0.01418624,0.5300584,-0.3208989
11040,0.01560644,0.5249449,-0.3209392
11041,0.01617644,0.5186198,-0.3199308
11042,0.01651095,0.5094562,-0.3192673
11043,0.0171927,0.5017083,-0.3189157
11044,0.01694424,0.4870094,-0.3222567
11045,0.01703523,0.4766789,-0.3244233
11046,0.01662554,0.4766088,-0.3256804
11047,0.01531032,0.4747302,-0.3232808
11048,0.0138589,0.4694618,-0.3223964
11049,0.01110117,0.4671028,-0.3280066
11050,0.01014259,0.4633396,-0.3311242
11051,0.01016364,0.4632369,-0.3336294
11052,0.009745527,0.4659795,-0.3361815
11053,0.007644638,0.4738292,-0.3365684
11054,0.005355012,0.4836134,-0.3380949
11055,0.003378629,0.4909847,-0.3393436
11056,0.001747534,0.498306,-0.340943
11057,-0.0004309267,0.5087616,-0.3417684
11058,-0.00244638,0.517822,-0.3429538
11059,-0.004317454,0.5260698,-0.3418486
11060,-0.006544996,0.5350637,-0.3416353
11061,-0.00856987,0.5441145,-0.341432
11062,-0.01117592,0.5451933,-0.3403596
11063,-0.01345056,0.550594,-0.3400742
11064,-0.01488251,0.5450815,-0.3411894
11065,-0.01667252,0.5437205,-0.341613
11066,-0.01900879,0.5353517,-0.3427904
11067,-0.02110575,0.5311564,-0.3433863
11068,-0.02332399,0.5251529,-0.3414173
11069,-0.02495969,0.5173576,-0.3396437
11070,-0.02682692,0.5099363,-0.3386944
11071,-0.02701813,0.4962906,-0.3401417
11072,-0.02691663,0.4849604,-0.3418525
11073,-0.02541546,0.4795052,-0.3436126
11074,-0.02599941,0.4871602,-0.3416551
11075,-0.02599431,0.4845492,-0.3417006
