frame,x,y,z
1001,-0.03989384,0.544736,-0.3561811
1002,-0.03948124,0.5433217,-0.3566551
1003,-0.03906732,0.5424834,-0.3570495
1004,-0.03862907,0.5417135,-0.3574505
1005,-0.03842258,0.5395259,-0.357302
1006,-0.03812463,0.5378925,-0.3571763
1007,-0.03770356,0.5364287,-0.3569731
1008,-0.03729079,0.5348222,-0.3568114
1009,-0.03654101,0.5329666,-0.356351
1010,-0.036013,0.531221,-0.3560549
1011,-0.035064,0.5300182,-0.3555512
1012,-0.03416534,0.5285707,-0.3551989
1013,-0.0333745,0.527034,-0.3547932
1014,-0.03191536,0.5254854,-0.3549328
1015,-0.03056033,0.5241939,-0.354771
1016,-0.02940147,0.5228936,-0.3545243
1017,-0.02752436,0.5229747,-0.3539072
1018,-0.025709,0.5226632,-0.3533153
1019,-0.02381701,0.522422,-0.352611
1020,-0.02203988,0.5220459,-0.3520598
1021,-0.01995334,0.5223302,-0.3518257
1022,-0.01594874,0.5239501,-0.3511118
1023,-0.01396068,0.5260383,-0.3504764
1024,-0.01228206,0.5286365,-0.3491039
1025,-0.01063652,0.5318251,-0.3482919
1026,-0.008975957,0.5352255,-0.3475768
1027,-0.007777131,0.5378888,-0.3469581
1028,-0.006546075,0.5379426,-0.3475814
1029,-0.005394101,0.5383053,-0.3484904
1030,-0.004312075,0.5386962,-0.3493164
1031,-0.003227939,0.5397484,-0.3499884
1032,-0.002204712,0.5407231,-0.3506438
1033,-0.001920196,0.542377,-0.3512902
1034,-0.001145806,0.5433824,-0.3520518
1035,-0.001135051,0.5446665,-0.3538508
1036,-0.0007899404,0.5459785,-0.3547827
1037,-0.0003916919,0.5471829,-0.3558169
1038,-0.0005120263,0.5490398,-0.356732
1039,-0.0005154237,0.5503352,-0.3577172
1040,-0.0008257739,0.5508536,-0.3589589
1041,-0.0008835569,0.5516006,-0.3602049
1042,-0.00113833,0.5517179,-0.3614974
1043,-0.001408823,0.5520217,-0.3627908
1044,-0.001638819,0.5518266,-0.3639909
1045,-0.001909371,0.5513101,-0.3649739
1046,-0.002155561,0.5507716,-0.3658959
1047,-0.002451804,0.5503391,-0.3669267
1048,-0.002780296,0.5488157,-0.3674728
1049,-0.003083218,0.5473453,-0.3682944
1050,-0.003497984,0.5454601,-0.3691097
1051,-0.003870902,0.5436504,-0.3699648
1052,-0.004346363,0.5412661,-0.3708119
1053,-0.004881375,0.5391101,-0.3713826
1054,-0.005474638,0.5368109,-0.3717605
1055,-0.006094374,0.5344284,-0.3722482
1056,-0.006817002,0.5319647,-0.3727024
1057,-0.007526953,0.5297762,-0.3729328
1058,-0.008024524,0.5275894,-0.3732909
1059,-0.009165007,0.5261869,-0.3730188
1060,-0.01008092,0.5245737,-0.3727589
1061,-0.0109732,0.5227825,-0.3727028
1062,-0.01210014,0.5211695,-0.3724987
1063,-0.01371236,0.5210857,-0.3717409
1064,-0.01495252,0.5200419,-0.3713486
1065,-0.01671012,0.5200333,-0.3704984
1066,-0.01824832,0.5194018,-0.3699014
1067,-0.01975387,0.518815,-0.3694738
1068,-0.02131266,0.5184282,-0.3690062
1069,-0.02277746,0.5213304,-0.3685676
1070,-0.02442365,0.5225875,-0.3666751
1071,-0.02579388,0.5228891,-0.3657088
1072,-0.02682592,0.5262502,-0.36542
1073,-0.02798134,0.5289416,-0.3638307
1074,-0.02901235,0.5299801,-0.3634151
