frame,x,y,z
19001,-0.03124885,0.4813236,-0.3244936
19002,-0.02823469,0.4803307,-0.3306866
19003,-0.02722681,0.4759921,-0.3314812
19004,-0.02638155,0.4733906,-0.3322118
19005,-0.02492314,0.4783793,-0.3344166
19006,-0.0242519,0.4796202,-0.3346226
19007,-0.0234226,0.4823152,-0.333768
19008,-0.02307624,0.4986799,-0.3242222
19009,-0.02181974,0.5037155,-0.3248558
19010,-0.02051614,0.5074722,-0.324224
19011,-0.01929786,0.5125955,-0.3232316
19012,-0.01793271,0.518382,-0.3226203
19013,-0.01678948,0.5248563,-0.3211158
19014,-0.01574828,0.531158,-0.3196839
19015,-0.0156145,0.5359709,-0.3164074
19016,-0.0148169,0.540986,-0.3147916
19017,-0.0141553,0.5391358,-0.3158461
19018,-0.01338143,0.5407567,-0.3153596
19019,-0.01259436,0.5352431,-0.3163765
19020,-0.01169582,0.5298615,-0.3171331
19021,-0.01092395,0.5261222,-0.3175603
19022,-0.01034674,0.5147584,-0.3179535
19023,-0.009674543,0.5056531,-0.3193535
19024,-0.009023797,0.4971474,-0.3204724
19025,-0.008301567,0.4886803,-0.3237618
19026,-0.007622586,0.490065,-0.3234518
19027,-0.007836305,0.4877672,-0.3207034
19028,-0.007868849,0.4840857,-0.3198262
19029,-0.01018491,0.4808033,-0.3237255
19030,-0.01077045,0.4782513,-0.3260238
19031,-0.01157411,0.4755491,-0.3275025
19032,-0.009125914,0.4788551,-0.328887
19033,-0.008677445,0.4805041,-0.3285426
19034,-0.008749496,0.4816351,-0.3290851
19035,-0.01118625,0.4939775,-0.3255508
19036,-0.01196184,0.4992438,-0.3249137
19037,-0.01213249,0.504258,-0.3266948
19038,-0.01273353,0.5099585,-0.3268486
19039,-0.01340928,0.516161,-0.3263418
19040,-0.01416102,0.5222583,-0.3258205
19041,-0.01482141,0.5282963,-0.3249072
19042,-0.01571435,0.5337662,-0.3236353
19043,-0.01659736,0.5395566,-0.322666
19044,-0.01832902,0.5383542,-0.3223879
19045,-0.0200475,0.5399829,-0.3220738
19046,-0.02071578,0.5365444,-0.3231118
19047,-0.02152587,0.5355642,-0.323382
19048,-0.02179839,0.5270123,-0.3252883
19049,-0.02245386,0.5221102,-0.3262645
19050,-0.02266446,0.5109131,-0.3267611
19051,-0.02258471,0.5018737,-0.3285771
19052,-0.02285292,0.4931292,-0.3301505
19053,-0.02137287,0.4856598,-0.3347414
19054,-0.02118264,0.4805384,-0.3366576
19055,-0.02299016,0.487689,-0.328795
19056,-0.02243778,0.481482,-0.3272358
19057,-0.02066127,0.4788419,-0.3312142
19058,-0.02005239,0.4761918,-0.3318087
19059,-0.02024014,0.4757579,-0.3370441
19060,-0.02003796,0.4757323,-0.3382899
19061,-0.0200065,0.4760052,-0.3395903
19062,-0.01915674,0.4960177,-0.3286106
19063,-0.01882188,0.5028504,-0.3268368
19064,-0.0180324,0.5084975,-0.3265653
19065,-0.01754519,0.5147865,-0.3250509
19066,-0.01674457,0.5167524,-0.3249182
19067,-0.01609591,0.5217361,-0.3234541
19068,-0.01556029,0.5271545,-0.3219785
19069,-0.01621288,0.5338942,-0.3180508
19070,-0.01709919,0.5363327,-0.3163265
19071,-0.01790453,0.5406411,-0.314614
19072,-0.01840663,0.5419773,-0.3140085
19073,-0.01847246,0.5339823,-0.317579
19074,-0.01861914,0.5307781,-0.3183412
19075,-0.01869985,0.525215,-0.3184519
19076,-0.01939936,0.5174848,-0.3182709
19077,-0.02011462,0.5084214,-0.3196532
19078,-0.02063226,0.4974175,-0.3229846
19079,-0.02116628,0.4880835,-0.3251477
19080,-0.02090446,0.4889145,-0.3271421
19081,-0.02113605,0.48316,-0.3291154
19082,-0.02296838,0.4869523,-0.3209179
19083,-0.02697872,0.4834354,-0.3217929
19084,-0.02902744,0.4809683,-0.3217158
19085,-0.02924963,0.4788241,-0.3266644
19086,-0.02923245,0.4785782,-0.3281029
19087,-0.02700607,0.4819554,-0.328254
19088,-0.02804669,0.4864681,-0.3270886
19089,-0.0286668,0.4903296,-0.3267965
19090,-0.03152896,0.5002012,-0.3240628
19091,-0.03237917,0.5057398,-0.3238394
19092,-0.03336743,0.5117233,-0.3232439
19093,-0.0337236,0.5181521,-0.3232528
19094,-0.03505687,0.5236695,-0.3224668
19095,-0.03668975,0.5298151,-0.3215907
19096,-0.03788288,0.5355152,-0.3202413
19097,-0.03938368,0.5406141,-0.3186189
19098,-0.04090633,0.5452608,-0.3171264
19099,-0.0425313,0.546106,-0.3167723
19100,-0.04364558,0.5450157,-0.3172793
19101,-0.04495479,0.5461192,-0.316913
19102,-0.04622035,0.5474101,-0.3165079
19103,-0.04689019,0.534327,-0.3189361
19104,-0.04751448,0.5279058,-0.3186245
19105,-0.04836677,0.5200981,-0.3187376
19106,-0.04910524,0.5122375,-0.3192454
19107,-0.04834857,0.4979284,-0.3233095
19108,-0.04781985,0.4867089,-0.3268989
19109,-0.04717787,0.4808221,-0.3300919
19110,-0.04844666,0.4856308,-0.3280782
19111,-0.04849217,0.4815355,-0.3292207
19112,-0.0496353,0.4806329,-0.3224564
19113,-0.04980295,0.4782561,-0.3214929
19114,-0.04934051,0.4772344,-0.3226719
19115,-0.04754062,0.4765908,-0.3276936
19116,-0.04704222,0.4781695,-0.3289787
19117,-0.04694669,0.4836241,-0.3273853
19118,-0.04668111,0.490071,-0.3249578
19119,-0.04641454,0.4948042,-0.3235773
19120,-0.04614114,0.5054825,-0.3188429
19121,-0.0456889,0.5120355,-0.3169671
19122,-0.04356316,0.514583,-0.3166884
19123,-0.04102581,0.5258523,-0.3122185
19124,-0.03993902,0.5326108,-0.3091548
19125,-0.03996588,0.5360676,-0.3055412
19126,-0.03821014,0.543349,-0.3005566
19127,-0.036971,0.5374334,-0.3031508
19128,-0.03585926,0.5368408,-0.3027548
19129,-0.03338796,0.5309249,-0.3049802
19130,-0.03162176,0.5252342,-0.3046694
19131,-0.03006524,0.5203578,-0.3050252
19132,-0.02942771,0.509934,-0.3064211
19133,-0.02838525,0.5005653,-0.3087548
19134,-0.02659328,0.4902641,-0.3132638
19135,-0.02561871,0.4839418,-0.3152976
19136,-0.02647912,0.4885836,-0.3084565
19137,-0.02733261,0.4857387,-0.3088084
19138,-0.02749334,0.4831712,-0.3081402
19139,-0.02738997,0.4808916,-0.314204
19140,-0.02742579,0.4790178,-0.3154097
19141,-0.02598113,0.4852628,-0.3165238
19142,-0.02606145,0.4885674,-0.3169368
19143,-0.02725735,0.4980229,-0.3158469
19144,-0.02791452,0.5049152,-0.315461
19145,-0.02880871,0.5127589,-0.31609
19146,-0.02931947,0.5199299,-0.3174085
19147,-0.03005877,0.5275057,-0.3180104
19148,-0.03072835,0.5342038,-0.3179278
19149,-0.03139312,0.5415927,-0.3178512
19150,-0.03238155,0.552615,-0.3172417
19151,-0.03332079,0.5553319,-0.317938
19152,-0.03389808,0.5557092,-0.3193704
19153,-0.03433209,0.5560425,-0.3205576
19154,-0.0337251,0.5511689,-0.3230408
19155,-0.03349373,0.5488324,-0.3246742
19156,-0.03357243,0.5421422,-0.3255431
19157,-0.03342386,0.5349261,-0.3269975
19158,-0.03346786,0.5244566,-0.328425
19159,-0.03295407,0.5131879,-0.3308912
19160,-0.03265621,0.5018579,-0.3336077
19161,-0.03233863,0.4910043,-0.3359997
19162,-0.03002038,0.4867467,-0.3415972
19163,-0.02915052,0.4803951,-0.3446607
19164,-0.03194714,0.4846506,-0.3361758
19165,-0.03235035,0.4828474,-0.3348036
19166,-0.03133917,0.4844063,-0.3350584
19167,-0.03087903,0.4845885,-0.3350093
19168,-0.03064654,0.4847986,-0.3341795
19169,-0.02912101,0.4906557,-0.334577
19170,-0.02847363,0.4955489,-0.3335345
19171,-0.0278703,0.4995734,-0.3326502
19172,-0.02619303,0.5112947,-0.3290676
19173,-0.02435731,0.5175756,-0.3277144
19174,-0.02141121,0.5317426,-0.3244334
19175,-0.01953594,0.5376346,-0.3220087
19176,-0.01791722,0.5437431,-0.3195693
19177,-0.01626634,0.5503511,-0.3173808
19178,-0.01491058,0.5505823,-0.3155548
19179,-0.01362037,0.5513191,-0.3143379
19180,-0.01215327,0.5534984,-0.3127383
19181,-0.0109081,0.5421656,-0.3153579
19182,-0.009257007,0.5396482,-0.3151157
19183,-0.008574306,0.5304617,-0.3139355
19184,-0.007499586,0.5230423,-0.313792
19185,-0.006029836,0.5114543,-0.314927
19186,-0.00494856,0.4982889,-0.3176925
19187,-0.003678799,0.4894649,-0.3207493
19188,-0.002866399,0.4858429,-0.3213485
19189,-0.001832583,0.4777824,-0.3230037
19190,-0.003093383,0.4797764,-0.316545
19191,-0.003078654,0.4752431,-0.3161647
19192,-0.002879369,0.4715884,-0.3192852
19193,-0.002291278,0.4678968,-0.3211939
19194,-0.001761652,0.4649317,-0.3223187
19195,-0.002180588,0.470282,-0.322863
