frame,x,y,z
10001,0.01161283,0.4768267,-0.318597
10002,0.01381886,0.480157,-0.3182746
10003,0.01322374,0.4705617,-0.3178957
10004,0.01344666,0.4645915,-0.3174628
10005,0.01391106,0.4590837,-0.3170134
10006,0.01441826,0.4533181,-0.3164411
10007,0.01382737,0.441552,-0.3148556
10008,0.01395006,0.4333225,-0.3139894
10009,0.01288536,0.4174145,-0.3165038
10010,0.01241736,0.4061038,-0.3182546
10011,0.01281888,0.3997069,-0.3191455
10012,0.01369584,0.3989038,-0.3203676
10013,0.0132993,0.3956288,-0.3190991
10014,0.01293427,0.3913581,-0.3178005
10015,0.01185102,0.4002688,-0.3138998
10016,0.01157615,0.4008529,-0.312965
10017,0.01015087,0.4089274,-0.3133924
10018,0.009234123,0.415235,-0.313172
10019,0.00732994,0.4264305,-0.3119951
10020,0.003398375,0.4373986,-0.3100521
10021,-0.001530849,0.4556733,-0.3082603
10022,-0.003927075,0.4615466,-0.3078324
10023,-0.005987972,0.4639284,-0.307621
10024,-0.010322,0.4707516,-0.3068001
10025,-0.01168716,0.4687742,-0.3065013
10026,-0.01346277,0.4691296,-0.3061581
10027,-0.01382213,0.460116,-0.304839
10028,-0.01483252,0.4555831,-0.3041219
10029,-0.01576067,0.4484061,-0.3027471
10030,-0.01592724,0.4383026,-0.3014708
10031,-0.01645142,0.4296459,-0.3005303
10032,-0.01418471,0.4138557,-0.3024529
10033,-0.01321084,0.4029949,-0.3028506
10034,-0.01232587,0.3922481,-0.3032919
10035,-0.01402108,0.3975563,-0.3047526
10036,-0.01387448,0.3937753,-0.2992865
10037,-0.01301409,0.3950452,-0.2992204
10038,-0.01069567,0.3980348,-0.2983263
10039,-0.009118084,0.404603,-0.2971297
10040,-0.006491505,0.4108726,-0.2954732
10041,-0.004218872,0.4165609,-0.2941658
10042,-0.0009604506,0.4293557,-0.2917598
10043,0.005215918,0.4487934,-0.2871546
10044,0.01127243,0.4664295,-0.2823122
10045,0.01443514,0.4708468,-0.2800218
10046,0.01693691,0.4719426,-0.2781885
10047,0.01980232,0.4766589,-0.2761822
10048,0.02102798,0.4697056,-0.2748505
10049,0.02310193,0.469219,-0.2729591
10050,0.022823,0.4590043,-0.2707397
10051,0.02395018,0.4546021,-0.2687349
10052,0.02532583,0.4474752,-0.2668814
10053,0.02628607,0.4402697,-0.264617
10054,0.02634101,0.425824,-0.263917
10055,0.02649216,0.4117972,-0.2655145
10056,0.02687572,0.3999646,-0.2656317
10057,0.02823319,0.3945566,-0.2677487
10058,0.02922169,0.393553,-0.2691904
10059,0.02999149,0.3868425,-0.2702236
10060,0.02565636,0.4013786,-0.2601185
10061,0.02484975,0.4015824,-0.2580107
10062,0.02499605,0.4083121,-0.2623326
10063,0.0236369,0.4137561,-0.2633568
10064,0.02254985,0.4187598,-0.2637449
10065,0.01879037,0.4351625,-0.2637401
10066,0.01636247,0.4459819,-0.2635043
10067,0.01342976,0.4572279,-0.2636317
10068,0.01068334,0.4655282,-0.2648631
10069,0.008064126,0.4755687,-0.2651691
10070,0.006022304,0.476615,-0.2675134
10071,0.002359994,0.4814949,-0.270233
10072,0.0004489571,0.4835733,-0.271633
10073,-0.001345743,0.4848396,-0.2731199
10074,-0.001325186,0.4731995,-0.2748984
10075,-0.002631866,0.469722,-0.2764298
10076,-0.003716578,0.4622795,-0.2769827
10077,-0.004948843,0.4547185,-0.2771709
10078,-0.006117154,0.4479842,-0.2779104
10079,-0.005793453,0.4295157,-0.2795262
10080,-0.006360578,0.4182201,-0.2807149
10081,-0.005022048,0.4064586,-0.2850561
10082,-0.004766382,0.3996331,-0.287427
10083,-0.004530619,0.3894562,-0.2898076
10084,-0.004683402,0.3999133,-0.2855963
10085,-0.00457257,0.397845,-0.284827
10086,-0.002393738,0.4071538,-0.2872376
10087,-0.001205689,0.4108393,-0.288189
10088,0.002781391,0.4238371,-0.2892748
10089,0.006276987,0.4345686,-0.2884777
10090,0.01187094,0.4547441,-0.288214
10091,0.01493931,0.4655415,-0.2879667
10092,0.01764178,0.4709193,-0.2877665
10093,0.02360662,0.4881955,-0.2874149
10094,0.0249573,0.4865973,-0.2878421
10095,0.02820605,0.4879679,-0.2875246
10096,0.02858878,0.4823757,-0.2872479
10097,0.02953894,0.4801821,-0.2869787
10098,0.02852826,0.4684892,-0.2871268
10099,0.02871673,0.4620773,-0.2864462
