frame,x,y,z
8001,0.02733574,0.4545268,-0.423366
8002,0.02677561,0.448521,-0.4224791
8003,0.02618894,0.4430159,-0.4213656
8004,0.0256512,0.4374306,-0.4202943
8005,0.02520834,0.4321256,-0.4189654
8006,0.02468268,0.4279594,-0.4174521
8007,0.02403404,0.4244124,-0.4154904
8008,0.02329626,0.4225269,-0.4125121
8009,0.02277775,0.4204427,-0.409761
8010,0.02217735,0.4177735,-0.4071691
8011,0.0222504,0.416923,-0.4047302
8012,0.02211984,0.4150259,-0.4024745
8013,0.02224128,0.4140687,-0.4009842
8014,0.02198638,0.4172038,-0.3988984
8015,0.02175159,0.4184191,-0.396819
8016,0.02185709,0.4227996,-0.3951642
8017,0.02203944,0.4258866,-0.3938979
8018,0.02209115,0.4287137,-0.3923107
8019,0.0226462,0.4303401,-0.3945089
8020,0.02275565,0.433932,-0.3950374
8021,0.02242774,0.4399206,-0.3952833
8022,0.02248896,0.4446425,-0.3955165
8023,0.02218414,0.4514248,-0.3962008
8024,0.02145376,0.4573927,-0.3969489
8025,0.02024959,0.4687701,-0.3984174
8026,0.01923336,0.4710444,-0.3999508
8027,0.01855666,0.4733706,-0.401154
8028,0.0178532,0.4752329,-0.4024142
8029,0.01701027,0.4775412,-0.4036741
8030,0.016193,0.4768829,-0.4048746
8031,0.01539581,0.4760616,-0.4059302
8032,0.01455453,0.4738877,-0.4065077
8033,0.01366848,0.4711399,-0.4068606
8034,0.0128126,0.468869,-0.4074319
8035,0.01185519,0.463459,-0.4072526
8036,0.01086456,0.458797,-0.4073934
8037,0.00973554,0.4526964,-0.4071814
8038,0.008599088,0.4469404,-0.4069412
8039,0.007102232,0.4411534,-0.4060329
8040,0.005744569,0.435101,-0.4047345
8041,0.004451282,0.4289368,-0.4036722
8042,0.003187843,0.4228237,-0.4025803
8043,0.001137495,0.4201788,-0.4007624
8044,-0.0004545562,0.4163431,-0.3987649
8045,-0.001702079,0.4126025,-0.3968548
8046,-0.003189679,0.4087969,-0.3950916
8047,-0.004744124,0.4051321,-0.3932372
8048,-0.006575475,0.4048705,-0.3914533
8049,-0.007731847,0.4039459,-0.3900998
8050,-0.008940595,0.4074039,-0.388427
8051,-0.01026845,0.4090381,-0.3864315
8052,-0.01037874,0.4118882,-0.3856147
8053,-0.01114977,0.4138904,-0.3844157
8054,-0.01132971,0.4162184,-0.3851572
8055,-0.01100371,0.4192307,-0.3853092
8056,-0.01096318,0.4226767,-0.3853076
8057,-0.01009618,0.4291112,-0.3850663
8058,-0.009549654,0.4346722,-0.3849691
8059,-0.008696803,0.4403562,-0.3848634
8060,-0.007378746,0.4472168,-0.3848689
8061,-0.005898949,0.4534512,-0.3842737
8062,-0.004265652,0.458712,-0.3841157
8063,-0.002769917,0.4637456,-0.3839409
8064,-0.0008192966,0.465743,-0.3841006
8065,0.0008496111,0.4687417,-0.3839806
8066,0.002489597,0.4698176,-0.3836747
8067,0.004121187,0.4710803,-0.3833067
8068,0.005548214,0.4701472,-0.3825558
8069,0.006911308,0.4691372,-0.3816876
8070,0.008347186,0.4680189,-0.3807894
8071,0.009734333,0.4668666,-0.3799263
8072,0.01049635,0.460977,-0.3785821
8073,0.01174293,0.4578525,-0.3775191
8074,0.01256983,0.4528925,-0.3760976
8075,0.0137729,0.4486793,-0.3747107
8076,0.01534653,0.4435785,-0.3728959
8077,0.01667719,0.4384538,-0.3711382
8078,0.01825809,0.4338005,-0.3692251
8079,0.01973168,0.4300962,-0.3670272
8080,0.02118414,0.4256088,-0.3650109
8081,0.02232607,0.4233436,-0.3628266
8082,0.02375577,0.4198105,-0.3606655
8083,0.0257972,0.4179535,-0.3586482
8084,0.02758382,0.4156478,-0.3564211
8085,0.02936665,0.413856,-0.354988
8086,0.03095567,0.4145228,-0.3535091
8087,0.03259625,0.4150246,-0.3517641
8088,0.03384091,0.4194339,-0.3495054
8089,0.03566647,0.4210146,-0.3484959
8090,0.03735107,0.4228744,-0.3470651
8091,0.03896729,0.4249858,-0.3458493
8092,0.04012721,0.426035,-0.3499988
8093,0.04123645,0.4310673,-0.350889
8094,0.04210521,0.4365843,-0.351049
