frame,x,y,z
20001,-0.0137347,0.4331194,-0.3312812
20002,-0.01277789,0.4177998,-0.3344255
20003,-0.01239617,0.4069877,-0.3365154
20004,-0.01272987,0.4005937,-0.3378393
20005,-0.01293405,0.3973099,-0.3382018
20006,-0.01304491,0.3899809,-0.3375676
20007,-0.01200421,0.3850938,-0.3364555
20008,-0.0108378,0.3822645,-0.3373269
20009,-0.00940777,0.3821814,-0.3378183
20010,-0.007982101,0.3828872,-0.3379258
20011,-0.006721812,0.3827955,-0.337799
20012,-0.005564759,0.3949001,-0.3359746
20013,-0.003952977,0.4033345,-0.3340762
20014,-0.002304595,0.410411,-0.3327073
20015,-0.0002275407,0.4234908,-0.3307685
20016,0.001591061,0.4332038,-0.3292261
20017,0.003518049,0.442055,-0.3277448
20018,0.005393259,0.4513673,-0.3260827
20019,0.007116996,0.4582561,-0.3245794
20020,0.008413587,0.4624896,-0.3237608
20021,0.01006762,0.4694659,-0.3224586
20022,0.01033334,0.4689523,-0.3229342
20023,0.01098475,0.4701365,-0.3226985
20024,0.01083354,0.4652917,-0.3238131
20025,0.01125409,0.4641785,-0.3241179
20026,0.01053319,0.4576033,-0.3249632
20027,0.009992935,0.4501169,-0.325152
20028,0.009572606,0.4436437,-0.3256446
20029,0.008867703,0.4297132,-0.3270768
20030,0.008213895,0.4180142,-0.3285649
20031,0.007643983,0.4068159,-0.3308379
20032,0.006642908,0.3986907,-0.3316727
20033,0.005824414,0.389393,-0.3327071
20034,0.004449011,0.3858598,-0.3312949
20035,0.003248979,0.3794717,-0.3312478
20036,0.001395059,0.3799619,-0.3324204
20037,-0.001925435,0.3749239,-0.3333963
20038,-0.003027942,0.3801948,-0.3343863
20039,-0.004571258,0.3827694,-0.3350337
20040,-0.00710715,0.392142,-0.3356435
20041,-0.009338129,0.3990704,-0.3361102
20042,-0.01238456,0.4114935,-0.3354347
20043,-0.01477632,0.4227251,-0.335021
20044,-0.01729864,0.4331561,-0.3347843
20045,-0.02028029,0.4433253,-0.3342421
20046,-0.0230717,0.4536714,-0.3339712
20047,-0.02580841,0.4620557,-0.3338566
20048,-0.02797475,0.4680891,-0.3338438
20049,-0.03051333,0.4765597,-0.3336471
20050,-0.03172737,0.4763766,-0.3339772
20051,-0.03316234,0.477382,-0.3343208
20052,-0.03482302,0.4802378,-0.3345687
20053,-0.03579981,0.4748587,-0.3355706
20054,-0.03664943,0.4685978,-0.3367106
20055,-0.03761186,0.4637747,-0.3374654
20056,-0.03858482,0.4560211,-0.3374647
20057,-0.03904687,0.4441701,-0.3376406
20058,-0.03932833,0.4325549,-0.3383774
20059,-0.03962895,0.4215952,-0.3390489
20060,-0.0386195,0.4098793,-0.3408214
20061,-0.03851425,0.401624,-0.3411186
20062,-0.03842081,0.3918394,-0.3417608
20063,-0.03851312,0.3901182,-0.3391279
