frame,x,y,z
12001,0.02771921,0.4791635,-0.3490248
12002,0.0284612,0.462947,-0.3507784
12003,0.02929227,0.4369719,-0.3543017
12004,0.03237226,0.4272156,-0.357225
12005,0.03320971,0.4296355,-0.3571481
12006,0.03431443,0.4233931,-0.3563918
12007,0.03442504,0.4191624,-0.356258
12008,0.03501261,0.4155274,-0.3560371
12009,0.03696701,0.4304047,-0.3589539
12010,0.03852763,0.4339357,-0.3593834
12011,0.04210113,0.4481603,-0.3586358
12012,0.04630754,0.4657933,-0.3580415
12013,0.04974911,0.4790892,-0.3575258
12014,0.05305487,0.4873643,-0.3573157
12015,0.05608453,0.4952976,-0.3568465
12016,0.05896247,0.5007521,-0.3565147
12017,0.06184117,0.5047737,-0.3565629
12018,0.06482468,0.5076519,-0.3564859
12019,0.06974123,0.5051343,-0.3567512
12020,0.07220987,0.5047973,-0.3569053
12021,0.07378852,0.4983366,-0.3563314
12022,0.07564461,0.4936559,-0.3561692
12023,0.07681333,0.4811812,-0.3574646
12024,0.07751421,0.4671521,-0.3592823
12025,0.07842165,0.4542365,-0.3612679
12026,0.07928184,0.4418013,-0.3628698
12027,0.07790373,0.4309997,-0.3692666
12028,0.07781256,0.4197527,-0.3724478
12029,0.07655936,0.4275189,-0.3749281
12030,0.07473659,0.4265233,-0.3750599
12031,0.07349661,0.4240142,-0.3766882
12032,0.073031,0.4318264,-0.3782395
12033,0.07191251,0.4340561,-0.3801435
12034,0.06847899,0.4445029,-0.381779
12035,0.06647217,0.4509842,-0.3836783
12036,0.0634733,0.460698,-0.3854035
12037,0.06097046,0.4694824,-0.3871239
12038,0.05778541,0.4807082,-0.3882062
12039,0.05535193,0.4898301,-0.3895059
12040,0.05276179,0.4993052,-0.3908265
12041,0.05165472,0.5015883,-0.3918968
12042,0.04828733,0.5083915,-0.3943735
12043,0.04747277,0.5044963,-0.3959511
12044,0.04638986,0.5040799,-0.3974167
12045,0.04531906,0.50328,-0.3988197
12046,0.04677736,0.4921731,-0.4012737
12047,0.04639557,0.4865897,-0.4017451
12048,0.04625184,0.477779,-0.4022693
12049,0.04622946,0.4694012,-0.403036
12050,0.049132,0.4498738,-0.4044328
12051,0.05106417,0.4375163,-0.4060089
12052,0.05448231,0.4304144,-0.4078439
12053,0.05676547,0.4274606,-0.4096522
12054,0.05787066,0.4301789,-0.4095075
12055,0.05830089,0.427408,-0.4079663
12056,0.05964361,0.4275171,-0.4084635
12057,0.06184625,0.4321773,-0.4103489
12058,0.06415867,0.4368968,-0.4095354
12059,0.06621151,0.440673,-0.409589
12060,0.07005947,0.4530802,-0.408255
12061,0.07297331,0.4616,-0.4074651
12062,0.07573481,0.4702395,-0.4068449
12063,0.07932636,0.4779002,-0.4065371
12064,0.0823395,0.4858994,-0.4059192
12065,0.08553205,0.490229,-0.405209
12066,0.08838537,0.4961414,-0.4045928
12067,0.0905814,0.4964034,-0.4045058
12068,0.09344435,0.4997582,-0.4041222
12069,0.09539131,0.4943189,-0.4046792
12070,0.09762935,0.4908651,-0.4053092
12071,0.0999174,0.4885136,-0.4056255
12072,0.1018131,0.4806856,-0.4056221
12073,0.1035549,0.4725668,-0.4059965
12074,0.1054104,0.4651241,-0.4063494
12075,0.1064896,0.4462164,-0.4094987
12076,0.109621,0.4221461,-0.4123207
12077,0.1092368,0.4199343,-0.4169928
12078,0.1101477,0.4134158,-0.4193731
12079,0.1086201,0.41802,-0.4159898
12080,0.1084368,0.4143847,-0.4163111
12081,0.1077917,0.4180753,-0.4196129
12082,0.1069245,0.4189517,-0.4210978
12083,0.1051386,0.4231685,-0.4228259
12084,0.1033381,0.431381,-0.4243634
12085,0.1012464,0.4389775,-0.4255049
12086,0.0970752,0.4527994,-0.4255027
12087,0.09442291,0.4625692,-0.4263685
12088,0.09031594,0.4723846,-0.4277633
12089,0.0870111,0.4816258,-0.4286164
12090,0.08361543,0.4916247,-0.429552
12091,0.08135062,0.4937787,-0.4304533
