frame,x,y,z
13001,0.0585979,0.4658122,-0.3536704
13002,0.05947717,0.4630728,-0.3529237
13003,0.06051841,0.4601534,-0.3521631
13004,0.06154032,0.4573248,-0.3514906
13005,0.06274492,0.4545269,-0.3505396
13006,0.06408033,0.4520426,-0.3496807
13007,0.06532183,0.450198,-0.3487613
13008,0.06676702,0.4487371,-0.3477033
13009,0.06988999,0.4456816,-0.3452894
13010,0.07160323,0.4446535,-0.3441461
13011,0.07330094,0.444411,-0.343078
13012,0.07494016,0.4467542,-0.3418462
13013,0.07660703,0.447602,-0.3406066
13014,0.07819267,0.4504378,-0.3392293
13015,0.07981539,0.4523988,-0.3380987
13016,0.08127789,0.4552291,-0.3381648
13017,0.08447289,0.459848,-0.3369405
13018,0.08526792,0.4616259,-0.3367909
13019,0.0862451,0.4641995,-0.336477
13020,0.08682272,0.466006,-0.3360408
13021,0.0869967,0.468543,-0.3362017
13022,0.0875182,0.4709103,-0.3360132
13023,0.0879945,0.4733081,-0.3358684
13024,0.08714868,0.4752973,-0.3356187
13025,0.08720417,0.4773404,-0.3355447
13026,0.08702255,0.478655,-0.3359131
13027,0.08687226,0.4801592,-0.33619
13028,0.08672341,0.4808813,-0.3368517
13029,0.08650193,0.4813668,-0.3373416
13030,0.08633947,0.4821383,-0.3378336
13031,0.08628684,0.4814743,-0.3384743
13032,0.08602212,0.4814958,-0.3389823
13033,0.08552551,0.4808222,-0.3394242
13034,0.08513844,0.4805271,-0.3399035
13035,0.08445238,0.4782217,-0.3404157
13036,0.08385032,0.4767646,-0.3408688
13037,0.0832841,0.4754228,-0.3413571
13038,0.08260115,0.4738811,-0.3417797
13039,0.08125228,0.4712608,-0.3416536
13040,0.08027912,0.4687375,-0.3419384
13041,0.07907353,0.466211,-0.3422378
13042,0.07790212,0.4636987,-0.3425525
13043,0.07622747,0.4610087,-0.3426109
13044,0.07468265,0.458335,-0.3427455
13045,0.07291223,0.4559905,-0.3429048
13046,0.07103389,0.4536981,-0.3431777
13047,0.06925444,0.4512474,-0.3433847
13048,0.0672581,0.4496323,-0.3431962
13049,0.06524143,0.4482111,-0.3431314
13050,0.06292633,0.4467008,-0.3432993
13051,0.06066972,0.4454399,-0.3437209
13052,0.05850487,0.4454862,-0.3443031
13053,0.05599205,0.4479597,-0.3445515
13054,0.05350491,0.4494393,-0.344816
13055,0.05103945,0.4520861,-0.3445524
13056,0.04892217,0.4553515,-0.3449955
13057,0.04660111,0.4580857,-0.3452659
13058,0.04562284,0.4604246,-0.3455104
13059,0.04375922,0.4632552,-0.3458946
13060,0.04272408,0.4641282,-0.3464023
13061,0.04141701,0.4663636,-0.3469974
13062,0.04093636,0.4674597,-0.3475405
13063,0.04010215,0.4694352,-0.3480259
13064,0.03959594,0.4724303,-0.3479843
13065,0.03944584,0.4746153,-0.3476511
13066,0.03901706,0.4765215,-0.3476759
13067,0.03933486,0.4781236,-0.347826
13068,0.03944365,0.4794494,-0.3478478
13069,0.03937765,0.4810085,-0.3479356
13070,0.03958671,0.481819,-0.3480277
13071,0.0396933,0.4830668,-0.3480815
13072,0.03998639,0.4827641,-0.3480204
13073,0.04025652,0.4828999,-0.347976
13074,0.04079042,0.4821887,-0.3477669
13075,0.04150675,0.4811944,-0.3475439
13076,0.04206212,0.479974,-0.3471813
13077,0.04250219,0.4785777,-0.3467702
13078,0.04299123,0.4771724,-0.3464766
13079,0.04346793,0.4749158,-0.3455572
13080,0.04387338,0.4730615,-0.3448088
13081,0.04460781,0.4707508,-0.343816
13082,0.04550731,0.4678306,-0.3428342
13083,0.0461896,0.4653345,-0.34201
13084,0.04726156,0.4619514,-0.3407901
13085,0.04834977,0.4588131,-0.3397166
13086,0.04961661,0.4560097,-0.3386734
13087,0.05107438,0.4536857,-0.3374268
13088,0.05244047,0.4510665,-0.3363056
13089,0.05421982,0.450238,-0.33456
13090,0.05592495,0.4482225,-0.333055
13091,0.05753246,0.4470803,-0.3310505
13092,0.05920213,0.4456445,-0.3293712
13093,0.0610203,0.4444403,-0.3278526
13094,0.06268198,0.4452496,-0.3265491
13095,0.06444172,0.4448217,-0.3250211
13096,0.0661897,0.4484532,-0.3229856
13097,0.06787722,0.4504676,-0.3215972
13098,0.06961134,0.4523592,-0.3201031
13099,0.07072415,0.4547414,-0.3192124
13100,0.07214683,0.4567253,-0.3179714
13101,0.07348377,0.4584244,-0.3172897
13102,0.07417852,0.4606023,-0.3168103
13103,0.07531852,0.4628189,-0.3161288
13104,0.07534407,0.4650746,-0.3158118
13105,0.0758871,0.4675086,-0.3153436
13106,0.07632397,0.469997,-0.3148328
13107,0.07611832,0.4724033,-0.3148492
13108,0.07586414,0.4748423,-0.3150422
13109,0.07547832,0.4766226,-0.3152278
13110,0.07538215,0.4786345,-0.3152924
13111,0.07518926,0.4799851,-0.315519
13112,0.07489368,0.4809717,-0.3155616
13113,0.07454436,0.4815686,-0.3155391
13114,0.07415225,0.4819958,-0.3154942
13115,0.073594,0.4816185,-0.3153177
13116,0.07306805,0.4816592,-0.3152229
13117,0.07207397,0.4803842,-0.3150611
13118,0.07143135,0.4795333,-0.3149838
13119,0.07031269,0.476411,-0.3147869
13120,0.06952661,0.4745913,-0.3145631
13121,0.06862155,0.4718056,-0.3142003
13122,0.06771342,0.4691323,-0.3138748
13123,0.0667937,0.4659803,-0.3138117
13124,0.0657119,0.4629793,-0.3134475
13125,0.06428046,0.4603341,-0.3131124
13126,0.06251615,0.4578304,-0.31277
13127,0.06113636,0.4551443,-0.3123864
13128,0.05936754,0.4530282,-0.3121115
13129,0.05784412,0.450824,-0.3118288
13130,0.05610804,0.4494812,-0.3115813
13131,0.05424289,0.4482649,-0.3112264
13132,0.05241574,0.4467459,-0.3109852
13133,0.05049022,0.4454554,-0.3113274
13134,0.0484913,0.4450177,-0.3113503
13135,0.04648613,0.4444492,-0.3114005
13136,0.04419046,0.4496171,-0.3114365
13137,0.04220094,0.4509402,-0.3115079
13138,0.04012602,0.4531357,-0.3117972
13139,0.0384918,0.4568999,-0.3123898
13140,0.03744877,0.4582937,-0.3131474
13141,0.03477496,0.4620864,-0.3142965
13142,0.03392852,0.4646589,-0.3152408
13143,0.03318124,0.4667232,-0.3157612
13144,0.03241617,0.468834,-0.3163396
13145,0.03205231,0.4713131,-0.3168873
13146,0.03171004,0.4734282,-0.3173668
13147,0.03167417,0.475118,-0.3180238
13148,0.03142273,0.4771031,-0.3186229
13149,0.03177371,0.4785109,-0.3193071
13150,0.0322936,0.479494,-0.3202831
13151,0.0327573,0.4803485,-0.3211694
13152,0.0332278,0.4806767,-0.3219969
13153,0.03359893,0.4810789,-0.3226737
13154,0.0340576,0.4809898,-0.3232104
13155,0.03446931,0.4809167,-0.3237962
13156,0.0350164,0.4798815,-0.3242159
13157,0.03553689,0.4791806,-0.3247108
13158,0.03616689,0.477223,-0.3247763
13159,0.03672651,0.4752137,-0.3248591
13160,0.03729401,0.4735613,-0.3250086
13161,0.03777202,0.4712311,-0.3247705
13162,0.03836742,0.4690561,-0.3245957
13163,0.03904633,0.4667557,-0.3241936
13164,0.03982243,0.4642144,-0.3236331
13165,0.0406248,0.4615153,-0.3229681
13166,0.04165945,0.4587428,-0.3221872
13167,0.04272079,0.4560553,-0.3213662
13168,0.04365662,0.4533379,-0.3206196
13169,0.0447443,0.4506326,-0.3198276
13170,0.04720384,0.4498028,-0.3184237
13171,0.04875948,0.4488269,-0.3170101
13172,0.0505634,0.447954,-0.3154341
13173,0.0541167,0.4454681,-0.312988
13174,0.05586659,0.4448071,-0.311722
13175,0.05789703,0.4484625,-0.3101892
13176,0.0598328,0.4497792,-0.3087349
13177,0.06216184,0.4513472,-0.3073409
13178,0.0638889,0.4555123,-0.3066227
13179,0.06575798,0.4580618,-0.305533
13180,0.06731885,0.4592028,-0.3048182
13181,0.0689079,0.4612626,-0.3046034
13182,0.07055374,0.4636232,-0.3040796
13183,0.07090341,0.465329,-0.3037916
13184,0.07203132,0.4673845,-0.303429
13185,0.07236221,0.4692444,-0.303977
13186,0.0729752,0.4713015,-0.3038679
13187,0.0732803,0.4736816,-0.303599
13188,0.07336914,0.4755296,-0.303424
13189,0.07347192,0.4775482,-0.3036326
13190,0.07353689,0.4791668,-0.3037031
13191,0.0736015,0.4806979,-0.3042783
13192,0.07366198,0.4820285,-0.3046294
13193,0.07373594,0.4830013,-0.3050409
13194,0.07373095,0.4842489,-0.3054638
13195,0.07342863,0.4843853,-0.3056164
13196,0.0732273,0.4851299,-0.3059343
13197,0.07276078,0.4842422,-0.3063387
13198,0.07239838,0.4839771,-0.3067771
13199,0.07205632,0.4839311,-0.3071843
13200,0.07125238,0.4812497,-0.3078106
13201,0.07074775,0.4800209,-0.3083044
13202,0.07026529,0.477356,-0.3090415
13203,0.06961582,0.4753174,-0.309704
13204,0.0689831,0.4730041,-0.3104666
13205,0.06831703,0.4696737,-0.3122852
13206,0.06770074,0.4662444,-0.3141936
13207,0.06705441,0.4632423,-0.3161736
13208,0.06629469,0.4615626,-0.3182964
13209,0.06525751,0.4609454,-0.3198943
13210,0.06345709,0.4580581,-0.3236549
13211,0.06202648,0.4580108,-0.3249983
13212,0.06090784,0.4570565,-0.3268728
13213,0.05993344,0.4560365,-0.329273
13214,0.05878902,0.4558018,-0.3312124
13215,0.0575275,0.457119,-0.3327992
13216,0.05626792,0.4577708,-0.3341129
13217,0.0550504,0.4581993,-0.3357651
13218,0.05398252,0.4616556,-0.3361924
13219,0.05225997,0.4646916,-0.3380025
13220,0.0515017,0.4664537,-0.3388586
13221,0.05101258,0.4669603,-0.3389865
13222,0.05108139,0.4676107,-0.3398746
13223,0.05078037,0.468678,-0.3405215
13224,0.05128225,0.4703371,-0.3414685
13225,0.05153012,0.4723822,-0.3417332
13226,0.05164878,0.4739469,-0.3422999
13227,0.05255271,0.4750056,-0.3432335
13228,0.0530218,0.4761703,-0.3437957
13229,0.05358821,0.4770194,-0.3444654
13230,0.05412881,0.4780315,-0.3451339
13231,0.05466728,0.4782536,-0.3457898
13232,0.05514102,0.4783136,-0.3462203
13233,0.05560636,0.4778472,-0.3465037
13234,0.05608547,0.4773984,-0.3470261
13235,0.05662385,0.4764938,-0.3474739
13236,0.05724135,0.4755022,-0.347645
13237,0.05788223,0.4744287,-0.3477283
13238,0.05851508,0.4734364,-0.3479088
13239,0.05912412,0.4723527,-0.3480407
13240,0.0596787,0.4698827,-0.3473102
13241,0.06033957,0.4682713,-0.3472179
13242,0.06118844,0.4659618,-0.3465832
13243,0.06190268,0.4639996,-0.3461642
13244,0.06268407,0.4616368,-0.3454569
13245,0.06366017,0.4592495,-0.344822
13246,0.06478171,0.456901,-0.343962
13247,0.06602565,0.4547279,-0.343037
13248,0.06741568,0.4527928,-0.3420815
13249,0.06890649,0.4511059,-0.3410882
13250,0.07033722,0.4493116,-0.340031
13251,0.07206318,0.448212,-0.3388012
13252,0.07378485,0.4468516,-0.3377624
13253,0.07737957,0.4446725,-0.3357684
13254,0.07922541,0.4437949,-0.3347769
13255,0.08086984,0.4485364,-0.3334599
13256,0.08269112,0.4501538,-0.3321215
13257,0.08436214,0.452547,-0.3310209
13258,0.08610624,0.4566337,-0.3304049
13259,0.08779826,0.4595713,-0.3294438
13260,0.08941251,0.4609218,-0.3296975
13261,0.09109201,0.4633326,-0.3293167
13262,0.09223353,0.4654599,-0.3295164
13263,0.09350788,0.4674197,-0.329634
13264,0.0944199,0.4696143,-0.3300007
13265,0.09519892,0.4721637,-0.3299872
13266,0.09614135,0.4744636,-0.3300794
13267,0.09644024,0.4758595,-0.3305261
13268,0.09701782,0.4777985,-0.331183
13269,0.09774345,0.4793743,-0.3317969
13270,0.0983718,0.48046,-0.3326457
13271,0.09903774,0.481882,-0.333318
13272,0.09945232,0.4819227,-0.3344283
13273,0.09998721,0.4823509,-0.3354044
13274,0.1003396,0.4824109,-0.3364316
13275,0.1005591,0.4824073,-0.3373847
13276,0.100417,0.4818437,-0.3383957
13277,0.1004438,0.4810705,-0.339427
13278,0.1005274,0.480328,-0.3404268
13279,0.1004449,0.4786222,-0.3413468
13280,0.1004311,0.4774156,-0.3422934
13281,0.1001928,0.4756276,-0.3428616
13282,0.09997685,0.4740662,-0.3435929
13283,0.09935024,0.4720373,-0.3441735
13284,0.09867023,0.4700474,-0.3448528
13285,0.09798163,0.4679527,-0.3454827
13286,0.09676126,0.4660012,-0.3459555
13287,0.09547386,0.464067,-0.3460571
13288,0.09412327,0.4614499,-0.3462311
13289,0.09282784,0.4592625,-0.3468602
13290,0.09153357,0.4570251,-0.3472608
13291,0.08984637,0.4558236,-0.3475034
13292,0.08806472,0.4542835,-0.3478205
13293,0.08669609,0.4526292,-0.348068
13294,0.08431676,0.451634,-0.3483414
13295,0.08247755,0.4501272,-0.3486531
13296,0.08060228,0.4505107,-0.349333
13297,0.07878045,0.4501454,-0.349751
13298,0.07654455,0.4524615,-0.3497739
13299,0.07459348,0.4536443,-0.3501906
13300,0.0727656,0.4556936,-0.3511387
13301,0.07121399,0.4578267,-0.3520398
13302,0.06954943,0.4590165,-0.3527536
13303,0.06789952,0.4606229,-0.3535721
13304,0.06714068,0.4636219,-0.3545842
13305,0.06580623,0.465505,-0.3554881
13306,0.06530381,0.466212,-0.3569013
13307,0.06451571,0.4681154,-0.3580714
13308,0.06406678,0.4711494,-0.3586898
13309,0.06349026,0.4735905,-0.3591051
13310,0.0629786,0.4756836,-0.3598915
13311,0.0624821,0.4778121,-0.3606486
13312,0.06353053,0.4783988,-0.361504
13313,0.06350897,0.4796788,-0.3623136
13314,0.06354171,0.4805879,-0.3631569
13315,0.06356469,0.4814844,-0.3639008
13316,0.06369557,0.4816427,-0.3645348
13317,0.06384651,0.4821737,-0.3652368
13318,0.06403107,0.4815218,-0.3656333
13319,0.06437812,0.4807707,-0.3659538
13320,0.06461624,0.4803247,-0.3664181
13321,0.06519357,0.4785244,-0.3664477
13322,0.06550819,0.4772857,-0.3666565
13323,0.06592342,0.4755983,-0.3666249
13324,0.06634816,0.4741104,-0.3664156
13325,0.06689004,0.4722846,-0.36596
13326,0.06749706,0.4703784,-0.3654699
13327,0.06810324,0.4684463,-0.365086
13328,0.06941149,0.4650955,-0.3642343
13329,0.07074699,0.46168,-0.363561
13330,0.07224328,0.4587452,-0.3630177
13331,0.07357966,0.4560052,-0.3623993
13332,0.07523689,0.4542235,-0.3616754
13333,0.07831363,0.4495997,-0.3602761
13334,0.08015736,0.4480425,-0.3593371
13335,0.08199265,0.4465976,-0.3581509
13336,0.08381857,0.4449973,-0.3572357
13337,0.08581348,0.4453729,-0.3568654
