frame,x,y,z
7001,0.1061411,0.4851036,-0.4599075
7002,0.1049412,0.4807318,-0.4601602
7003,0.1038372,0.4767819,-0.4605646
7004,0.102524,0.4710834,-0.460583
7005,0.1013201,0.4663919,-0.4608056
7006,0.09975093,0.4608494,-0.4608116
7007,0.09810757,0.455069,-0.461142
7008,0.09668884,0.4509688,-0.4613928
7009,0.09516833,0.4471933,-0.4616514
7010,0.09365389,0.4446569,-0.4619749
7011,0.09207242,0.4423908,-0.4621718
7012,0.09046693,0.4399723,-0.4623802
7013,0.08901244,0.4387775,-0.4624744
7014,0.08768383,0.4382996,-0.4634523
7015,0.08615283,0.4419624,-0.4644973
7016,0.08501989,0.4464681,-0.4653686
7017,0.08401464,0.4476609,-0.4651308
7018,0.08293593,0.4494567,-0.4652509
7019,0.08359426,0.4553591,-0.4673334
7020,0.08313454,0.459194,-0.4681031
7021,0.08396596,0.4649082,-0.4693108
7022,0.08415995,0.4697481,-0.4700919
7023,0.08467972,0.4766242,-0.4702926
7024,0.08590591,0.4882886,-0.4708731
7025,0.0867686,0.4906574,-0.4713046
7026,0.08760076,0.4949083,-0.471643
7027,0.08856066,0.4945385,-0.4724712
7028,0.08955421,0.4941424,-0.4729811
7029,0.09068646,0.4932654,-0.4732373
7030,0.09172807,0.4913513,-0.473245
7031,0.09275596,0.489777,-0.4733974
7032,0.09384538,0.4878719,-0.473463
7033,0.09469105,0.4812085,-0.472686
7034,0.09595955,0.4764233,-0.4721884
7035,0.09732095,0.4711367,-0.4715107
7036,0.09857637,0.4662608,-0.4709732
7037,0.09996863,0.4619762,-0.469647
7038,0.1013474,0.4567234,-0.4686751
7039,0.1028807,0.4521028,-0.4678621
7040,0.1045733,0.4478923,-0.4669999
7041,0.106297,0.4463927,-0.4660421
7042,0.1082644,0.4440359,-0.4651205
7043,0.1101551,0.4418101,-0.46416
7044,0.1146274,0.4404967,-0.4624358
7045,0.1168722,0.442641,-0.46229
7046,0.1187812,0.4500143,-0.4614914
7047,0.1209015,0.4533957,-0.4607982
7048,0.1226752,0.4545694,-0.4592572
7049,0.1245115,0.4579427,-0.4605089
7050,0.125827,0.4609862,-0.4605772
7051,0.1267722,0.4660765,-0.460932
7052,0.1281155,0.4704947,-0.46123
7053,0.1295148,0.4749251,-0.4614715
7054,0.1283825,0.4811405,-0.4614108
7055,0.1287171,0.4866602,-0.4616679
7056,0.1280888,0.4897184,-0.4616394
7057,0.1276798,0.4936462,-0.4625846
7058,0.1272119,0.493421,-0.4634773
7059,0.1266607,0.4923939,-0.4643992
7060,0.1259513,0.4904227,-0.4651153
7061,0.1252443,0.4882574,-0.465867
7062,0.1245671,0.4867353,-0.4666389
7063,0.1232597,0.4806995,-0.4670474
7064,0.1222179,0.4772218,-0.4676963
