frame,x,y,z
1,0.1703579,-0.2375625,0.4276488
2,0.1945153,-0.2360348,0.4268078
3,0.2174446,-0.2302095,0.4264074
4,0.2400446,-0.2257407,0.4260233
5,0.2616509,-0.2209434,0.4244751
6,0.2845753,-0.2163631,0.423575
7,0.3086512,-0.2139468,0.4224973
8,0.3313253,-0.2121447,0.4220341
9,0.3544437,-0.2092964,0.421164
10,0.3783425,-0.2074491,0.4196199
11,0.4279894,-0.2019691,0.4175129
12,0.4529846,-0.1978809,0.4162216
13,0.4771788,-0.1945795,0.4139347
14,0.5016562,-0.1910497,0.4109433
15,0.5499277,-0.1874548,0.406751
16,0.5975894,-0.1853716,0.4025592
17,0.6193357,-0.1862407,0.4007765
18,0.6421475,-0.1863448,0.3988566
19,0.6645097,-0.1900197,0.3965708
20,0.6858935,-0.1954306,0.3942654
21,0.7076269,-0.198476,0.3921959
22,0.7251314,-0.2057936,0.3904912
23,0.7450207,-0.2113356,0.388459
24,0.7632964,-0.2190325,0.385874
25,0.7809691,-0.225775,0.3842211
26,0.790323,-0.227057,0.3857772
27,0.8181835,-0.2362386,0.3850624
28,0.8261946,-0.235683,0.384757
29,0.8365054,-0.2376095,0.3849559
30,0.8357117,-0.2366567,0.3893434
31,0.8411287,-0.2369697,0.3910526
32,0.8420873,-0.2366676,0.3914624
33,0.8412179,-0.2348764,0.3921248
34,0.8413577,-0.2334915,0.393283
35,0.8327004,-0.2336432,0.3957542
36,0.8292994,-0.2341943,0.3971476
37,0.8273581,-0.2383081,0.398101
38,0.8238283,-0.2411768,0.3988374
39,0.8201342,-0.242185,0.4008282
40,0.8137867,-0.2413007,0.4014441
41,0.8084587,-0.2423432,0.402628
42,0.8024312,-0.2438817,0.4037648
43,0.7876682,-0.2366725,0.4072947
44,0.7752161,-0.2358392,0.4092925
45,0.7647583,-0.2362862,0.4111275
46,0.7542365,-0.2356942,0.4130815
47,0.7424774,-0.2348845,0.4150339
48,0.7306161,-0.2342983,0.4171189
49,0.7163105,-0.2321366,0.4183691
