frame,x,y,z
1,0.01895172,0.4611482,-0.3668661
2,0.01859484,0.4620617,-0.3700401
3,0.01793899,0.4639089,-0.3720676
4,0.01738374,0.4646875,-0.3741871
5,0.01674828,0.4645433,-0.3762735
6,0.01604061,0.4643288,-0.378204
7,0.0153671,0.4634893,-0.3799398
8,0.01469715,0.4626996,-0.3817956
9,0.01388433,0.4595437,-0.3836486
10,0.01319721,0.4564882,-0.385568
11,0.01258546,0.45385,-0.3874875
12,0.01194876,0.449112,-0.3885783
13,0.01121434,0.4443744,-0.3896528
14,0.01067957,0.4394438,-0.3910225
15,0.01010754,0.434901,-0.392401
16,0.009398064,0.4308139,-0.3935268
17,0.0085083,0.4267952,-0.3941285
18,0.007515114,0.4231062,-0.3946574
19,0.006552279,0.4200297,-0.3952684
20,0.005875921,0.417004,-0.395798
21,0.005097166,0.4156512,-0.3962718
22,0.004183949,0.4139468,-0.3967674
23,0.003298783,0.4124014,-0.397449
24,0.002417322,0.412813,-0.3984633
25,0.001236904,0.4125229,-0.3991879
26,-0.0002760105,0.4178145,-0.3989089
27,-0.001510881,0.4209414,-0.3991175
28,-0.002553026,0.4243936,-0.3998746
29,-0.003519215,0.4278602,-0.4009862
30,-0.004493977,0.4311367,-0.4017948
31,-0.004154752,0.4332222,-0.4040216
32,-0.004466988,0.4367196,-0.4055092
33,-0.004587855,0.441429,-0.4066023
34,-0.004572801,0.44599,-0.4073502
35,-0.003900304,0.4505959,-0.408631
36,-0.003270205,0.4558766,-0.409648
37,-0.002999055,0.4608937,-0.4105126
38,-0.00214535,0.4657097,-0.4105017
39,-0.001445372,0.4701569,-0.4111604
40,-0.0005036779,0.4730966,-0.4117231
41,0.000458058,0.4760668,-0.4123444
42,0.001646459,0.4771512,-0.412881
43,0.002904117,0.4781556,-0.4130532
44,0.004121214,0.4788335,-0.41321
45,0.00531444,0.4796158,-0.4134504
46,0.006431606,0.4763378,-0.412592
47,0.007593729,0.4750108,-0.4123345
48,0.008775544,0.470771,-0.4113775
49,0.009997371,0.4674351,-0.410609
50,0.01124686,0.4634586,-0.409463
51,0.0125865,0.4590453,-0.4080119
52,0.01391149,0.4546645,-0.4067637
53,0.01517484,0.4502959,-0.4054651
54,0.01643151,0.4450553,-0.4033587
55,0.01769245,0.4424354,-0.4011668
56,0.02035843,0.4349534,-0.3972084
57,0.0218343,0.432743,-0.3953759
58,0.02334559,0.4306377,-0.393394
59,0.02508024,0.4299946,-0.3912026
