frame,x,y,z
1,0.01211751,0.433317,-0.4327325
2,0.01242065,0.4241385,-0.434045
3,0.01332515,0.4172393,-0.4350832
4,0.01373258,0.4097205,-0.4359518
5,0.01335396,0.408935,-0.4313169
6,0.01357167,0.4027447,-0.4304743
7,0.01505582,0.3953847,-0.4345446
8,0.01583464,0.3894466,-0.4351676
9,0.01750977,0.3953559,-0.4330718
10,0.01972505,0.3949141,-0.4318575
11,0.02066599,0.4014252,-0.4294525
12,0.02192822,0.4057356,-0.4278311
13,0.02412513,0.4130389,-0.4250529
14,0.02595673,0.4210264,-0.4229784
15,0.02762308,0.429495,-0.4207127
16,0.02956135,0.4379781,-0.4183995
17,0.03157884,0.446138,-0.4158734
18,0.03348033,0.4545972,-0.4133306
19,0.03575038,0.4610681,-0.409774
20,0.03771723,0.4663497,-0.4069269
21,0.03944238,0.4667481,-0.4052363
22,0.0428059,0.4702961,-0.4019946
23,0.04435968,0.4704409,-0.40107
24,0.04599138,0.4708317,-0.3999489
25,0.04700648,0.4662769,-0.3996116
26,0.04850627,0.4636056,-0.3986831
27,0.04929527,0.4534441,-0.3983624
28,0.0501008,0.4456034,-0.3987716
29,0.05029124,0.4341285,-0.4005474
30,0.05035907,0.4240388,-0.4025232
31,0.05064401,0.418991,-0.4025542
32,0.05100766,0.4157317,-0.4010241
33,0.05097242,0.4105597,-0.3993645
34,0.04973458,0.4060637,-0.3999087
35,0.04859747,0.3996771,-0.4003865
36,0.0467956,0.3959723,-0.4027354
37,0.04556813,0.3982942,-0.4028185
38,0.04447998,0.3988414,-0.403262
39,0.04329909,0.3987356,-0.4037645
40,0.04152405,0.4094253,-0.4038943
41,0.03987451,0.4139278,-0.4044558
42,0.03738334,0.424735,-0.4042459
43,0.03531643,0.4333092,-0.4042152
44,0.03346593,0.4421684,-0.403893
45,0.03160869,0.450215,-0.4038474
46,0.02991979,0.4582616,-0.4035331
47,0.02811088,0.4655534,-0.4028309
48,0.02645521,0.4709233,-0.4018204
49,0.02345775,0.48088,-0.4002833
50,0.02205085,0.4852866,-0.3995986
51,0.02035005,0.479632,-0.4001009
52,0.02017805,0.4741918,-0.400945
53,0.01968423,0.470737,-0.401235
54,0.01883357,0.46586,-0.4007917
55,0.01802135,0.4582279,-0.4004408
56,0.01737228,0.4518895,-0.4004562
57,0.01826202,0.4341537,-0.4033571
58,0.01841435,0.4217792,-0.4050149
59,0.01856526,0.4100935,-0.4066056
60,0.01834257,0.41109,-0.407607
61,0.01821909,0.4046749,-0.4083795
62,0.01739334,0.401952,-0.4033258
63,0.01805769,0.3958293,-0.4048011
64,0.01835205,0.3894802,-0.406135
65,0.02051461,0.385819,-0.4091402
66,0.02177484,0.3881632,-0.4082401
67,0.02269072,0.3915691,-0.4072616
68,0.02358371,0.392506,-0.4070282
69,0.02436884,0.4008261,-0.4065151
70,0.02586568,0.4065409,-0.4056533
71,0.02711404,0.4119267,-0.4050161
72,0.02948013,0.4243671,-0.4031816
73,0.03136301,0.4334109,-0.4017157
74,0.0333472,0.4419292,-0.4000127
75,0.03538362,0.4505406,-0.3983234
76,0.03737079,0.4595222,-0.3966599
77,0.03929587,0.4645801,-0.3933609
78,0.0412675,0.4720757,-0.3910626
79,0.0428923,0.4679421,-0.3905491
80,0.04480007,0.4698974,-0.389476
81,0.04598557,0.4680391,-0.3897265
82,0.04744767,0.4678405,-0.3885611
83,0.04890957,0.466151,-0.3869986
84,0.05026872,0.4622734,-0.3855762
85,0.05138956,0.4537128,-0.3846702
86,0.05241159,0.44458,-0.3845166
87,0.05343655,0.4351003,-0.3844345
88,0.05439697,0.4264413,-0.3841243
89,0.05435152,0.4196348,-0.384438
90,0.05499346,0.4117132,-0.3841278
91,0.05493338,0.4088334,-0.3816239
92,0.05508691,0.4031283,-0.3812119
93,0.05409209,0.3957293,-0.382015
94,0.05286352,0.3906921,-0.3840059
95,0.05046631,0.3935349,-0.3839083
96,0.04947656,0.3940458,-0.3841905
97,0.04731292,0.4000775,-0.3844894
98,0.04567703,0.4036452,-0.3849905
99,0.04293396,0.4117206,-0.3853876
100,0.04088995,0.4206707,-0.3850924
101,0.03668277,0.4380667,-0.384551
102,0.03437182,0.4463396,-0.3844572
103,0.03186957,0.4541338,-0.3842928
104,0.02963679,0.4610065,-0.3836632
105,0.0274922,0.466958,-0.3828574
106,0.02525436,0.4711855,-0.3824365
107,0.02309504,0.474501,-0.3821748
108,0.02090694,0.4793755,-0.38173
109,0.01998938,0.4706159,-0.3839917
110,0.01861191,0.4686222,-0.3850146
111,0.01749927,0.4641944,-0.3864214
112,0.01597137,0.4601276,-0.3869586
113,0.01470786,0.4532611,-0.3871768
114,0.01379006,0.4442689,-0.3883116
115,0.01352663,0.431921,-0.3909045
116,0.01334289,0.4207345,-0.3932557
117,0.01291665,0.4150048,-0.3939122
118,0.01230006,0.4092377,-0.3946806
119,0.01089766,0.406808,-0.3906935
120,0.009894247,0.3932185,-0.3942388
121,0.01000588,0.3889982,-0.3945676
122,0.00992734,0.3848543,-0.3948322
123,0.01030775,0.3865725,-0.394038
124,0.01055179,0.3900054,-0.3935975
125,0.01063748,0.3939805,-0.3928652
126,0.01058154,0.3914002,-0.3928937
127,0.01065861,0.3919902,-0.3925866
128,0.01267545,0.4130674,-0.3889983
129,0.01342351,0.42036,-0.3878403
130,0.01420324,0.4276368,-0.3866025
131,0.01604205,0.4363023,-0.3847659
132,0.01742089,0.4442354,-0.382302
133,0.01865183,0.4517507,-0.3796493
134,0.01971089,0.4576359,-0.3771531
135,0.020441,0.4613461,-0.3755344
136,0.02133892,0.4645123,-0.3740445
137,0.02207835,0.4642484,-0.3740711
138,0.02259618,0.4623111,-0.3745183
139,0.02339493,0.4623367,-0.3741682
140,0.02361915,0.458665,-0.373732
141,0.02390292,0.4545602,-0.3729675
142,0.02430591,0.4512746,-0.3725425
143,0.02375587,0.4373735,-0.3734196
144,0.02325005,0.4263343,-0.3747778
145,0.02234552,0.416549,-0.3762789
146,0.02157234,0.4077038,-0.3772292
147,0.01986315,0.4038867,-0.376119
148,0.01862237,0.3971614,-0.376027
149,0.0174312,0.3927719,-0.3749664
150,0.0162,0.3869542,-0.3756799
151,0.01471545,0.3813882,-0.3760689
152,0.01262661,0.3815107,-0.3769041
153,0.0115172,0.3812166,-0.3768364
154,0.01066626,0.3841099,-0.3762502
155,0.008989476,0.3879906,-0.3762795
156,0.006926795,0.393597,-0.3764696
157,0.004617333,0.4007735,-0.3759208
158,0.002650876,0.4077276,-0.3754317
159,0.0009129904,0.417626,-0.374432
160,-0.001130834,0.4261535,-0.3737708
161,-0.003438038,0.4340769,-0.3727987
162,-0.005646578,0.4427422,-0.3717427
163,-0.007546753,0.4496209,-0.3700732
164,-0.009524893,0.4563668,-0.3686125
165,-0.01129462,0.4620859,-0.367254
166,-0.01319316,0.4688407,-0.3658521
167,-0.01389356,0.4630636,-0.3667084
168,-0.01523228,0.4648027,-0.3662045
169,-0.01606376,0.4588413,-0.3675748
170,-0.01726297,0.4570166,-0.3677094
171,-0.01914401,0.4532889,-0.3669294
172,-0.02097484,0.4467789,-0.366309
173,-0.02227265,0.4356006,-0.367041
174,-0.02281223,0.4241874,-0.3688842
175,-0.02338555,0.414219,-0.3703176
176,-0.02293888,0.4067173,-0.3716986
177,-0.02384473,0.404594,-0.3702975
178,-0.02499233,0.4000028,-0.367367
179,-0.02510426,0.3941479,-0.3682382
180,-0.0255603,0.3883645,-0.3679216
181,-0.02322854,0.3875535,-0.3696756
182,-0.02190528,0.38591,-0.3685275
183,-0.02208534,0.3910015,-0.3668462
184,-0.02171882,0.3927095,-0.3658774
185,-0.02034924,0.4007845,-0.3635224
186,-0.01879982,0.4067462,-0.3615286
187,-0.01760016,0.4123334,-0.3596672
188,-0.01534804,0.4235828,-0.3566535
189,-0.01328788,0.4315763,-0.3540064
190,-0.01090626,0.4398056,-0.3509946
191,-0.008370411,0.4475981,-0.3473583
192,-0.006200083,0.4542539,-0.3440736
193,-0.004183047,0.4597969,-0.3410029
194,-0.002630535,0.4618191,-0.3389899
195,-0.001133762,0.4620796,-0.337641
196,0.0004582591,0.4636763,-0.3359211
197,0.001284935,0.4585366,-0.3364899
198,0.002386064,0.4566938,-0.3357844
199,0.003335651,0.4531061,-0.3347113
200,0.003970344,0.4456767,-0.3337346
201,0.004916374,0.4403014,-0.3330023
202,0.004901037,0.4259146,-0.3350124
203,0.005044248,0.4158055,-0.3360425
204,0.004890189,0.4079604,-0.3379864
205,0.004831605,0.4032573,-0.3379724
206,0.004614067,0.3996423,-0.3355678
207,0.004398921,0.3935437,-0.3344922
208,0.003902003,0.3886565,-0.3358103
209,0.001997844,0.3857062,-0.3367912
210,-0.0001989156,0.3790987,-0.3374542
211,-0.0004200451,0.3860173,-0.3364991
212,-0.001326516,0.3871894,-0.3365452
213,-0.00373017,0.3936374,-0.3377155
214,-0.00553809,0.3984557,-0.3382627
215,-0.007736053,0.4080733,-0.3378409
216,-0.009212419,0.4180642,-0.3370853
217,-0.01113383,0.4271187,-0.3365765
218,-0.01330551,0.435661,-0.3364747
219,-0.01542282,0.4445914,-0.3362038
220,-0.01746013,0.4514246,-0.3355667
221,-0.01953918,0.4596278,-0.3351291
222,-0.02111965,0.4637134,-0.3346765
223,-0.02266378,0.4675014,-0.3346286
224,-0.02381525,0.4683481,-0.3353484
225,-0.02480949,0.4679559,-0.3365628
226,-0.02565907,0.4668506,-0.3379615
227,-0.02602167,0.4627862,-0.339969
228,-0.02667906,0.4592237,-0.3411873
229,-0.02746606,0.4540291,-0.341917
230,-0.02810232,0.4454971,-0.3430223
231,-0.02863301,0.4364975,-0.3445826
232,-0.02920226,0.4286207,-0.3460672
233,-0.02783539,0.4153783,-0.3498374
234,-0.02777853,0.405696,-0.3519884
235,-0.02850336,0.4066785,-0.3503075
236,-0.0289606,0.4017787,-0.3497017
237,-0.02865856,0.3933755,-0.3514875
238,-0.02850229,0.3870963,-0.3526104
239,-0.02706403,0.3859575,-0.3538707
240,-0.02555123,0.3879812,-0.3536358
241,-0.02449688,0.3884742,-0.3539032
242,-0.02383891,0.3930922,-0.3531066
243,-0.02283864,0.3985527,-0.3527372
244,-0.0209434,0.4053407,-0.3519411
245,-0.01920943,0.4130785,-0.3512126
246,-0.01766277,0.4206243,-0.350555
247,-0.01574096,0.4312955,-0.3496759
248,-0.01365337,0.4405636,-0.3487115
249,-0.01091762,0.4493483,-0.3471551
250,-0.00844638,0.4573778,-0.3456406
251,-0.006254945,0.4651416,-0.3440996
252,-0.003891271,0.4738076,-0.3426499
253,-0.002264265,0.4710896,-0.3427696
254,0.0001512133,0.4752666,-0.3420582
255,0.002101266,0.4705033,-0.3446569
256,0.004089081,0.4702543,-0.3452546
257,0.005701382,0.4679696,-0.3450371
258,0.007371732,0.4653037,-0.3446306
259,0.007885326,0.4561034,-0.3443514
260,0.008686231,0.4464548,-0.3451287
261,0.0095077,0.4374352,-0.3456907
262,0.009806417,0.4257064,-0.3466628
263,0.00922177,0.420163,-0.3459186
264,0.008104025,0.4048187,-0.3440508
265,0.007384454,0.3972906,-0.3432135
266,0.00719599,0.3907624,-0.3446704
267,0.006377276,0.3845295,-0.3463629
268,0.005825532,0.3783508,-0.3472428
269,0.004833526,0.3825634,-0.3478822
270,0.004008005,0.3804972,-0.3484971
271,0.003314726,0.3876714,-0.3482732
272,0.001956424,0.3926201,-0.3488503
273,0.0005329382,0.3996601,-0.3488514
274,-0.0006962493,0.4067102,-0.3485966
275,-0.001912107,0.4134685,-0.3484895
276,-0.003522708,0.4233391,-0.3474781
277,-0.005000088,0.4314338,-0.3470979
278,-0.006915476,0.4386006,-0.3464232
279,-0.008575894,0.4464342,-0.3456788
280,-0.01048577,0.4531862,-0.344544
281,-0.01190133,0.4569719,-0.3438769
282,-0.0134969,0.4626502,-0.3432139
283,-0.01346163,0.4577883,-0.3454671
284,-0.0140758,0.4583499,-0.3463908
285,-0.01347645,0.4544854,-0.3486878
286,-0.01363777,0.4532048,-0.3500878
287,-0.01379996,0.4491305,-0.3506567
288,-0.01405118,0.4435164,-0.3516303
289,-0.01403654,0.4386091,-0.352878
290,-0.01316544,0.4248047,-0.3566236
291,-0.01249161,0.4154415,-0.3595125
292,-0.01169639,0.4091733,-0.3617074
