frame,x,y,z
1,-0.03476376,-0.01470073,0.1103729
2,-0.03405418,-0.008038389,0.1091783
3,-0.03405982,-0.004188752,0.1080336
4,-0.03406522,-0.0003371699,0.1068881
5,-0.03314558,0.01075146,0.1097328
6,-0.03271193,0.01775103,0.1116579
7,-0.03196245,0.01493483,0.1109074
8,-0.03193495,0.00972161,0.1093375
9,-0.03228452,0.007147329,0.1094906
10,-0.03253511,0.003281231,0.1099697
11,-0.03263029,-0.0001745848,0.1101084
12,-0.03276861,-0.004347014,0.1103142
13,-0.03284801,-0.009760257,0.1108312
14,-0.03286368,-0.01554844,0.1114043
15,-0.03267391,-0.02142192,0.1119865
16,-0.03256979,-0.02765535,0.1127782
17,-0.03254968,-0.03311435,0.1133899
18,-0.03238454,-0.0390491,0.114507
19,-0.03135468,-0.04344572,0.1162545
20,-0.03101986,-0.04861251,0.1172408
21,-0.02929582,-0.05156084,0.1188171
22,-0.02843694,-0.05462908,0.1188421
23,-0.02766899,-0.05845064,0.1191648
24,-0.02620539,-0.05598536,0.1198221
25,-0.02531471,-0.05865775,0.1205574
26,-0.02228649,-0.05365762,0.1242105
27,-0.02092767,-0.05457884,0.1255561
28,-0.01878017,-0.05089442,0.1242796
29,-0.01631965,-0.03576846,0.1237411
30,-0.01497042,-0.03570116,0.1277512
31,-0.01416531,-0.03321506,0.1288956
32,-0.01332324,-0.02693084,0.1265485
33,-0.01264564,-0.02500084,0.1274503
34,-0.01144157,-0.02150278,0.1280187
35,-0.01222974,-0.01835396,0.127512
36,-0.01225522,-0.01284341,0.1254571
37,-0.01179583,-0.00907877,0.1248979
38,-0.01208561,-0.005181242,0.123256
39,-0.01205365,-0.0002640694,0.1217965
40,-0.01177945,0.003868739,0.1210017
41,-0.01259315,0.0138127,0.120013
42,-0.01251113,0.01887381,0.1191537
43,-0.01242905,0.02393524,0.1182944
44,-0.01234696,0.02899204,0.1174359
45,-0.01226469,0.03405406,0.1165766
46,-0.01404806,0.042811,0.1181572
47,-0.01477994,0.04531062,0.116887
48,-0.01514773,0.0439022,0.1158444
49,-0.01567439,0.02167183,0.1163172
50,-0.01593006,0.02276337,0.1157498
51,-0.01618512,0.02385335,0.1151835
52,-0.01644005,0.02494384,0.1146171
53,-0.01711586,-0.005167793,0.1186572
54,-0.01763684,-0.02004425,0.1213041
55,-0.01826107,-0.02752908,0.1224164
56,-0.02006475,-0.03634614,0.1233489
57,-0.02207454,-0.04194793,0.1244919
58,-0.02404408,-0.04638424,0.1259789
59,-0.02567281,-0.05083412,0.1271602
60,-0.02742117,-0.05484749,0.128083
61,-0.02982803,-0.0570165,0.1289503
62,-0.03209277,-0.05821629,0.1306252
63,-0.03451777,-0.05736826,0.1331377
64,-0.03671656,-0.0576856,0.1349894
65,-0.03903487,-0.05691484,0.1360291
66,-0.04114637,-0.05602784,0.1361113
67,-0.04261466,-0.04584179,0.1353459
68,-0.0446273,-0.04373701,0.1360684
69,-0.04626615,-0.04041383,0.1374621
70,-0.04821188,-0.03799903,0.1382878
71,-0.04903489,-0.03237448,0.1413758
72,-0.04686579,-0.02806773,0.140204
73,-0.04650203,-0.02348051,0.138285
74,-0.04628772,-0.02215422,0.1368061
75,-0.04606929,-0.01805465,0.1346111
76,-0.04587715,-0.01214013,0.1332831
77,-0.04532749,-0.004774404,0.1336866
78,-0.04460074,0.002152992,0.134334
79,-0.04409664,0.007532539,0.134079
80,-0.04343249,0.01127304,0.1334786
81,-0.042591,0.01163291,0.132399
82,-0.04196613,0.01304104,0.1316065
83,-0.04136048,0.01441234,0.1309437
84,-0.04073418,0.01190699,0.1308803
85,-0.04016016,0.008060217,0.1316704
86,-0.03935938,0.003858924,0.1320117
87,-0.0387616,-0.001066644,0.1324441
88,-0.03837454,-0.007943091,0.1330318
89,-0.03783821,-0.01224855,0.1333946
90,-0.03728176,-0.01703186,0.1338523
91,-0.0368653,-0.0248014,0.1348134
92,-0.03629592,-0.03182977,0.1363049
93,-0.03564364,-0.03682886,0.1375758
94,-0.03468178,-0.04063996,0.1393695
95,-0.03344408,-0.04480508,0.1414727
96,-0.03226187,-0.04933671,0.1424124
97,-0.03088975,-0.05386622,0.1427727
98,-0.02967487,-0.05791247,0.1432163
99,-0.02785774,-0.05688658,0.1448059
100,-0.02590202,-0.05715635,0.146814
101,-0.02340763,-0.05560412,0.1505369
102,-0.0207989,-0.05368035,0.1520725
103,-0.0188622,-0.05406388,0.1531208
104,-0.01680495,-0.04303114,0.1522287
105,-0.01493911,-0.04090954,0.1538641
106,-0.01293039,-0.03836871,0.1549984
107,-0.01092191,-0.03582738,0.1561307
108,-0.009566871,-0.03477671,0.1589432
109,-0.01153193,-0.02124996,0.1578481
110,-0.01017713,-0.0169721,0.1588067
111,-0.008821873,-0.01269472,0.159766
112,-0.007466132,-0.008417781,0.160726
113,-0.01120817,-0.002248317,0.1601144
114,-0.01450715,0.001623661,0.1545932
115,-0.01439268,0.006149802,0.1544081
116,-0.01427803,0.01067568,0.1542228
117,-0.01585362,0.01584411,0.1505734
118,-0.01596447,0.02046675,0.149956
119,-0.01907728,0.03007109,0.1517247
120,-0.0194944,0.02604652,0.1508515
121,-0.01998051,0.02979141,0.1504509
122,-0.0198001,0.02252058,0.1496889
123,-0.01986269,0.01744837,0.1489936
124,-0.02033734,0.003999615,0.1490457
125,-0.02068558,-0.001557291,0.1495102
126,-0.02090071,-0.007574156,0.1505716
127,-0.02128318,-0.0132089,0.1512963
128,-0.02193401,-0.0201212,0.1524206
129,-0.0225414,-0.02649408,0.1534146
130,-0.02345606,-0.03308749,0.1547846
131,-0.0246161,-0.03908338,0.1562485
132,-0.02560809,-0.04456659,0.1575747
133,-0.02634246,-0.05047805,0.1586333
134,-0.02854065,-0.05441782,0.1615287
135,-0.03032465,-0.05972453,0.1634836
136,-0.03264561,-0.06402807,0.1631541
137,-0.0339964,-0.06939591,0.1643491
138,-0.03534896,-0.07477204,0.1655457
139,-0.03783112,-0.07801728,0.1655854
140,-0.04427815,-0.05909896,0.172222
141,-0.04674189,-0.05996351,0.1742428
142,-0.04940288,-0.04873779,0.1711214
143,-0.05106077,-0.04241958,0.1734498
144,-0.05320029,-0.04088295,0.1761039
145,-0.05227502,-0.03435159,0.1755361
146,-0.05265633,-0.03194384,0.1772075
147,-0.05044846,-0.02956682,0.1757663
148,-0.04977081,-0.02582967,0.1742716
149,-0.04870649,-0.02340856,0.1725589
150,-0.04750266,-0.01888995,0.1709502
151,-0.04678753,-0.0142928,0.1697638
152,-0.04419362,-0.001071959,0.1691888
153,-0.04184863,0.007541378,0.1716942
154,-0.04047916,0.01405303,0.1720428
155,-0.03909628,0.02054466,0.1719866
156,-0.03797411,0.01931142,0.1711127
157,-0.03666126,0.01621336,0.1702341
158,-0.03543395,0.01635164,0.169889
159,-0.03455656,0.01242993,0.1700202
160,-0.03386319,0.005747813,0.1706822
161,-0.03330426,0.001686178,0.1712726
162,-0.03282296,-0.002807553,0.1719539
163,-0.03250062,-0.009002787,0.1732724
164,-0.032129,-0.01449051,0.1743242
165,-0.03191861,-0.02090725,0.1752529
166,-0.03192986,-0.02765115,0.1766413
167,-0.03200024,-0.03325931,0.1780691
168,-0.03175048,-0.03867689,0.1793178
169,-0.03144922,-0.04281414,0.1817021
170,-0.03108122,-0.04769003,0.1832299
171,-0.03027961,-0.05221733,0.1838058
172,-0.029638,-0.05634886,0.181164
173,-0.0283353,-0.05911923,0.1806669
174,-0.02688766,-0.05831547,0.1814247
175,-0.02487138,-0.05453604,0.1829094
176,-0.0227922,-0.05296405,0.1851398
177,-0.02077067,-0.0512476,0.1879262
178,-0.01934961,-0.0508161,0.1896001
179,-0.01695121,-0.04809129,0.1902262
180,-0.01499168,-0.04056684,0.1892065
181,-0.01334486,-0.03040427,0.1923456
182,-0.01464527,-0.02721037,0.1904616
183,-0.01345836,-0.02395493,0.1911328
184,-0.01495482,-0.02447571,0.1912887
185,-0.01548118,-0.01888397,0.1895367
186,-0.01536489,-0.01516275,0.1896211
187,-0.0154956,-0.006966087,0.1883284
188,-0.0165163,-0.004546724,0.1878994
189,-0.01794644,0.005633598,0.1855594
190,-0.01857114,0.01201841,0.1851302
191,-0.01955117,0.01622445,0.1849583
192,-0.02014751,0.02058553,0.1841879
193,-0.02085312,0.0219964,0.1826824
194,-0.02144752,0.01931982,0.181076
195,-0.02175954,0.01792594,0.1800831
196,-0.0222154,0.0189988,0.179155
197,-0.02275266,0.02065686,0.1781952
198,-0.02328978,0.0223158,0.1772346
199,-0.02312586,0.01331519,0.1776882
200,-0.02318492,0.006058287,0.1798417
201,-0.02353477,0.00400146,0.1799598
202,-0.02409187,0.00149176,0.1803986
203,-0.02487219,-0.00549706,0.1823821
204,-0.02657902,-0.01618849,0.1833428
205,-0.02812431,-0.02502474,0.1836146
206,-0.02997513,-0.03260877,0.1820994
207,-0.03228005,-0.03682518,0.1811526
208,-0.0342573,-0.04120823,0.1810942
209,-0.03672294,-0.04342428,0.1819799
210,-0.03870362,-0.04699784,0.1824355
211,-0.04078294,-0.04972806,0.1833535
212,-0.0429477,-0.05179605,0.184156
213,-0.04587397,-0.05256676,0.1859544
214,-0.04844172,-0.05505093,0.1856464
215,-0.05075715,-0.05761174,0.1857043
216,-0.05278641,-0.05477272,0.1830311
217,-0.05393714,-0.04647642,0.1826517
218,-0.0554335,-0.04537075,0.1843227
219,-0.05682177,-0.04102399,0.1838116
220,-0.05860655,-0.03925604,0.1838243
221,-0.05902287,-0.03107604,0.1827495
222,-0.05661603,-0.03028051,0.1790054
223,-0.05561471,-0.02826183,0.1746747
224,-0.05484655,-0.02459123,0.1710491
225,-0.05425235,-0.0184639,0.1683565
226,-0.05290668,-0.009399943,0.1672938
227,-0.05175194,-0.000575535,0.1668434
228,-0.05086564,0.006370257,0.1661502
229,-0.05017792,0.01249946,0.1645375
230,-0.0494067,0.01851513,0.1640148
231,-0.04887316,0.02221982,0.1617826
232,-0.04779,0.0172919,0.1566584
233,-0.04757635,0.012937,0.1542146
234,-0.04710639,0.0134588,0.1521712
235,-0.04677463,0.01123922,0.1505981
236,-0.04654987,0.008377556,0.1490088
237,-0.04616252,0.005804109,0.1473513
238,-0.04613658,-0.005181162,0.147043
239,-0.04588519,-0.0125422,0.1463117
240,-0.04555336,-0.01707786,0.1450361
241,-0.04521214,-0.02104348,0.143665
242,-0.04485302,-0.02701991,0.1426658
243,-0.04451174,-0.03138061,0.1413681
244,-0.04417016,-0.03574484,0.1400693
245,-0.04302331,-0.04497636,0.1421011
246,-0.04177836,-0.04869309,0.1415007
247,-0.03927507,-0.05159578,0.1395473
248,-0.03813342,-0.05542925,0.138249
249,-0.03675252,-0.05430587,0.1371635
250,-0.03480339,-0.05211006,0.1380322
251,-0.03283842,-0.05068164,0.1388444
252,-0.03073732,-0.04786709,0.1387981
253,-0.02872912,-0.04349961,0.1384925
254,-0.02634875,-0.03403359,0.1374875
255,-0.02520348,-0.03376305,0.1388837
256,-0.02453576,-0.03163335,0.1383617
257,-0.02359405,-0.02553314,0.1359575
258,-0.02448928,-0.02244938,0.1344883
259,-0.02416712,-0.01648204,0.1319367
260,-0.02450926,-0.009036953,0.1293714
261,-0.02515949,-0.005853645,0.1283818
262,-0.02575227,-0.002778297,0.1272139
263,-0.02576621,0.001038157,0.1259799
264,-0.02582173,0.00492863,0.12467
265,-0.02676873,0.01093948,0.1218968
266,-0.02812125,0.01889672,0.1218894
267,-0.02925788,0.01932547,0.1216728
268,-0.02993246,0.01744732,0.1204901
269,-0.03065486,0.01627523,0.1193331
270,-0.03142116,0.0139693,0.118114
271,-0.03234936,0.01095534,0.1172127
272,-0.03358996,0.005469551,0.1165805
273,-0.03476448,0.0006269537,0.1159668
274,-0.03588757,-0.005186002,0.1156533
275,-0.03685541,-0.01110283,0.1156485
276,-0.03793649,-0.01680459,0.1157531
277,-0.03924621,-0.02429212,0.1165733
278,-0.04059108,-0.03052242,0.1168094
279,-0.04201957,-0.03732165,0.1172919
280,-0.04374593,-0.04353476,0.1179397
281,-0.04543665,-0.0491695,0.1187957
282,-0.04722255,-0.05376938,0.1197651
283,-0.04891543,-0.05806718,0.1203077
284,-0.05042641,-0.06338227,0.1207614
285,-0.05258038,-0.06752707,0.1219545
286,-0.05420396,-0.07264684,0.122535
287,-0.05582725,-0.07776614,0.1231152
288,-0.05969784,-0.06364843,0.12876
289,-0.06291627,-0.06147077,0.1307961
290,-0.0649641,-0.06040517,0.1296698
291,-0.066586,-0.051687,0.1290013
292,-0.06767562,-0.04422285,0.1305313
293,-0.06880903,-0.0434517,0.1336115
294,-0.06914424,-0.03607492,0.1320394
