frame,x,y,z
1,-1.818537,0.1581049,3.040275
2,-1.818537,0.1581049,3.040275
3,-1.810063,0.138792,3.033638
4,-1.810063,0.138792,3.033638
5,-1.810063,0.138792,3.033638
6,-1.807042,0.1152711,3.027471
7,-1.807042,0.1152711,3.027471
8,-1.802834,0.01638221,3.012322
9,-1.802834,0.01638221,3.012322
10,-1.80436,-0.005861396,3.008652
11,-1.818285,-0.08010168,3.005518
12,-1.823966,-0.08310245,3.009119
13,-1.823966,-0.08310245,3.009119
14,-1.874824,-0.0479954,3.019829
15,-1.874824,-0.0479954,3.019829
16,-1.874824,-0.0479954,3.019829
17,-1.874824,-0.0479954,3.019829
18,-1.917063,0.08810549,3.02945
19,-1.917063,0.08810549,3.02945
20,-1.917063,0.08810549,3.02945
21,-1.917063,0.08810549,3.02945
22,-1.927436,0.1387762,3.04675
23,-1.935868,0.1621995,3.062455
24,-1.935868,0.1621995,3.062455
25,-1.935868,0.1621995,3.062455
26,-1.935868,0.1621995,3.062455
27,-1.935868,0.1621995,3.062455
28,-1.943423,0.164575,3.084283
29,-1.9433,0.1561124,3.081745
30,-1.9433,0.1561124,3.081745
31,-1.9433,0.1561124,3.081745
32,-1.9433,0.1561124,3.081745
33,-1.9433,0.1561124,3.081745
34,-1.9433,0.1561124,3.081745
35,-1.942978,0.0638368,3.057325
36,-1.942422,0.05999039,3.056234
37,-1.942422,0.05999039,3.056234
38,-1.940669,0.01609289,3.053429
39,-1.940245,-0.02855565,3.058153
40,-1.93935,-0.06531779,3.060241
41,-1.928794,-0.08065507,3.058505
42,-1.910967,-0.03892972,3.069544
43,-1.91037,-0.03738033,3.069696
44,-1.91037,-0.03738033,3.069696
45,-1.883951,0.0184974,3.060378
46,-1.865511,0.06418949,3.06307
47,-1.859295,0.08954393,3.063064
48,-1.859295,0.08954393,3.063064
49,-1.856236,0.102886,3.064399
50,-1.856236,0.102886,3.064399
51,-1.844529,0.1404539,3.065698
52,-1.826644,0.1680933,3.071135
53,-1.823974,0.1652657,3.070654
54,-1.821393,0.1558826,3.070454
55,-1.819089,0.1269929,3.069218
56,-1.817963,0.1049332,3.067136
57,-1.816395,0.06473456,3.061103
58,-1.817012,-0.007121791,3.049058
59,-1.817012,-0.007121791,3.049058
60,-1.817935,-0.03293835,3.045668
61,-1.818309,-0.04904237,3.044673
62,-1.818402,-0.06145004,3.043294
63,-1.826723,-0.08063788,3.034259
64,-1.82996,-0.07874328,3.031576
65,-1.841558,-0.06043907,3.028805
66,-1.849751,-0.04717256,3.030561
67,-1.863612,-0.02383218,3.023631
68,-1.866679,-0.01614925,3.019945
69,-1.866679,-0.01614925,3.019945
70,-1.866679,-0.01614925,3.019945
71,-1.883719,0.037264,3.017794
72,-1.897203,0.093803,3.022623
73,-1.902844,0.1190964,3.025138
74,-1.906879,0.1387461,3.028366
75,-1.906879,0.1387461,3.028366
76,-1.911007,0.1523497,3.031626
77,-1.918336,0.1675521,3.036647
78,-1.918336,0.1675521,3.036647
79,-1.918336,0.1675521,3.036647
80,-1.92823,0.1762884,3.043818
81,-1.93273,0.1668671,3.044345
82,-1.934505,0.1575505,3.042837
83,-1.936209,0.1378029,3.039924
