frame,x,y,z
1,-1.957268,-0.8693877,10.15684
2,-1.968086,-0.8687863,10.15616
3,-1.979317,-0.8682064,10.15557
4,-1.99054,-0.867738,10.15503
5,-2.001985,-0.8674746,10.15458
6,-2.013803,-0.8671087,10.15384
7,-2.025725,-0.8668536,10.15287
8,-2.038438,-0.8673328,10.15219
9,-2.050497,-0.8672572,10.15152
10,-2.063424,-0.8671181,10.15074
11,-2.076186,-0.8666881,10.15004
12,-2.089861,-0.8654197,10.14907
13,-2.103488,-0.8650932,10.14819
14,-2.117512,-0.8654073,10.14762
15,-2.131133,-0.8652408,10.14703
16,-2.145159,-0.8654394,10.14618
17,-2.158758,-0.8654147,10.14527
18,-2.172347,-0.8652909,10.14449
19,-2.186027,-0.8653797,10.14322
20,-2.198986,-0.86784,10.14169
21,-2.211403,-0.8696115,10.14055
22,-2.2239,-0.8701482,10.13958
23,-2.236135,-0.870999,10.1387
24,-2.248006,-0.872039,10.13774
25,-2.259661,-0.8725107,10.13679
26,-2.270927,-0.8726521,10.13592
27,-2.281885,-0.8731634,10.13506
28,-2.291914,-0.8740718,10.13418
29,-2.301937,-0.8751587,10.13334
30,-2.312801,-0.8758137,10.13244
31,-2.321828,-0.8768457,10.13167
32,-2.329404,-0.8771495,10.13092
33,-2.33925,-0.8778128,10.13009
34,-2.345856,-0.8779003,10.12974
35,-2.354927,-0.8784353,10.12902
36,-2.361487,-0.8782649,10.12869
37,-2.369955,-0.8786325,10.12806
38,-2.375939,-0.8778371,10.12777
39,-2.383851,-0.8779647,10.12721
40,-2.387564,-0.8783582,10.12692
41,-2.394532,-0.8785295,10.12642
42,-2.401375,-0.8787638,10.12595
43,-2.404442,-0.8795807,10.12589
44,-2.407285,-0.8795159,10.12593
45,-2.411406,-0.8798858,10.12573
46,-2.415097,-0.8799237,10.12568
47,-2.418717,-0.8797439,10.1257
48,-2.421719,-0.8798018,10.12568
49,-2.423798,-0.8803638,10.12569
50,-2.425409,-0.8809007,10.12579
51,-2.426275,-0.8813145,10.12586
52,-2.427487,-0.8816283,10.12583
53,-2.427984,-0.8818135,10.12595
54,-2.427519,-0.8818428,10.12607
55,-2.426954,-0.881768,10.12623
56,-2.427532,-0.8819496,10.12632
57,-2.425136,-0.8820876,10.12685
58,-2.424309,-0.8821853,10.12703
59,-2.421999,-0.8819003,10.12739
60,-2.425642,-0.8820683,10.12725
61,-2.425739,-0.8821756,10.12741
62,-2.407799,-0.8794139,10.12932
63,-2.405241,-0.8791171,10.12975
64,-2.400674,-0.8785269,10.13029
65,-2.397808,-0.8781863,10.13074
66,-2.382143,-0.8785513,10.13207
67,-2.374071,-0.8789046,10.13254
68,-2.364025,-0.8787535,10.13302
69,-2.352039,-0.879412,10.133
70,-2.33838,-0.8808369,10.13289
71,-2.326324,-0.8810802,10.13312
72,-2.314773,-0.8812327,10.13347
73,-2.301569,-0.8812405,10.13361
74,-2.288504,-0.880822,10.13389
75,-2.275387,-0.8803085,10.13416
76,-2.263128,-0.8800679,10.13433
77,-2.247862,-0.8785166,10.13499
78,-2.233936,-0.8780881,10.1353
79,-2.219884,-0.8773456,10.13566
80,-2.205112,-0.876493,10.13609
81,-2.190381,-0.875574,10.1366
82,-2.176324,-0.8748726,10.137
83,-2.162276,-0.8741714,10.1374
84,-2.147785,-0.8732728,10.13787
85,-2.133666,-0.8725421,10.13828
86,-2.119546,-0.8718114,10.13869
87,-2.099954,-0.8698642,10.14209
88,-2.086127,-0.869533,10.14315
89,-2.071943,-0.8685949,10.14417
