frame,x,y,z
1,-2.339335,-0.7431309,2.685895
2,-2.338842,-0.7441653,2.685627
3,-2.339118,-0.7452322,2.685117
4,-2.300484,-0.9029839,10.08633
5,-2.300321,-0.903291,10.08577
6,-2.300136,-0.903308,10.08544
7,-2.299953,-0.903325,10.08511
8,-2.299968,-0.9029399,10.0847
9,-2.299955,-0.9032399,10.08456
10,-2.299812,-0.9032368,10.08424
11,-2.299669,-0.9032337,10.08391
12,-2.298968,-0.9036276,10.08379
13,-2.299006,-0.9033502,10.08366
14,-2.298989,-0.9032557,10.08341
15,-2.298935,-0.9032865,10.08316
16,-2.298797,-0.9032583,10.08291
17,-2.298659,-0.9032302,10.08266
18,-2.298521,-0.903202,10.08241
19,-2.298352,-0.90311,10.08219
20,-2.298106,-0.9040108,10.0822
21,-2.298177,-0.9036894,10.08214
22,-2.29811,-0.9036828,10.08196
23,-2.297985,-0.9036883,10.08175
24,-2.298256,-0.9035503,10.08185
25,-2.298077,-0.9039719,10.08182
26,-2.297964,-0.9040711,10.08169
27,-2.297863,-0.9041135,10.08153
28,-2.297761,-0.9041558,10.08137
29,-2.297637,-0.9043693,10.08124
30,-2.297693,-0.9048074,10.08122
31,-2.2976,-0.9048897,10.08109
32,-2.297557,-0.9050023,10.08103
33,-2.297546,-0.9051351,10.08102
34,-2.297464,-0.9052236,10.0809
35,-2.297381,-0.9053121,10.08078
36,-2.297298,-0.9054006,10.08066
37,-2.297215,-0.9054891,10.08054
38,-2.297247,-0.9056303,10.08052
39,-2.297303,-0.90574,10.08056
40,-2.297286,-0.9059312,10.08076
41,-2.297241,-0.9060209,10.08074
42,-2.297055,-0.9064347,10.08133
43,-2.012807,-0.8699772,10.13723
44,-2.025726,-0.8694731,10.13652
45,-2.039609,-0.8690221,10.13578
46,-2.054299,-0.8690558,10.1346
47,-2.06881,-0.8713445,10.13419
48,-2.084274,-0.870284,10.13412
49,-2.097905,-0.8702983,10.13324
50,-2.111206,-0.8722274,10.13206
51,-2.12466,-0.872529,10.13123
52,-2.137573,-0.8747046,10.12995
53,-2.152767,-0.8722388,10.12884
54,-2.166493,-0.87232,10.12791
55,-2.180219,-0.8724012,10.12697
56,-2.193949,-0.8724827,10.12603
57,-2.208849,-0.8714793,10.1252
58,-2.223369,-0.8711977,10.12436
59,-2.237327,-0.8711097,10.12346
60,-2.251241,-0.8739653,10.12268
61,-2.264833,-0.876825,10.12264
62,-2.279011,-0.876134,10.12193
63,-2.291756,-0.8773368,10.12158
64,-2.305085,-0.8805832,10.12134
65,-2.318909,-0.8781106,10.12187
66,-2.332691,-0.8784583,10.1214
67,-2.346469,-0.878806,10.12094
68,-2.352166,-0.8821939,10.12045
69,-2.364873,-0.8829082,10.12002
70,-2.377577,-0.8836223,10.11959
71,-2.385661,-0.8824931,10.11774
72,-2.395548,-0.8830554,10.11677
73,-2.40669,-0.8833286,10.11604
74,-2.414389,-0.8829031,10.11584
75,-2.420592,-0.8848321,10.11487
76,-2.431055,-0.8853786,10.11424
77,-2.441518,-0.8859251,10.11361
78,-2.44261,-0.8896555,10.11226
79,-2.442928,-0.8909323,10.11125
80,-2.438345,-0.8893859,10.11043
81,-2.436105,-0.8893371,10.11004
82,-2.434243,-0.8894554,10.10939
83,-2.433028,-0.889674,10.10863
84,-2.430424,-0.889595,10.10789
85,-2.427712,-0.8897324,10.10742
86,-2.42123,-0.890328,10.10712
87,-2.417538,-0.8905512,10.10666
88,-2.411023,-0.8902439,10.10626
89,-2.402892,-0.8896584,10.10584
90,-2.394345,-0.8891228,10.10572
91,-2.383314,-0.8887848,10.10618
92,-2.373285,-0.8887815,10.10644
93,-2.365201,-0.8885994,10.10641
94,-2.357114,-0.8884172,10.10638
95,-2.342791,-0.8890269,10.10692
96,-2.333624,-0.8889745,10.107
97,-2.315394,-0.8889583,10.10756
98,-2.304894,-0.8889142,10.10772
99,-2.290597,-0.8883937,10.10813
100,-2.279628,-0.8882938,10.10832
101,-2.234871,-0.8843829,10.113
102,-2.218464,-0.8831041,10.11434
103,-2.202824,-0.8816417,10.11556
104,-2.187003,-0.8795215,10.11678
105,-2.173815,-0.8760875,10.11746
106,-2.160857,-0.8735303,10.11848
107,-2.147659,-0.8708945,10.11953
108,-2.133472,-0.8713734,10.12076
109,-2.119301,-0.8699109,10.12191
110,-2.105959,-0.8658867,10.12351
111,-2.093155,-0.8615741,10.12509
112,-2.079497,-0.859017,10.12634
113,-2.065837,-0.8564588,10.1276
114,-2.053739,-0.8518291,10.12918
115,-2.040331,-0.8489635,10.13047
116,-2.026924,-0.8460981,10.13177
117,-2.014591,-0.8412001,10.13346
118,-1.999155,-0.8444852,10.13807
119,-1.984664,-0.8452527,10.14004
120,-1.968295,-0.8471474,10.14228
121,-1.954358,-0.8456133,10.1441
122,-1.93728,-0.8469415,10.14544
123,-1.923036,-0.8457298,10.14721
124,-1.906413,-0.8463615,10.14797
125,-1.891947,-0.8453449,10.14964
126,-1.87748,-0.8443284,10.15131
127,-1.862999,-0.8433108,10.15298
128,-1.848533,-0.8422945,10.15464
129,-1.834066,-0.8412781,10.15631
130,-1.819599,-0.8402617,10.15798
131,-1.798578,-0.8364378,10.16088
132,-1.783373,-0.8343959,10.16432
133,-1.768374,-0.8329465,10.1649
134,-1.752623,-0.8325549,10.16267
135,-1.736991,-0.8339908,10.16332
136,-1.721737,-0.8343192,10.16453
137,-1.707335,-0.8360944,10.16633
138,-1.692307,-0.8353677,10.16776
139,-1.67797,-0.8346744,10.16913
140,-1.665399,-0.834685,10.17043
141,-1.664947,-0.8346642,10.17047
142,-1.646739,-0.8359755,10.17172
143,-1.646739,-0.8359755,10.17172
144,-1.639799,-0.8382248,10.17233
145,-1.639799,-0.8382248,10.17233
146,-1.634192,-0.8405218,10.1726
147,-1.624103,-0.8456715,10.17352
148,-1.590727,-0.8539021,10.17582
149,-1.58566,-0.8566874,10.17565
150,-1.580656,-0.8595046,10.17521
151,-1.580656,-0.8595046,10.17521
152,-1.580656,-0.8595046,10.17521
153,-1.580656,-0.8595046,10.17521
154,-1.568236,-0.8696284,10.17649
155,-1.568236,-0.8696284,10.17649
156,-1.568236,-0.8696284,10.17649
157,-1.567326,-0.8735891,10.17892
158,-1.571156,-0.8919117,10.17863
159,-1.573447,-0.8918444,10.17854
160,-1.574466,-0.8919848,10.1787
161,-1.581721,-0.894922,10.17944
162,-1.581721,-0.894922,10.17944
163,-1.602679,-0.8932105,10.1792
164,-1.607118,-0.8898443,10.17873
165,-1.617443,-0.8850956,10.17823
166,-1.630781,-0.8813689,10.17762
167,-1.630781,-0.8813689,10.17762
168,-1.630781,-0.8813689,10.17762
169,-1.630781,-0.8813689,10.17762
170,-1.648103,-0.8806908,10.17829
171,-1.649127,-0.880751,10.1783
172,-1.709563,-0.8702569,10.17179
173,-1.709563,-0.8702569,10.17179
174,-1.709563,-0.8702569,10.17179
175,-1.724206,-0.8762259,10.17151
176,-1.732993,-0.8734382,10.17008
177,-1.732993,-0.8734382,10.17008
178,-1.746865,-0.8695267,10.16695
179,-1.746865,-0.8695267,10.16695
180,-1.746865,-0.8695267,10.16695
181,-1.746865,-0.8695267,10.16695
182,-1.746865,-0.8695267,10.16695
183,-1.746865,-0.8695267,10.16695
184,-1.776943,-0.8692663,10.16224
185,-1.784742,-0.8682483,10.16151
186,-1.817212,-0.8598704,10.16015
187,-1.844096,-0.8619784,10.15623
188,-1.844096,-0.8619784,10.15623
189,-1.858719,-0.8639005,10.15499
190,-1.858719,-0.8639005,10.15499
191,-1.89178,-0.8593405,10.15309
192,-1.899965,-0.8584764,10.15294
193,-1.932621,-0.8660817,10.15216
194,-1.93771,-0.8677734,10.15199
195,-1.93771,-0.8677734,10.15199
196,-1.975223,-0.8755261,10.15123
197,-1.979551,-0.8760213,10.1509
198,-1.991742,-0.8776304,10.15099
199,-2.041431,-0.8773208,10.15058
200,-2.041431,-0.8773208,10.15058
201,-2.041431,-0.8773208,10.15058
202,-2.041431,-0.8773208,10.15058
203,-2.041431,-0.8773208,10.15058
204,-2.05661,-0.8757075,10.15104
205,-2.091452,-0.8723809,10.15021
206,-2.119313,-0.8721288,10.14718
207,-2.119313,-0.8721288,10.14718
208,-2.119313,-0.8721288,10.14718
209,-2.119313,-0.8721288,10.14718
210,-2.178373,-0.864748,10.14218
211,-2.18893,-0.8649521,10.14133
212,-2.209677,-0.8664207,10.13979
213,-2.209677,-0.8664207,10.13979
214,-2.2688,-0.8704534,10.14051
215,-2.273347,-0.870436,10.14052
216,-2.273347,-0.870436,10.14052
217,-2.273347,-0.870436,10.14052
218,-2.306973,-0.8714724,10.14036
219,-2.306973,-0.8714724,10.14036
220,-2.306973,-0.8714724,10.14036
221,-2.306973,-0.8714724,10.14036
222,-2.306973,-0.8714724,10.14036
223,-2.306973,-0.8714724,10.14036
224,-2.306973,-0.8714724,10.14036
225,-2.306973,-0.8714724,10.14036
226,-2.306973,-0.8714724,10.14036
227,-2.306973,-0.8714724,10.14036
228,-2.306973,-0.8714724,10.14036
229,-2.456939,-0.8763713,10.13497
230,-2.456939,-0.8763713,10.13497
231,-2.464674,-0.8749385,10.13486
232,-2.464674,-0.8749385,10.13486
233,-2.464674,-0.8749385,10.13486
234,-2.496535,-0.8831454,10.13405
235,-2.502167,-0.8834437,10.13391
236,-2.503869,-0.8834844,10.13372
237,-2.515899,-0.8868054,10.13197
238,-2.515899,-0.8868054,10.13197
239,-2.515899,-0.8868054,10.13197
240,-2.515899,-0.8868054,10.13197
241,-2.515899,-0.8868054,10.13197
242,-2.515899,-0.8868054,10.13197
243,-2.52944,-0.8889561,10.12959
244,-2.53025,-0.8900116,10.12941
245,-2.53025,-0.8900116,10.12941
246,-2.53025,-0.8900116,10.12941
247,-2.53025,-0.8900116,10.12941
248,-2.530702,-0.8913539,10.12872
249,-2.527605,-0.8892088,10.12757
250,-2.527605,-0.8892088,10.12757
251,-2.510088,-0.8892941,10.1277
252,-2.498599,-0.8888234,10.12741
253,-2.490728,-0.8870993,10.12838
254,-2.490728,-0.8870993,10.12838
255,-2.478453,-0.8858475,10.12713
