frame,x,y,z
14001,0.2159991,0.6753526,-0.277208
14002,0.2123026,0.6747159,-0.2765818
14003,0.2039237,0.6740184,-0.276214
14004,0.1996281,0.6735981,-0.2760794
14005,0.1945602,0.6815506,-0.2736191
14006,0.1903388,0.6883931,-0.2699144
14007,0.1860344,0.6933758,-0.2675028
14008,0.1839796,0.6993507,-0.265633
14009,0.1803564,0.7051846,-0.2631624
14010,0.1788805,0.7112499,-0.2598377
14011,0.1762469,0.7173603,-0.2568811
14012,0.1742166,0.7210721,-0.2537711
14013,0.1724118,0.7239276,-0.2515563
14014,0.1704264,0.7283404,-0.2488218
14015,0.1696165,0.7276599,-0.2479385
14016,0.1688003,0.7269263,-0.2472656
14017,0.1677138,0.7277471,-0.245901
14018,0.1684099,0.7173487,-0.2514113
14019,0.1681403,0.7138758,-0.2527704
14020,0.1695617,0.7065383,-0.2572782
14021,0.1699726,0.7011772,-0.2599661
14022,0.1704,0.6955723,-0.2626446
14023,0.1725195,0.6875516,-0.2681655
14024,0.1741665,0.6808355,-0.2717896
14025,0.1757011,0.6766744,-0.2737724
14026,0.1768815,0.6722679,-0.2760637
14027,0.1774416,0.6706747,-0.2767113
14028,0.1786047,0.666788,-0.2787148
14029,0.1803589,0.6675512,-0.2791614
14030,0.182444,0.6680728,-0.2800148
14031,0.1846542,0.6694362,-0.2801141
14032,0.1870316,0.6712679,-0.2802631
14033,0.1916539,0.6810153,-0.2759284
14034,0.1945521,0.685415,-0.2745215
14035,0.1981002,0.6945398,-0.270967
14036,0.2019361,0.7022146,-0.267998
14037,0.2054573,0.7094182,-0.2653625
14038,0.2103176,0.7214402,-0.2606817
14039,0.214388,0.7306644,-0.2570609
14040,0.2176293,0.7383586,-0.2542533
14041,0.2205405,0.7435181,-0.2520074
14042,0.2239226,0.7503302,-0.249126
14043,0.2262248,0.7516262,-0.2479429
14044,0.2270098,0.7497228,-0.2485596
14045,0.229266,0.7523965,-0.2472651
14046,0.2262093,0.7448128,-0.2535534
14047,0.226006,0.7427499,-0.2554353
14048,0.2249502,0.7367383,-0.257334
14049,0.2238887,0.7315707,-0.2594354
14050,0.221882,0.7234395,-0.2619824
14051,0.2194762,0.7145268,-0.2653413
14052,0.215881,0.7041181,-0.2691272
14053,0.2120497,0.6942596,-0.2720889
14054,0.2084976,0.6855552,-0.2747144
14055,0.2048087,0.6766849,-0.2774983
14056,0.2018595,0.6763593,-0.2753233
14057,0.1982817,0.669967,-0.2765366
