frame,x,y,z
18001,0.1638791,0.7612083,-0.350628
18002,0.1654478,0.7688287,-0.3488573
18003,0.166739,0.7742038,-0.3473028
18004,0.1680342,0.7795431,-0.3458831
18005,0.1687623,0.7817125,-0.3451659
18006,0.1692097,0.7825045,-0.3452996
18007,0.1700059,0.7849985,-0.3447662
18008,0.1696721,0.7794761,-0.3469948
18009,0.1700881,0.777357,-0.3479846
18010,0.170253,0.7725773,-0.3493352
18011,0.1705625,0.7687677,-0.3503784
18012,0.1703296,0.7622199,-0.3513255
18013,0.1699066,0.7556758,-0.3522057
18014,0.1694919,0.7490649,-0.3531987
18015,0.1690295,0.742563,-0.3541099
18016,0.1672511,0.7327055,-0.3553074
18017,0.1663046,0.7247756,-0.3563398
18018,0.1641953,0.7167278,-0.3581121
18019,0.1623387,0.7103682,-0.3592614
18020,0.1599666,0.7085903,-0.3594329
18021,0.1557294,0.6991405,-0.3608829
18022,0.1538663,0.7009631,-0.3608292
18023,0.15197,0.7036268,-0.3597462
18024,0.1497589,0.7083986,-0.3583122
18025,0.1474993,0.713094,-0.3568492
18026,0.1451213,0.7169102,-0.3557008
18027,0.1430753,0.7243982,-0.3533148
18028,0.1409762,0.7312929,-0.3508994
18029,0.139239,0.7389245,-0.3487763
18030,0.1376006,0.7463685,-0.3465381
18031,0.1359589,0.7541312,-0.3441738
18032,0.1342881,0.7612268,-0.3418322
18033,0.1327651,0.7685775,-0.3395659
18034,0.1312961,0.7723976,-0.337781
18035,0.1300418,0.7765865,-0.3365917
18036,0.1286355,0.7820041,-0.3348343
18037,0.1283071,0.7793834,-0.3363085
18038,0.1273155,0.7815657,-0.3357623
18039,0.1271259,0.7780131,-0.3376888
18040,0.1266858,0.7765318,-0.3388108
18041,0.1266145,0.7708698,-0.3416355
18042,0.1265022,0.7663243,-0.3435828
18043,0.1258666,0.7594818,-0.3462865
18044,0.1253752,0.7519314,-0.3489428
18045,0.1250532,0.7447777,-0.3515521
18046,0.1243847,0.7347949,-0.3546241
18047,0.1238307,0.726021,-0.3574713
18048,0.1231902,0.7175113,-0.3600193
18049,0.1228108,0.7104236,-0.362438
18050,0.1223822,0.7024729,-0.3650517
18051,0.1222253,0.699385,-0.3662943
18052,0.1222474,0.6947834,-0.3679501
18053,0.1221723,0.6899727,-0.3695987
18054,0.1245086,0.6930858,-0.3690516
18055,0.1252823,0.6910329,-0.3699344
18056,0.1282074,0.6957887,-0.3699582
18057,0.1298265,0.6967067,-0.3703884
18058,0.1321455,0.7007753,-0.3703562
18059,0.1343515,0.7045465,-0.3702138
18060,0.1367086,0.7103209,-0.3689864
18061,0.1392143,0.7162281,-0.367464
18062,0.1415746,0.7222002,-0.3663599
18063,0.1438658,0.7305182,-0.3640799
18064,0.1485189,0.746719,-0.3598405
18065,0.150714,0.7543628,-0.3573876
18066,0.1529178,0.7621748,-0.3550545
18067,0.1545597,0.7681594,-0.3533047
18068,0.1562651,0.7730599,-0.351877
18069,0.1577146,0.7768169,-0.3507886
18070,0.1587674,0.7781368,-0.3503102
18071,0.1600767,0.7806349,-0.3494482
18072,0.1606992,0.7785869,-0.3498302
18073,0.1617166,0.7792339,-0.3494833
18074,0.1621712,0.7744799,-0.3498975
18075,0.1625792,0.7695921,-0.3503706
18076,0.163018,0.7657591,-0.3507471
18077,0.162898,0.7579483,-0.3521464
18078,0.1629369,0.7509912,-0.3531808
18079,0.1628947,0.7442191,-0.3542032
18080,0.1619636,0.7352772,-0.3553989
18081,0.1615865,0.7275862,-0.3563996
18082,0.1598466,0.7203484,-0.358132
18083,0.1581171,0.7141116,-0.3596166
18084,0.1567463,0.7071773,-0.3610622
18085,0.1544743,0.7065529,-0.3622169
18086,0.1526197,0.703581,-0.362976
18087,0.1506177,0.7005799,-0.363867
18088,0.148395,0.7084871,-0.3638495
18089,0.1462186,0.7109908,-0.3639676
18090,0.1438922,0.7136754,-0.3638566
18091,0.141958,0.7211121,-0.3634442
18092,0.1404433,0.727436,-0.3625765
18093,0.1390672,0.7354388,-0.3616112
18094,0.1372442,0.7426856,-0.3605886
18095,0.1359379,0.7519646,-0.3579993
18096,0.1344156,0.7603955,-0.3564166
18097,0.1329075,0.767214,-0.3543114
18098,0.1317713,0.7723358,-0.3530623
18099,0.1305007,0.7790025,-0.3514674
18100,0.1304903,0.7802258,-0.3514106
18101,0.1303061,0.7829286,-0.3508667
18102,0.1302469,0.7843505,-0.3503221
18103,0.1300775,0.7841645,-0.349765
18104,0.1298117,0.7849491,-0.3492256
18105,0.1297148,0.7795917,-0.3501473
18106,0.1296934,0.7766795,-0.3507069
18107,0.1297247,0.7703226,-0.3526941
18108,0.1297723,0.7633672,-0.3548005
18109,0.1296023,0.7559755,-0.3565653
18110,0.1293917,0.7481934,-0.3583297
18111,0.1293676,0.7401018,-0.3601866
18112,0.1293144,0.7310736,-0.3625986
18113,0.1292387,0.7224474,-0.3647152
18114,0.1290132,0.7158478,-0.3659547
18115,0.1287381,0.7100428,-0.3667533
18116,0.1284675,0.7030214,-0.3680829
