frame,x,y,z
10001,0.109713,0.7590582,-0.2934342
10002,0.1078656,0.7642149,-0.291799
10003,0.1069633,0.7636295,-0.2909465
10004,0.1053903,0.7666509,-0.2897155
10005,0.1043268,0.7616767,-0.291004
10006,0.1030596,0.7590955,-0.2915046
10007,0.101895,0.7573845,-0.2915748
10008,0.1008856,0.745688,-0.2943572
10009,0.09964839,0.7375177,-0.2961045
10010,0.09843948,0.7291016,-0.2976894
10011,0.09723508,0.7197174,-0.2993201
10012,0.09620747,0.7091275,-0.3009151
10013,0.09526518,0.6991693,-0.3025477
10014,0.09500188,0.6929671,-0.3035089
10015,0.09480463,0.6884035,-0.3038394
10016,0.09452766,0.6822294,-0.3043038
10017,0.09450036,0.6770884,-0.3042189
10018,0.09681043,0.6818195,-0.3025278
10019,0.09745523,0.6794784,-0.3021494
10020,0.09881708,0.6851181,-0.3019365
10021,0.1001017,0.6885661,-0.3011655
10022,0.1012594,0.6910538,-0.3006711
10023,0.1034143,0.6971996,-0.2995774
10024,0.1050436,0.7018866,-0.2990209
10025,0.1070674,0.7095186,-0.2976714
10026,0.1087795,0.7174245,-0.2960915
10027,0.1106796,0.7245161,-0.2948893
10028,0.1124132,0.7299371,-0.2933768
10029,0.1141041,0.7368096,-0.2920506
10030,0.1157184,0.7404057,-0.2910574
10031,0.1172456,0.7448541,-0.2900645
10032,0.1183173,0.7472978,-0.2894534
10033,0.1194264,0.750011,-0.2888772
10034,0.1194916,0.7490199,-0.2892534
10035,0.1199736,0.7491462,-0.2891301
10036,0.1205529,0.7492034,-0.2889082
10037,0.1210868,0.7490479,-0.2886862
10038,0.1208019,0.7402547,-0.2907442
10039,0.1208586,0.7343274,-0.2926665
10040,0.1205201,0.7276641,-0.2944688
10041,0.1200397,0.7214503,-0.2959912
10042,0.1197118,0.7150931,-0.2977135
10043,0.1184837,0.7053017,-0.2999762
10044,0.1178457,0.69735,-0.3020298
10045,0.1169019,0.690556,-0.3043949
10046,0.1159767,0.6832963,-0.3064415
10047,0.1150452,0.6756597,-0.3085476
10048,0.1134131,0.6784424,-0.3081332
10049,0.1115588,0.680338,-0.3082172
10050,0.1098645,0.6807671,-0.3084159
10051,0.1081956,0.6850713,-0.3076466
10052,0.1066621,0.6878313,-0.3072781
10053,0.1053126,0.6951164,-0.3056867
10054,0.1042631,0.7020931,-0.3045859
10055,0.1030524,0.7086487,-0.3033868
10056,0.1017894,0.7158211,-0.3023117
10057,0.1003948,0.7258791,-0.300351
10058,0.0978394,0.7430493,-0.2971774
10059,0.09598861,0.7480738,-0.2953947
10060,0.09390847,0.7579291,-0.2931516
10061,0.09303725,0.7619267,-0.2920986
10062,0.09280914,0.7614267,-0.2914991
10063,0.09285618,0.7601259,-0.291299
10064,0.09266572,0.7595021,-0.2910413
10065,0.09286928,0.7523093,-0.2930967
10066,0.09307841,0.7477035,-0.2942236
10067,0.09347906,0.7423313,-0.2956876
10068,0.09414755,0.7322755,-0.2986557
10069,0.09469784,0.7247338,-0.3002833
10070,0.09520276,0.7161083,-0.3014267
10071,0.09635864,0.6993192,-0.3046308
10072,0.09699941,0.6946896,-0.3058611
10073,0.09760342,0.6874744,-0.3073235
10074,0.09898557,0.6857814,-0.307633
10075,0.1001525,0.6818432,-0.3083465
10076,0.1015051,0.6781442,-0.3091053
10077,0.1046279,0.6842722,-0.3084567
10078,0.1065187,0.6840069,-0.3086835
10079,0.1088913,0.6905547,-0.3077255
10080,0.1110505,0.6944057,-0.3072299
10081,0.1130769,0.6998379,-0.3058293
10082,0.1153432,0.7049754,-0.3047009
10083,0.1178167,0.7116519,-0.302819
10084,0.1201353,0.7195038,-0.3006662
10085,0.122506,0.7264526,-0.2989565
10086,0.1241602,0.7338415,-0.2962158
10087,0.1260259,0.7412705,-0.2940155
10088,0.1279804,0.7483826,-0.2912688
10089,0.129501,0.7538802,-0.2891356
10090,0.1312751,0.7598594,-0.2870481
10091,0.1326903,0.7626571,-0.2859834
10092,0.1340478,0.7636535,-0.2851858
10093,0.1351576,0.7667336,-0.2840523
10094,0.1356908,0.7633918,-0.2839445
10095,0.1366363,0.7629133,-0.2835088
10096,0.1374355,0.7621946,-0.2829998
10097,0.1373152,0.7524387,-0.2842585
10098,0.1373298,0.7454714,-0.2852101
10099,0.1370489,0.7378706,-0.2864909
10100,0.1363949,0.7289976,-0.2881424
10101,0.1357665,0.7197524,-0.2898668
10102,0.1343395,0.7095075,-0.2920175
10103,0.1332429,0.6998096,-0.2939248
10104,0.1313296,0.6939569,-0.2959559
10105,0.1298971,0.6854645,-0.2978509
10106,0.1277212,0.6857947,-0.298283
10107,0.1256427,0.6833107,-0.299118
10108,0.1237751,0.6839671,-0.2991427
10109,0.1220301,0.685897,-0.2985549
10110,0.1202079,0.6880829,-0.2982638
10111,0.1181673,0.6949269,-0.2968311
