frame,x,y,z
13001,0.1171018,0.5149878,0.2022691
13002,0.1180693,0.5105613,0.2032041
13003,0.1186811,0.5031801,0.2028849
13004,0.1194184,0.4964295,0.2021995
13005,0.120084,0.4896017,0.2016551
13006,0.1190884,0.4823914,0.1980093
13007,0.118893,0.4755042,0.1964255
13008,0.117502,0.4729155,0.1965857
13009,0.1168687,0.4683757,0.195731
13010,0.1163318,0.4637238,0.1946787
13011,0.1146056,0.4670617,0.1935528
13012,0.1134709,0.465232,0.1925083
13013,0.110221,0.4707207,0.1918844
13014,0.1079147,0.4733551,0.1910629
13015,0.1050948,0.4791471,0.1902969
13016,0.1022322,0.4834686,0.1896122
13017,0.09873834,0.4882844,0.1889508
13018,0.09543675,0.4932519,0.1885462
13019,0.09232286,0.4986647,0.1882292
13020,0.08932624,0.5039085,0.1884552
13021,0.08655855,0.5088226,0.1885889
13022,0.08358445,0.5141836,0.188537
13023,0.08109274,0.5181408,0.1881335
13024,0.07903398,0.5205512,0.187664
13025,0.076594,0.5243308,0.1873951
13026,0.07547181,0.5221655,0.1867123
13027,0.07366053,0.5231643,0.1863577
13028,0.07322688,0.5174149,0.1852913
13029,0.07085836,0.5135913,0.1839641
13030,0.07243301,0.502742,0.1820417
13031,0.07239208,0.4971329,0.1808727
13032,0.07474374,0.4886505,0.1796674
13033,0.07552667,0.4818082,0.1785446
13034,0.07797621,0.4762909,0.1787986
13035,0.07971296,0.471615,0.1793025
13036,0.08135072,0.4659167,0.1794013
13037,0.08357538,0.4663311,0.1804281
13038,0.08551154,0.4626755,0.1806597
13039,0.08713326,0.4638815,0.1813018
13040,0.08958361,0.4664433,0.1833006
13041,0.09172467,0.4671999,0.1846825
13042,0.09537122,0.4728581,0.1875655
13043,0.09800984,0.4760061,0.189368
13044,0.1006194,0.4805515,0.1914647
13045,0.103315,0.4851795,0.193942
13046,0.1059049,0.4906024,0.1971935
13047,0.1083124,0.495796,0.2004808
13048,0.1106853,0.5011793,0.2036652
13049,0.1126402,0.5050663,0.2071568
13050,0.1148299,0.5095044,0.2104085
13051,0.1166917,0.5103358,0.2129251
13052,0.1185827,0.5096427,0.2145884
13053,0.1204761,0.5110154,0.2169508
13054,0.1222889,0.5060004,0.2168003
13055,0.1241514,0.5033854,0.2176297
13056,0.1260244,0.4990581,0.2175756
13057,0.1278273,0.4938245,0.2172141
13058,0.1296465,0.4894186,0.2172759
13059,0.1308346,0.4830939,0.2163283
13060,0.1316463,0.4775369,0.2152052
13061,0.1329224,0.4719522,0.2146343
13062,0.1304363,0.4697123,0.2130959
13063,0.130281,0.4652834,0.2121285
13064,0.1284062,0.4644032,0.2109653
13065,0.1274582,0.4615002,0.2097772
13066,0.1253512,0.4638679,0.2090275
13067,0.1233064,0.4643012,0.2083285
13068,0.1194829,0.4674969,0.2086047
13069,0.1157042,0.4715359,0.2089185
13070,0.1124391,0.4745412,0.2088589
13071,0.1090227,0.4779271,0.2088355
13072,0.1051826,0.4830313,0.2074735
13073,0.101423,0.4877389,0.2076126
13074,0.09751415,0.4925028,0.2081985
13075,0.09361995,0.4973158,0.2083452
13076,0.08965674,0.5003987,0.2091325
13077,0.08612613,0.503261,0.2092512
13078,0.08237378,0.5069937,0.2095673
13079,0.07992952,0.5062884,0.2085395
13080,0.07743164,0.5058314,0.2073479
13081,0.07443691,0.5064475,0.2067046
13082,0.07353798,0.5006364,0.2041804
13083,0.07190137,0.4971863,0.202345
13084,0.07054769,0.4931589,0.2003923
13085,0.06951546,0.487869,0.1983932
13086,0.06890115,0.4829612,0.1966377
13087,0.069402,0.4779966,0.1947338
13088,0.06920578,0.4728968,0.1929987
