frame,x,y,z
4001,0.1066338,0.4809366,0.1731673
4002,0.106019,0.4792061,0.1720187
4003,0.1052471,0.4810761,0.1709153
4004,0.1043518,0.4819352,0.1695061
4005,0.1035718,0.4824722,0.1681559
4006,0.1017584,0.48849,0.1678014
4007,0.1004933,0.4916976,0.1668443
4008,0.09927329,0.4946874,0.1658238
4009,0.09687684,0.5018754,0.1654736
4010,0.09518827,0.5065872,0.1646645
4011,0.09303021,0.5129389,0.1643791
4012,0.09099817,0.5188137,0.164052
4013,0.08892609,0.524607,0.1636177
4014,0.08646932,0.5299984,0.1633323
4015,0.08441675,0.5358024,0.1630864
4016,0.08234482,0.5394614,0.1631955
4017,0.08028173,0.5435438,0.1631025
4018,0.0783785,0.5460485,0.1628849
4019,0.07660031,0.5484414,0.1625864
4020,0.07485418,0.5492887,0.1620394
4021,0.07321272,0.548883,0.1610553
4022,0.07162841,0.5483693,0.1600262
4023,0.07002626,0.5478769,0.1592124
4024,0.06912065,0.542028,0.1568061
4025,0.06803177,0.5382496,0.1553061
4026,0.06700583,0.5338008,0.1537365
4027,0.0659624,0.529424,0.1521308
4028,0.06499699,0.5248217,0.1505051
4029,0.06458594,0.5181698,0.1480613
4030,0.06392673,0.5126018,0.1459826
4031,0.06319146,0.5070286,0.1439757
4032,0.06365469,0.5009817,0.1412587
4033,0.06320246,0.4953206,0.1390441
4034,0.06357242,0.4914458,0.1368739
4035,0.06360646,0.4866255,0.1346643
4036,0.06366362,0.4819313,0.1323929
4037,0.06517445,0.4809688,0.1303847
4038,0.0662078,0.4805747,0.1288048
4039,0.06716898,0.4801928,0.1275347
4040,0.06819778,0.48192,0.1268814
4041,0.06930856,0.4843066,0.1262043
4042,0.07049547,0.4871567,0.125732
4043,0.07149336,0.4929,0.1269423
4044,0.07266453,0.4974068,0.1276531
4045,0.07374702,0.5021134,0.1282298
4046,0.07475751,0.5081117,0.1302313
4047,0.07609097,0.5137988,0.1317904
4048,0.07712319,0.5194281,0.1332835
4049,0.07832088,0.5256971,0.1367635
4050,0.07926916,0.5315863,0.1391932
4051,0.08042723,0.5358948,0.1422265
4052,0.08158854,0.5406638,0.1447081
4053,0.08302312,0.5451248,0.1472205
4054,0.08431144,0.5493484,0.1502608
4055,0.08594495,0.5527699,0.1529774
4056,0.08780348,0.556291,0.1556315
4057,0.08946951,0.5594944,0.1583358
4058,0.09107856,0.5630408,0.1610064
4059,0.09362116,0.5616016,0.1620656
4060,0.09553126,0.5629657,0.1640316
4061,0.09815367,0.5600068,0.1655409
4062,0.1003275,0.558962,0.1671931
4063,0.1025489,0.5557413,0.1684483
4064,0.1046472,0.5513674,0.1697973
4065,0.1065096,0.5465534,0.1709208
4066,0.1083719,0.5404428,0.1719385
4067,0.1112247,0.5279157,0.173757
4068,0.1120697,0.5211232,0.1743469
4069,0.11323,0.5144001,0.1751489
4070,0.1130477,0.5073397,0.1753562
4071,0.1123895,0.501471,0.1757979
4072,0.1114813,0.495529,0.1761415
4073,0.1111818,0.4892561,0.1763936
