frame,x,y,z
9001,0.06055884,0.4543211,0.2168935
9002,0.0626864,0.4532502,0.2168125
9003,0.06477834,0.452348,0.2168013
9004,0.06749501,0.4589044,0.2215292
9005,0.06996925,0.4618878,0.2236206
9006,0.07261851,0.4647204,0.2256888
9007,0.07509985,0.4677186,0.2279765
9008,0.07754224,0.4707132,0.2302824
9009,0.07996958,0.4741476,0.2334963
9010,0.08243538,0.4775715,0.2363922
9011,0.08482484,0.4817691,0.239458
9012,0.08722184,0.485466,0.2422938
9013,0.08915823,0.4891906,0.2457517
9014,0.09347317,0.4948717,0.2515205
9015,0.09561262,0.4969731,0.2540739
9016,0.09752247,0.4960081,0.2556631
9017,0.1011025,0.4952975,0.2592142
9018,0.1028765,0.4946914,0.2608774
9019,0.1038756,0.4901039,0.2602302
9020,0.1050952,0.4871759,0.2604679
9021,0.1064397,0.4846613,0.2610498
9022,0.1062385,0.4790136,0.25907
9023,0.1069841,0.4751731,0.2586583
9024,0.1066166,0.470284,0.2569562
9025,0.1060177,0.46605,0.255219
9026,0.1059645,0.461618,0.2539204
9027,0.1042403,0.4593039,0.2509553
9028,0.1035051,0.4556424,0.2489199
9029,0.1024189,0.4540845,0.2462666
9030,0.1009253,0.4545961,0.2443503
9031,0.09964347,0.4531723,0.2422047
9032,0.09635612,0.4582024,0.2429847
9033,0.09428994,0.4594258,0.2419925
9034,0.09012102,0.4650046,0.242422
9035,0.08714941,0.4687044,0.2418853
9036,0.08440033,0.4726664,0.2416864
9037,0.08144446,0.4773875,0.2420105
9038,0.07855404,0.481934,0.2425087
9039,0.07566024,0.4866151,0.2430562
9040,0.07266353,0.491441,0.2436306
9041,0.06968115,0.4962873,0.2441431
9042,0.06664103,0.5009698,0.245231
9043,0.06376094,0.5056205,0.2460249
9044,0.06092862,0.5082801,0.2468072
9045,0.05814411,0.5107942,0.2475749
9046,0.05531946,0.5142043,0.2484229
9047,0.05309696,0.509614,0.2478362
9048,0.05052875,0.5099456,0.248072
9049,0.04953939,0.5031915,0.2463117
9050,0.04794946,0.499581,0.2455284
9051,0.04737825,0.4940616,0.2438074
9052,0.04692748,0.4882732,0.2423491
9053,0.04608302,0.4830181,0.2411344
9054,0.04633296,0.4763467,0.2402021
9055,0.04695566,0.471538,0.2397253
9056,0.04757583,0.4608275,0.2385719
9057,0.04796633,0.4553409,0.2379682
9058,0.04933013,0.4531071,0.2378919
9059,0.05015473,0.4491405,0.2376115
9060,0.0524812,0.450568,0.2387617
9061,0.05389637,0.4501469,0.2397794
9062,0.05565064,0.4517965,0.2415629
9063,0.0574602,0.4537919,0.2433583
9064,0.05928427,0.4557748,0.2450682
9065,0.06116281,0.4593596,0.2473716
9066,0.06294551,0.4632382,0.2498854
9067,0.06467022,0.4678785,0.2527094
9068,0.066463,0.4723227,0.2555028
9069,0.06820013,0.4784674,0.2591771
9070,0.06980795,0.4838476,0.2630024
9071,0.07141598,0.4891879,0.2666621
9072,0.07300531,0.4945135,0.2703523
9073,0.07398787,0.4970045,0.2750286
9074,0.0753945,0.5012877,0.2791271
9075,0.07602564,0.5015088,0.2818656
9076,0.07693202,0.5029824,0.2845506
9077,0.07782646,0.504583,0.2874774
9078,0.07864301,0.5006902,0.2869247
9079,0.07936142,0.4979238,0.2874686
9080,0.07982387,0.4943185,0.2876173
9081,0.08040158,0.4914001,0.2881414
9082,0.0798332,0.4856613,0.2879157
9083,0.07943844,0.4806822,0.2876512
9084,0.0785703,0.4750057,0.2863501
9085,0.07775687,0.4694692,0.2849486
9086,0.0767654,0.463877,0.2834806
9087,0.07552575,0.4591979,0.2824825
9088,0.07432043,0.4544642,0.2814733
9089,0.07306112,0.4493606,0.2803467
9090,0.07058276,0.4494057,0.2799304
9091,0.06889033,0.4466367,0.2790633
9092,0.06630324,0.4470912,0.278758
9093,0.06323739,0.4491288,0.2788534
9094,0.06004806,0.4512645,0.2788909
9095,0.05708993,0.4538986,0.2786256
9096,0.05428782,0.4568742,0.2781083
9097,0.05120076,0.4607078,0.2777371
9098,0.04813144,0.464431,0.2775138
9099,0.04504881,0.4683198,0.2772481
9100,0.04213267,0.474407,0.2775084
9101,0.03967702,0.478879,0.2765421
9102,0.03424617,0.488387,0.2754244
9103,0.03238111,0.4907518,0.273666
9104,0.03070561,0.4917262,0.2717702
9105,0.02736957,0.4939221,0.2681431
9106,0.02594686,0.4938931,0.2661068
9107,0.02544622,0.490663,0.263368
9108,0.02530233,0.486797,0.2605007
9109,0.02571411,0.4817938,0.2574479
9110,0.02650149,0.4761692,0.254815
9111,0.02682382,0.4712467,0.2522958
9112,0.02825358,0.4648065,0.2507483
9113,0.02990254,0.4590244,0.2490897
9114,0.03161427,0.4540561,0.2477762
9115,0.03322848,0.449533,0.2463174
9116,0.03489944,0.4444917,0.2448401
9117,0.0368771,0.4437493,0.2444089
9118,0.04064736,0.4416719,0.244012
9119,0.04244467,0.4429587,0.2450144
9120,0.04421341,0.4433744,0.2455636
9121,0.04614125,0.4475823,0.2478824
9122,0.0478752,0.4502586,0.2492075
9123,0.04975971,0.4527421,0.2505112
9124,0.05167464,0.4575386,0.2521216
9125,0.0535542,0.4611009,0.2536446
9126,0.05541217,0.4659938,0.2559553
9127,0.05717473,0.4712208,0.2581531
9128,0.05876543,0.4759651,0.2601503
9129,0.06041345,0.4804731,0.2620837
9130,0.06205481,0.4849045,0.2639751
9131,0.06373466,0.4895824,0.2659303
9132,0.06527248,0.4886493,0.2662131
9133,0.06677528,0.4911222,0.2675503
9134,0.06789351,0.4892752,0.2677105
9135,0.06909566,0.489298,0.2684079
9136,0.06977249,0.486621,0.268218
9137,0.07068229,0.4849635,0.2682765
9138,0.0712893,0.4811512,0.2670064
9139,0.07172294,0.4774804,0.2659921
9140,0.071669,0.4732352,0.2649551
9141,0.07187425,0.4692103,0.2639535
9142,0.07143481,0.4645273,0.2627303
9143,0.07114981,0.4598766,0.2615521
9144,0.0698659,0.4555859,0.2605864
9145,0.06814764,0.4482239,0.258951
9146,0.06657031,0.4466731,0.2586583
9147,0.06522941,0.4448446,0.2583845
9148,0.0639065,0.4423134,0.2578386
9149,0.06085387,0.4479328,0.2602232
9150,0.05767824,0.4517982,0.2619318
9151,0.05712953,0.4531641,0.2621858
9152,0.05465339,0.4560098,0.2627124
9153,0.05261806,0.4594265,0.2633033
9154,0.0504165,0.4632878,0.2640369
9155,0.04582286,0.4706798,0.2655759
9156,0.04623659,0.4731705,0.2655303
9157,0.04202107,0.482677,0.2670628
