frame,x,y,z
18001,0.2386254,0.8381495,0.2905954
18002,0.2402094,0.8390816,0.2886032
18003,0.2417901,0.8395984,0.2867514
18004,0.2433619,0.8403199,0.2848165
18005,0.2451323,0.8398299,0.2830811
18006,0.2469358,0.8394979,0.2813058
18007,0.2488764,0.8388534,0.279696
18008,0.2506335,0.8376997,0.2781626
18009,0.2523599,0.8363511,0.2767906
18010,0.2540804,0.834716,0.275432
18011,0.2557629,0.8332343,0.2741094
18012,0.2574875,0.8309548,0.2731576
18013,0.2592668,0.8290333,0.2720154
18014,0.2610981,0.8263171,0.2713682
18015,0.2627116,0.823672,0.2707888
18016,0.2644899,0.8212621,0.2700995
18017,0.2657674,0.8185131,0.2697796
18018,0.2670915,0.8158154,0.2693899
18019,0.2685595,0.8131645,0.2689863
18020,0.2698035,0.8100762,0.2695908
18021,0.2711197,0.8072112,0.2699218
18022,0.2723932,0.8043712,0.2706211
18023,0.2736374,0.8014493,0.2711864
18024,0.2748526,0.798686,0.2720038
18025,0.2758464,0.7961115,0.2729524
18026,0.276616,0.7936813,0.2738708
18027,0.2775192,0.7912214,0.2747545
18028,0.2782795,0.7889993,0.2755861
18029,0.2789428,0.7870595,0.2765937
18030,0.2795759,0.7847292,0.2776146
18031,0.2802674,0.7825987,0.2786194
18032,0.2805597,0.7817426,0.2795823
18033,0.2810651,0.7800504,0.2805928
18034,0.2808355,0.7793583,0.281369
18035,0.2808315,0.7782553,0.2823971
18036,0.2810938,0.777337,0.2832656
18037,0.2805389,0.7775499,0.2846383
18038,0.2804421,0.7771128,0.285688
18039,0.2799408,0.7776664,0.2869958
18040,0.2795042,0.7778656,0.2882056
18041,0.2786316,0.7789372,0.2893564
18042,0.277788,0.7799215,0.2905352
18043,0.2770705,0.7807888,0.2917668
18044,0.2756971,0.7827831,0.2928783
18045,0.2747422,0.7840605,0.2940849
18046,0.2735146,0.7857994,0.2951724
18047,0.2721407,0.7876289,0.2963076
18048,0.2709166,0.7894074,0.297391
18049,0.2689903,0.7919514,0.2981921
18050,0.2674238,0.7940785,0.2991517
18051,0.2652551,0.7967216,0.299846
18052,0.2633499,0.7991347,0.300635
18053,0.2613411,0.8020687,0.3013401
18054,0.2590344,0.8048855,0.3019884
18055,0.2568997,0.8076115,0.3027004
18056,0.2546244,0.8105704,0.3032775
18057,0.2523663,0.8134105,0.3039284
18058,0.2501421,0.8163596,0.3047412
18059,0.2479311,0.8192407,0.305437
18060,0.24598,0.8223811,0.3064165
18061,0.2439984,0.8253986,0.3072164
18062,0.2418592,0.828389,0.3079641
18063,0.2397373,0.8313137,0.3090433
18064,0.2375461,0.8342644,0.3096797
18065,0.235412,0.8372549,0.310474
18066,0.2332034,0.8392741,0.3115076
18067,0.2311187,0.8418073,0.3122672
18068,0.2289138,0.8430365,0.3129837
18069,0.2267534,0.8447888,0.3136424
18070,0.2245216,0.8464075,0.3143338
18071,0.2226917,0.8460393,0.3147491
18072,0.2206477,0.8468283,0.3153407
18073,0.2191615,0.8465652,0.315717
18074,0.217347,0.8464932,0.3161741
18075,0.2160198,0.8455455,0.3167103
18076,0.2146405,0.8448364,0.317259
18077,0.2136106,0.8434121,0.3179785
18078,0.2124878,0.8419377,0.318588
18079,0.2113847,0.8406674,0.3192201
18080,0.2107176,0.839035,0.3199298
18081,0.2100179,0.8374276,0.3208119
18082,0.2091988,0.8356687,0.3216644
18083,0.2085813,0.8340128,0.3226413
18084,0.2078927,0.832235,0.3236167
18085,0.2076305,0.8300135,0.324839
18086,0.2070203,0.8283221,0.3259633
18087,0.2064413,0.8265897,0.3270372
18088,0.2058213,0.8245236,0.3282045
18089,0.2053558,0.8224787,0.3293763
18090,0.2049254,0.8200855,0.3305921
18091,0.2045294,0.817927,0.3318119
18092,0.2045903,0.8146076,0.3334382
18093,0.2045551,0.8116574,0.3349836
18094,0.2046402,0.8086695,0.3366052
18095,0.2046269,0.8056827,0.3381282
18096,0.2046288,0.8027719,0.3396664
18097,0.2046643,0.7998238,0.3411273
18098,0.2047493,0.7969065,0.3426453
18099,0.2048544,0.7940143,0.3441795
18100,0.2048714,0.7911544,0.3457191
18101,0.2050776,0.788477,0.3471533
18102,0.2051271,0.7860723,0.3485824
18103,0.2052632,0.7836568,0.3499023
18104,0.2054157,0.7813222,0.3511487
18105,0.2057069,0.7795066,0.352448
18106,0.2059098,0.7773599,0.3537502
18107,0.2062405,0.7762205,0.3545229
18108,0.2064217,0.7744879,0.3556862
18109,0.2069024,0.7738928,0.3563618
18110,0.2070999,0.7732698,0.3569952
18111,0.2074101,0.7724988,0.3577271
18112,0.2080069,0.7725671,0.3581653
18113,0.208606,0.7729833,0.3584671
18114,0.2091641,0.7736331,0.3586279
