frame,x,y,z
11001,0.2060186,0.7583024,0.2247547
11002,0.2062468,0.7581952,0.2262233
11003,0.2061637,0.7594245,0.2287753
11004,0.206241,0.7601848,0.2308366
11005,0.2054103,0.7642115,0.2348249
11006,0.204411,0.7686373,0.238806
11007,0.2034381,0.7740873,0.2426484
11008,0.2018745,0.7795364,0.2463379
11009,0.1989018,0.7904052,0.2535529
11010,0.1971904,0.7960442,0.2571849
11011,0.1954335,0.801778,0.260791
11012,0.1921567,0.8059227,0.2637298
11013,0.1897899,0.8111268,0.2672394
11014,0.1865132,0.8139483,0.2706074
11015,0.1834978,0.8181099,0.2738436
11016,0.1804906,0.8223333,0.2773163
11017,0.1757255,0.8241206,0.2798681
11018,0.1722079,0.8256296,0.283236
11019,0.1687859,0.825271,0.2869887
11020,0.16525,0.8257698,0.2905129
11021,0.1623685,0.8216038,0.2951462
11022,0.1550402,0.8170349,0.302617
11023,0.1508177,0.8137332,0.306004
11024,0.146878,0.8102591,0.3095816
11025,0.1440665,0.8047649,0.3130819
11026,0.1376079,0.7963064,0.3199234
11027,0.1356694,0.7908657,0.3237323
11028,0.133241,0.7858245,0.3272564
11029,0.1335513,0.7810065,0.330731
11030,0.1325981,0.7769477,0.3335012
11031,0.1313855,0.7724539,0.336656
11032,0.1316001,0.7708927,0.3379968
11033,0.1312629,0.767756,0.3401541
11034,0.1336101,0.7680851,0.3401129
11035,0.1347795,0.7673514,0.3406839
11036,0.13652,0.7697744,0.3393766
11037,0.1380343,0.7709104,0.3388574
11038,0.1399421,0.7743474,0.3366273
11039,0.1423364,0.7781723,0.3339121
11040,0.1444322,0.781123,0.3320472
11041,0.1471026,0.7861354,0.3278789
11042,0.1494563,0.7904809,0.3246287
11043,0.1518439,0.7949067,0.3213532
11044,0.1533073,0.8008604,0.3152961
11045,0.1554537,0.8059703,0.3109391
11046,0.1565109,0.8105246,0.3050562
11047,0.1580033,0.8152376,0.2996808
11048,0.159042,0.8190606,0.2939304
11049,0.1603564,0.8234474,0.2880823
11050,0.1613605,0.8264611,0.2813869
11051,0.1623663,0.8285211,0.2750717
11052,0.1633594,0.8314792,0.2689322
11053,0.1641627,0.8302141,0.2628963
11054,0.1650708,0.8292584,0.2572021
11055,0.1666922,0.8256999,0.253145
11056,0.1694339,0.8208907,0.2439474
11057,0.1718828,0.8162395,0.2421144
11058,0.1737033,0.8120722,0.2393758
11059,0.1755073,0.8077168,0.2366995
11060,0.1767696,0.8029951,0.2350048
11061,0.1782626,0.7986547,0.2326126
11062,0.1791506,0.7935665,0.2311251
11063,0.1802765,0.7884623,0.2304075
11064,0.1814666,0.7833363,0.2291455
11065,0.1822134,0.7782099,0.2287517
11066,0.1826369,0.7749765,0.2288739
11067,0.1837423,0.7668496,0.2286147
11068,0.1841664,0.7659647,0.2301989
11069,0.1841602,0.7659256,0.2319161
11070,0.1843514,0.7645578,0.2331609
11071,0.1836417,0.7675653,0.2357075
11072,0.183037,0.7688274,0.2378491
11073,0.1826348,0.7699603,0.2399423
11074,0.1800104,0.7767313,0.2434995
11075,0.1779278,0.7815616,0.2463217
11076,0.1754419,0.7870569,0.249489
11077,0.1697875,0.7984688,0.255733
11078,0.1662631,0.8045483,0.2591017
11079,0.1620479,0.8104743,0.2627134
11080,0.1577975,0.8161733,0.2664778
11081,0.1529524,0.821051,0.2702844
11082,0.1486632,0.8250825,0.2742786
11083,0.1399429,0.8342524,0.2820982
11084,0.1371019,0.8318343,0.2876247
11085,0.1331397,0.8340714,0.2921016
11086,0.1299904,0.8306216,0.296923
11087,0.1259481,0.8292065,0.3016485
11088,0.1216847,0.826326,0.3064037
11089,0.1181763,0.822098,0.3111439
11090,0.1148009,0.8185385,0.3157942
11091,0.1131841,0.810024,0.3200501
11092,0.1104873,0.8043627,0.324535
11093,0.1084858,0.7972378,0.3285043
11094,0.1070342,0.7898496,0.3324036
11095,0.1071613,0.7831666,0.3359405
11096,0.1065234,0.7763004,0.3393289
11097,0.1071037,0.7707396,0.3416602
11098,0.1075088,0.7654018,0.3439418
11099,0.1092678,0.7622845,0.3447104
11100,0.1103409,0.7580294,0.3462606
11101,0.1146733,0.7602354,0.3448313
11102,0.1173503,0.7589792,0.3451533
11103,0.1212022,0.7622678,0.343616
11104,0.1246199,0.7644836,0.342369
11105,0.1279679,0.7658373,0.3415289
11106,0.1314638,0.7743694,0.3375948
11107,0.134839,0.7790624,0.335457
11108,0.1374287,0.7863948,0.3315696
11109,0.1403564,0.792698,0.3281647
11110,0.1430934,0.7994296,0.3236035
11111,0.1456862,0.8060782,0.3192296
11112,0.1479951,0.8119681,0.3141075
11113,0.150174,0.8176249,0.3088978
11114,0.1523826,0.8234155,0.3037725
11115,0.154521,0.8277164,0.2979962
11116,0.1562529,0.8308029,0.2921439
11117,0.1581251,0.8347427,0.2864177
11118,0.1595834,0.8355076,0.2802977
11119,0.1612037,0.8350599,0.2742185
11120,0.1627862,0.8359578,0.2683141
11121,0.1647136,0.8299916,0.2631812
11122,0.1666382,0.8274049,0.2577697
11123,0.1682364,0.8245357,0.2522056
11124,0.1702909,0.8151846,0.2482015
11125,0.171928,0.8102089,0.2431549
11126,0.1737546,0.8028792,0.2395452
11127,0.1751364,0.7961088,0.2364545
11128,0.1767484,0.7895663,0.2329613
11129,0.1777578,0.7832054,0.2307447
11130,0.1793784,0.7765956,0.2280181
11131,0.1813149,0.771418,0.2275237
11132,0.182591,0.7661611,0.2264912
11133,0.1840686,0.7603906,0.2250014
11134,0.1843145,0.7621632,0.2281778
11135,0.1853317,0.7592949,0.2288719
11136,0.1855266,0.7623644,0.2319553
11137,0.1860887,0.762308,0.2337603
